Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,35.5,36.625,35.5,36.5,36.5,50959400
2020-09-24,37.0,38.375,36.625,38.25,38.25,54584200
2020-09-25,38.5,38.75,37.75,37.875,37.875,34575600
2020-09-28,38.5,40.125,38.375,39.625,39.625,62251400
2020-09-29,39.75,39.875,39.375,39.5,39.5,22936400
2020-09-30,39.625,40.5,38.375,38.375,38.375,40194400
2020-10-01,38.75,40.25,38.625,40.25,40.25,28224800
2020-10-02,40.625,45.875,40.625,44.25,44.25,140949400
2020-10-05,44.5,46.125,44.125,44.375,44.375,80924400
2020-10-06,44.75,46.0,43.0,43.25,43.25,70212400
2020-10-07,43.875,44.375,43.25,43.75,43.75,26211000
2020-10-08,44.25,44.25,43.0,43.0,43.0,26119600
2020-10-09,43.5,43.625,42.5,43.0,43.0,17234200
2020-10-12,43.25,44.75,43.125,44.5,44.5,40668400
2020-10-14,45.375,45.375,44.5,44.625,44.625,40424000
2020-10-15,44.625,44.875,43.25,44.25,44.25,28146800
2020-10-16,44.5,45.0,44.0,45.0,45.0,24486400
2020-10-19,44.625,45.125,44.25,44.25,44.25,29668400
2020-10-20,44.5,46.375,44.25,45.875,45.875,68116600
2020-10-21,45.75,45.875,44.25,44.5,44.5,41283000
2020-10-22,44.75,45.125,44.25,44.375,44.375,19091400
2020-10-26,44.25,44.25,43.5,43.5,43.5,19551400
2020-10-27,44.25,44.875,43.75,44.0,44.0,23867600
2020-10-28,44.5,44.5,43.75,44.25,44.25,26211600
2020-10-29,44.25,47.25,44.25,46.625,46.625,72974000
2020-10-30,46.5,46.75,45.75,45.75,45.75,21722800
2020-11-02,46.125,46.125,44.375,44.625,44.625,25951000
2020-11-03,45.125,45.25,44.75,44.75,44.75,11170600
2020-11-04,45.0,45.5,44.5,44.625,44.625,17923800
2020-11-05,44.875,45.5,44.625,45.0,45.0,24033800
2020-11-06,45.125,45.25,44.375,44.375,44.375,17089600
2020-11-09,45.0,45.0,43.5,43.75,43.75,16850600
2020-11-10,35.625,38.0,33.375,34.25,34.25,177352400
2020-11-11,36.0,36.125,34.25,34.75,34.75,117260600
2020-11-12,35.5,36.5,35.5,36.0,36.0,66034600
2020-11-13,36.5,38.0,36.25,37.625,37.625,69583000
2020-11-16,40.0,40.25,37.5,37.5,37.5,146217400
2020-11-17,34.75,36.875,34.625,36.375,36.375,145576200
2020-11-18,36.625,36.875,35.625,35.75,35.75,47048800
2020-11-19,36.0,36.25,35.25,35.25,35.25,32144600
2020-11-20,36.0,36.5,35.875,36.0,36.0,29244800
2020-11-23,36.25,36.375,35.625,36.0,36.0,23343000
2020-11-24,36.25,37.25,36.0,36.375,36.375,66834800
2020-11-25,36.75,37.0,36.25,36.625,36.625,28177600
2020-11-26,36.75,37.75,36.625,37.5,37.5,53641600
2020-11-27,37.25,38.0,37.0,37.625,37.625,33539600
2020-11-30,38.125,38.375,37.5,37.625,37.625,107501000
2020-12-01,37.875,38.125,37.125,37.125,37.125,31885200
2020-12-02,37.25,37.75,37.125,37.5,37.5,29586600
2020-12-03,37.375,37.625,37.0,37.125,37.125,15435200
2020-12-04,37.25,37.25,37.0,37.125,37.125,9938000
2020-12-08,37.25,37.625,37.125,37.25,37.25,20756800
2020-12-09,37.5,37.5,35.75,35.875,35.875,40003600
2020-12-14,35.0,36.0,34.5,35.125,35.125,66841200
2020-12-15,35.75,36.0,35.375,35.625,35.625,21884200
2020-12-16,36.0,37.0,35.875,36.75,36.75,42355200
2020-12-17,36.875,37.0,36.625,36.875,36.875,12464000
2020-12-18,37.0,37.0,36.5,36.875,36.875,44750400
2020-12-21,38.75,39.375,36.75,36.75,36.75,98889800
2020-12-22,37.25,37.25,36.75,36.875,36.875,16909400
2020-12-23,37.0,38.0,36.875,37.75,37.75,49360800
2020-12-24,38.0,38.0,36.5,36.625,36.625,34821000
2020-12-25,36.75,36.75,35.75,36.0,36.0,20067800
2020-12-28,37.125,37.125,36.125,36.125,36.125,26179400
2020-12-29,36.5,36.75,36.25,36.5,36.5,19985600
2020-12-30,36.75,38.125,36.75,38.0,38.0,80658000
2021-01-04,38.125,38.625,37.5,37.625,37.625,78742397
2021-01-05,38.25,38.5,37.5,38.0,38.0,35086900
2021-01-06,38.0,38.25,36.25,36.25,36.25,30094100
2021-01-07,36.75,37.0,36.0,36.5,36.5,23985100
2021-01-08,36.5,37.0,36.25,36.25,36.25,25140600
2021-01-11,36.75,37.75,36.5,37.75,37.75,27703900
2021-01-12,38.0,38.25,37.5,38.0,38.0,24317000
2021-01-13,38.25,38.25,37.0,37.0,37.0,20821800
2021-01-14,37.25,37.25,36.75,37.0,37.0,10837100
2021-01-15,37.0,37.25,36.75,37.0,37.0,8275100
2021-01-18,37.0,38.0,36.75,37.75,37.75,19203200
2021-01-19,38.0,38.75,37.75,38.5,38.5,46444400
2021-01-20,38.75,38.75,38.0,38.0,38.0,21804000
2021-01-21,38.25,38.5,37.75,37.75,37.75,10273000
2021-01-22,38.0,40.0,37.75,39.75,39.75,86814400
2021-01-25,41.0,42.0,41.0,41.25,41.25,64314700
2021-01-26,40.75,41.5,40.5,41.0,41.0,29272800
2021-01-27,41.0,42.25,40.5,41.25,41.25,46505600
2021-01-28,41.25,41.5,38.25,39.25,39.25,49581900
2021-01-29,39.75,40.0,38.5,39.75,39.75,24978100
2021-02-01,39.75,40.0,39.0,39.75,39.75,10131700
2021-02-02,40.25,40.75,39.75,40.25,40.25,12858200
2021-02-03,40.25,40.25,39.25,39.5,39.5,9335900
2021-02-04,39.5,39.75,39.0,39.25,39.25,6877200
2021-02-05,39.25,39.5,38.25,38.25,38.25,17326700
2021-02-08,38.25,38.5,37.75,38.0,38.0,14995500
2021-02-09,38.25,38.75,38.0,38.25,38.25,10693400
2021-02-10,38.5,38.5,38.0,38.25,38.25,5702700
2021-02-11,38.25,38.25,37.25,37.5,37.5,16083900
2021-02-15,38.0,39.0,37.5,38.5,38.5,19066400
2021-02-16,39.5,39.75,39.0,39.75,39.75,27804400
2021-02-17,40.5,41.0,39.75,39.75,39.75,53272900
2021-02-18,40.25,43.25,40.0,41.0,41.0,167993900
2021-02-19,41.25,42.25,40.75,40.75,40.75,47392200
2021-02-22,40.25,41.5,39.75,39.75,39.75,75749900
2021-02-23,40.0,40.5,39.5,39.5,39.5,34075600
2021-02-24,39.5,40.0,38.75,38.75,38.75,43752300
2021-02-25,39.0,39.75,38.5,38.5,38.5,41010900
2021-03-01,38.75,41.5,38.5,39.75,39.75,83084600
2021-03-02,40.0,40.25,38.75,38.75,38.75,40131800
2021-03-03,39.0,39.5,39.0,39.25,39.25,20978200
2021-03-04,39.25,39.75,39.0,39.75,39.75,20083300
2021-03-05,40.0,40.25,39.5,40.0,40.0,27047300
2021-03-08,40.25,40.25,39.5,39.75,39.75,15672300
2021-03-09,40.0,40.75,39.75,40.25,40.25,31820800
2021-03-10,40.25,40.25,39.5,40.0,40.0,19643900
2021-03-11,40.0,40.0,39.25,39.5,39.5,23076900
2021-03-12,39.5,39.75,39.0,39.25,39.25,12619200
2021-03-15,39.5,39.75,39.25,39.75,39.75,9795400
2021-03-16,39.75,40.0,39.25,39.5,39.5,7434200
2021-03-17,39.75,40.0,39.5,39.75,39.75,8154900
2021-03-18,40.0,40.25,39.75,39.75,39.75,8766100
2021-03-19,39.75,40.75,39.75,40.5,40.5,28216500
2021-03-22,40.5,40.75,40.0,40.0,40.0,10770300
2021-03-23,40.25,40.5,39.75,40.25,40.25,12506300
2021-03-24,40.25,40.75,40.0,40.5,40.5,20839200
2021-03-25,40.75,40.75,40.5,40.5,40.5,9391100
2021-03-26,40.75,40.75,40.25,40.25,40.25,9278900
2021-03-29,40.5,40.75,40.25,40.25,40.25,15529300
2021-03-30,40.25,40.5,40.25,40.5,40.5,7908700
2021-03-31,41.0,41.75,41.0,41.0,41.0,52323600
2021-04-01,41.0,41.5,41.0,41.25,41.25,13578200
2021-04-02,41.5,41.75,41.0,41.25,41.25,16483200
2021-04-05,41.5,42.5,41.25,42.0,42.0,52139900
2021-04-07,43.75,45.0,43.5,44.75,44.75,113841100
2021-04-08,46.0,46.5,45.5,45.5,45.5,76578500
2021-04-09,45.0,45.5,44.5,45.5,45.5,62667700
2021-04-12,44.0,44.25,43.25,43.5,43.5,42366100
2021-04-16,44.5,44.75,43.75,44.25,44.25,34915100
2021-04-19,44.0,44.0,43.25,43.25,43.25,24596700
2021-04-20,43.25,43.75,43.25,43.25,43.25,14228500
2021-04-21,43.25,43.75,43.0,43.25,43.25,14267400
2021-04-22,43.5,45.0,43.25,44.5,44.5,60075100
2021-04-23,45.0,45.75,44.0,44.0,44.0,65937900
2021-04-26,44.25,44.75,44.0,44.25,44.25,22314900
2021-04-27,44.5,44.5,43.25,43.25,43.25,27364800
2021-04-28,43.5,44.0,43.25,43.75,43.75,9982300
2021-04-29,44.0,44.5,43.75,44.5,44.5,14174200
2021-04-30,44.75,44.75,44.0,44.25,44.25,14803900
2021-05-05,44.75,45.5,44.5,45.25,45.25,54951800
2021-05-06,45.25,45.75,44.5,45.25,45.25,37871700
2021-05-07,45.5,45.5,45.0,45.25,45.25,10891000
2021-05-10,45.5,46.0,45.25,45.25,45.25,24392300
2021-05-11,45.25,45.75,44.75,45.25,45.25,16770000
2021-05-12,45.5,45.75,45.0,45.25,45.25,12976300
2021-05-13,45.5,46.0,43.5,45.5,45.5,77332900
2021-05-14,46.0,48.25,45.0,47.5,47.5,127365400
2021-05-17,48.0,48.5,47.5,48.25,48.25,37235500
2021-05-18,48.25,49.0,47.25,47.75,47.75,43194100
2021-05-19,48.0,48.0,47.25,47.25,47.25,15871600
2021-05-20,47.25,47.5,45.75,46.0,46.0,43780300
2021-05-21,46.25,47.0,46.0,47.0,47.0,22328400
2021-05-24,47.25,47.75,47.0,47.25,47.25,24001300
2021-05-25,45.5,46.25,45.5,46.0,46.0,18121900
2021-05-27,46.25,46.25,45.5,46.0,46.0,41761900
2021-05-28,46.25,46.5,44.25,44.5,44.5,49002000
2021-05-31,43.0,44.0,43.0,43.75,43.75,35869200
2021-06-01,43.75,44.75,43.75,44.25,44.25,17339200
