Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.34,3.36,3.28,3.36,3.36,2228400
2020-09-24,3.36,3.42,3.36,3.4,3.4,587600
2020-09-25,3.42,3.5,3.38,3.4,3.4,1183200
2020-09-28,3.42,3.46,3.38,3.38,3.38,1012000
2020-09-29,3.42,3.44,3.38,3.4,3.4,790700
2020-09-30,3.4,3.44,3.36,3.38,3.38,812200
2020-10-01,3.42,3.42,3.34,3.36,3.36,1153600
2020-10-02,3.36,3.4,3.32,3.38,3.38,1378400
2020-10-05,3.38,3.4,3.34,3.36,3.36,771400
2020-10-06,3.36,3.7,3.36,3.62,3.62,11664400
2020-10-07,3.6,3.6,3.5,3.56,3.56,2855200
2020-10-08,3.58,3.6,3.5,3.5,3.5,1591700
2020-10-09,3.5,3.54,3.4,3.44,3.44,2194200
2020-10-12,3.46,3.5,3.4,3.44,3.44,1466000
2020-10-14,3.44,3.5,3.44,3.44,3.44,260500
2020-10-15,3.44,3.44,3.34,3.34,3.34,1393000
2020-10-16,3.34,3.38,3.22,3.28,3.28,1760100
2020-10-19,3.24,3.26,3.16,3.2,3.2,1545800
2020-10-20,3.16,3.24,3.16,3.24,3.24,409700
2020-10-21,3.24,3.28,3.22,3.24,3.24,367800
2020-10-22,3.22,3.3,3.22,3.24,3.24,994000
2020-10-26,3.24,3.24,3.2,3.2,3.2,530200
2020-10-27,3.2,3.2,3.18,3.2,3.2,285800
2020-10-28,3.2,3.26,3.2,3.2,3.2,339300
2020-10-29,3.18,3.3,3.18,3.2,3.2,1044500
2020-10-30,3.2,3.22,3.16,3.18,3.18,857300
2020-11-02,3.14,3.18,3.1,3.16,3.16,510500
2020-11-03,3.2,3.24,3.18,3.22,3.22,663200
2020-11-04,3.22,3.22,3.16,3.18,3.18,441700
2020-11-05,3.2,3.4,3.18,3.34,3.34,2587700
2020-11-06,3.4,3.4,3.24,3.28,3.28,1946400
2020-11-09,3.34,3.34,3.26,3.28,3.28,1106400
2020-11-10,3.3,3.46,3.3,3.44,3.44,3623600
2020-11-11,3.48,3.48,3.38,3.44,3.44,1575800
2020-11-12,3.44,3.44,3.36,3.36,3.36,1016800
2020-11-13,3.36,3.42,3.36,3.4,3.4,866200
2020-11-16,3.42,3.48,3.4,3.4,3.4,2981800
2020-11-17,3.38,3.44,3.36,3.36,3.36,2469100
2020-11-18,3.36,3.4,3.32,3.38,3.38,1037600
2020-11-19,3.38,3.42,3.34,3.34,3.34,2947300
2020-11-20,3.38,3.62,3.32,3.6,3.6,18365000
2020-11-23,3.64,3.88,3.6,3.88,3.88,20475900
2020-11-24,3.92,3.98,3.78,3.8,3.8,13606000
2020-11-25,3.82,3.9,3.72,3.76,3.76,7209100
2020-11-26,3.76,4.0,3.76,3.94,3.94,15156600
2020-11-27,3.96,4.06,3.94,4.0,4.0,13977300
2020-11-30,4.02,4.04,3.86,3.86,3.86,9242000
2020-12-01,3.86,3.96,3.86,3.88,3.88,2732600
2020-12-02,3.94,4.08,3.88,4.08,4.08,21308100
2020-12-03,4.1,4.18,4.1,4.1,4.1,12597900
2020-12-04,4.1,4.18,4.06,4.1,4.1,7002000
2020-12-08,4.12,4.16,4.08,4.12,4.12,6566200
2020-12-09,4.14,4.16,4.02,4.02,4.02,5994800
2020-12-14,4.02,4.04,3.88,3.9,3.9,5033300
2020-12-15,3.86,3.96,3.86,3.96,3.96,2222000
2020-12-16,3.96,4.16,3.96,4.06,4.06,5728300
2020-12-17,4.12,4.12,4.04,4.06,4.06,3311000
2020-12-18,4.1,4.1,3.96,3.98,3.98,3457900
2020-12-21,3.8,3.88,3.68,3.68,3.68,4696800
2020-12-22,3.62,3.76,3.58,3.74,3.74,1678200
2020-12-23,3.74,3.76,3.64,3.68,3.68,2732200
2020-12-24,3.66,3.72,3.64,3.68,3.68,1559000
2020-12-25,3.7,3.76,3.64,3.64,3.64,3991400
2020-12-28,3.68,3.7,3.6,3.6,3.6,3318400
2020-12-29,3.6,3.66,3.56,3.58,3.58,2377100
2020-12-30,3.56,3.7,3.52,3.56,3.56,4833300
2021-01-04,3.46,3.58,3.46,3.56,3.56,2443000
2021-01-05,3.58,3.7,3.56,3.66,3.66,2412100
2021-01-06,3.7,3.74,3.62,3.62,3.62,2567000
2021-01-07,3.66,3.7,3.62,3.66,3.66,2666500
2021-01-08,3.7,3.7,3.62,3.64,3.64,2456700
2021-01-11,3.64,3.68,3.58,3.6,3.6,2343900
2021-01-12,3.6,3.64,3.58,3.6,3.6,1699800
2021-01-13,3.62,3.94,3.6,3.9,3.9,23080300
2021-01-14,3.9,3.92,3.82,3.82,3.82,9480200
2021-01-15,3.84,3.92,3.8,3.82,3.82,7169200
2021-01-18,3.92,4.0,3.88,3.92,3.92,11583800
2021-01-19,3.9,3.94,3.86,3.86,3.86,3408500
2021-01-20,3.9,3.9,3.84,3.86,3.86,1569000
2021-01-21,3.9,3.92,3.82,3.86,3.86,2570700
