Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,0.88,0.9,0.88,0.89,0.89,358895200
2020-09-24,0.88,0.89,0.85,0.89,0.89,379796200
2020-09-25,0.89,0.89,0.86,0.87,0.87,245583500
2020-09-28,0.88,0.88,0.86,0.87,0.87,114758500
2020-09-29,0.87,0.88,0.85,0.86,0.86,139081100
2020-09-30,0.86,0.87,0.83,0.84,0.84,208674400
2020-10-01,0.84,0.85,0.81,0.82,0.82,318895100
2020-10-02,0.83,0.85,0.82,0.84,0.84,165258000
2020-10-05,0.85,0.85,0.82,0.83,0.83,134525700
2020-10-06,0.84,0.86,0.83,0.84,0.84,237500100
2020-10-07,0.85,0.85,0.83,0.85,0.85,110300900
2020-10-08,0.85,0.93,0.84,0.92,0.92,1075741100
2020-10-09,0.91,0.92,0.88,0.89,0.89,758116300
2020-10-12,0.9,0.92,0.88,0.9,0.9,504346800
2020-10-14,0.9,0.94,0.89,0.93,0.93,623935500
2020-10-15,0.92,0.93,0.88,0.88,0.88,620299900
2020-10-16,0.89,0.9,0.85,0.87,0.87,429175500
2020-10-19,0.86,0.86,0.83,0.84,0.84,301843100
2020-10-20,0.84,0.85,0.83,0.83,0.83,238558800
2020-10-21,0.84,0.86,0.83,0.84,0.84,307582700
2020-10-22,0.84,0.85,0.83,0.83,0.83,217681100
2020-10-26,0.83,0.84,0.82,0.82,0.82,135483900
2020-10-27,0.82,0.83,0.81,0.82,0.82,135312000
2020-10-28,0.82,0.84,0.82,0.82,0.82,170911800
2020-10-29,0.82,0.83,0.81,0.82,0.82,143003600
2020-10-30,0.83,0.83,0.81,0.83,0.83,124097400
2020-11-02,0.83,0.85,0.82,0.84,0.84,395100100
2020-11-03,0.84,0.89,0.84,0.87,0.87,539806500
2020-11-04,0.88,0.88,0.84,0.84,0.84,477381000
2020-11-05,0.86,0.88,0.85,0.87,0.87,314324800
2020-11-06,0.88,0.89,0.86,0.87,0.87,265363600
2020-11-09,0.88,0.91,0.87,0.91,0.91,562266600
2020-11-10,0.92,0.92,0.89,0.89,0.89,498953600
2020-11-11,0.9,0.91,0.89,0.9,0.9,255969400
2020-11-12,0.9,0.91,0.89,0.9,0.9,172445800
2020-11-13,0.9,0.92,0.89,0.91,0.91,331011400
2020-11-16,0.91,0.92,0.89,0.9,0.9,193362400
2020-11-17,0.9,0.9,0.87,0.88,0.88,223797400
2020-11-18,0.88,0.9,0.88,0.89,0.89,164269200
2020-11-19,0.89,0.91,0.89,0.89,0.89,125361600
2020-11-20,0.89,0.9,0.88,0.89,0.89,123996000
2020-11-23,0.9,0.96,0.89,0.95,0.95,1138997100
2020-11-24,0.95,0.96,0.92,0.92,0.92,685191100
2020-11-25,0.93,0.94,0.91,0.92,0.92,400511200
2020-11-26,0.92,0.93,0.91,0.92,0.92,146111400
2020-11-27,0.93,0.95,0.92,0.93,0.93,365574000
2020-11-30,0.93,0.93,0.91,0.92,0.92,166387800
2020-12-01,0.92,0.93,0.91,0.91,0.91,123087200
2020-12-02,0.92,0.93,0.91,0.91,0.91,241626500
2020-12-03,0.92,0.93,0.91,0.93,0.93,97345600
2020-12-04,0.93,0.94,0.91,0.91,0.91,218331500
2020-12-08,0.93,1.0,0.92,0.99,0.99,1441434400
2020-12-09,0.99,0.99,0.96,0.97,0.97,790351100
2020-12-14,0.97,0.99,0.96,0.97,0.97,355156600
2020-12-15,0.97,1.03,0.97,1.0,1.0,1619707500
2020-12-16,1.01,1.01,0.99,1.01,1.01,285478000
2020-12-17,1.01,1.04,1.0,1.04,1.04,969469300
2020-12-18,1.04,1.04,1.01,1.01,1.01,471651100
2020-12-21,0.97,0.99,0.92,0.93,0.93,896668500
2020-12-22,0.94,0.95,0.91,0.94,0.94,650479100
2020-12-23,0.94,0.95,0.92,0.92,0.92,381162700
2020-12-24,0.93,0.96,0.92,0.96,0.96,516188900
2020-12-25,0.95,0.97,0.95,0.96,0.96,267025000
2020-12-28,0.97,1.0,0.96,0.98,0.98,515318700
2020-12-29,0.99,1.0,0.97,0.99,0.99,287280100
2020-12-30,0.99,1.0,0.96,0.96,0.96,330046300
2021-01-04,0.95,0.99,0.95,0.98,0.98,607262600
2021-01-05,0.99,1.05,0.99,1.04,1.04,1346468100
2021-01-06,1.05,1.05,1.01,1.02,1.02,782654900
2021-01-07,1.04,1.08,1.03,1.05,1.05,1232544400
2021-01-08,1.06,1.08,1.04,1.05,1.05,632649100
2021-01-11,1.06,1.07,1.04,1.05,1.05,592783000
2021-01-12,1.06,1.06,1.04,1.05,1.05,308400200
2021-01-13,1.06,1.08,1.05,1.06,1.06,514401200
2021-01-14,1.07,1.08,1.05,1.05,1.05,670740800
2021-01-15,1.05,1.07,1.01,1.03,1.03,701554200
2021-01-18,1.02,1.03,1.01,1.01,1.01,242339200
2021-01-19,1.02,1.03,1.01,1.03,1.03,183789700
2021-01-20,1.04,1.05,1.02,1.03,1.03,205704000
2021-01-21,1.03,1.05,1.03,1.03,1.03,405481900
2021-01-22,1.04,1.05,1.02,1.04,1.04,301701600
2021-01-25,1.04,1.04,1.02,1.03,1.03,179073300
2021-01-26,1.03,1.04,1.02,1.04,1.04,163608400
2021-01-27,1.04,1.04,1.02,1.03,1.03,129039500
2021-01-28,1.02,1.03,0.99,0.99,0.99,544632800
2021-01-29,1.0,1.01,0.97,0.98,0.98,385797000
2021-02-01,0.99,1.0,0.97,0.99,0.99,311452900
2021-02-02,0.99,1.0,0.98,0.99,0.99,135735900
2021-02-03,1.0,1.01,0.99,1.0,1.0,282010500
2021-02-04,1.0,1.0,0.97,0.99,0.99,347451200
2021-02-05,0.99,1.0,0.98,0.99,0.99,162583900
2021-02-08,0.99,1.0,0.98,0.99,0.99,147383900
2021-02-09,0.99,1.01,0.98,1.0,1.0,361166000
2021-02-10,1.0,1.0,0.99,0.99,0.99,129643300
2021-02-11,0.99,1.0,0.98,0.99,0.99,130119900
2021-02-15,0.99,0.99,0.97,0.98,0.98,169933700
2021-02-16,0.98,1.0,0.98,0.99,0.99,88292100
2021-02-17,0.99,1.01,0.98,0.99,0.99,362070600
2021-02-18,0.99,1.0,0.97,0.98,0.98,245303900
2021-02-19,0.98,0.98,0.97,0.97,0.97,63758100
2021-02-22,0.97,0.98,0.92,0.93,0.93,441430900
2021-02-23,0.93,0.95,0.93,0.94,0.94,91480000
2021-02-24,0.95,0.96,0.93,0.93,0.93,124297000
2021-02-25,0.94,0.95,0.93,0.93,0.93,126905800
2021-03-01,0.91,0.92,0.88,0.9,0.9,517805000
2021-03-02,0.91,0.92,0.9,0.91,0.91,182407800
2021-03-03,0.92,0.94,0.91,0.93,0.93,221733300
2021-03-04,0.93,0.96,0.92,0.94,0.94,250144800
2021-03-05,0.94,0.96,0.94,0.94,0.94,210605900
2021-03-08,0.96,0.96,0.93,0.93,0.93,151103100
2021-03-09,0.93,0.94,0.92,0.93,0.93,174313100
2021-03-10,0.93,0.95,0.93,0.93,0.93,173696400
2021-03-11,0.94,0.95,0.93,0.94,0.94,124100900
2021-03-12,0.94,0.97,0.94,0.96,0.96,354956500
2021-03-15,0.96,0.96,0.94,0.95,0.95,167548200
2021-03-16,0.95,0.96,0.94,0.95,0.95,156773500
2021-03-17,0.95,0.97,0.95,0.95,0.95,160874900
2021-03-18,0.97,0.98,0.96,0.97,0.97,201435500
2021-03-19,0.96,0.97,0.95,0.97,0.97,177944100
2021-03-22,0.97,0.97,0.95,0.97,0.97,62486400
2021-03-23,0.98,1.02,0.98,1.0,1.0,736408300
2021-03-24,1.01,1.02,1.0,1.01,1.01,277801800
2021-03-25,1.01,1.02,0.99,1.01,1.01,263431000
2021-03-26,1.01,1.02,1.0,1.0,1.0,244999400
2021-03-29,1.01,1.03,1.01,1.01,1.01,254493500
2021-03-30,1.01,1.02,1.01,1.01,1.01,123105200
2021-03-31,1.01,1.03,1.01,1.01,1.01,164986100
2021-04-01,1.02,1.02,1.01,1.02,1.02,76428400
2021-04-02,1.02,1.02,1.0,1.0,1.0,198421600
2021-04-05,1.01,1.01,0.97,0.99,0.99,282753900
2021-04-07,0.97,0.98,0.95,0.96,0.96,472576500
2021-04-08,0.96,0.96,0.95,0.95,0.95,68871300
2021-04-09,0.95,0.96,0.94,0.95,0.95,101160200
2021-04-12,0.95,0.95,0.93,0.93,0.93,118517800
2021-04-16,0.92,0.94,0.91,0.93,0.93,148155400
2021-04-19,0.94,0.96,0.94,0.95,0.95,95004500
2021-04-20,0.95,0.98,0.95,0.97,0.97,200190200
2021-04-21,0.97,0.97,0.96,0.96,0.96,56965800
2021-04-22,0.96,0.97,0.95,0.95,0.95,60737600
2021-04-23,0.95,0.95,0.93,0.94,0.94,99630900
2021-04-26,0.93,0.95,0.93,0.95,0.95,94583900
2021-04-27,0.95,0.96,0.94,0.94,0.94,68411000
2021-04-28,0.94,0.97,0.94,0.95,0.95,183386100
2021-04-29,0.96,0.97,0.95,0.95,0.95,124574700
2021-04-30,0.96,0.97,0.95,0.95,0.95,178922200
2021-05-05,0.96,0.96,0.93,0.94,0.94,179572800
2021-05-06,0.94,0.97,0.94,0.96,0.96,168722600
2021-05-07,0.97,0.97,0.95,0.95,0.95,146732000
2021-05-10,0.95,1.01,0.95,1.01,1.01,556552900
2021-05-11,1.0,1.01,0.97,0.99,0.99,332288300
2021-05-12,1.0,1.01,0.97,0.98,0.98,303734200
2021-05-13,0.98,0.99,0.93,0.97,0.97,337095000
2021-05-14,0.97,0.98,0.94,0.96,0.96,155006300
2021-05-17,0.95,0.97,0.94,0.95,0.95,177359000
2021-05-18,0.96,0.97,0.95,0.96,0.96,84278300
2021-05-19,0.96,0.99,0.96,0.97,0.97,204335800
2021-05-20,0.98,0.98,0.96,0.97,0.97,135400000
2021-05-21,0.97,0.97,0.95,0.96,0.96,165475200
2021-05-24,0.95,0.96,0.95,0.95,0.95,26703400
2021-05-25,0.95,0.96,0.94,0.95,0.95,85066100
2021-05-27,0.96,0.97,0.95,0.97,0.97,125075500
2021-05-28,0.98,0.98,0.96,0.96,0.96,81156900
2021-05-31,0.97,0.99,0.96,0.98,0.98,220446700
2021-06-01,0.99,1.0,0.97,0.98,0.98,169559200
2021-06-02,0.98,1.06,0.97,1.06,1.06,1866609900
2021-06-04,1.05,1.06,1.02,1.02,1.02,1089607100
2021-06-07,1.03,1.05,1.02,1.03,1.03,663591200
2021-06-08,1.02,1.03,0.98,0.98,0.98,1680277400
2021-06-09,1.0,1.01,0.99,0.99,0.99,870508800
2021-06-10,1.0,1.01,0.96,0.96,0.96,1159428100
2021-06-11,0.97,0.98,0.95,0.96,0.96,557120400
2021-06-14,0.96,0.97,0.95,0.97,0.97,367587000
2021-06-15,0.97,0.97,0.96,0.97,0.97,110375500
