Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.62,2.68,2.58,2.66,2.66,965900
2020-09-24,2.64,2.68,2.62,2.62,2.62,1135100
2020-09-25,2.62,2.68,2.6,2.66,2.66,691700
2020-09-28,2.68,2.72,2.66,2.7,2.7,2252000
2020-09-29,2.74,2.78,2.7,2.7,2.7,1957400
2020-09-30,2.68,2.7,2.66,2.7,2.7,1299000
2020-10-01,2.7,2.76,2.7,2.74,2.74,698900
2020-10-02,2.76,2.78,2.66,2.7,2.7,1338100
2020-10-05,2.68,2.72,2.68,2.7,2.7,723500
2020-10-06,2.76,2.88,2.76,2.76,2.76,5178700
2020-10-07,2.76,2.8,2.76,2.78,2.78,1348200
2020-10-08,2.78,2.8,2.74,2.74,2.74,824900
2020-10-09,2.78,2.78,2.7,2.74,2.74,2533500
2020-10-12,2.76,2.78,2.72,2.74,2.74,586600
2020-10-14,2.72,2.76,2.7,2.72,2.72,1200600
2020-10-15,2.7,2.78,2.7,2.72,2.72,1149400
2020-10-16,2.74,2.76,2.7,2.7,2.7,1823300
2020-10-19,2.66,2.74,2.64,2.64,2.64,1735200
2020-10-20,2.66,2.66,2.56,2.64,2.64,4030100
2020-10-21,2.6,2.7,2.6,2.64,2.64,993800
2020-10-22,2.62,2.68,2.6,2.68,2.68,357400
2020-10-26,2.64,2.7,2.64,2.7,2.7,425800
2020-10-27,2.72,2.74,2.66,2.68,2.68,2799400
2020-10-28,2.68,2.7,2.64,2.64,2.64,1067800
2020-10-29,2.64,2.64,2.54,2.6,2.6,1873700
2020-10-30,2.58,2.62,2.58,2.6,2.6,210200
2020-11-02,2.6,2.64,2.58,2.62,2.62,283700
2020-11-03,2.62,2.68,2.6,2.66,2.66,868400
2020-11-04,2.66,2.66,2.58,2.62,2.62,1486600
2020-11-05,2.64,2.68,2.56,2.64,2.64,1894900
2020-11-06,2.66,2.7,2.62,2.7,2.7,1618900
2020-11-09,2.7,2.72,2.68,2.68,2.68,409300
2020-11-10,2.66,2.72,2.66,2.66,2.66,2397100
2020-11-11,2.64,2.7,2.64,2.68,2.68,652900
2020-11-12,2.68,2.68,2.66,2.66,2.66,126600
2020-11-13,2.66,2.7,2.64,2.66,2.66,631900
2020-11-16,2.66,2.74,2.66,2.68,2.68,1949200
2020-11-17,2.68,2.74,2.66,2.68,2.68,1777300
2020-11-18,2.7,2.72,2.68,2.68,2.68,978400
2020-11-19,2.7,2.74,2.68,2.7,2.7,1809400
2020-11-20,2.7,2.74,2.68,2.7,2.7,625600
2020-11-23,2.7,2.74,2.7,2.72,2.72,1664900
2020-11-24,2.74,2.74,2.7,2.74,2.74,1241700
2020-11-25,2.74,2.86,2.74,2.82,2.82,4970800
2020-11-26,2.82,2.84,2.78,2.82,2.82,1075800
2020-11-27,2.82,2.82,2.76,2.78,2.78,1782300
2020-11-30,2.78,2.8,2.76,2.76,2.76,1240200
2020-12-01,2.76,2.82,2.76,2.78,2.78,1445200
2020-12-02,2.78,2.8,2.74,2.76,2.76,834900
2020-12-03,2.78,2.84,2.78,2.82,2.82,1722000
2020-12-04,2.82,2.86,2.78,2.82,2.82,2263300
2020-12-08,2.82,2.84,2.78,2.84,2.84,1822900
2020-12-09,2.86,2.92,2.84,2.92,2.92,2665300
2020-12-14,2.94,2.98,2.86,2.88,2.88,3409700
2020-12-15,2.88,2.94,2.84,2.94,2.94,1526500
2020-12-16,2.96,3.06,2.96,3.04,3.04,4522700
2020-12-17,3.06,3.1,3.02,3.04,3.04,2435800
2020-12-18,3.04,3.06,3.02,3.04,3.04,1742300
2020-12-21,2.94,3.04,2.82,2.86,2.86,5744700
2020-12-22,2.86,2.88,2.82,2.86,2.86,1562200
2020-12-23,2.86,2.94,2.86,2.88,2.88,1286600
2020-12-24,2.88,2.92,2.84,2.88,2.88,1259400
2020-12-25,2.9,2.96,2.88,2.96,2.96,1441700
2020-12-28,2.96,2.96,2.86,2.86,2.86,2418900
2020-12-29,2.88,2.94,2.88,2.92,2.92,1307600
2020-12-30,2.98,3.0,2.88,2.92,2.92,7229100
2021-01-04,2.88,2.9,2.84,2.9,2.9,2278800
2021-01-05,2.92,2.98,2.86,2.96,2.96,4781700
2021-01-06,2.98,3.0,2.9,2.9,2.9,1819400
2021-01-07,2.94,2.94,2.9,2.9,2.9,665300
2021-01-08,2.92,2.92,2.88,2.88,2.88,805400
2021-01-11,2.88,2.9,2.86,2.86,2.86,642300
2021-01-12,2.88,2.94,2.86,2.9,2.9,4143800
2021-01-13,2.92,2.94,2.9,2.9,2.9,739600
2021-01-14,2.92,2.98,2.88,2.92,2.92,2052400
2021-01-15,2.94,2.98,2.92,2.94,2.94,1587300
