Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.9,4.04,3.9,4.0,4.0,14036200
2020-09-24,4.0,4.06,3.9,3.94,3.94,22850800
2020-09-25,3.96,4.04,3.92,3.96,3.96,15220300
2020-09-28,3.98,4.06,3.94,3.96,3.96,14340700
2020-09-29,3.96,4.02,3.92,3.92,3.92,7884300
2020-09-30,3.96,4.0,3.76,3.8,3.8,14744000
2020-10-01,3.84,3.96,3.8,3.94,3.94,12663900
2020-10-02,3.94,4.12,3.9,3.98,3.98,35872000
2020-10-05,4.04,4.2,3.98,4.2,4.2,21586100
2020-10-06,4.26,4.94,4.26,4.56,4.56,148637900
2020-10-07,4.58,4.8,4.58,4.72,4.72,38062200
2020-10-08,4.62,4.74,4.58,4.72,4.72,15435100
2020-10-09,4.82,4.88,4.66,4.66,4.66,13518000
2020-10-12,4.68,4.74,4.64,4.7,4.7,4847000
2020-10-14,4.76,5.15,4.72,5.05,5.05,42766000
2020-10-15,4.98,5.05,4.72,4.8,4.8,18780800
2020-10-16,4.78,4.84,4.42,4.56,4.56,15128100
2020-10-19,4.5,5.35,4.48,5.1,5.1,60090100
2020-10-20,5.0,5.75,5.0,5.4,5.4,37915700
2020-10-21,5.6,5.75,5.35,5.4,5.4,18696200
2020-10-22,5.5,5.55,5.3,5.45,5.45,8797200
2020-10-26,5.35,5.45,5.1,5.2,5.2,8557800
2020-10-27,5.25,5.5,5.2,5.35,5.35,13082000
2020-10-28,5.35,5.4,5.25,5.3,5.3,4291900
2020-10-29,5.25,5.35,4.98,5.05,5.05,6377500
2020-10-30,5.05,5.2,5.0,5.15,5.15,3635500
2020-11-02,5.15,5.15,4.86,4.88,4.88,9375300
2020-11-03,4.94,5.15,4.94,5.05,5.05,7762400
2020-11-04,5.05,5.3,4.96,5.2,5.2,12696600
2020-11-05,5.25,5.35,5.1,5.15,5.15,7052100
2020-11-06,5.15,5.15,4.86,4.92,4.92,7813200
2020-11-09,5.05,5.1,4.76,4.78,4.78,8181000
2020-11-10,4.76,4.76,4.38,4.42,4.42,14359100
2020-11-11,4.42,4.64,4.42,4.58,4.58,5870300
2020-11-12,4.7,4.96,4.62,4.66,4.66,23559300
2020-11-13,4.64,4.78,4.58,4.7,4.7,7022300
2020-11-16,4.7,4.72,4.6,4.64,4.64,4986700
2020-11-17,4.64,4.66,4.5,4.5,4.5,5841100
2020-11-18,4.54,4.7,4.5,4.58,4.58,11823400
2020-11-19,4.56,4.62,4.54,4.54,4.54,4182600
2020-11-20,4.58,4.62,4.54,4.54,4.54,3483500
2020-11-23,4.6,4.64,4.54,4.58,4.58,5773400
2020-11-24,4.58,4.64,4.52,4.54,4.54,5654700
2020-11-25,4.54,4.6,4.48,4.5,4.5,2428600
2020-11-26,4.52,4.96,4.52,4.82,4.82,41424800
2020-11-27,4.82,5.05,4.82,4.94,4.94,31118100
2020-11-30,4.98,5.05,4.9,4.9,4.9,12393500
2020-12-01,4.96,4.96,4.82,4.84,4.84,5618900
2020-12-02,4.88,4.96,4.82,4.9,4.9,4242200
2020-12-03,4.92,4.94,4.88,4.9,4.9,3731900
2020-12-04,4.9,5.05,4.88,4.9,4.9,10858400
2020-12-08,4.92,5.2,4.88,5.2,5.2,46089300
2020-12-09,5.25,5.4,4.92,4.92,4.92,22702200
2020-12-14,4.96,5.05,4.84,4.84,4.84,10386500
2020-12-15,4.84,4.86,4.76,4.78,4.78,4510500
2020-12-16,4.82,4.94,4.82,4.86,4.86,7590000
2020-12-17,4.9,4.92,4.72,4.72,4.72,8129700
2020-12-18,4.76,4.8,4.54,4.6,4.6,12180500
2020-12-21,4.4,4.62,4.28,4.3,4.3,8002900
2020-12-22,4.4,4.46,4.32,4.36,4.36,3698100
2020-12-23,4.4,4.44,4.3,4.34,4.34,4058400
2020-12-24,4.36,4.44,4.26,4.38,4.38,5659600
2020-12-25,4.4,4.52,4.4,4.44,4.44,6490900
2020-12-28,4.5,4.52,4.34,4.34,4.34,4966900
2020-12-29,4.36,4.42,4.34,4.4,4.4,2168500
2020-12-30,4.4,4.46,4.26,4.28,4.28,5994800
2021-01-04,4.2,4.3,4.18,4.28,4.28,4506800
2021-01-05,4.28,4.5,4.26,4.5,4.5,8378100
2021-01-06,4.48,4.8,4.42,4.62,4.62,34887000
2021-01-07,4.76,4.76,4.56,4.62,4.62,10409000
2021-01-08,4.7,4.94,4.66,4.74,4.74,30507500
2021-01-11,4.8,5.1,4.78,4.94,4.94,40492200
2021-01-12,5.0,5.05,4.86,4.9,4.9,7967000
2021-01-13,4.96,4.96,4.9,4.94,4.94,6673200
2021-01-14,4.94,4.94,4.78,4.86,4.86,4891300
2021-01-15,4.88,4.9,4.78,4.9,4.9,5800100
2021-01-18,4.9,4.92,4.82,4.82,4.82,3786100
2021-01-19,4.82,5.05,4.82,4.84,4.84,21867500
2021-01-20,4.86,5.25,4.84,5.1,5.1,38708900
2021-01-21,5.2,5.45,5.15,5.2,5.2,33085500
2021-01-22,5.15,5.3,5.05,5.1,5.1,9033300
2021-01-25,5.25,6.05,5.2,5.85,5.85,55858900
2021-01-26,6.0,6.15,5.65,5.8,5.8,29012900
