Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,4.24,4.24,4.12,4.2,4.2,46000
2020-09-21,4.24,4.24,4.14,4.18,4.18,117000
2020-09-22,4.18,4.2,4.12,4.14,4.14,174000
2020-09-23,4.14,4.18,4.12,4.18,4.18,67600
2020-09-24,4.16,4.2,4.14,4.16,4.16,77500
2020-09-25,4.12,4.16,4.12,4.12,4.12,29300
2020-09-28,4.14,4.18,4.14,4.16,4.16,98200
2020-09-29,4.14,4.2,4.12,4.18,4.18,116200
2020-09-30,4.16,4.2,4.14,4.18,4.18,24700
2020-10-01,4.2,4.2,4.16,4.16,4.16,16500
2020-10-02,4.16,4.18,4.16,4.18,4.18,12800
2020-10-05,4.18,4.2,4.12,4.16,4.16,69400
2020-10-06,4.16,4.2,4.16,4.2,4.2,134200
2020-10-07,4.18,4.32,4.16,4.22,4.22,66000
2020-10-08,4.22,4.26,4.22,4.24,4.24,60300
2020-10-09,4.26,4.26,4.2,4.22,4.22,38000
2020-10-12,4.2,4.28,4.2,4.22,4.22,166800
2020-10-14,4.24,4.3,4.22,4.28,4.28,192400
2020-10-15,4.32,4.34,4.28,4.3,4.3,174200
2020-10-16,4.3,4.38,4.3,4.34,4.34,90000
2020-10-19,4.22,4.38,4.22,4.34,4.34,101900
2020-10-20,4.26,4.36,4.26,4.34,4.34,33200
2020-10-21,4.34,4.38,4.32,4.32,4.32,29200
2020-10-22,4.32,4.36,4.3,4.34,4.34,41900
2020-10-26,4.32,4.4,4.32,4.34,4.34,88300
2020-10-27,4.32,4.46,4.32,4.44,4.44,187500
2020-10-28,4.42,4.46,4.4,4.42,4.42,35600
2020-10-29,4.4,4.42,4.32,4.36,4.36,82000
2020-10-30,4.38,4.4,4.36,4.38,4.38,40500
2020-11-02,4.4,4.4,4.38,4.4,4.4,124200
2020-11-03,4.4,4.46,4.34,4.42,4.42,211700
2020-11-04,4.46,4.46,4.4,4.42,4.42,879400
2020-11-05,4.48,4.48,4.38,4.4,4.4,275100
2020-11-06,4.42,4.42,4.38,4.42,4.42,396500
