Date,Open,High,Low,Close,Adj Close,Volume
2020-09-17,4.46,4.5,4.38,4.5,4.5,51100
2020-09-18,4.42,4.64,4.36,4.5,4.5,84100
2020-09-21,4.5,4.62,4.46,4.58,4.58,77200
2020-09-22,4.6,4.6,4.4,4.4,4.4,74300
2020-09-23,4.4,4.46,4.36,4.46,4.46,24500
2020-09-24,4.46,4.46,4.4,4.42,4.42,58800
2020-09-25,4.44,4.46,4.44,4.46,4.46,10600
2020-09-28,4.6,4.6,4.42,4.42,4.42,3400
2020-09-29,4.42,4.48,4.4,4.42,4.42,49800
2020-09-30,4.42,4.5,4.36,4.36,4.36,29200
2020-10-01,4.22,4.4,4.22,4.36,4.36,33700
2020-10-02,4.4,4.54,4.2,4.4,4.4,86100
2020-10-05,4.4,4.4,4.34,4.34,4.34,2900
2020-10-06,4.36,4.36,4.3,4.36,4.36,41500
2020-10-07,4.32,4.48,4.3,4.38,4.38,73100
2020-10-08,4.44,4.48,4.32,4.32,4.32,400
2020-10-09,4.32,4.4,4.3,4.34,4.34,13800
2020-10-12,4.3,4.46,4.3,4.46,4.46,28000
2020-10-14,4.5,4.6,4.42,4.52,4.52,37400
2020-10-15,4.6,4.6,4.26,4.44,4.44,26400
2020-10-16,4.3,4.34,4.28,4.28,4.28,14800
2020-10-19,4.0,4.28,4.0,4.12,4.12,17200
2020-10-20,4.0,4.24,4.0,4.02,4.02,11400
2020-10-21,4.02,4.26,4.0,4.26,4.26,14800
2020-10-22,4.26,4.3,4.14,4.26,4.26,6400
2020-10-26,4.3,4.3,4.24,4.26,4.26,3000
2020-10-27,4.28,4.28,4.12,4.12,4.12,6400
2020-10-28,3.98,4.04,3.98,4.02,4.02,80900
2020-10-29,3.98,4.12,3.96,4.04,4.04,25900
2020-10-30,3.98,4.1,3.94,4.1,4.1,24900
2020-11-02,4.18,4.18,3.96,4.18,4.18,13300
2020-11-03,4.0,4.2,3.96,4.02,4.02,61500
2020-11-04,3.98,3.98,3.78,3.92,3.92,76300
2020-11-05,3.92,4.04,3.9,3.92,3.92,19500
2020-11-06,4.0,4.06,3.98,4.06,4.06,1700
2020-11-09,4.06,4.06,4.0,4.06,4.06,10800
2020-11-10,4.06,4.16,3.76,3.8,3.8,86500
2020-11-11,3.96,3.96,3.78,3.82,3.82,19300
2020-11-12,3.84,3.98,3.78,3.86,3.86,27900
2020-11-13,3.94,3.96,3.7,3.86,3.86,43800
2020-11-16,3.96,4.08,3.96,4.08,4.08,65900
2020-11-17,4.06,4.24,3.96,4.0,4.0,76600
2020-11-18,4.2,4.2,3.94,3.98,3.98,27600
2020-11-19,4.16,4.16,4.0,4.04,4.04,6200
2020-11-20,4.04,4.1,3.98,3.98,3.98,46200
2020-11-23,4.1,4.18,4.04,4.08,4.08,36000
2020-11-24,4.08,4.12,4.0,4.1,4.1,65500
2020-11-25,4.08,4.1,4.0,4.08,4.08,20100
2020-11-26,4.02,4.04,4.0,4.0,4.0,27600
2020-11-27,4.2,4.2,4.0,4.02,4.02,34800
2020-11-30,4.08,4.08,4.0,4.04,4.04,34200
2020-12-01,4.1,4.1,4.02,4.04,4.04,1400
2020-12-03,4.14,4.14,4.08,4.08,4.08,71900
2020-12-04,4.08,4.18,4.08,4.1,4.1,32500
2020-12-08,4.1,4.16,4.1,4.12,4.12,61800
2020-12-09,4.3,4.3,4.16,4.22,4.22,54700
2020-12-14,4.22,4.32,4.22,4.26,4.26,93300
2020-12-15,4.26,4.28,4.24,4.28,4.28,19100
2020-12-16,4.28,4.34,4.28,4.32,4.32,101600
2020-12-17,4.38,4.4,4.34,4.34,4.34,23200
2020-12-18,4.34,4.38,4.34,4.36,4.36,2000
2020-12-21,4.12,4.3,4.12,4.16,4.16,31100
2020-12-22,4.16,4.26,4.14,4.24,4.24,9100
2020-12-23,4.24,4.28,4.18,4.2,4.2,10900
2020-12-24,4.2,4.28,4.18,4.28,4.28,54900
2020-12-25,4.28,4.28,4.24,4.28,4.28,4200
2020-12-28,4.3,4.32,4.28,4.3,4.3,89400
2020-12-29,4.28,4.3,4.28,4.3,4.3,25000
2020-12-30,4.18,4.32,4.16,4.3,4.3,33300
2021-01-04,4.28,4.42,4.28,4.42,4.42,3100
2021-01-05,4.42,4.44,4.3,4.34,4.34,27700
2021-01-06,4.34,4.36,4.34,4.34,4.34,29100
2021-01-07,4.34,4.36,4.3,4.32,4.32,36600
2021-01-08,4.3,4.34,4.3,4.34,4.34,22000
2021-01-11,4.34,4.38,4.34,4.34,4.34,14500
2021-01-12,4.34,4.4,4.34,4.4,4.4,19000
2021-01-13,4.4,4.4,4.32,4.34,4.34,60500
2021-01-14,4.34,4.34,4.32,4.34,4.34,11300
2021-01-15,4.36,4.48,4.36,4.48,4.48,45300
2021-01-18,4.5,5.45,4.48,5.45,5.45,753400
2021-01-19,5.8,6.1,5.45,5.85,5.85,734100
2021-01-20,5.75,5.85,5.7,5.8,5.8,124500
2021-01-21,5.9,6.35,5.9,6.15,6.15,450600
2021-01-22,6.3,6.7,6.0,6.0,6.0,477800
2021-01-25,6.2,6.6,5.9,6.3,6.3,188800
2021-01-26,6.35,6.5,6.35,6.35,6.35,23300
2021-01-27,6.2,6.55,6.2,6.35,6.35,116200
2021-01-28,6.35,6.45,6.05,6.25,6.25,29900
2021-01-29,6.1,6.35,6.0,6.2,6.2,26700
2021-02-01,6.3,6.35,6.1,6.3,6.3,7300
2021-02-02,6.35,6.35,6.2,6.3,6.3,13800
2021-02-03,6.3,6.35,5.95,6.15,6.15,37600
2021-02-04,6.0,6.15,5.3,5.85,5.85,302100
2021-02-05,5.9,5.95,5.65,5.85,5.85,58700
2021-02-08,5.95,6.1,5.9,6.1,6.1,30400
2021-02-09,6.15,6.15,6.0,6.1,6.1,13200
2021-02-10,6.15,6.15,5.9,5.9,5.9,18900
2021-02-11,6.15,6.15,5.8,6.0,6.0,17500
2021-02-15,5.8,6.05,5.8,6.05,6.05,17000
2021-02-16,6.05,6.05,5.95,6.0,6.0,2400
2021-02-17,6.1,6.1,5.9,6.05,6.05,11600
2021-02-18,5.9,6.1,5.9,6.05,6.05,15000
2021-02-19,6.0,6.0,5.8,5.95,5.95,25100
2021-02-22,6.0,6.0,5.9,6.0,6.0,25500
2021-02-23,6.1,6.1,5.9,6.05,6.05,22000
2021-02-24,6.05,6.1,5.8,5.9,5.9,8500
2021-02-25,6.1,6.1,5.9,5.9,5.9,13900
2021-03-01,5.95,5.95,5.7,5.85,5.85,56300
2021-03-02,6.05,6.05,5.7,5.85,5.85,152400
2021-03-03,5.65,5.85,5.65,5.85,5.85,48900
2021-03-04,5.85,5.85,5.75,5.85,5.85,12100
2021-03-05,5.8,5.8,5.45,5.55,5.55,144100
2021-03-08,5.7,5.75,5.5,5.55,5.55,33000
2021-03-09,5.6,5.7,5.2,5.3,5.3,293600
2021-03-10,5.4,5.5,5.3,5.5,5.5,134400
2021-03-11,5.5,5.5,5.4,5.4,5.4,68600
2021-03-12,5.5,5.5,5.4,5.45,5.45,66500
2021-03-15,5.5,5.55,5.4,5.5,5.5,55000
2021-03-16,5.6,5.6,5.4,5.55,5.55,57700
2021-03-17,5.45,5.55,5.45,5.55,5.55,16500
2021-03-18,5.5,5.5,5.4,5.4,5.4,119900
2021-03-19,5.4,5.5,5.35,5.4,5.4,73200
2021-03-22,5.5,6.15,5.45,6.05,6.05,813900
2021-03-23,6.25,6.3,5.9,6.05,6.05,161100
2021-03-24,6.05,6.15,5.95,6.1,6.1,96100
2021-03-25,6.0,6.15,6.0,6.1,6.1,48500
2021-03-26,6.3,6.3,6.05,6.15,6.15,92600
2021-03-29,6.35,6.35,6.15,6.15,6.15,90400
2021-03-30,6.15,6.15,6.0,6.15,6.15,83800
2021-03-31,6.15,6.15,6.0,6.0,6.0,33700
2021-04-01,6.0,6.0,5.75,5.85,5.85,59800
2021-04-02,5.7,5.8,5.7,5.7,5.7,284500
2021-04-05,5.75,5.75,5.7,5.75,5.75,18100
2021-04-07,5.6,5.65,5.6,5.6,5.6,38200
2021-04-08,5.55,5.7,5.55,5.65,5.65,5100
2021-04-09,5.55,5.75,5.55,5.75,5.75,25600
2021-04-12,5.75,5.85,5.6,5.6,5.6,17000
2021-04-16,5.6,5.95,5.5,5.6,5.6,2500
2021-04-19,5.55,5.9,5.5,5.65,5.65,33100
2021-04-20,5.7,5.9,5.7,5.8,5.8,13300
2021-04-21,5.9,5.9,5.8,5.9,5.9,29200
