Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.38,1.41,1.37,1.39,1.39,1990700
2020-09-24,1.38,1.4,1.35,1.36,1.36,2013400
2020-09-25,1.36,1.37,1.34,1.36,1.36,1547300
2020-09-28,1.36,1.41,1.36,1.39,1.39,3130300
2020-09-29,1.38,1.39,1.37,1.37,1.37,1463700
2020-09-30,1.37,1.39,1.34,1.36,1.36,1885500
2020-10-01,1.36,1.37,1.35,1.35,1.35,960400
2020-10-02,1.36,1.36,1.31,1.32,1.32,3557600
2020-10-05,1.33,1.34,1.31,1.32,1.32,2579500
2020-10-06,1.33,1.37,1.33,1.35,1.35,8589200
2020-10-07,1.35,1.36,1.33,1.35,1.35,1998700
2020-10-08,1.35,1.38,1.35,1.38,1.38,4381800
2020-10-09,1.39,1.39,1.34,1.34,1.34,2459200
2020-10-12,1.35,1.37,1.34,1.34,1.34,1733100
2020-10-14,1.34,1.36,1.34,1.35,1.35,676000
2020-10-15,1.34,1.36,1.33,1.33,1.33,1496400
2020-10-16,1.34,1.35,1.32,1.34,1.34,1518000
2020-10-19,1.33,1.33,1.29,1.3,1.3,1707600
2020-10-20,1.3,1.32,1.27,1.29,1.29,1816500
2020-10-21,1.3,1.31,1.29,1.3,1.3,1675500
2020-10-22,1.29,1.31,1.28,1.3,1.3,1499100
2020-10-26,1.31,1.31,1.28,1.29,1.29,511800
2020-10-27,1.29,1.29,1.27,1.29,1.29,1671400
2020-10-28,1.29,1.33,1.29,1.31,1.31,1542400
2020-10-29,1.3,1.33,1.29,1.29,1.29,2535100
2020-10-30,1.29,1.31,1.25,1.28,1.28,2773300
2020-11-02,1.28,1.3,1.27,1.29,1.29,1012900
2020-11-03,1.3,1.33,1.3,1.33,1.33,2254400
2020-11-04,1.32,1.35,1.3,1.33,1.33,1462300
2020-11-05,1.33,1.36,1.32,1.34,1.34,3712500
2020-11-06,1.35,1.36,1.33,1.34,1.34,2017100
2020-11-09,1.35,1.37,1.34,1.36,1.36,3432100
2020-11-10,1.37,1.42,1.34,1.4,1.4,10139700
2020-11-11,1.41,1.43,1.38,1.39,1.39,4643500
2020-11-12,1.36,1.36,1.31,1.32,1.32,7443700
2020-11-13,1.32,1.34,1.3,1.33,1.33,2639200
2020-11-16,1.33,1.35,1.31,1.33,1.33,2707100
2020-11-17,1.33,1.35,1.31,1.33,1.33,2233800
2020-11-18,1.31,1.34,1.31,1.33,1.33,839100
2020-11-19,1.34,1.39,1.33,1.37,1.37,6565200
2020-11-20,1.38,1.48,1.38,1.47,1.47,9457200
2020-11-23,1.5,1.51,1.48,1.5,1.5,6874400
2020-11-24,1.51,1.54,1.5,1.5,1.5,11485200
2020-11-25,1.5,1.57,1.46,1.53,1.53,12323700
2020-11-26,1.54,1.54,1.52,1.53,1.53,2591700
2020-11-27,1.54,1.57,1.53,1.53,1.53,6916400
2020-11-30,1.55,1.55,1.5,1.51,1.51,3649300
2020-12-01,1.51,1.53,1.5,1.51,1.51,1733900
2020-12-02,1.52,1.52,1.5,1.5,1.5,1607700
2020-12-03,1.51,1.54,1.5,1.53,1.53,7173300
2020-12-04,1.52,1.61,1.52,1.6,1.6,17039400
2020-12-08,1.61,1.63,1.57,1.6,1.6,6203900
2020-12-09,1.62,1.62,1.57,1.59,1.59,3730500
2020-12-14,1.58,1.59,1.56,1.59,1.59,3358800
2020-12-15,1.58,1.58,1.54,1.56,1.56,2662200
2020-12-16,1.56,1.61,1.56,1.59,1.59,7353500
2020-12-17,1.61,1.63,1.59,1.6,1.6,5232200
2020-12-18,1.61,1.61,1.56,1.6,1.6,2921800
2020-12-21,1.51,1.54,1.46,1.47,1.47,8664100
2020-12-22,1.45,1.49,1.44,1.47,1.47,3766300
2020-12-23,1.47,1.51,1.47,1.47,1.47,2258500
2020-12-24,1.46,1.49,1.42,1.49,1.49,2190900
2020-12-25,1.49,1.51,1.47,1.48,1.48,2748300
2020-12-28,1.49,1.49,1.45,1.46,1.46,2492300
2020-12-29,1.47,1.48,1.44,1.47,1.47,2274200
2020-12-30,1.47,1.47,1.44,1.46,1.46,1435500
2021-01-04,1.43,1.45,1.4,1.44,1.44,1868700
2021-01-05,1.42,1.47,1.41,1.47,1.47,3070800
2021-01-06,1.48,1.48,1.44,1.44,1.44,2983200
2021-01-07,1.47,1.49,1.46,1.47,1.47,2358800
2021-01-08,1.47,1.51,1.45,1.47,1.47,6052100
2021-01-11,1.48,1.49,1.44,1.46,1.46,5167600
2021-01-12,1.46,1.46,1.43,1.44,1.44,2895600
