Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.28,2.3,2.26,2.28,2.28,373800
2020-09-24,2.26,2.28,2.24,2.28,2.28,320600
2020-09-25,2.28,2.28,2.24,2.26,2.26,412700
2020-09-28,2.26,2.28,2.22,2.26,2.26,440100
2020-09-29,2.26,2.28,2.24,2.26,2.26,276100
2020-09-30,2.28,2.28,2.24,2.24,2.24,190600
2020-10-01,2.24,2.26,2.24,2.26,2.26,300300
2020-10-02,2.26,2.28,2.22,2.22,2.22,719400
2020-10-05,2.22,2.38,2.2,2.34,2.34,3038000
2020-10-06,2.34,2.42,2.34,2.34,2.34,1305500
2020-10-07,2.36,2.36,2.34,2.34,2.34,566700
2020-10-08,2.32,2.36,2.32,2.34,2.34,345900
2020-10-09,2.34,2.34,2.3,2.3,2.3,578800
2020-10-12,2.3,2.32,2.26,2.32,2.32,283100
2020-10-14,2.36,2.44,2.34,2.36,2.36,1820200
2020-10-15,2.34,2.36,2.3,2.3,2.3,640400
2020-10-16,2.28,2.3,2.26,2.28,2.28,728800
2020-10-19,2.26,2.26,2.18,2.2,2.2,1022400
2020-10-20,2.2,2.22,2.18,2.22,2.22,158300
2020-10-21,2.22,2.24,2.2,2.22,2.22,479600
2020-10-22,2.22,2.24,2.18,2.24,2.24,207400
2020-10-26,2.22,2.24,2.2,2.24,2.24,204700
2020-10-27,2.22,2.24,2.2,2.22,2.22,404600
2020-10-28,2.24,2.24,2.2,2.24,2.24,502700
2020-10-29,2.2,2.24,2.2,2.24,2.24,350000
2020-10-30,2.24,2.24,2.2,2.24,2.24,278100
2020-11-02,2.24,2.24,2.2,2.22,2.22,224900
2020-11-03,2.24,2.26,2.22,2.26,2.26,260400
2020-11-04,2.26,2.28,2.24,2.24,2.24,269900
2020-11-05,2.24,2.28,2.22,2.26,2.26,404800
2020-11-06,2.26,2.28,2.24,2.26,2.26,423700
2020-11-09,2.26,2.32,2.26,2.3,2.3,791200
2020-11-10,2.32,2.36,2.2,2.22,2.22,3047400
2020-11-11,2.22,2.26,2.2,2.24,2.24,866800
2020-11-12,2.24,2.24,2.22,2.24,2.24,448600
2020-11-13,2.26,2.28,2.24,2.28,2.28,663100
2020-11-16,2.26,2.28,2.24,2.26,2.26,424700
2020-11-17,2.28,2.34,2.28,2.28,2.28,613800
2020-11-18,2.3,2.3,2.28,2.3,2.3,229800
2020-11-19,2.32,2.34,2.28,2.34,2.34,565400
2020-11-20,2.4,2.4,2.34,2.38,2.38,1238300
2020-11-23,2.4,2.42,2.38,2.42,2.42,1279100
2020-11-24,2.42,2.44,2.36,2.36,2.36,874100
2020-11-25,2.38,2.4,2.36,2.38,2.38,551400
2020-11-26,2.4,2.4,2.38,2.38,2.38,394600
2020-11-27,2.42,2.42,2.38,2.4,2.4,773000
2020-11-30,2.42,2.42,2.34,2.36,2.36,670200
2020-12-01,2.34,2.38,2.34,2.38,2.38,208400
2020-12-02,2.4,2.4,2.34,2.38,2.38,608200
2020-12-03,2.38,2.38,2.34,2.38,2.38,418200
2020-12-04,2.38,2.4,2.36,2.4,2.4,356500
2020-12-08,2.38,2.4,2.36,2.36,2.36,1437400
2020-12-09,2.36,2.4,2.34,2.36,2.36,1874500
2020-12-14,2.38,2.38,2.34,2.36,2.36,1079400
2020-12-15,2.36,2.36,2.34,2.34,2.34,840000
2020-12-16,2.34,2.38,2.34,2.36,2.36,819000
2020-12-17,2.38,2.46,2.36,2.46,2.46,1744800
2020-12-18,2.5,2.52,2.48,2.5,2.5,1564800
2020-12-21,2.34,2.44,2.32,2.34,2.34,2376000
2020-12-22,2.34,2.4,2.32,2.36,2.36,846800
