Date,Open,High,Low,Close,Adj Close,Volume
2022-09-29,4.8,4.8,4.8,4.8,4.8,0
2022-09-30,4.98,5.35,4.88,5.0,5.0,807348370
2022-10-03,4.96,5.1,4.62,4.62,4.62,198703923
2022-10-04,4.78,4.84,4.44,4.5,4.5,72052118
2022-10-05,4.54,4.72,4.52,4.58,4.58,52746399
2022-10-06,4.62,4.66,4.44,4.54,4.54,30062884
2022-10-07,4.54,4.96,4.52,4.94,4.94,155706186
2022-10-10,4.88,4.98,4.8,4.9,4.9,74648370
2022-10-11,4.88,4.96,4.46,4.5,4.5,124635870
2022-10-12,4.6,4.62,4.5,4.52,4.52,20326825
2022-10-17,4.56,4.66,4.54,4.64,4.64,20484482
2022-10-18,4.66,4.72,4.62,4.62,4.62,19827931
2022-10-19,4.64,4.68,4.54,4.56,4.56,11164630
2022-10-20,4.56,4.66,4.52,4.6,4.6,13822008
2022-10-21,4.62,4.66,4.48,4.52,4.52,17409867
2022-10-25,4.54,4.56,4.12,4.16,4.16,33349690
2022-10-26,4.18,4.24,4.12,4.18,4.18,11405674
2022-10-27,4.18,4.2,4.08,4.1,4.1,14079658
2022-10-28,4.1,4.3,4.1,4.2,4.2,24077024
2022-10-31,4.24,4.36,4.24,4.26,4.26,18361964
2022-11-01,4.28,4.3,4.2,4.24,4.24,10507560
2022-11-02,4.22,4.26,4.16,4.16,4.16,9549164
2022-11-03,4.16,4.84,4.16,4.72,4.72,101274602
2022-11-04,4.68,4.82,4.64,4.76,4.76,39111333
2022-11-07,4.78,4.92,4.7,4.92,4.92,42814171
2022-11-08,4.88,5.1,4.7,4.78,4.78,81699184
2022-11-10,4.72,4.82,4.7,4.76,4.76,11965312
2022-11-11,4.8,4.88,4.72,4.8,4.8,20340422
2022-11-14,4.76,4.82,4.5,4.5,4.5,28261741
2022-11-15,4.46,4.64,4.3,4.62,4.62,23646818
2022-11-16,4.58,4.7,4.58,4.64,4.64,10077634
2022-11-17,4.68,4.76,4.6,4.6,4.6,17386840
2022-11-18,4.6,4.66,4.44,4.52,4.52,10112436
2022-11-21,4.48,4.62,4.48,4.52,4.52,8446898
2022-11-22,4.54,4.64,4.54,4.56,4.56,11292343
2022-11-23,4.6,4.68,4.6,4.64,4.64,20112480
2022-11-24,4.64,4.66,4.54,4.54,4.54,9667826
2022-11-25,4.54,4.56,4.5,4.5,4.5,7105737
2022-11-28,4.5,4.66,4.48,4.66,4.66,11445708
2022-11-29,4.66,4.78,4.58,4.62,4.62,39883439
2022-11-30,4.64,4.68,4.38,4.42,4.42,50796713
2022-12-01,4.46,4.5,4.4,4.42,4.42,8387800
2022-12-02,4.44,4.46,4.38,4.4,4.4,5061901
2022-12-06,4.4,4.48,4.4,4.44,4.44,8409000
2022-12-07,4.46,4.48,4.4,4.42,4.42,3634996
2022-12-08,4.42,4.48,4.42,4.44,4.44,3920661
2022-12-09,4.46,4.52,4.42,4.5,4.5,6529610
2022-12-13,4.52,4.6,4.48,4.56,4.56,9598612
2022-12-14,4.64,4.82,4.58,4.8,4.8,39733116
2022-12-15,4.62,4.72,4.6,4.6,4.6,11864801
2022-12-16,4.62,4.72,4.6,4.66,4.66,14257301
2022-12-19,4.62,4.72,4.62,4.66,4.66,9241999
2022-12-20,4.7,4.74,4.46,4.5,4.5,30621824
2022-12-21,4.52,4.56,4.48,4.52,4.52,8115600
2022-12-22,4.48,4.62,4.48,4.62,4.62,10511739
2022-12-23,4.48,4.62,4.48,4.62,4.62,10511739
2022-12-26,4.6,4.74,4.6,4.7,4.7,16977257
2022-12-27,4.76,4.92,4.66,4.72,4.72,55956496
2022-12-28,4.82,4.9,4.76,4.82,4.82,36410766
2022-12-29,4.8,4.86,4.78,4.84,4.84,13033500
2022-12-30,4.84,4.86,4.64,4.74,4.74,29015156
2023-01-03,4.72,4.74,4.7,4.7,4.7,6884985
2023-01-04,4.7,4.78,4.7,4.78,4.78,13851980
2023-01-05,4.8,4.9,4.72,4.72,4.72,30599253
2023-01-06,4.72,4.82,4.72,4.8,4.8,11329752
2023-01-09,4.82,4.9,4.76,4.78,4.78,27977159
2023-01-10,4.78,4.88,4.7,4.78,4.78,20410457
2023-01-11,4.8,4.8,4.72,4.72,4.72,7297535
2023-01-12,4.74,4.84,4.74,4.82,4.82,14063071
2023-01-13,4.82,4.88,4.74,4.84,4.84,23254929
2023-01-16,4.92,5.05,4.88,4.98,4.98,60895039
2023-01-17,5.0,5.05,4.9,5.0,5.0,30124856
