Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.09,0.11,0.09,0.1,0.1,243529300
2021-03-25,0.11,0.12,0.08,0.08,0.08,293525700
2021-03-26,0.08,0.09,0.08,0.09,0.09,36578200
2021-03-29,0.09,0.1,0.08,0.08,0.08,63736500
2021-03-30,0.09,0.09,0.08,0.09,0.09,29871800
2021-03-31,0.08,0.1,0.08,0.1,0.1,49682000
2021-04-01,0.09,0.09,0.09,0.09,0.09,6779300
2021-04-02,0.09,0.1,0.09,0.1,0.1,24672000
2021-04-05,0.09,0.1,0.08,0.09,0.09,90836400
2021-04-07,0.09,0.1,0.08,0.09,0.09,43708200
2021-04-08,0.09,0.1,0.08,0.09,0.09,28525000
2021-04-09,0.09,0.09,0.08,0.08,0.08,10596800
2021-04-12,0.08,0.09,0.07,0.07,0.07,60784200
2021-04-16,0.08,0.08,0.06,0.07,0.07,92800500
2021-04-19,0.07,0.08,0.06,0.08,0.08,56178400
2021-04-20,0.08,0.08,0.07,0.08,0.08,12802200
2021-04-21,0.08,0.09,0.07,0.08,0.08,36907700
2021-04-22,0.08,0.12,0.08,0.11,0.11,396191100
2021-04-23,0.12,0.14,0.11,0.12,0.12,738085500
2021-04-26,0.13,0.21,0.12,0.19,0.19,1218508700
2021-04-27,0.22,0.3,0.18,0.22,0.22,1625606800
2021-04-28,0.26,0.27,0.22,0.24,0.24,366940400
2021-04-29,0.24,0.25,0.22,0.22,0.22,130350100
2021-04-30,0.22,0.23,0.2,0.21,0.21,148063300
2021-05-05,0.22,0.25,0.22,0.25,0.25,300002600
2021-05-06,0.25,0.25,0.22,0.22,0.22,103734500
2021-05-07,0.24,0.26,0.23,0.24,0.24,246521300
2021-05-10,0.26,0.26,0.24,0.24,0.24,157177600
2021-05-11,0.25,0.25,0.22,0.23,0.23,128899000
2021-05-12,0.24,0.24,0.22,0.22,0.22,60703900
2021-05-13,0.22,0.23,0.15,0.21,0.21,208761500
2021-05-14,0.22,0.22,0.19,0.21,0.21,71486700
2021-05-17,0.17,0.18,0.15,0.17,0.17,188772900
2021-05-18,0.16,0.21,0.16,0.21,0.21,135456200
2021-05-19,0.21,0.22,0.19,0.2,0.2,86774500
2021-05-20,0.19,0.21,0.18,0.19,0.19,177131800
2021-05-21,0.19,0.19,0.18,0.19,0.19,32525000
2021-05-24,0.18,0.2,0.18,0.19,0.19,91926700
2021-05-25,0.19,0.19,0.17,0.18,0.18,68622400
2021-05-27,0.18,0.19,0.17,0.18,0.18,21204600
2021-05-28,0.18,0.19,0.17,0.18,0.18,32865600
2021-05-31,0.18,0.19,0.17,0.19,0.19,26041900
2021-06-01,0.18,0.19,0.18,0.19,0.19,32423900
2021-06-02,0.18,0.19,0.17,0.18,0.18,47907200
2021-06-04,0.18,0.19,0.17,0.17,0.17,50055800
2021-06-07,0.18,0.18,0.17,0.18,0.18,20794900
2021-06-08,0.18,0.18,0.17,0.17,0.17,27896800
2021-06-09,0.17,0.2,0.17,0.19,0.19,229187400
2021-06-10,0.19,0.2,0.18,0.19,0.19,67409800
2021-06-11,0.19,0.2,0.18,0.18,0.18,23652800
2021-06-14,0.19,0.19,0.18,0.18,0.18,17355200
2021-06-15,0.19,0.19,0.18,0.18,0.18,10274800
2021-06-16,0.18,0.19,0.18,0.18,0.18,9643400
2021-06-17,0.18,0.2,0.18,0.18,0.18,171547000
2021-06-18,0.18,0.19,0.17,0.18,0.18,45839600
2021-06-21,0.17,0.18,0.16,0.17,0.17,54309100
2021-06-22,0.17,0.18,0.16,0.16,0.16,41012800
2021-06-23,0.16,0.17,0.15,0.15,0.15,41966800
2021-06-24,0.15,0.16,0.13,0.14,0.14,66306500
2021-06-25,0.15,0.15,0.14,0.14,0.14,17725400
2021-06-28,0.14,0.14,0.13,0.14,0.14,16806700
2021-06-29,0.13,0.16,0.13,0.16,0.16,48263100
2021-06-30,0.16,0.17,0.15,0.15,0.15,24770800
2021-07-01,0.15,0.15,0.14,0.15,0.15,23992600
2021-07-02,0.15,0.15,0.14,0.15,0.15,20254700
2021-07-05,0.15,0.15,0.14,0.14,0.14,18907300
2021-07-06,0.14,0.17,0.14,0.15,0.15,77355900
2021-07-07,0.15,0.16,0.14,0.14,0.14,56540400
2021-07-08,0.14,0.14,0.12,0.13,0.13,61415100
2021-07-09,0.13,0.14,0.12,0.13,0.13,6907900
2021-07-12,0.13,0.14,0.13,0.13,0.13,10473700
2021-07-13,0.13,0.15,0.13,0.14,0.14,30397600
2021-07-14,0.14,0.15,0.13,0.14,0.14,34602600
2021-07-15,0.14,0.15,0.14,0.14,0.14,16158900
2021-07-16,0.15,0.16,0.14,0.15,0.15,42476800
2021-07-19,0.15,0.16,0.14,0.15,0.15,51126400
2021-07-20,0.15,0.15,0.14,0.14,0.14,8966200
2021-07-21,0.15,0.16,0.14,0.15,0.15,29606500
2021-07-22,0.15,0.17,0.15,0.16,0.16,60669500
2021-07-23,0.17,0.19,0.17,0.18,0.18,160044700
2021-07-27,0.19,0.19,0.18,0.18,0.18,73463600
2021-07-29,0.18,0.18,0.17,0.17,0.17,36711600
2021-07-30,0.17,0.18,0.15,0.16,0.16,36042100
2021-08-02,0.16,0.16,0.15,0.16,0.16,7322500
2021-08-03,0.16,0.18,0.15,0.17,0.17,61108700
2021-08-04,0.17,0.18,0.16,0.17,0.17,23073000
2021-08-05,0.17,0.17,0.16,0.16,0.16,11093700
2021-08-06,0.17,0.17,0.15,0.16,0.16,24166700
2021-08-09,0.16,0.17,0.15,0.16,0.16,16447000
2021-08-10,0.16,0.16,0.14,0.16,0.16,98072200
