Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,0.49,0.5,0.47,0.5,0.5,153700
2020-09-03,0.49,0.5,0.49,0.49,0.49,2200
2020-09-09,0.47,0.48,0.47,0.48,0.48,46400
2020-09-10,0.47,0.49,0.47,0.49,0.49,26700
2020-09-11,0.49,0.49,0.48,0.48,0.48,5900
2020-09-15,0.49,0.49,0.48,0.49,0.49,5000
2020-09-17,0.47,0.5,0.47,0.48,0.48,39500
2020-09-18,0.47,0.48,0.47,0.47,0.47,10800
2020-09-22,0.49,0.49,0.48,0.49,0.49,600
2020-09-23,0.49,0.49,0.48,0.48,0.48,11300
2020-09-25,0.49,0.49,0.47,0.49,0.49,20300
2020-09-29,0.48,0.49,0.46,0.49,0.49,10300
2020-09-30,0.49,0.49,0.47,0.49,0.49,13500
2020-10-01,0.49,0.49,0.47,0.48,0.48,3100
2020-10-06,0.48,0.48,0.47,0.48,0.48,29200
2020-10-07,0.48,0.48,0.48,0.48,0.48,59300
2020-10-08,0.49,0.5,0.48,0.48,0.48,56000
2020-10-09,0.5,0.5,0.46,0.48,0.48,223100
2020-10-12,0.49,0.53,0.48,0.5,0.5,240800
2020-10-14,0.5,0.5,0.49,0.5,0.5,1500
2020-10-15,0.52,0.52,0.48,0.49,0.49,23400
2020-10-16,0.49,0.49,0.48,0.48,0.48,200
2020-10-19,0.48,0.48,0.45,0.47,0.47,72100
2020-10-20,0.45,0.5,0.45,0.49,0.49,4300
2020-10-21,0.48,0.5,0.48,0.5,0.5,125500
2020-10-22,0.49,0.5,0.49,0.5,0.5,7200
2020-10-26,0.49,0.49,0.48,0.49,0.49,2500
2020-10-27,0.49,0.49,0.42,0.49,0.49,5500
2020-10-28,0.49,0.49,0.47,0.47,0.47,4500
2020-10-30,0.49,0.49,0.49,0.49,0.49,3500
2020-11-02,0.49,0.49,0.46,0.48,0.48,210100
2020-11-03,0.48,0.49,0.47,0.49,0.49,13400
2020-11-04,0.48,0.49,0.48,0.49,0.49,30500
2020-11-05,0.48,0.49,0.47,0.49,0.49,600
2020-11-06,0.49,0.49,0.47,0.47,0.47,33300
2020-11-09,0.5,0.5,0.48,0.48,0.48,700
2020-11-10,0.5,0.5,0.45,0.48,0.48,26000
2020-11-11,0.5,0.5,0.49,0.49,0.49,600
2020-11-12,0.47,0.49,0.46,0.48,0.48,206000
2020-11-13,0.49,0.49,0.46,0.49,0.49,223500
2020-11-17,0.47,0.48,0.46,0.47,0.47,36300
2020-11-19,0.46,0.48,0.46,0.48,0.48,92100
2020-11-20,0.47,0.49,0.47,0.47,0.47,60600
2020-11-23,0.47,0.49,0.46,0.49,0.49,115700
2020-11-24,0.48,0.49,0.47,0.47,0.47,77600
2020-11-25,0.48,0.48,0.46,0.47,0.47,635900
2020-11-26,0.47,0.47,0.45,0.47,0.47,431000
2020-11-27,0.47,0.48,0.46,0.47,0.47,103300
2020-11-30,0.48,0.48,0.47,0.47,0.47,94200
2020-12-01,0.46,0.47,0.46,0.47,0.47,339300
2020-12-02,0.46,0.47,0.46,0.46,0.46,157500
2020-12-03,0.47,0.47,0.46,0.46,0.46,237800
2020-12-04,0.47,0.47,0.45,0.47,0.47,112300
2020-12-08,0.47,0.47,0.45,0.47,0.47,228800
2020-12-09,0.47,0.47,0.46,0.46,0.46,11200
2020-12-14,0.47,0.49,0.47,0.48,0.48,1281500
2020-12-15,0.48,0.48,0.47,0.48,0.48,54700
2020-12-16,0.48,0.48,0.47,0.48,0.48,772000
2020-12-18,0.49,0.5,0.48,0.49,0.49,401100
2020-12-21,0.49,0.49,0.48,0.48,0.48,90100
2020-12-22,0.48,0.49,0.48,0.49,0.49,24200
2020-12-23,0.49,0.49,0.48,0.49,0.49,25900
2020-12-24,0.49,0.5,0.48,0.49,0.49,363500
2020-12-28,0.5,0.5,0.47,0.48,0.48,97100
2020-12-29,0.49,0.5,0.49,0.5,0.5,316500
2020-12-30,0.5,0.5,0.49,0.49,0.49,40500
2021-01-04,0.48,0.5,0.48,0.49,0.49,82700
2021-01-05,0.51,0.51,0.49,0.5,0.5,100800
2021-01-06,0.5,0.5,0.48,0.49,0.49,47200
2021-01-07,0.49,0.49,0.48,0.49,0.49,62500
2021-01-08,0.5,0.5,0.46,0.49,0.49,346300
2021-01-11,0.49,0.5,0.47,0.49,0.49,233600
2021-01-12,0.49,0.49,0.48,0.49,0.49,43400
2021-01-13,0.49,0.5,0.48,0.49,0.49,421200
2021-01-14,0.49,0.5,0.48,0.48,0.48,310400
2021-01-15,0.49,0.49,0.49,0.49,0.49,258700
2021-01-18,0.49,0.49,0.48,0.49,0.49,350400
2021-01-19,0.48,0.49,0.47,0.47,0.47,1851600
2021-01-20,0.48,0.48,0.47,0.48,0.48,315900
2021-01-21,0.48,0.49,0.47,0.49,0.49,160000
2021-01-22,0.49,0.49,0.48,0.48,0.48,133700
2021-01-25,0.47,0.49,0.47,0.48,0.48,177000
2021-01-26,0.48,0.48,0.47,0.48,0.48,77600
2021-01-27,0.48,0.49,0.47,0.48,0.48,536200
2021-01-28,0.48,0.49,0.47,0.48,0.48,300400
2021-01-29,0.47,0.49,0.47,0.48,0.48,658400
2021-02-01,0.49,0.49,0.46,0.48,0.48,136000
2021-02-02,0.48,0.5,0.47,0.48,0.48,160100
2021-02-03,0.48,0.49,0.47,0.48,0.48,626100
2021-02-04,0.48,0.49,0.47,0.48,0.48,209300
2021-02-05,0.48,0.48,0.47,0.48,0.48,1900
