Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,1.25,1.25,1.25,1.25,1.25,1000
2020-07-29,1.26,1.26,1.25,1.26,1.26,1800
2020-07-30,1.23,1.24,1.2,1.24,1.24,89200
2020-07-31,1.25,1.27,1.25,1.27,1.27,400
2020-08-03,1.26,1.26,1.26,1.26,1.26,56500
2020-08-04,1.18,1.24,1.18,1.24,1.24,6400
2020-08-06,1.23,1.24,1.23,1.23,1.23,130200
2020-08-07,1.21,1.25,1.21,1.25,1.25,3000
2020-08-10,1.28,1.28,1.27,1.27,1.27,2500
2020-08-13,1.24,1.24,1.24,1.24,1.24,1100
2020-08-14,1.24,1.24,1.23,1.23,1.23,101000
2020-08-17,1.22,1.22,1.22,1.22,1.22,6000
2020-08-19,1.25,1.25,1.25,1.25,1.25,500
2020-08-21,1.31,1.31,1.31,1.31,1.31,100
2020-08-25,1.3,1.31,1.3,1.31,1.31,12300
2020-08-27,1.3,1.3,1.3,1.3,1.3,100
2020-08-28,1.28,1.3,1.28,1.3,1.3,32000
2020-08-31,1.29,1.29,1.26,1.26,1.26,1400
2020-09-02,1.27,1.33,1.27,1.33,1.33,1500300
2020-09-08,1.33,1.33,1.33,1.33,1.33,4000
2020-09-10,1.33,1.33,1.25,1.32,1.32,10300
2020-09-14,1.25,1.29,1.25,1.27,1.27,31800
2020-09-15,1.25,1.27,1.22,1.27,1.27,40700
2020-09-16,1.27,1.3,1.25,1.25,1.25,28200
2020-09-17,1.26,1.29,1.26,1.29,1.29,2100
2020-09-23,1.29,1.29,1.29,1.29,1.29,1000
2020-09-25,1.23,1.26,1.22,1.23,1.23,49200
2020-09-28,1.23,1.28,1.23,1.28,1.28,55000
2020-09-30,1.34,1.41,1.34,1.4,1.4,3000
2020-10-01,1.38,1.38,1.38,1.38,1.38,500
2020-10-02,1.24,1.36,1.24,1.24,1.24,56300
2020-10-05,1.35,1.35,1.25,1.25,1.25,600
2020-10-06,1.16,1.26,1.16,1.25,1.25,2100
2020-10-07,1.25,1.26,1.23,1.23,1.23,3800
2020-10-08,1.23,1.28,1.22,1.22,1.22,11400
2020-10-09,1.38,1.4,1.37,1.37,1.37,700
2020-10-12,1.37,1.37,1.25,1.3,1.3,1400
2020-10-14,1.1,1.28,1.1,1.26,1.26,1400
2020-10-19,1.22,1.22,1.2,1.2,1.2,40500
2020-10-20,1.18,1.2,1.18,1.2,1.2,3600
2020-10-22,1.3,1.3,1.21,1.21,1.21,6400
2020-10-26,1.21,1.26,1.21,1.26,1.26,5400
2020-10-27,1.23,1.35,1.23,1.35,1.35,800
2020-10-29,1.29,1.29,1.29,1.29,1.29,200
2020-10-30,1.29,1.36,1.29,1.36,1.36,1400
2020-11-02,1.38,1.38,1.38,1.38,1.38,300
2020-11-05,1.37,1.37,1.37,1.37,1.37,3000
2020-11-10,1.32,1.32,0.95,1.24,1.24,20500
2020-11-11,1.21,1.35,1.21,1.25,1.25,5600
2020-11-12,1.33,1.33,1.33,1.33,1.33,100
2020-11-13,1.23,1.33,1.23,1.33,1.33,5700
2020-11-20,1.3,1.37,1.11,1.37,1.37,5700
2020-11-23,1.37,1.37,1.3,1.36,1.36,66300
2020-11-24,1.23,1.36,1.23,1.27,1.27,7000
