Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.32,2.36,2.3,2.32,2.32,2069600
2020-09-24,2.34,2.34,2.28,2.3,2.3,3522000
2020-09-25,2.32,2.48,2.32,2.48,2.48,12742500
2020-09-28,2.52,2.52,2.42,2.52,2.52,7216900
2020-09-29,2.52,2.58,2.46,2.52,2.52,8396700
2020-09-30,2.54,2.54,2.42,2.44,2.44,2591800
2020-10-01,2.44,2.54,2.42,2.5,2.5,1243600
2020-10-02,2.5,2.54,2.44,2.44,2.44,2350700
2020-10-05,2.48,2.48,2.4,2.42,2.42,1623300
2020-10-06,2.44,2.46,2.42,2.44,2.44,815800
2020-10-07,2.44,2.44,2.36,2.44,2.44,1405800
2020-10-08,2.46,2.66,2.44,2.62,2.62,11998400
2020-10-09,2.62,2.66,2.48,2.58,2.58,15415000
2020-10-12,2.58,2.66,2.56,2.62,2.62,8210000
2020-10-14,2.6,2.76,2.6,2.72,2.72,14585100
2020-10-15,2.68,2.76,2.62,2.66,2.66,5647100
2020-10-16,2.66,2.66,2.56,2.58,2.58,2587300
2020-10-19,2.52,2.52,2.42,2.42,2.42,2791700
2020-10-20,2.42,2.54,2.42,2.5,2.5,2561700
2020-10-21,2.56,2.6,2.5,2.56,2.56,2688000
2020-10-22,2.56,2.6,2.52,2.6,2.6,770700
2020-10-26,2.52,2.58,2.5,2.56,2.56,1370600
2020-10-27,2.56,2.56,2.5,2.54,2.54,873800
2020-10-28,2.58,2.64,2.52,2.56,2.56,3382800
2020-10-29,2.54,2.74,2.52,2.68,2.68,13695300
2020-10-30,2.8,2.86,2.68,2.7,2.7,37537300
2020-11-02,2.72,2.86,2.7,2.78,2.78,22181800
2020-11-03,2.82,2.88,2.72,2.72,2.72,18120100
2020-11-04,2.68,2.72,2.6,2.7,2.7,10389800
2020-11-05,2.72,2.72,2.64,2.66,2.66,5813100
2020-11-06,2.68,2.72,2.64,2.64,2.64,4820600
2020-11-09,2.64,2.66,2.6,2.64,2.64,3200500
2020-11-10,2.66,2.68,2.48,2.5,2.5,9689900
2020-11-11,2.44,2.6,2.44,2.56,2.56,4837900
2020-11-12,2.6,2.64,2.56,2.58,2.58,1931800
2020-11-13,2.6,2.68,2.56,2.64,2.64,2449200
2020-11-16,2.64,2.64,2.52,2.56,2.56,1595600
2020-11-17,2.58,2.6,2.54,2.54,2.54,2132600
2020-11-18,2.52,2.54,2.5,2.54,2.54,1810700
2020-11-19,2.52,2.74,2.5,2.74,2.74,7878200
2020-11-20,2.72,2.82,2.68,2.8,2.8,12883200
2020-11-23,2.8,2.9,2.78,2.9,2.9,9072000
2020-11-24,2.92,3.08,2.8,3.02,3.02,13424300
2020-11-25,3.0,3.1,3.0,3.02,3.02,5558100
2020-11-26,3.0,3.18,3.0,3.14,3.14,4636600
2020-11-27,3.18,3.2,3.12,3.18,3.18,2721400
2020-11-30,3.2,3.2,3.04,3.06,3.06,3563200
2020-12-01,3.04,3.2,3.04,3.16,3.16,4375500
2020-12-02,3.16,3.16,3.08,3.1,3.1,2752100
2020-12-03,3.1,3.32,3.1,3.3,3.3,6214900
2020-12-04,3.28,3.3,3.24,3.26,3.26,2288600
2020-12-08,3.26,3.44,3.26,3.36,3.36,9462900
2020-12-09,3.38,3.4,3.26,3.3,3.3,3348600
2020-12-14,3.32,3.34,3.26,3.3,3.3,911400
2020-12-15,3.3,3.32,3.26,3.3,3.3,2082000
2020-12-16,3.28,3.32,3.16,3.24,3.24,3949200
2020-12-17,3.26,3.3,3.18,3.28,3.28,2044700
2020-12-18,3.26,3.3,3.2,3.24,3.24,2537100
2020-12-21,3.1,3.12,2.88,3.0,3.0,11444200
2020-12-22,2.92,3.06,2.92,3.06,3.06,2837900
2020-12-23,3.02,3.08,2.96,3.06,3.06,2716800
2020-12-24,3.02,3.16,2.96,3.16,3.16,3412100
2020-12-25,3.16,3.2,3.1,3.2,3.2,2044900
2020-12-28,3.24,3.28,3.16,3.2,3.2,2697100
2020-12-29,3.2,3.2,3.14,3.2,3.2,1366500
2020-12-30,3.2,3.2,3.08,3.16,3.16,2662000
2021-01-04,3.1,3.14,3.08,3.14,3.14,2015800
2021-01-05,3.14,3.36,3.14,3.36,3.36,8531600
2021-01-06,3.36,3.4,3.26,3.28,3.28,3759400
2021-01-07,3.32,3.54,3.28,3.44,3.44,8379600
2021-01-08,3.58,3.62,3.46,3.5,3.5,7484600
2021-01-11,3.5,3.56,3.46,3.52,3.52,1504100
2021-01-12,3.5,3.64,3.48,3.6,3.6,7760800
2021-01-13,3.64,3.64,3.54,3.56,3.56,3280500
2021-01-14,3.56,3.6,3.52,3.56,3.56,1867400
2021-01-15,3.56,3.62,3.52,3.54,3.54,2089700
2021-01-18,3.56,3.58,3.46,3.48,3.48,2312400
2021-01-19,3.48,3.52,3.38,3.44,3.44,2395200
2021-01-20,3.42,3.46,3.38,3.38,3.38,1493900
2021-01-21,3.4,3.44,3.34,3.36,3.36,1389500
2021-01-22,3.36,3.38,3.28,3.32,3.32,2075200
2021-01-25,3.28,3.3,3.22,3.3,3.3,2390100
2021-01-26,3.28,3.38,3.24,3.38,3.38,1617000
2021-01-27,3.4,3.4,3.32,3.36,3.36,1024100
2021-01-28,3.32,3.32,3.28,3.3,3.3,1550500
2021-01-29,3.3,3.3,3.18,3.26,3.26,1997800
2021-02-01,3.2,3.26,3.18,3.2,3.2,861300
2021-02-02,3.18,3.28,3.18,3.26,3.26,933100
2021-02-03,3.3,3.32,3.24,3.26,3.26,1343000
2021-02-04,3.32,3.32,3.24,3.24,3.24,1172500
2021-02-05,3.22,3.3,3.22,3.26,3.26,1413500
2021-02-08,3.26,3.38,3.26,3.36,3.36,2302000
2021-02-09,3.4,3.4,3.32,3.34,3.34,1347400
2021-02-10,3.36,3.38,3.28,3.28,3.28,1629900
2021-02-11,3.3,3.32,3.26,3.3,3.3,306400
2021-02-15,3.26,3.32,3.22,3.26,3.26,1277400
2021-02-16,3.24,3.3,3.22,3.28,3.28,1128900
2021-02-17,3.28,3.34,3.26,3.3,3.3,1899900
2021-02-18,3.3,3.3,3.24,3.24,3.24,1103200
2021-02-19,3.24,3.26,3.2,3.26,3.26,1083300
2021-02-22,3.4,3.44,3.34,3.4,3.4,8254400
2021-02-23,3.42,3.84,3.42,3.74,3.74,29165200
2021-02-24,3.86,3.92,3.66,3.7,3.7,17597100
2021-02-25,3.78,3.84,3.7,3.8,3.8,4824900
2021-03-01,3.8,3.96,3.78,3.92,3.92,13876100
2021-03-02,3.92,4.02,3.88,3.98,3.98,8650800
2021-03-03,4.0,4.0,3.8,3.9,3.9,5590900
2021-03-04,3.86,3.88,3.8,3.82,3.82,2622800
2021-03-05,3.82,3.86,3.78,3.82,3.82,2691400
2021-03-08,3.86,3.88,3.8,3.8,3.8,1875500
2021-03-09,3.8,3.84,3.78,3.8,3.8,2227400
2021-03-10,3.8,3.84,3.68,3.82,3.82,2261700
2021-03-11,3.82,3.82,3.72,3.74,3.74,3133100
2021-03-12,3.74,3.78,3.72,3.76,3.76,1843100
2021-03-15,3.78,3.84,3.72,3.82,3.82,3089100
2021-03-16,3.82,3.96,3.82,3.88,3.88,7720200
2021-03-17,3.94,3.94,3.84,3.84,3.84,6999500
2021-03-18,3.9,3.9,3.78,3.82,3.82,2593600
2021-03-19,3.82,3.84,3.78,3.82,3.82,1097900
2021-03-22,3.82,3.86,3.76,3.86,3.86,2299700
2021-03-23,3.82,3.94,3.82,3.84,3.84,2324500
2021-03-24,3.84,4.04,3.84,4.04,4.04,4689800
2021-03-25,4.08,4.16,4.04,4.04,4.04,6098300
2021-03-26,4.1,4.1,3.98,4.02,4.02,2288400
2021-03-29,4.02,4.04,3.9,3.94,3.94,2745400
2021-03-30,3.94,4.0,3.9,3.94,3.94,1786900
2021-03-31,3.98,4.04,3.96,4.0,4.0,2669600
2021-04-01,4.0,4.06,4.0,4.02,4.02,3000900
2021-04-02,4.04,4.06,3.98,4.0,4.0,1524300
2021-04-05,4.02,4.16,3.98,4.16,4.16,2885400
2021-04-07,4.08,4.34,4.02,4.2,4.2,7477400
2021-04-08,4.2,4.2,4.08,4.12,4.12,3078100
2021-04-09,4.1,4.26,4.08,4.12,4.12,3429600
2021-04-12,4.1,4.12,3.62,3.84,3.84,8203100
2021-04-16,3.78,3.94,3.72,3.92,3.92,4922000
2021-04-19,3.94,3.96,3.88,3.92,3.92,1328200
2021-04-20,3.92,3.94,3.84,3.92,3.92,1467400
2021-04-21,3.9,3.92,3.82,3.9,3.9,1809200
2021-04-22,3.9,3.94,3.86,3.86,3.86,1402000
2021-04-23,3.8,3.86,3.74,3.74,3.74,2220700
2021-04-26,3.7,3.82,3.68,3.8,3.8,3051000
2021-04-27,3.8,3.9,3.8,3.86,3.86,2309700
2021-04-28,3.84,3.86,3.8,3.86,3.86,1918100
2021-04-29,3.76,3.78,3.7,3.76,3.76,1266300
2021-04-30,3.76,3.96,3.76,3.9,3.9,2495500
2021-05-05,3.94,3.94,3.82,3.86,3.86,1896300
2021-05-06,3.78,3.8,3.38,3.6,3.6,22408800
