Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,63.25,63.5,62.75,63.0,63.0,2845400
2020-09-24,63.0,63.5,62.75,63.25,63.25,3143400
2020-09-25,64.0,64.0,63.0,63.0,63.0,3113100
2020-09-28,63.5,65.25,63.0,65.0,65.0,5833300
2020-09-29,65.0,65.25,64.25,64.5,64.5,2756000
2020-09-30,64.5,64.75,63.5,63.75,63.75,3694200
2020-10-01,64.0,64.0,63.25,63.75,63.75,2115700
2020-10-02,63.5,63.5,62.25,62.75,62.75,3870000
2020-10-05,63.0,63.25,62.5,63.0,63.0,4295400
2020-10-06,63.75,64.75,63.25,64.5,64.5,6002900
2020-10-07,64.25,64.75,63.75,64.5,64.5,2979100
2020-10-08,65.0,65.75,64.75,65.25,65.25,7723700
2020-10-09,65.75,66.5,65.0,66.0,66.0,6317600
2020-10-12,66.5,68.75,66.5,68.5,68.5,10417200
2020-10-14,68.5,68.75,67.0,67.5,67.5,6272500
2020-10-15,66.5,67.25,65.0,65.75,65.75,5144600
2020-10-16,69.0,69.75,67.75,68.25,68.25,15201600
2020-10-19,67.75,68.25,66.5,68.0,68.0,8761000
2020-10-20,68.25,69.25,68.25,68.5,68.5,6687900
2020-10-21,69.0,69.75,68.75,69.5,69.5,7076900
2020-10-22,70.0,72.0,69.5,70.5,70.5,17294400
2020-10-26,70.5,70.75,69.0,70.25,70.25,6806600
2020-10-27,70.75,71.75,69.75,71.0,71.0,6631600
2020-10-28,70.75,71.25,70.25,70.75,70.75,4572700
2020-10-29,70.0,71.75,70.0,71.5,71.5,5561600
2020-10-30,71.5,71.75,69.75,70.75,70.75,7237600
2020-11-02,70.75,73.0,70.5,73.0,73.0,7417200
2020-11-03,73.0,73.0,71.5,72.25,72.25,7229100
2020-11-04,72.25,72.75,71.5,72.75,72.75,4476400
2020-11-05,73.0,74.0,72.75,73.75,73.75,6867600
2020-11-06,73.25,74.0,71.75,73.25,73.25,7252800
2020-11-09,74.0,75.25,73.5,74.75,74.75,6448100
2020-11-10,75.0,75.5,73.5,75.25,75.25,13215200
2020-11-11,76.25,76.5,73.75,74.25,74.25,11884400
2020-11-12,73.75,74.25,73.0,73.0,73.0,10080100
2020-11-13,73.5,75.75,72.5,75.0,75.0,19766800
2020-11-16,75.75,77.5,75.25,77.0,77.0,12485700
2020-11-17,78.25,78.5,77.0,77.5,77.5,12228200
2020-11-18,77.25,79.25,77.0,78.5,78.5,10119200
2020-11-19,78.5,78.75,77.75,78.25,78.25,5700600
2020-11-20,78.5,79.75,78.25,79.75,79.75,8496800
2020-11-23,80.0,80.5,79.0,80.25,80.25,5840000
2020-11-24,80.5,81.0,79.25,79.25,79.25,4974200
2020-11-25,79.25,80.75,79.0,79.5,79.5,4582800
2020-11-26,79.5,80.5,79.25,80.5,80.5,5614200
