Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,2.32,2.32,2.28,2.3,2.3,169900
2020-09-24,2.3,2.34,2.3,2.3,2.3,323700
2020-09-25,2.32,2.32,2.3,2.3,2.3,167600
2020-09-28,2.32,2.34,2.3,2.34,2.34,101100
2020-09-29,2.34,2.34,2.3,2.3,2.3,162500
2020-09-30,2.3,2.32,2.3,2.3,2.3,41500
2020-10-01,2.32,2.38,2.3,2.36,2.36,1303400
2020-10-02,2.36,2.36,2.3,2.3,2.3,562900
2020-10-05,2.3,2.32,2.3,2.3,2.3,135400
2020-10-06,2.3,2.32,2.3,2.32,2.32,184900
2020-10-07,2.34,2.34,2.3,2.32,2.32,99200
2020-10-08,2.34,2.34,2.3,2.32,2.32,104800
2020-10-09,2.34,2.38,2.32,2.32,2.32,341300
2020-10-12,2.34,2.36,2.32,2.34,2.34,146400
2020-10-14,2.34,2.36,2.32,2.32,2.32,412400
2020-10-15,2.3,2.32,2.3,2.32,2.32,259800
2020-10-16,2.32,2.32,2.3,2.3,2.3,331300
2020-10-19,2.28,2.3,2.26,2.26,2.26,392300
2020-10-20,2.26,2.28,2.24,2.28,2.28,182400
2020-10-21,2.28,2.28,2.26,2.26,2.26,121200
2020-10-22,2.26,2.26,2.24,2.24,2.24,222500
2020-10-26,2.26,2.3,2.26,2.28,2.28,30300
2020-10-27,2.3,2.3,2.26,2.28,2.28,22000
2020-10-28,2.3,2.3,2.26,2.26,2.26,83500
2020-10-29,2.26,2.3,2.24,2.26,2.26,56100
2020-10-30,2.24,2.28,2.24,2.26,2.26,82500
2020-11-02,2.26,2.3,2.26,2.28,2.28,38600
2020-11-03,2.28,2.3,2.26,2.3,2.3,96700
2020-11-04,2.28,2.3,2.28,2.28,2.28,38100
2020-11-05,2.28,2.3,2.28,2.3,2.3,129300
2020-11-06,2.28,2.3,2.28,2.3,2.3,47600
2020-11-09,2.28,2.3,2.28,2.3,2.3,461800
2020-11-10,2.32,2.44,2.32,2.34,2.34,2492300
2020-11-11,2.34,2.34,2.28,2.3,2.3,505800
2020-11-12,2.28,2.3,2.26,2.3,2.3,364400
2020-11-13,2.26,2.32,2.26,2.32,2.32,96400
2020-11-16,2.32,2.32,2.28,2.3,2.3,263200
2020-11-17,2.3,2.32,2.28,2.3,2.3,152100
2020-11-18,2.3,2.3,2.26,2.26,2.26,211400
2020-11-19,2.26,2.3,2.26,2.28,2.28,151900
2020-11-20,2.28,2.3,2.28,2.28,2.28,167500
2020-11-23,2.3,2.32,2.28,2.28,2.28,318300
2020-11-24,2.3,2.32,2.26,2.28,2.28,790500
2020-11-25,2.3,2.3,2.28,2.28,2.28,170200
2020-11-26,2.28,2.3,2.28,2.28,2.28,51900
2020-11-27,2.28,2.3,2.28,2.3,2.3,244300
2020-11-30,2.3,2.32,2.28,2.3,2.3,212700
2020-12-01,2.3,2.34,2.3,2.34,2.34,830900
2020-12-02,2.38,2.38,2.32,2.32,2.32,789800
2020-12-03,2.34,2.34,2.32,2.34,2.34,172800
2020-12-04,2.34,2.34,2.32,2.34,2.34,139700
2020-12-08,2.34,2.36,2.32,2.34,2.34,299800
2020-12-09,2.36,2.36,2.32,2.34,2.34,271000
2020-12-14,2.34,2.46,2.32,2.42,2.42,1662800
2020-12-15,2.42,2.44,2.36,2.4,2.4,1252200
2020-12-16,2.4,2.4,2.38,2.38,2.38,447300
2020-12-17,2.4,2.44,2.38,2.42,2.42,905300
2020-12-18,2.42,2.42,2.38,2.4,2.4,383200
2020-12-21,2.42,2.52,2.28,2.28,2.28,2492300
2020-12-22,2.34,2.36,2.28,2.34,2.34,641000
2020-12-23,2.36,2.36,2.32,2.34,2.34,312100
2020-12-24,2.34,2.42,2.34,2.38,2.38,758800
2020-12-25,2.38,2.38,2.32,2.34,2.34,615100
2020-12-28,2.34,2.38,2.34,2.36,2.36,743300
2020-12-29,2.34,2.38,2.34,2.36,2.36,505800
