Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.06,3.06,3.04,3.04,3.04,106400
2020-09-24,3.04,3.06,3.02,3.04,3.04,240700
2020-09-25,3.04,3.06,3.04,3.06,3.06,218500
2020-09-28,3.08,3.08,3.06,3.06,3.06,74000
2020-09-29,3.06,3.08,3.06,3.08,3.08,95300
2020-09-30,3.08,3.08,3.06,3.08,3.08,182400
2020-10-01,3.08,3.08,3.06,3.06,3.06,207800
2020-10-02,3.08,3.1,3.06,3.08,3.08,93400
2020-10-05,3.08,3.2,3.08,3.16,3.16,622200
2020-10-06,3.16,3.18,3.14,3.16,3.16,254600
2020-10-07,3.2,3.2,3.14,3.16,3.16,201700
2020-10-08,3.16,3.3,3.16,3.24,3.24,1304300
2020-10-09,3.28,3.28,3.2,3.2,3.2,431700
2020-10-12,3.26,3.26,3.2,3.24,3.24,204600
2020-10-14,3.22,3.32,3.22,3.24,3.24,477600
2020-10-15,3.24,3.32,3.2,3.26,3.26,1200400
2020-10-16,3.26,3.26,3.18,3.24,3.24,243800
2020-10-19,3.28,3.28,3.12,3.16,3.16,437500
2020-10-20,3.14,3.16,3.14,3.16,3.16,36100
2020-10-21,3.16,3.22,3.14,3.2,3.2,129600
2020-10-22,3.2,3.22,3.1,3.2,3.2,152700
2020-10-26,3.2,3.22,3.14,3.2,3.2,159100
2020-10-27,3.2,3.22,3.18,3.2,3.2,61900
2020-10-28,3.22,3.22,3.16,3.2,3.2,10600
2020-10-29,3.2,3.2,3.14,3.18,3.18,36800
2020-10-30,3.18,3.2,3.18,3.2,3.2,93100
2020-11-02,3.2,3.22,3.18,3.2,3.2,312100
2020-11-03,3.2,3.22,3.18,3.2,3.2,322000
2020-11-04,3.2,3.2,3.18,3.2,3.2,236900
2020-11-05,3.2,3.22,3.2,3.2,3.2,407700
2020-11-06,3.22,3.24,3.2,3.22,3.22,92900
2020-11-09,3.18,3.26,3.18,3.26,3.26,377200
2020-11-10,3.26,3.26,3.2,3.24,3.24,548700
2020-11-11,3.14,3.14,3.08,3.08,3.08,648500
2020-11-12,3.08,3.12,3.08,3.12,3.12,134800
2020-11-13,3.12,3.12,3.1,3.12,3.12,111300
2020-11-16,3.12,3.12,3.08,3.1,3.1,533500
2020-11-17,3.1,3.12,3.06,3.08,3.08,908000
2020-11-18,3.08,3.1,3.08,3.1,3.1,194500
2020-11-19,3.1,3.1,3.06,3.08,3.08,173200
2020-11-20,3.08,3.1,3.08,3.1,3.1,336500
2020-11-23,3.1,3.12,3.06,3.12,3.12,476400
2020-11-24,3.08,3.14,3.08,3.12,3.12,324500
2020-11-25,3.12,3.14,3.1,3.1,3.1,45400
2020-11-26,3.1,3.14,3.1,3.14,3.14,235700
2020-11-27,3.14,3.18,3.12,3.14,3.14,268900
2020-11-30,3.12,3.16,3.12,3.16,3.16,91300
2020-12-01,3.14,3.16,3.14,3.14,3.14,33800
2020-12-02,3.18,3.18,3.14,3.16,3.16,52600
2020-12-03,3.14,3.16,3.14,3.16,3.16,81600
2020-12-04,3.14,3.16,3.12,3.14,3.14,320400
2020-12-08,3.16,3.22,3.14,3.18,3.18,648000
2020-12-09,3.18,3.18,3.14,3.14,3.14,124000
2020-12-14,3.18,3.18,3.12,3.14,3.14,548300
2020-12-15,3.12,3.14,3.1,3.14,3.14,332300
2020-12-16,3.14,3.16,3.14,3.14,3.14,157000
2020-12-17,3.14,3.16,3.14,3.14,3.14,157500
2020-12-18,3.14,3.14,3.12,3.14,3.14,188500
2020-12-21,3.1,3.12,3.08,3.08,3.08,350300
2020-12-22,3.08,3.12,3.06,3.06,3.06,226100
2020-12-23,3.06,3.12,3.06,3.12,3.12,58800
2020-12-24,3.08,3.12,3.08,3.08,3.08,153100
2020-12-25,3.1,3.18,3.1,3.14,3.14,302200
2020-12-28,3.18,3.18,3.16,3.18,3.18,206300
2020-12-29,3.18,3.2,3.18,3.2,3.2,113700
2020-12-30,3.2,3.2,3.14,3.18,3.18,174100
2021-01-04,3.12,3.18,3.1,3.18,3.18,673800
2021-01-05,3.16,3.2,3.12,3.18,3.18,579200
2021-01-06,3.18,3.26,3.18,3.24,3.24,861200
2021-01-07,3.24,3.26,3.22,3.24,3.24,837200
2021-01-08,3.24,3.24,3.22,3.24,3.24,297100
2021-01-11,3.24,3.26,3.22,3.24,3.24,1006700
2021-01-12,3.24,3.26,3.24,3.26,3.26,113500
2021-01-13,3.26,3.32,3.24,3.24,3.24,1373900
2021-01-14,3.24,3.3,3.24,3.24,3.24,300300
2021-01-15,3.24,3.28,3.24,3.28,3.28,269500
2021-01-18,3.28,3.28,3.24,3.28,3.28,90000
2021-01-19,3.28,3.48,3.28,3.38,3.38,2432700
2021-01-20,3.4,3.4,3.32,3.34,3.34,298900
2021-01-21,3.38,3.38,3.32,3.32,3.32,278800
2021-01-22,3.34,3.34,3.28,3.3,3.3,263600
2021-01-25,3.28,3.3,3.24,3.28,3.28,184700
2021-01-26,3.28,3.28,3.24,3.26,3.26,100900
2021-01-27,3.24,3.26,3.24,3.26,3.26,78200
2021-01-28,3.26,3.3,3.22,3.22,3.22,264100
2021-01-29,3.22,3.24,3.2,3.2,3.2,161300
2021-02-01,3.22,3.22,3.18,3.2,3.2,217100
2021-02-02,3.16,3.22,3.16,3.18,3.18,163200
2021-02-03,3.18,3.2,3.18,3.18,3.18,138400
2021-02-04,3.2,3.2,3.16,3.2,3.2,134500
2021-02-05,3.2,3.2,3.16,3.16,3.16,115300
2021-02-08,3.18,3.22,3.16,3.2,3.2,249200
2021-02-09,3.18,3.22,3.18,3.2,3.2,102000
2021-02-10,3.18,3.22,3.18,3.2,3.2,140300
2021-02-11,3.2,3.2,3.18,3.18,3.18,164600
2021-02-15,3.18,3.22,3.18,3.22,3.22,252000
2021-02-16,3.22,3.26,3.22,3.26,3.26,443600
2021-02-17,3.24,3.26,3.22,3.22,3.22,546300
2021-02-18,3.22,3.24,3.2,3.22,3.22,222400
2021-02-19,3.22,3.4,3.22,3.3,3.3,1464300
2021-02-22,3.34,3.34,3.24,3.28,3.28,587000
2021-02-23,3.28,3.32,3.28,3.3,3.3,256900
2021-02-24,3.32,3.32,3.26,3.32,3.32,789400
2021-02-25,3.32,3.34,3.28,3.3,3.3,374300
2021-03-01,3.3,3.3,3.28,3.3,3.3,148100
2021-03-02,3.28,3.3,3.18,3.22,3.22,918300
2021-03-03,3.24,3.3,3.24,3.28,3.28,452000
2021-03-04,3.3,3.36,3.24,3.24,3.24,961400
2021-03-05,3.26,3.32,3.26,3.28,3.28,985000
2021-03-08,3.34,3.34,3.28,3.28,3.28,241900
2021-03-09,3.3,3.3,3.28,3.28,3.28,332300
2021-03-10,3.28,3.32,3.28,3.3,3.3,454500
2021-03-11,3.32,3.32,3.26,3.3,3.3,676500
2021-03-12,3.3,3.3,3.28,3.28,3.28,165000
2021-03-15,3.3,3.32,3.28,3.3,3.3,442500
2021-03-16,3.3,3.3,3.28,3.3,3.3,408300
2021-03-17,3.28,3.34,3.28,3.32,3.32,640100
2021-03-18,3.34,3.38,3.34,3.36,3.36,1191100
2021-03-19,3.34,3.38,3.32,3.38,3.38,877600
2021-03-22,3.38,3.46,3.36,3.4,3.4,3652600
2021-03-23,3.22,3.28,3.22,3.26,3.26,1566900
2021-03-24,3.26,3.28,3.24,3.26,3.26,264900
2021-03-25,3.26,3.3,3.24,3.3,3.3,540400
2021-03-26,3.36,3.36,3.28,3.32,3.32,586200
2021-03-29,3.34,3.38,3.32,3.36,3.36,2495000
2021-03-30,3.4,3.4,3.32,3.32,3.32,767100
2021-03-31,3.36,3.44,3.36,3.4,3.4,1761100
2021-04-01,3.42,3.64,3.36,3.64,3.64,3696200
2021-04-02,3.62,3.64,3.56,3.56,3.56,5267400
2021-04-05,3.56,3.58,3.5,3.5,3.5,1108800
2021-04-07,3.48,3.48,3.4,3.4,3.4,571400
2021-04-08,3.38,3.46,3.38,3.44,3.44,330100
2021-04-09,3.46,3.48,3.42,3.42,3.42,524200
2021-04-12,3.46,3.46,3.38,3.44,3.44,294300
2021-04-16,3.38,3.4,3.34,3.38,3.38,329500
2021-04-19,3.38,3.46,3.36,3.42,3.42,339100
2021-04-20,3.4,3.46,3.4,3.46,3.46,211000
2021-04-21,3.42,3.48,3.42,3.46,3.46,621500
2021-04-22,3.48,3.52,3.44,3.46,3.46,456400
2021-04-23,3.46,3.46,3.36,3.38,3.38,404100
2021-04-26,3.36,3.54,3.34,3.52,3.52,2136600
2021-04-27,3.64,3.84,3.6,3.84,3.84,8941100
2021-04-28,3.86,3.88,3.68,3.68,3.68,18734500
2021-04-29,3.7,3.7,3.58,3.62,3.62,1420000
2021-04-30,3.6,4.0,3.6,4.0,4.0,5962900
2021-05-05,3.98,4.1,3.82,3.82,3.82,18688100
2021-05-06,3.82,4.0,3.82,3.9,3.9,2214800
2021-05-07,3.94,4.08,3.9,4.0,4.0,2561300
2021-05-10,3.98,4.08,3.96,4.0,4.0,1708700
2021-05-11,3.98,3.98,3.76,3.84,3.84,1534200
2021-05-12,3.9,3.9,3.68,3.78,3.78,1695400
2021-05-13,3.68,3.76,3.36,3.6,3.6,2460600
2021-05-14,3.62,3.66,3.5,3.52,3.52,1560800
2021-05-17,3.54,3.82,3.54,3.82,3.82,1680200
2021-05-18,3.84,3.84,3.74,3.74,3.74,385800
2021-05-19,3.74,3.8,3.72,3.74,3.74,355700
2021-05-20,3.72,3.78,3.68,3.72,3.72,778700
2021-05-21,3.7,3.74,3.68,3.68,3.68,462400
2021-05-24,3.68,3.72,3.66,3.68,3.68,402900
2021-05-25,3.7,3.74,3.68,3.7,3.7,216900
