Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,16.9,18.3,15.8,17.0,17.0,0
2020-01-08,16.8,16.8,16.8,16.8,16.8,0
2020-01-10,17.3,17.3,17.3,17.3,17.3,0
2020-01-13,17.2,17.2,16.4,16.4,16.4,0
2020-01-15,16.0,16.1,15.9,16.1,16.1,0
2020-01-24,16.2,16.2,16.2,16.2,16.2,0
2020-01-28,16.5,16.5,16.2,16.2,16.2,0
2020-02-04,16.3,16.3,16.2,16.2,16.2,0
2020-02-05,17.0,17.0,17.0,17.0,17.0,0
2020-02-11,17.0,17.0,17.0,17.0,17.0,0
2020-02-13,17.0,17.5,17.0,17.0,17.0,0
2020-02-18,17.0,17.0,17.0,17.0,17.0,0
2020-02-26,17.0,17.0,17.0,17.0,17.0,0
2020-02-28,17.0,17.0,17.0,17.0,17.0,0
2020-03-02,17.0,17.0,17.0,17.0,17.0,0
2020-03-03,17.0,17.0,17.0,17.0,17.0,0
2020-03-10,17.0,17.0,17.0,17.0,17.0,0
2020-03-11,17.0,17.0,17.0,17.0,17.0,0
2020-03-12,17.0,17.0,17.0,17.0,17.0,0
2020-03-13,17.0,17.0,17.0,17.0,17.0,0
2020-03-18,15.0,15.0,15.0,15.0,15.0,0
2020-03-19,16.0,16.0,16.0,16.0,16.0,0
2020-03-30,18.4,18.4,18.4,18.4,18.4,0
2020-04-14,18.4,18.5,18.4,18.5,18.5,0
2020-04-15,18.5,18.5,18.5,18.5,18.5,0
2020-04-16,18.5,18.5,18.5,18.5,18.5,0
2020-04-17,16.0,16.0,16.0,16.0,16.0,0
2020-04-21,17.7,17.7,17.7,17.7,17.7,0
2020-04-27,17.4,17.4,17.3,17.3,17.3,0
2020-04-28,17.6,17.7,17.6,17.7,17.7,0
2020-05-05,17.7,17.7,17.5,17.5,17.5,0
2020-05-11,17.9,17.9,17.9,17.9,17.9,0
2020-05-12,17.9,17.9,17.9,17.9,17.9,0
2020-05-14,17.9,17.9,17.9,17.9,17.9,0
2020-05-18,18.6,18.6,18.6,18.6,18.6,0
2020-05-20,18.6,18.6,18.6,18.6,18.6,0
2020-05-21,18.5,18.5,18.5,18.5,18.5,0
2020-05-22,18.5,18.5,18.5,18.5,18.5,0
2020-05-25,18.5,18.5,18.5,18.5,18.5,0
2020-05-26,18.5,18.5,18.5,18.5,18.5,0
2020-05-28,18.5,18.5,18.5,18.5,18.5,0
2020-06-04,18.5,18.5,18.5,18.5,18.5,0
2020-06-05,18.5,18.5,18.5,18.5,18.5,0
2020-06-09,18.5,18.5,18.5,18.5,18.5,0
2020-06-10,18.5,18.5,18.5,18.5,18.5,0
2020-06-11,18.5,18.5,18.5,18.5,18.5,0
2020-06-15,18.5,18.5,18.5,18.5,18.5,0
2020-06-19,18.5,18.5,18.5,18.5,18.5,0
2020-06-25,16.3,16.3,16.3,16.3,16.3,0
2020-06-29,18.5,18.5,18.5,18.5,18.5,0
2020-06-30,16.7,16.7,16.7,16.7,16.7,0
2020-07-07,16.7,16.7,16.7,16.7,16.7,0
2020-07-10,16.7,16.7,16.7,16.7,16.7,0
2020-07-13,16.7,16.7,16.7,16.7,16.7,0
2020-07-20,18.4,18.4,18.4,18.4,18.4,0
2020-07-22,18.4,21.1,18.4,21.1,21.1,0
2020-08-28,20.7,20.7,20.7,20.7,20.7,0
2020-11-05,20.6,20.6,20.6,20.6,20.6,0
2020-11-16,18.0,18.0,18.0,18.0,18.0,0
2020-11-17,18.0,18.0,18.0,18.0,18.0,0
2020-11-19,18.0,18.0,18.0,18.0,18.0,0
2020-11-20,18.0,18.0,18.0,18.0,18.0,0
2020-11-23,18.0,18.0,18.0,18.0,18.0,0
2020-11-24,18.0,18.0,18.0,18.0,18.0,0
2020-11-25,18.0,18.0,18.0,18.0,18.0,0
2020-11-26,18.0,18.0,18.0,18.0,18.0,0
2020-11-27,18.0,18.0,18.0,18.0,18.0,0
2020-11-30,18.0,18.0,18.0,18.0,18.0,0
2020-12-01,15.8,15.8,15.8,15.8,15.8,0
2020-12-02,20.5,20.5,20.5,20.5,20.5,0
2020-12-04,15.3,19.0,15.3,19.0,19.0,0
2020-12-09,18.9,18.9,16.7,16.7,16.7,0
2020-12-17,19.9,19.9,19.9,19.9,19.9,0
2020-12-21,19.8,19.8,19.8,19.8,19.8,0
2020-12-23,19.7,19.7,19.7,19.7,19.7,0
2020-12-24,19.6,19.6,19.6,19.6,19.6,0
2020-12-25,17.9,17.9,17.9,17.9,17.9,0
2020-12-28,17.0,17.0,17.0,17.0,17.0,0
2020-12-29,17.0,17.0,17.0,17.0,17.0,0
2020-12-30,17.1,17.1,17.1,17.1,17.1,0
2021-01-04,17.2,19.0,17.2,19.0,19.0,0
2021-01-05,18.9,19.0,18.9,19.0,19.0,0
2021-01-06,18.9,18.9,18.9,18.9,18.9,0
2021-01-07,18.8,18.9,18.8,18.9,18.9,0
2021-01-08,18.9,18.9,18.9,18.9,18.9,0
2021-01-11,18.9,18.9,18.9,18.9,18.9,0
2021-01-14,18.9,18.9,18.9,18.9,18.9,0
2021-01-15,16.2,18.8,16.2,18.8,18.8,0
2021-01-18,18.8,18.8,18.8,18.8,18.8,0
2021-01-20,18.8,18.8,17.4,17.4,17.4,0
2021-01-22,17.5,17.5,17.1,17.1,17.1,0
2021-01-25,17.1,17.1,17.1,17.1,17.1,0
2021-01-26,17.1,17.1,17.1,17.1,17.1,0
2021-01-27,17.1,17.1,17.1,17.1,17.1,0
2021-01-28,17.1,17.1,17.1,17.1,17.1,0
2021-02-01,17.1,17.1,17.1,17.1,17.1,0
2021-02-03,17.1,17.1,17.1,17.1,17.1,0
2021-02-04,15.2,22.0,15.0,17.0,17.0,0
2021-02-05,17.1,17.1,17.0,17.0,17.0,0
2021-02-11,17.0,17.0,17.0,17.0,17.0,0
2021-02-15,16.2,17.0,16.2,17.0,17.0,0
2021-02-18,16.5,17.5,16.5,17.5,17.5,0
2021-02-19,16.6,17.3,16.5,17.3,17.3,0
2021-02-23,16.2,16.2,15.0,16.2,16.2,0
2021-02-24,16.2,16.4,16.2,16.4,16.4,0
2021-02-25,16.4,16.8,16.4,16.8,16.8,0
2021-03-02,16.7,16.8,16.7,16.8,16.8,0
2021-03-03,15.9,15.9,15.9,15.9,15.9,0
2021-03-04,16.0,16.0,15.9,15.9,15.9,0
2021-03-05,18.0,18.0,17.6,17.6,17.6,0
2021-03-08,16.6,16.8,16.1,16.7,16.7,0
2021-03-09,16.6,16.7,16.6,16.6,16.6,0
2021-03-10,16.6,16.6,15.4,16.6,16.6,0
2021-03-11,16.6,16.6,16.6,16.6,16.6,0
2021-03-12,16.0,16.1,16.0,16.0,16.0,0
2021-03-15,16.7,16.7,16.7,16.7,16.7,0
2021-03-16,16.2,16.6,16.2,16.6,16.6,0
2021-03-17,16.7,16.7,16.7,16.7,16.7,0
2021-03-19,15.6,16.5,15.6,16.5,16.5,0
2021-03-22,16.5,17.0,16.5,17.0,17.0,0
2021-03-23,16.9,16.9,16.1,16.9,16.9,0
2021-03-26,16.9,16.9,16.9,16.9,16.9,0
2021-03-29,16.9,16.9,16.9,16.9,16.9,0
2021-03-31,16.9,16.9,16.9,16.9,16.9,0
2021-04-05,16.2,16.5,16.2,16.5,16.5,0
2021-04-08,16.2,16.2,16.2,16.2,16.2,0
2021-04-09,18.0,18.2,17.0,17.0,17.0,0
2021-04-12,16.0,16.9,16.0,16.5,16.5,0
2021-04-16,16.5,16.5,16.5,16.5,16.5,0
2021-04-19,16.3,16.5,16.3,16.5,16.5,0
2021-04-20,16.5,16.5,16.5,16.5,16.5,0
2021-04-22,16.5,16.5,16.5,16.5,16.5,0
2021-04-29,17.0,17.0,17.0,17.0,17.0,0
2021-04-30,17.0,17.0,17.0,17.0,17.0,0
2021-05-10,17.1,17.1,17.1,17.1,17.1,0
2021-05-11,15.6,15.6,15.6,15.6,15.6,0
2021-05-13,16.0,16.0,16.0,16.0,16.0,0
2021-05-14,16.9,17.2,16.9,17.2,17.2,0
2021-05-17,16.0,16.3,15.1,16.2,16.2,0
2021-05-18,16.7,16.7,16.0,16.0,16.0,0
2021-05-25,16.8,16.9,16.8,16.9,16.9,0
2021-05-27,16.0,16.3,16.0,16.3,16.3,0
2021-05-28,16.2,16.2,16.2,16.2,16.2,0
2021-05-31,16.9,16.9,16.9,16.9,16.9,0
2021-06-01,16.8,16.8,16.2,16.8,16.8,0
2021-06-04,16.4,17.0,16.4,17.0,17.0,0
2021-06-07,16.5,16.5,16.5,16.5,16.5,0
2021-06-10,16.1,16.1,16.1,16.1,16.1,0
2021-06-17,16.4,16.4,16.1,16.1,16.1,0
2021-06-22,16.3,16.3,16.3,16.3,16.3,0
2021-06-23,16.1,16.1,16.1,16.1,16.1,0
2021-06-24,16.3,16.3,16.3,16.3,16.3,0
2021-06-25,16.1,16.1,16.1,16.1,16.1,0
2021-06-29,16.1,16.1,16.1,16.1,16.1,0
2021-07-02,16.1,16.1,16.1,16.1,16.1,400
2021-07-05,15.7,15.7,15.7,15.7,15.7,0
2021-07-06,15.7,15.7,15.7,15.7,15.7,0
2021-07-07,15.6,15.6,15.6,15.6,15.6,0
2021-07-12,15.6,15.6,15.6,15.6,15.6,0
2021-07-21,16.0,16.0,16.0,16.0,16.0,0
2021-07-27,16.7,16.7,16.7,16.7,16.7,0
2021-07-29,16.7,16.7,16.7,16.7,16.7,0
2021-07-30,15.7,15.7,15.7,15.7,15.7,0
2021-08-02,16.7,16.7,16.7,16.7,16.7,0
2021-08-03,16.5,16.6,16.5,16.6,16.6,0
2021-08-05,16.2,16.5,16.2,16.5,16.5,0
2021-08-06,16.1,16.1,16.1,16.1,16.1,0
2021-08-10,15.8,15.8,15.8,15.8,15.8,0
2021-08-13,15.8,15.8,15.8,15.8,15.8,0
2021-08-16,16.7,16.8,16.6,16.8,16.8,0
2021-08-17,16.2,16.7,16.2,16.7,16.7,0
2021-08-19,17.9,17.9,17.9,17.9,17.9,0
2021-08-24,17.8,17.8,17.8,17.8,17.8,0
2021-08-25,17.7,17.7,17.7,17.7,17.7,0
2021-08-30,16.9,16.9,15.6,15.6,15.6,0
2021-08-31,16.3,16.3,16.0,16.1,16.1,0
2021-09-01,15.9,15.9,15.9,15.9,15.9,0
2021-09-03,16.1,16.4,16.0,16.4,16.4,0
2021-09-06,16.4,16.4,16.4,16.4,16.4,0
2021-09-07,16.5,16.5,16.2,16.4,16.4,0
2021-09-08,16.2,16.2,16.2,16.2,16.2,200
