Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,0.65,0.76,0.65,0.67,0.67,0
2020-01-06,0.67,0.67,0.66,0.66,0.66,0
2020-01-07,0.65,0.65,0.65,0.65,0.65,0
2020-01-08,0.65,0.65,0.63,0.65,0.65,0
2020-01-09,0.65,0.65,0.64,0.65,0.65,0
2020-01-10,0.65,0.65,0.65,0.65,0.65,0
2020-01-13,0.64,0.65,0.64,0.65,0.65,0
2020-01-14,0.63,0.65,0.63,0.65,0.65,0
2020-01-15,0.65,0.65,0.64,0.64,0.64,0
2020-01-16,0.65,0.65,0.64,0.65,0.65,0
2020-01-20,0.66,0.66,0.64,0.64,0.64,0
2020-01-21,0.67,0.67,0.62,0.66,0.66,0
2020-01-22,0.65,0.65,0.65,0.65,0.65,0
2020-01-24,0.67,0.67,0.67,0.67,0.67,0
2020-01-27,0.66,0.66,0.62,0.62,0.62,0
2020-01-30,0.63,0.63,0.63,0.63,0.63,0
2020-01-31,0.63,0.64,0.62,0.64,0.64,0
2020-02-03,0.64,0.64,0.64,0.64,0.64,0
2020-02-04,0.62,0.62,0.62,0.62,0.62,0
2020-02-05,0.65,0.65,0.65,0.65,0.65,0
2020-02-07,0.65,0.65,0.65,0.65,0.65,0
2020-02-11,0.63,0.63,0.63,0.63,0.63,0
2020-02-12,0.62,0.65,0.62,0.64,0.64,0
2020-02-13,0.64,0.64,0.64,0.64,0.64,0
2020-02-14,0.65,0.65,0.65,0.65,0.65,0
2020-02-17,0.63,0.63,0.63,0.63,0.63,0
2020-02-18,0.64,0.64,0.62,0.62,0.62,0
2020-02-19,0.64,0.64,0.62,0.63,0.63,0
2020-02-20,0.62,0.63,0.62,0.63,0.63,0
2020-02-21,0.62,0.62,0.62,0.62,0.62,0
2020-02-24,0.62,0.62,0.62,0.62,0.62,0
2020-02-25,0.62,0.62,0.62,0.62,0.62,0
2020-02-26,0.62,0.62,0.54,0.54,0.54,0
2020-02-27,0.53,0.56,0.53,0.54,0.54,0
2020-02-28,0.62,0.62,0.61,0.61,0.61,0
2020-03-02,0.56,0.62,0.53,0.53,0.53,0
2020-03-03,0.6,0.6,0.53,0.54,0.54,0
2020-03-04,0.59,0.62,0.57,0.57,0.57,0
2020-03-05,0.58,0.6,0.57,0.57,0.57,0
2020-03-06,0.58,0.59,0.58,0.59,0.59,0
2020-03-09,0.57,0.57,0.53,0.53,0.53,0
2020-03-10,0.55,0.57,0.54,0.54,0.54,0
2020-03-11,0.55,0.56,0.52,0.52,0.52,0
2020-03-12,0.54,0.54,0.5,0.5,0.5,0
2020-03-13,0.5,0.54,0.5,0.5,0.5,0
2020-03-16,0.5,0.53,0.48,0.48,0.48,0
2020-03-17,0.49,0.54,0.48,0.48,0.48,0
2020-03-18,0.5,0.5,0.5,0.5,0.5,0
2020-03-19,0.51,0.52,0.5,0.5,0.5,0
2020-03-20,0.51,0.51,0.51,0.51,0.51,0
2020-03-23,0.51,0.51,0.49,0.51,0.51,0
2020-03-24,0.51,0.52,0.51,0.52,0.52,0
2020-03-25,0.52,0.53,0.52,0.52,0.52,0
2020-03-26,0.52,0.52,0.52,0.52,0.52,0
2020-03-27,0.52,0.53,0.52,0.52,0.52,0
2020-03-30,0.52,0.52,0.51,0.51,0.51,0
2020-03-31,0.54,0.55,0.53,0.55,0.55,0
2020-04-01,0.56,0.56,0.54,0.54,0.54,0
2020-04-02,0.53,0.55,0.53,0.53,0.53,0
2020-04-03,0.53,0.53,0.53,0.53,0.53,0
2020-04-07,0.55,0.55,0.55,0.55,0.55,0
2020-04-08,0.56,0.56,0.52,0.52,0.52,0
2020-04-09,0.53,0.56,0.53,0.56,0.56,0
2020-04-10,0.52,0.56,0.52,0.56,0.56,0
2020-04-13,0.56,0.56,0.56,0.56,0.56,0
2020-04-14,0.58,0.58,0.56,0.57,0.57,0
2020-04-15,0.57,0.57,0.57,0.57,0.57,0
2020-04-16,0.57,0.6,0.57,0.58,0.58,0
2020-04-20,0.6,0.6,0.58,0.58,0.58,0
2020-04-21,0.59,0.6,0.59,0.6,0.6,0
2020-04-22,0.65,0.65,0.6,0.6,0.6,0
2020-04-23,0.62,0.62,0.62,0.62,0.62,0
2020-04-24,0.62,0.63,0.62,0.62,0.62,0
2020-04-27,0.63,0.64,0.63,0.64,0.64,0
2020-04-29,0.63,0.64,0.63,0.64,0.64,0
2020-04-30,0.62,0.62,0.62,0.62,0.62,0
2020-05-05,0.62,0.62,0.62,0.62,0.62,0
2020-05-07,0.62,0.62,0.62,0.62,0.62,0
2020-05-08,0.62,0.62,0.62,0.62,0.62,0
2020-05-12,0.64,0.64,0.64,0.64,0.64,0
2020-05-13,0.63,0.63,0.63,0.63,0.63,0
2020-05-14,0.63,0.63,0.63,0.63,0.63,0
2020-05-15,0.63,0.64,0.62,0.64,0.64,0
2020-05-18,0.63,0.63,0.62,0.62,0.62,0
2020-05-19,0.63,0.63,0.63,0.63,0.63,0
2020-05-21,0.62,0.62,0.62,0.62,0.62,0
2020-05-26,0.63,0.64,0.63,0.63,0.63,0
2020-05-27,0.65,0.73,0.64,0.73,0.73,0
2020-05-28,0.73,0.83,0.73,0.82,0.82,0
2020-05-29,0.82,0.82,0.71,0.72,0.72,0
2020-06-01,0.71,0.71,0.65,0.68,0.68,0
2020-06-02,0.66,0.78,0.66,0.75,0.75,0
2020-06-04,0.77,0.77,0.75,0.77,0.77,0
2020-06-05,0.77,0.78,0.76,0.77,0.77,0
2020-06-08,0.75,0.76,0.75,0.76,0.76,0
2020-06-09,0.76,0.77,0.73,0.73,0.73,0
2020-06-10,0.74,0.74,0.74,0.74,0.74,0
2020-06-11,0.74,0.75,0.73,0.74,0.74,0
2020-06-12,0.72,0.72,0.72,0.72,0.72,0
2020-06-15,0.71,0.71,0.65,0.67,0.67,0
2020-06-16,0.66,0.68,0.66,0.68,0.68,0
2020-06-17,0.68,0.69,0.68,0.69,0.69,0
2020-06-18,0.7,0.78,0.7,0.74,0.74,0
2020-06-19,0.73,0.75,0.73,0.74,0.74,0
2020-06-22,0.75,0.75,0.72,0.73,0.73,0
2020-06-23,0.73,0.73,0.72,0.73,0.73,0
2020-06-24,0.73,0.75,0.73,0.74,0.74,0
2020-06-25,0.73,0.73,0.73,0.73,0.73,0
2020-06-26,0.75,0.75,0.75,0.75,0.75,0
2020-06-29,0.73,0.74,0.73,0.74,0.74,0
2020-06-30,0.74,0.74,0.74,0.74,0.74,0
2020-07-01,0.73,0.73,0.69,0.69,0.69,0
2020-07-02,0.72,0.73,0.71,0.73,0.73,0
2020-07-03,0.72,0.74,0.72,0.74,0.74,0
2020-07-07,0.73,0.73,0.73,0.73,0.73,0
2020-07-08,0.73,0.73,0.73,0.73,0.73,0
2020-07-09,0.72,0.72,0.72,0.72,0.72,0
2020-07-14,0.71,0.71,0.71,0.71,0.71,0
2020-07-15,0.7,0.73,0.7,0.73,0.73,0
2020-07-17,0.71,0.72,0.71,0.72,0.72,0
2020-07-20,0.73,0.78,0.73,0.77,0.77,0
2020-07-21,0.78,0.79,0.78,0.78,0.78,0
2020-07-22,0.78,0.81,0.78,0.8,0.8,0
2020-07-23,0.8,0.8,0.75,0.75,0.75,0
2020-07-24,0.76,0.76,0.75,0.75,0.75,0
2020-07-29,0.74,0.74,0.74,0.74,0.74,0
2020-07-30,0.74,0.74,0.74,0.74,0.74,0
2020-07-31,0.73,0.75,0.73,0.74,0.74,0
2020-08-03,0.76,0.76,0.76,0.76,0.76,0
2020-08-05,0.74,0.74,0.74,0.74,0.74,0
2020-08-06,0.75,0.75,0.75,0.75,0.75,0
2020-08-07,0.73,0.73,0.73,0.73,0.73,0
2020-08-11,0.75,0.75,0.74,0.74,0.74,0
2020-08-13,0.73,0.73,0.69,0.71,0.71,0
2020-08-14,0.7,0.7,0.7,0.7,0.7,0
2020-08-17,0.68,0.71,0.68,0.7,0.7,0
2020-08-18,0.7,0.7,0.69,0.69,0.69,0
2020-08-20,0.71,0.71,0.65,0.65,0.65,0
2020-08-21,0.67,0.67,0.65,0.65,0.65,0
2020-08-24,0.65,0.66,0.65,0.65,0.65,0
2020-08-25,0.65,0.67,0.65,0.65,0.65,0
2020-08-26,0.66,0.66,0.66,0.66,0.66,0
2020-08-27,0.66,0.67,0.65,0.67,0.67,0
2020-08-28,0.67,0.7,0.67,0.7,0.7,0
2020-09-01,0.7,0.7,0.7,0.7,0.7,0
2020-09-02,0.68,0.68,0.68,0.68,0.68,0
2020-09-10,0.69,0.69,0.69,0.69,0.69,0
2020-09-14,0.69,0.69,0.69,0.69,0.69,0
2020-09-15,0.69,0.69,0.69,0.69,0.69,0
2020-09-16,0.69,0.69,0.69,0.69,0.69,0
2020-09-17,0.68,0.69,0.68,0.69,0.69,0
2020-09-18,0.69,0.69,0.69,0.69,0.69,0
2020-09-24,0.68,0.68,0.68,0.68,0.68,0
2020-09-25,0.68,0.68,0.68,0.68,0.68,0
2020-09-28,0.68,0.68,0.67,0.67,0.67,0
2020-09-29,0.69,0.69,0.69,0.69,0.69,0
2020-10-05,0.69,0.69,0.65,0.65,0.65,0
2020-10-06,0.66,0.66,0.66,0.66,0.66,0
2020-10-07,0.65,0.65,0.63,0.63,0.63,0
2020-10-08,0.62,0.62,0.61,0.62,0.62,0
2020-10-09,0.63,0.63,0.62,0.62,0.62,0
2020-10-12,0.62,0.63,0.62,0.63,0.63,0
2020-10-14,0.62,0.63,0.62,0.63,0.63,0
2020-10-15,0.63,0.63,0.63,0.63,0.63,0
2020-10-16,0.62,0.62,0.62,0.62,0.62,0
2020-10-19,0.62,0.62,0.62,0.62,0.62,0
2020-10-20,0.62,0.62,0.62,0.62,0.62,0
2020-10-21,0.63,0.63,0.63,0.63,0.63,0
2020-10-27,0.63,0.63,0.63,0.63,0.63,0
2020-10-28,0.62,0.62,0.62,0.62,0.62,0
2020-10-29,0.62,0.64,0.62,0.64,0.64,0
2020-10-30,0.65,0.65,0.64,0.64,0.64,0
2020-11-02,0.64,0.64,0.64,0.64,0.64,0
2020-11-04,0.63,0.63,0.63,0.63,0.63,0
2020-11-05,0.64,0.64,0.64,0.64,0.64,0
2020-11-06,0.63,0.63,0.63,0.63,0.63,0
2020-11-10,0.63,0.63,0.63,0.63,0.63,0
2020-11-11,0.64,0.65,0.62,0.62,0.62,0
2020-11-12,0.63,0.63,0.62,0.62,0.62,0
2020-11-17,0.62,0.63,0.62,0.63,0.63,0
2020-11-19,0.64,0.64,0.64,0.64,0.64,0
2020-11-20,0.64,0.66,0.64,0.64,0.64,0
2020-11-23,0.63,0.66,0.63,0.66,0.66,0
2020-11-24,0.66,0.66,0.65,0.66,0.66,0
2020-11-25,0.66,0.66,0.66,0.66,0.66,0
2020-11-30,0.67,0.67,0.66,0.66,0.66,0
2020-12-01,0.66,0.66,0.66,0.66,0.66,0
2020-12-02,0.65,0.66,0.65,0.66,0.66,0
2020-12-03,0.65,0.65,0.65,0.65,0.65,0
2020-12-04,0.67,0.67,0.67,0.67,0.67,0
2020-12-08,0.68,0.68,0.68,0.68,0.68,0
2020-12-09,0.69,0.69,0.66,0.66,0.66,0
2020-12-14,0.69,0.69,0.69,0.69,0.69,0
2020-12-16,0.69,0.69,0.67,0.69,0.69,0
2020-12-17,0.69,0.69,0.69,0.69,0.69,0
2020-12-18,0.69,0.72,0.69,0.72,0.72,0
2020-12-21,0.71,0.71,0.69,0.69,0.69,0
2020-12-22,0.68,0.68,0.68,0.68,0.68,0
2020-12-23,0.68,0.69,0.68,0.69,0.69,0
2020-12-25,0.69,0.71,0.69,0.71,0.71,0
2020-12-28,0.69,0.7,0.69,0.7,0.7,0
2020-12-29,0.71,0.71,0.7,0.7,0.7,0
2020-12-30,0.71,0.71,0.7,0.7,0.7,0
2021-01-04,0.71,0.71,0.71,0.71,0.71,0
2021-01-05,0.7,0.72,0.7,0.72,0.72,0
2021-01-06,0.73,0.73,0.72,0.72,0.72,0
2021-01-07,0.72,0.73,0.71,0.73,0.73,0
2021-01-08,0.73,0.75,0.72,0.72,0.72,0
2021-01-11,0.75,0.75,0.74,0.74,0.74,0
2021-01-12,0.73,0.75,0.73,0.75,0.75,0
2021-01-13,0.73,0.74,0.73,0.74,0.74,0
2021-01-14,0.73,0.74,0.73,0.73,0.73,0
2021-01-15,0.73,0.74,0.72,0.74,0.74,0
2021-01-18,0.74,0.74,0.72,0.73,0.73,0
