Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.2,4.26,4.18,4.18,4.18,6186500
2020-09-24,4.18,4.2,4.14,4.18,4.18,4674100
2020-09-25,4.16,4.2,4.14,4.16,4.16,7367300
2020-09-28,4.16,4.2,4.14,4.2,4.2,2724400
2020-09-29,4.2,4.26,4.2,4.2,4.2,3701500
2020-09-30,4.22,4.22,4.14,4.14,4.14,4198200
2020-10-01,4.14,4.2,4.12,4.16,4.16,4748000
2020-10-02,4.16,4.18,4.12,4.14,4.14,3331900
2020-10-05,4.14,4.2,4.14,4.2,4.2,2699000
2020-10-06,4.22,4.24,4.18,4.2,4.2,3315000
2020-10-07,4.22,4.28,4.2,4.26,4.26,5147100
2020-10-08,4.28,4.3,4.24,4.28,4.28,3630300
2020-10-09,4.28,4.32,4.26,4.28,4.28,9558300
2020-10-12,4.3,4.38,4.28,4.34,4.34,8215400
2020-10-14,4.36,4.38,4.3,4.34,4.34,7524800
2020-10-15,4.34,4.36,4.28,4.28,4.28,6471000
2020-10-16,4.3,4.32,4.2,4.26,4.26,9773300
2020-10-19,4.26,4.26,4.18,4.2,4.2,7653400
2020-10-20,4.2,4.24,4.18,4.24,4.24,5140900
2020-10-21,4.24,4.28,4.18,4.2,4.2,7293700
2020-10-22,4.2,4.32,4.18,4.32,4.32,40651900
2020-10-26,4.3,4.32,4.24,4.24,4.24,4016500
2020-10-27,4.24,4.24,4.2,4.22,4.22,3069600
2020-10-28,4.22,4.26,4.22,4.24,4.24,2595200
2020-10-29,4.22,4.26,4.22,4.22,4.22,2010100
2020-10-30,4.22,4.26,4.18,4.2,4.2,4601100
2020-11-02,4.2,4.24,4.18,4.2,4.2,6338600
2020-11-03,4.22,4.26,4.2,4.22,4.22,9520300
2020-11-04,4.24,4.26,4.2,4.22,4.22,4709100
2020-11-05,4.24,4.28,4.22,4.28,4.28,10540300
2020-11-06,4.26,4.26,4.2,4.26,4.26,13045800
2020-11-09,4.26,4.28,4.24,4.24,4.24,18365200
2020-11-10,4.26,4.32,4.24,4.32,4.32,22847700
2020-11-11,4.34,4.36,4.26,4.28,4.28,18190600
2020-11-12,4.28,4.3,4.26,4.28,4.28,6138700
2020-11-13,4.28,4.32,4.28,4.3,4.3,6647000
2020-11-16,4.3,4.3,4.26,4.3,4.3,7106000
2020-11-17,4.28,4.3,4.24,4.26,4.26,8114300
2020-11-18,4.26,4.3,4.24,4.28,4.28,7959700
2020-11-19,4.26,4.3,4.24,4.24,4.24,11108600
2020-11-20,4.26,4.34,4.26,4.28,4.28,26300200
2020-11-23,4.3,4.38,4.28,4.36,4.36,24242300
2020-11-24,4.36,4.4,4.32,4.34,4.34,29862600
2020-11-25,4.38,4.38,4.34,4.36,4.36,11103500
2020-11-26,4.38,4.46,4.36,4.44,4.44,26269700
2020-11-27,4.46,4.52,4.42,4.48,4.48,22689700
2020-11-30,4.48,4.5,4.42,4.44,4.44,14076500
2020-12-01,4.44,4.48,4.42,4.46,4.46,13121100
2020-12-02,4.46,4.48,4.38,4.4,4.4,22844900
2020-12-03,4.42,4.46,4.42,4.44,4.44,7365900
2020-12-04,4.42,4.46,4.42,4.42,4.42,6955900
2020-12-08,4.42,4.52,4.42,4.46,4.46,43739100
2020-12-09,4.48,4.54,4.48,4.5,4.5,35924300
2020-12-14,4.54,4.68,4.52,4.68,4.68,57369400
2020-12-15,4.68,4.68,4.6,4.6,4.6,25972400
2020-12-16,4.6,4.64,4.58,4.62,4.62,15227100
2020-12-17,4.62,4.66,4.6,4.6,4.6,12136000
2020-12-18,4.62,4.66,4.52,4.54,4.54,21727300
2020-12-21,4.44,4.46,4.2,4.2,4.2,43979400
2020-12-22,4.14,4.28,4.14,4.26,4.26,17770600
2020-12-23,4.28,4.3,4.2,4.24,4.24,16231100
2020-12-24,4.24,4.3,4.22,4.3,4.3,7649200
2020-12-25,4.28,4.34,4.28,4.32,4.32,6719700
2020-12-28,4.3,4.36,4.3,4.3,4.3,10348700
2020-12-29,4.3,4.34,4.3,4.3,4.3,6831100
2020-12-30,4.32,4.34,4.26,4.28,4.28,6028600
2021-01-04,4.26,4.3,4.24,4.28,4.28,6631500
2021-01-05,4.3,4.46,4.3,4.46,4.46,24640500
2021-01-06,4.48,4.5,4.38,4.38,4.38,21411500
2021-01-07,4.42,4.46,4.38,4.4,4.4,10539000
2021-01-08,4.42,4.48,4.38,4.42,4.42,13624200
2021-01-11,4.46,4.48,4.4,4.46,4.46,12602000
2021-01-12,4.5,4.52,4.44,4.5,4.5,11690800
2021-01-13,4.52,4.54,4.48,4.54,4.54,10620400
2021-01-14,4.54,4.54,4.5,4.54,4.54,10785300
2021-01-15,4.54,4.54,4.5,4.5,4.5,7297600
2021-01-18,4.5,4.56,4.5,4.56,4.56,10484200
2021-01-19,4.56,4.56,4.5,4.52,4.52,5336000
2021-01-20,4.52,4.54,4.5,4.5,4.5,6698500
2021-01-21,4.52,4.54,4.48,4.48,4.48,6281500
2021-01-22,4.48,4.5,4.44,4.46,4.46,12701400
2021-01-25,4.46,4.48,4.4,4.42,4.42,10345300
2021-01-26,4.46,4.46,4.36,4.38,4.38,16596900
2021-01-27,4.4,4.44,4.38,4.4,4.4,5613200
2021-01-28,4.36,4.4,4.32,4.34,4.34,14111700
2021-01-29,4.34,4.4,4.32,4.36,4.36,18835900
2021-02-01,4.38,4.44,4.36,4.4,4.4,10212300
2021-02-02,4.4,4.48,4.4,4.44,4.44,11464500
2021-02-03,4.48,4.5,4.44,4.46,4.46,7889200
2021-02-04,4.44,4.46,4.42,4.46,4.46,8607500
2021-02-05,4.46,4.48,4.42,4.42,4.42,8332500
2021-02-08,4.42,4.46,4.4,4.4,4.4,6765900
2021-02-09,4.4,4.44,4.38,4.4,4.4,6497800
2021-02-10,4.4,4.42,4.38,4.4,4.4,7826600
2021-02-11,4.4,4.44,4.38,4.4,4.4,7207300
2021-02-15,4.4,4.46,4.4,4.42,4.42,7305800
2021-02-16,4.42,4.48,4.42,4.46,4.46,11290200
2021-02-17,4.44,4.46,4.42,4.44,4.44,9477700
2021-02-18,4.46,4.46,4.4,4.44,4.44,14211300
2021-02-19,4.42,4.44,4.36,4.38,4.38,15267300
2021-02-22,4.36,4.4,4.36,4.38,4.38,7887800
2021-02-23,4.34,4.36,4.32,4.34,4.34,7944600
2021-02-24,4.34,4.36,4.3,4.3,4.3,7805300
2021-02-25,4.32,4.36,4.3,4.32,4.32,8888000
2021-03-01,4.28,4.32,4.28,4.32,4.32,12589800
2021-03-02,4.32,4.34,4.3,4.32,4.32,6200300
2021-03-03,4.34,4.42,4.34,4.4,4.4,13179300
2021-03-04,4.4,4.42,4.36,4.38,4.38,6087800
2021-03-05,4.38,4.42,4.36,4.4,4.4,8195200
2021-03-08,4.4,4.42,4.38,4.42,4.42,13088200
2021-03-09,4.42,4.42,4.36,4.4,4.4,12338500
2021-03-10,4.4,4.46,4.38,4.42,4.42,15789600
2021-03-11,4.44,4.44,4.4,4.4,4.4,13302400
2021-03-12,4.3,4.32,4.26,4.28,4.28,13973900
2021-03-15,4.28,4.32,4.28,4.3,4.3,15882600
2021-03-16,4.32,4.34,4.28,4.3,4.3,23464600
2021-03-17,4.3,4.32,4.28,4.3,4.3,8681000
2021-03-18,4.3,4.32,4.3,4.3,4.3,3968300
2021-03-19,4.32,4.32,4.28,4.32,4.32,12982600
2021-03-22,4.32,4.32,4.28,4.3,4.3,7142500
2021-03-23,4.3,4.32,4.28,4.3,4.3,8568800
2021-03-24,4.3,4.32,4.28,4.3,4.3,8046500
2021-03-25,4.32,4.36,4.3,4.34,4.34,26873200
2021-03-26,4.36,4.4,4.34,4.36,4.36,28483000
2021-03-29,4.38,4.44,4.36,4.38,4.38,40032500
2021-03-30,4.4,4.4,4.36,4.38,4.38,13271000
2021-03-31,4.38,4.4,4.36,4.38,4.38,7180200
2021-04-01,4.38,4.4,4.36,4.38,4.38,9435000
2021-04-02,4.38,4.4,4.36,4.36,4.36,9727900
2021-04-05,4.38,4.38,4.34,4.36,4.36,12162600
2021-04-07,4.34,4.36,4.28,4.3,4.3,17929400
2021-04-08,4.3,4.38,4.28,4.34,4.34,14021300
2021-04-09,4.34,4.36,4.32,4.34,4.34,7041800
2021-04-12,4.32,4.34,4.28,4.3,4.3,17012600
2021-04-16,4.28,4.3,4.24,4.28,4.28,12438800
2021-04-19,4.28,4.36,4.28,4.36,4.36,9937800
2021-04-20,4.34,4.36,4.32,4.32,4.32,6696100
2021-04-21,4.32,4.36,4.32,4.32,4.32,8280200
2021-04-22,4.32,4.36,4.32,4.32,4.32,6085700
2021-04-23,4.32,4.34,4.28,4.28,4.28,14432400
2021-04-26,4.28,4.3,4.28,4.28,4.28,5925700
2021-04-27,4.3,4.32,4.28,4.32,4.32,5654900
2021-04-28,4.32,4.38,4.3,4.36,4.36,16386100
2021-04-29,4.36,4.38,4.32,4.32,4.32,12683600
2021-04-30,4.32,4.38,4.32,4.36,4.36,7725700
2021-05-05,4.4,4.62,4.38,4.58,4.58,155856800
2021-05-06,4.54,4.6,4.5,4.54,4.54,49037200
2021-05-07,4.56,4.62,4.54,4.56,4.56,65955400
2021-05-10,4.58,4.6,4.54,4.58,4.58,30655200
2021-05-11,4.58,4.6,4.38,4.52,4.52,60374900
2021-05-12,4.5,4.52,4.44,4.46,4.46,17229600
2021-05-13,4.44,4.46,4.28,4.38,4.38,35782000
2021-05-14,4.4,4.46,4.32,4.44,4.44,13612400
2021-05-17,4.42,4.44,4.36,4.44,4.44,7357700
2021-05-18,4.46,4.46,4.4,4.42,4.42,7434700
2021-05-19,4.42,4.42,4.38,4.42,4.42,4554700
2021-05-20,4.42,4.44,4.4,4.4,4.4,4238500
2021-05-21,4.42,4.44,4.38,4.4,4.4,13989800
2021-05-24,4.42,4.44,4.38,4.42,4.42,6793200
2021-05-25,4.42,4.44,4.4,4.4,4.4,8498500
2021-05-27,4.42,4.5,4.42,4.5,4.5,18905000
2021-05-28,4.5,4.52,4.46,4.46,4.46,16816800
2021-05-31,4.46,4.5,4.4,4.44,4.44,14088400
2021-06-01,4.44,4.5,4.42,4.46,4.46,12166400
2021-06-02,4.48,4.54,4.46,4.52,4.52,40277400
2021-06-04,4.52,4.56,4.5,4.52,4.52,27391300
2021-06-07,4.54,4.56,4.52,4.52,4.52,10906400
2021-06-08,4.54,4.56,4.5,4.52,4.52,13962700
2021-06-09,4.54,4.56,4.52,4.54,4.54,10060700
2021-06-10,4.54,4.56,4.52,4.52,4.52,10463700
2021-06-11,4.52,4.54,4.5,4.52,4.52,11073300
2021-06-14,4.52,4.54,4.5,4.54,4.54,6611200
2021-06-15,4.54,4.54,4.5,4.5,4.5,10124600
2021-06-16,4.5,4.52,4.48,4.48,4.48,6024700
2021-06-17,4.48,4.48,4.42,4.44,4.44,7719000
2021-06-18,4.46,4.48,4.42,4.48,4.48,7291900
2021-06-21,4.46,4.48,4.4,4.44,4.44,12482000
2021-06-22,4.46,4.46,4.4,4.4,4.4,13896300
2021-06-23,4.4,4.42,4.36,4.36,4.36,12304900
2021-06-24,4.36,4.38,4.32,4.34,4.34,12814800
2021-06-25,4.36,4.38,4.34,4.34,4.34,6463300
2021-06-28,4.34,4.36,4.32,4.34,4.34,6313300
2021-06-29,4.34,4.38,4.34,4.34,4.34,10569000
2021-06-30,4.38,4.44,4.36,4.42,4.42,10004100
2021-07-01,4.4,4.42,4.38,4.4,4.4,3764700
2021-07-02,4.4,4.42,4.36,4.38,4.38,5248700
2021-07-05,4.4,4.4,4.36,4.36,4.36,2267300
2021-07-06,4.38,4.42,4.36,4.38,4.38,18515000
2021-07-07,4.4,4.42,4.32,4.34,4.34,13808100
2021-07-08,4.34,4.36,4.26,4.3,4.3,27600100
2021-07-09,4.28,4.3,4.26,4.3,4.3,5512400
2021-07-12,4.3,4.34,4.28,4.34,4.34,7172900
2021-07-13,4.34,4.36,4.32,4.36,4.36,4017200
2021-07-14,4.34,4.36,4.32,4.36,4.36,3230900
2021-07-15,4.36,4.36,4.34,4.36,4.36,2593200
2021-07-16,4.34,4.36,4.34,4.36,4.36,3254900
2021-07-19,4.34,4.36,4.3,4.34,4.34,3479900
2021-07-20,4.34,4.34,4.3,4.34,4.34,3802000
2021-07-21,4.34,4.36,4.32,4.32,4.32,8172800
2021-07-22,4.32,4.36,4.3,4.32,4.32,7162700
2021-07-23,4.32,4.34,4.32,4.32,4.32,1134500
2021-07-27,4.32,4.34,4.28,4.32,4.32,6098700
2021-07-29,4.3,4.34,4.28,4.32,4.32,3188300
2021-07-30,4.32,4.42,4.26,4.4,4.4,12647600
2021-08-02,4.4,4.4,4.34,4.36,4.36,3914200
2021-08-03,4.36,4.4,4.34,4.4,4.4,5182200
2021-08-04,4.4,4.42,4.38,4.4,4.4,3149600
2021-08-05,4.38,4.44,4.38,4.42,4.42,4693200
2021-08-06,4.42,4.42,4.36,4.4,4.4,8005200
2021-08-09,4.38,4.4,4.36,4.4,4.4,4633800
2021-08-10,4.4,4.42,4.38,4.4,4.4,4174200
2021-08-11,4.4,4.42,4.36,4.38,4.38,4240000
2021-08-13,4.38,4.4,4.36,4.36,4.36,3124400
2021-08-16,4.38,4.4,4.32,4.34,4.34,5328000
2021-08-17,4.34,4.34,4.26,4.28,4.28,27532700
2021-08-18,4.3,4.32,4.24,4.26,4.26,20615700
2021-08-19,4.26,4.26,4.2,4.24,4.24,21939700
2021-08-20,4.24,4.24,4.18,4.2,4.2,21261500
2021-08-23,4.2,4.22,4.16,4.2,4.2,27787600
2021-08-24,4.22,4.3,4.22,4.24,4.24,25733700
2021-08-25,4.26,4.28,4.22,4.26,4.26,13081500
2021-08-26,4.26,4.3,4.24,4.28,4.28,8830600
2021-08-27,4.28,4.32,4.28,4.32,4.32,9422200
2021-08-30,4.36,4.38,4.34,4.38,4.38,15013400
2021-08-31,4.38,4.42,4.36,4.4,4.4,15636600
2021-09-01,4.4,4.4,4.36,4.38,4.38,11379300
2021-09-02,4.38,4.42,4.38,4.4,4.4,14071300
2021-09-03,4.4,4.4,4.36,4.4,4.4,14391500
2021-09-06,4.4,4.4,4.38,4.38,4.38,5784900
2021-09-07,4.38,4.4,4.36,4.38,4.38,14225200
2021-09-08,4.38,4.42,4.36,4.38,4.38,19911500
2021-09-09,4.28,4.3,4.26,4.28,4.28,16783900
2021-09-10,4.28,4.28,4.26,4.26,4.26,4625600
2021-09-13,4.28,4.28,4.26,4.28,4.28,6448200
2021-09-14,4.28,4.3,4.26,4.26,4.26,6912300
2021-09-15,4.28,4.28,4.26,4.28,4.28,3591100
2021-09-16,4.28,4.28,4.24,4.24,4.24,9073800
2021-09-17,4.26,4.26,4.24,4.24,4.24,8368100
2021-09-20,4.24,4.24,4.2,4.22,4.22,12379000
2021-09-21,4.22,4.26,4.2,4.24,4.24,11064600
