Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.61,1.61,1.57,1.58,1.58,66800
2020-09-24,1.62,1.62,1.58,1.62,1.62,369300
2020-09-25,1.63,1.64,1.58,1.63,1.63,1221000
2020-09-28,1.64,1.64,1.58,1.63,1.63,802200
2020-09-29,1.62,1.66,1.6,1.62,1.62,828500
2020-09-30,1.61,1.63,1.57,1.58,1.58,189800
2020-10-01,1.56,1.57,1.52,1.57,1.57,376600
2020-10-02,1.61,1.61,1.55,1.59,1.59,181200
2020-10-05,1.6,1.6,1.52,1.59,1.59,107300
2020-10-06,1.59,1.63,1.58,1.63,1.63,845100
2020-10-07,1.68,1.75,1.66,1.7,1.7,5666400
2020-10-08,1.74,1.74,1.69,1.69,1.69,2423100
2020-10-09,1.72,1.73,1.7,1.73,1.73,1422500
2020-10-12,1.73,1.76,1.71,1.76,1.76,1607900
2020-10-14,1.76,1.83,1.73,1.76,1.76,2024400
2020-10-15,1.74,1.76,1.42,1.7,1.7,918900
2020-10-16,1.65,1.7,1.57,1.66,1.66,836800
2020-10-19,1.56,1.6,1.51,1.53,1.53,705400
2020-10-20,1.5,1.57,1.5,1.54,1.54,155700
2020-10-21,1.61,1.61,1.53,1.53,1.53,311000
2020-10-22,1.56,1.56,1.54,1.56,1.56,106600
2020-10-26,1.5,1.6,1.5,1.51,1.51,469300
2020-10-27,1.52,1.52,1.5,1.51,1.51,268400
2020-10-28,1.5,1.52,1.44,1.51,1.51,947300
2020-10-29,1.5,1.5,1.45,1.48,1.48,484000
2020-10-30,1.49,1.5,1.44,1.48,1.48,536200
2020-11-02,1.47,1.48,1.45,1.48,1.48,90300
2020-11-03,1.47,1.48,1.45,1.48,1.48,910500
2020-11-04,1.47,1.52,1.47,1.5,1.5,618300
2020-11-05,1.49,1.5,1.46,1.5,1.5,568100
2020-11-06,1.47,1.49,1.46,1.48,1.48,608900
2020-11-09,1.47,1.48,1.45,1.48,1.48,580900
2020-11-10,1.47,1.48,1.42,1.47,1.47,615300
2020-11-11,1.43,1.48,1.4,1.44,1.44,1765800
2020-11-12,1.4,1.45,1.4,1.45,1.45,957300
2020-11-13,1.45,1.47,1.41,1.46,1.46,520200
2020-11-16,1.5,1.51,1.46,1.49,1.49,557400
2020-11-17,1.52,1.52,1.46,1.47,1.47,279500
2020-11-18,1.49,1.49,1.44,1.49,1.49,214900
2020-11-19,1.49,1.51,1.46,1.51,1.51,464500
2020-11-20,1.55,1.58,1.51,1.58,1.58,1571200
2020-11-23,1.54,1.6,1.54,1.6,1.6,411600
2020-11-24,1.65,1.65,1.56,1.58,1.58,702600
2020-11-25,1.6,1.64,1.58,1.64,1.64,949400
2020-11-26,1.66,1.66,1.61,1.62,1.62,668900
2020-11-27,1.62,1.62,1.6,1.61,1.61,101500
2020-11-30,1.63,1.64,1.58,1.64,1.64,517500
2020-12-01,1.65,1.65,1.59,1.64,1.64,200500
2020-12-02,1.91,1.91,1.59,1.67,1.67,379700
2020-12-03,1.67,1.71,1.62,1.66,1.66,478000
2020-12-04,1.66,1.66,1.61,1.64,1.64,947300
2020-12-08,1.63,1.67,1.61,1.64,1.64,2599000
2020-12-09,1.65,1.65,1.59,1.59,1.59,1828400
2020-12-14,1.58,1.63,1.58,1.63,1.63,580800
2020-12-15,1.63,1.65,1.59,1.62,1.62,202000
2020-12-16,1.62,1.64,1.54,1.54,1.54,2171800
2020-12-17,1.56,1.58,1.54,1.55,1.55,1507900
2020-12-18,1.58,1.59,1.56,1.59,1.59,639700
2020-12-21,1.58,1.58,1.52,1.54,1.54,677700
2020-12-22,1.54,1.56,1.51,1.56,1.56,240200
2020-12-23,1.59,1.59,1.56,1.58,1.58,237600
2020-12-24,1.58,1.58,1.55,1.58,1.58,231300
2020-12-25,1.57,1.59,1.54,1.56,1.56,814900
2020-12-28,1.59,1.6,1.55,1.56,1.56,1059500
2020-12-29,1.56,1.58,1.56,1.57,1.57,292300
2020-12-30,1.56,1.59,1.56,1.57,1.57,359800
2021-01-04,1.57,1.59,1.56,1.58,1.58,311000
2021-01-05,1.57,1.59,1.53,1.55,1.55,2292500
2021-01-06,1.54,1.57,1.54,1.56,1.56,547100
2021-01-07,1.58,1.58,1.55,1.56,1.56,547000
2021-01-08,1.56,1.57,1.54,1.56,1.56,1536200
2021-01-11,1.58,1.6,1.55,1.58,1.58,996500
2021-01-12,1.58,1.63,1.58,1.6,1.6,860700
2021-01-13,1.6,1.64,1.59,1.64,1.64,994700
2021-01-14,1.69,1.71,1.66,1.66,1.66,3808000
2021-01-15,1.71,1.71,1.66,1.69,1.69,894400
2021-01-18,1.69,1.73,1.65,1.72,1.72,1074800
2021-01-19,1.73,1.74,1.66,1.7,1.7,1825700
2021-01-20,1.69,1.7,1.65,1.66,1.66,1120500
2021-01-21,1.72,1.73,1.66,1.7,1.7,2315100
2021-01-22,1.71,1.72,1.68,1.71,1.71,1099800
2021-01-25,1.72,1.72,1.67,1.69,1.69,310100
2021-01-26,1.69,1.71,1.68,1.7,1.7,562100
2021-01-27,1.71,1.71,1.67,1.69,1.69,339800
2021-01-28,1.67,1.69,1.63,1.68,1.68,1719600
2021-01-29,1.68,1.68,1.64,1.68,1.68,321700
2021-02-01,1.68,1.74,1.65,1.72,1.72,1801300
2021-02-02,1.73,1.74,1.67,1.67,1.67,1313700
2021-02-03,1.69,1.71,1.67,1.71,1.71,483600
2021-02-04,1.71,1.72,1.69,1.72,1.72,329600
2021-02-05,1.72,1.72,1.67,1.71,1.71,1033800
2021-02-08,1.71,1.72,1.65,1.7,1.7,1955000
2021-02-09,1.7,1.7,1.67,1.7,1.7,956000
2021-02-10,1.7,1.71,1.68,1.7,1.7,864400
2021-02-11,1.7,1.7,1.67,1.7,1.7,975600
2021-02-15,1.7,1.71,1.68,1.71,1.71,1564300
2021-02-16,1.71,1.71,1.68,1.7,1.7,1226600
2021-02-17,1.7,1.7,1.65,1.67,1.67,2090900
2021-02-18,1.67,1.68,1.65,1.67,1.67,1158000
2021-02-19,1.66,1.69,1.61,1.69,1.69,2815700
2021-02-22,1.69,1.69,1.64,1.68,1.68,1036700
2021-02-23,1.66,1.7,1.65,1.69,1.69,708600
2021-02-24,1.69,1.69,1.67,1.69,1.69,429000
2021-02-25,1.72,1.72,1.69,1.69,1.69,1256500
2021-03-01,1.7,1.71,1.69,1.7,1.7,714400
2021-03-02,1.7,1.71,1.66,1.7,1.7,1361800
2021-03-03,1.7,1.71,1.68,1.68,1.68,605300
2021-03-04,1.69,1.7,1.67,1.69,1.69,326300
2021-03-05,1.69,1.7,1.67,1.69,1.69,528400
2021-03-08,1.7,1.7,1.68,1.69,1.69,609700
2021-03-09,1.68,1.68,1.66,1.66,1.66,670300
2021-03-10,1.67,1.71,1.67,1.7,1.7,2572800
2021-03-11,1.71,1.75,1.7,1.75,1.75,3010300
2021-03-12,1.78,1.78,1.71,1.74,1.74,2903400
2021-03-15,1.75,1.8,1.74,1.8,1.8,2547600
2021-03-16,1.81,1.85,1.76,1.84,1.84,3803000
2021-03-17,1.83,1.85,1.82,1.85,1.85,1751800
2021-03-18,1.84,1.9,1.83,1.87,1.87,1647400
2021-03-19,1.87,1.91,1.84,1.91,1.91,2171300
2021-03-22,1.91,1.95,1.89,1.95,1.95,1293500
2021-03-23,1.98,2.02,1.95,1.97,1.97,2670500
2021-03-24,2.0,2.04,1.98,2.04,2.04,2643900
2021-03-25,2.06,2.16,2.04,2.1,2.1,8954800
2021-03-26,2.12,2.16,2.04,2.06,2.06,2056600
2021-03-29,2.12,2.12,1.99,2.04,2.04,4737300
2021-03-30,2.06,2.06,1.99,2.02,2.02,1322600
2021-03-31,2.02,2.04,2.0,2.04,2.04,1414700
2021-04-01,2.04,2.1,2.0,2.04,2.04,938000
2021-04-02,2.06,2.06,2.02,2.02,2.02,596700
2021-04-05,2.04,2.06,2.0,2.02,2.02,699700
2021-04-07,2.02,2.24,2.0,2.12,2.12,19933400
2021-04-08,2.3,2.3,2.1,2.1,2.1,15234300
2021-04-09,2.12,2.2,2.08,2.08,2.08,5330200
2021-04-12,2.1,2.22,2.06,2.08,2.08,7497900
2021-04-16,2.08,2.08,1.98,2.0,2.0,5552600
2021-04-19,2.04,2.06,1.99,2.04,2.04,6765100
2021-04-20,2.04,2.1,2.02,2.1,2.1,4037200
2021-04-21,2.12,2.16,2.1,2.16,2.16,6426400
2021-04-22,2.02,2.08,2.02,2.04,2.04,3636400
2021-04-23,2.14,2.36,2.08,2.16,2.16,32949700
2021-04-26,2.2,2.48,2.18,2.42,2.42,48303800
2021-04-27,2.44,2.48,2.34,2.34,2.34,24790700
2021-04-28,2.4,2.5,2.32,2.34,2.34,20185000
2021-04-29,2.4,2.42,2.34,2.36,2.36,6272600
2021-04-30,2.44,2.6,2.4,2.46,2.46,29555900
2021-05-05,2.48,2.54,2.42,2.44,2.44,11380000
2021-05-06,2.46,2.54,2.4,2.4,2.4,13648100
2021-05-07,2.42,2.44,2.34,2.34,2.34,4103100
2021-05-10,2.3,2.4,2.28,2.36,2.36,4575700
2021-05-11,2.44,2.48,2.32,2.46,2.46,8804800
2021-05-12,2.5,2.58,2.28,2.28,2.28,49974200
2021-05-13,2.3,2.42,2.08,2.24,2.24,11833900
2021-05-14,2.24,2.28,2.14,2.14,2.14,5010900
2021-05-17,2.14,2.2,2.1,2.1,2.1,2632900
2021-05-18,2.18,2.18,2.08,2.14,2.14,3592000
2021-05-19,2.16,2.22,2.12,2.14,2.14,3292700
2021-05-20,2.16,2.3,2.14,2.22,2.22,5634500
2021-05-21,2.26,2.28,2.18,2.18,2.18,1773800
2021-05-24,2.2,2.2,2.08,2.14,2.14,1514300
2021-05-25,2.16,2.18,2.14,2.14,2.14,512300
2021-05-27,2.14,2.22,2.14,2.18,2.18,1308700
2021-05-28,2.22,2.34,2.16,2.32,2.32,12047600
