Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,67.5,72.5,67.25,72.25,72.25,8272800
2020-09-24,72.0,74.5,69.5,70.25,70.25,5999200
2020-09-25,72.0,72.0,70.75,71.0,71.0,2733800
2020-09-28,71.5,71.75,68.0,68.25,68.25,3208600
2020-09-29,69.0,69.0,66.5,67.0,67.0,1850400
2020-09-30,66.75,68.25,64.25,64.25,64.25,2945400
2020-10-01,64.75,67.25,63.5,66.5,66.5,3157800
2020-10-02,66.5,69.0,65.0,67.0,67.0,3511400
2020-10-05,67.25,67.5,65.75,66.0,66.0,943000
2020-10-06,66.5,68.25,66.25,68.0,68.0,3660000
2020-10-07,68.25,68.75,67.0,68.5,68.5,1184200
2020-10-08,69.5,71.75,68.5,70.0,70.0,4750200
2020-10-09,70.75,70.75,65.5,66.0,66.0,4885200
2020-10-12,66.25,66.75,64.0,64.0,64.0,2709000
2020-10-14,64.0,65.25,62.5,62.5,62.5,2309800
2020-10-15,62.5,62.75,59.0,59.5,59.5,3772200
2020-10-16,59.75,61.0,59.5,59.75,59.75,1675000
2020-10-19,58.75,59.25,56.75,57.5,57.5,2459400
2020-10-20,57.5,59.5,57.5,57.75,57.75,2380800
2020-10-21,58.0,59.0,55.0,55.75,55.75,3583800
2020-10-22,56.0,57.0,55.5,56.75,56.75,3269400
2020-10-26,57.0,58.25,56.0,56.0,56.0,1764000
2020-10-27,56.0,56.75,55.5,56.25,56.25,1544800
2020-10-28,56.25,57.75,56.25,57.25,57.25,2015600
2020-10-29,57.0,57.75,56.5,57.25,57.25,1719000
2020-10-30,57.25,59.5,56.75,59.0,59.0,2333400
2020-11-02,59.0,59.25,57.25,57.5,57.5,1707800
2020-11-03,58.0,58.25,57.5,57.75,57.75,845200
2020-11-04,58.0,59.5,57.5,57.75,57.75,2236400
2020-11-05,58.0,60.5,58.0,60.25,60.25,2329200
2020-11-06,60.5,63.75,60.5,62.75,62.75,5392200
2020-11-09,64.5,64.5,62.0,64.0,64.0,2803600
2020-11-10,60.25,61.5,56.5,56.5,56.5,6345000
2020-11-11,57.5,58.5,56.5,58.5,58.5,3239400
2020-11-12,59.0,61.0,58.5,58.75,58.75,3451400
2020-11-13,59.25,59.5,58.0,58.75,58.75,1496800
2020-11-16,59.5,59.5,58.0,58.0,58.0,1173200
2020-11-17,58.25,58.75,57.5,57.5,57.5,849400
2020-11-18,58.0,59.25,57.75,58.25,58.25,1014000
2020-11-19,58.5,59.0,57.5,58.25,58.25,1356800
2020-11-20,58.5,58.75,57.25,57.5,57.5,1457000
2020-11-23,57.5,57.75,56.75,56.75,56.75,1751600
2020-11-24,57.25,59.25,56.0,59.0,59.0,4157800
2020-11-25,59.25,59.5,58.25,58.25,58.25,1590600
2020-11-26,58.0,60.75,58.0,60.5,60.5,2623800
2020-11-27,60.75,64.25,60.5,62.5,62.5,5552400
2020-11-30,63.5,63.75,60.75,62.5,62.5,2902000
2020-12-01,64.0,64.0,61.5,62.5,62.5,1679000
2020-12-02,62.5,63.0,61.5,62.0,62.0,1552200
2020-12-03,61.75,62.75,61.5,62.75,62.75,1111600
