Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,5.1,5.1,5.1,5.1,5.1,0
2021-02-17,15.3,15.3,15.3,15.3,15.3,14114200
2021-02-18,19.799999,19.799999,18.299999,19.799999,19.799999,28583300
2021-02-19,19.700001,24.799999,19.0,19.799999,19.799999,74525800
2021-02-22,20.700001,21.5,19.799999,19.9,19.9,18156400
2021-02-23,19.5,19.6,16.9,16.9,16.9,13203900
2021-02-24,17.299999,18.9,17.1,17.5,17.5,10670500
2021-02-25,17.9,18.1,17.4,17.6,17.6,2428700
2021-03-01,17.0,17.200001,16.6,17.1,17.1,1204300
2021-03-02,17.299999,18.200001,17.0,17.9,17.9,2517900
2021-03-03,18.0,18.5,17.9,17.9,17.9,1524300
2021-03-04,17.9,18.200001,17.799999,17.799999,17.799999,732000
2021-03-05,17.6,17.9,17.5,17.700001,17.700001,421900
2021-03-08,17.700001,17.799999,17.4,17.5,17.5,592900
2021-03-09,17.5,17.700001,17.4,17.4,17.4,443000
2021-03-10,17.5,18.5,17.200001,18.299999,18.299999,2642500
2021-03-11,18.5,18.5,17.9,17.9,17.9,1127900
2021-03-12,17.9,18.9,17.799999,18.700001,18.700001,4846000
2021-03-15,18.799999,19.1,18.5,18.799999,18.799999,2047400
2021-03-16,19.0,19.200001,18.299999,18.6,18.6,1997800
2021-03-17,18.700001,19.1,18.6,18.799999,18.799999,2007900
2021-03-18,18.9,19.0,18.6,18.799999,18.799999,1050400
2021-03-19,18.9,20.6,18.6,20.299999,20.299999,8425200
2021-03-22,20.5,21.4,20.1,21.200001,21.200001,6389600
2021-03-23,21.200001,22.799999,21.200001,22.700001,22.700001,7559400
2021-03-24,23.0,24.0,22.0,23.799999,23.799999,9085700
2021-03-25,23.700001,23.700001,22.9,23.0,23.0,3351600
2021-03-26,22.5,22.9,20.4,21.4,21.4,10658900
2021-03-29,21.5,21.5,20.799999,21.0,21.0,2433500
2021-03-30,20.9,21.5,20.700001,21.4,21.4,2748900
2021-03-31,21.4,21.5,20.9,21.200001,21.200001,1251200
2021-04-01,21.200001,22.0,21.0,21.4,21.4,4354900
2021-04-02,21.6,21.6,21.1,21.299999,21.299999,2136000
2021-04-05,21.0,21.0,20.5,20.700001,20.700001,2233900
2021-04-07,20.4,20.6,19.9,20.1,20.1,1869200
2021-04-08,20.1,21.0,20.1,20.4,20.4,2697000
2021-04-09,20.4,20.6,20.200001,20.4,20.4,1530400
2021-04-12,20.799999,22.6,20.5,21.700001,21.700001,16784300
2021-04-16,22.4,22.4,21.0,21.0,21.0,7540300
2021-04-19,20.799999,21.299999,20.700001,21.200001,21.200001,1749200
2021-04-20,21.299999,21.299999,20.9,20.9,20.9,750600
2021-04-21,20.799999,20.9,20.200001,20.700001,20.700001,2229300
2021-04-22,20.700001,20.700001,20.5,20.6,20.6,834000
2021-04-23,20.5,20.5,20.200001,20.200001,20.200001,1014800
2021-04-26,20.200001,20.200001,19.5,20.1,20.1,956400
2021-04-27,20.0,20.200001,19.6,19.700001,19.700001,818400
2021-04-28,19.5,20.0,19.5,19.799999,19.799999,470800
2021-04-29,20.0,20.200001,19.799999,20.0,20.0,623700
2021-04-30,20.0,20.0,19.700001,19.700001,19.700001,564000
2021-05-05,19.6,19.700001,19.200001,19.5,19.5,1022600
2021-05-06,19.200001,19.5,19.200001,19.299999,19.299999,490500
2021-05-07,19.299999,19.5,19.200001,19.4,19.4,436900
2021-05-10,19.299999,19.9,19.299999,19.6,19.6,574200
2021-05-11,19.700001,20.1,19.700001,20.0,20.0,1664400
2021-05-12,20.0,20.0,19.6,19.6,19.6,889400
2021-05-13,19.0,19.4,16.9,19.1,19.1,1570900
2021-05-14,18.700001,19.1,18.6,18.799999,18.799999,392500
2021-05-17,18.799999,18.799999,18.0,18.4,18.4,524800
2021-05-18,18.299999,18.9,18.0,18.9,18.9,196700
2021-05-19,18.9,18.9,18.5,18.799999,18.799999,154800
2021-05-20,18.6,18.799999,18.5,18.5,18.5,181900
2021-05-21,18.6,18.799999,18.4,18.700001,18.700001,204000
2021-05-24,18.6,18.799999,18.6,18.799999,18.799999,232700
2021-05-25,18.9,19.700001,18.9,19.6,19.6,688300
2021-05-27,19.6,20.1,19.5,20.1,20.1,1274600
2021-05-28,20.1,20.4,20.0,20.4,20.4,1945200
2021-05-31,20.299999,20.4,19.700001,19.799999,19.799999,1152800
2021-06-01,19.799999,20.1,19.4,20.1,20.1,1471700
2021-06-02,20.1,20.6,19.799999,19.9,19.9,2826800
2021-06-04,20.1,20.1,19.6,19.700001,19.700001,667700
2021-06-07,19.700001,19.9,19.5,19.6,19.6,705900
2021-06-08,19.6,19.6,19.299999,19.299999,19.299999,653300
2021-06-09,19.4,19.6,19.200001,19.200001,19.200001,448900
2021-06-10,19.200001,19.4,18.9,19.1,19.1,812400
2021-06-11,19.0,19.4,18.9,19.0,19.0,475900
2021-06-14,18.9,19.200001,18.9,18.9,18.9,489000
2021-06-15,18.9,19.0,18.799999,18.9,18.9,184500
2021-06-16,19.0,19.299999,18.9,19.1,19.1,418300
2021-06-17,19.1,19.1,18.799999,18.799999,18.799999,252200
2021-06-18,18.799999,18.799999,18.5,18.700001,18.700001,404500
2021-06-21,18.5,18.799999,18.4,18.5,18.5,268100
2021-06-22,18.799999,18.799999,18.5,18.5,18.5,311000
2021-06-23,18.5,18.700001,18.1,18.1,18.1,612700
2021-06-24,18.1,18.1,17.5,17.700001,17.700001,943600
2021-06-25,17.799999,18.200001,17.6,17.700001,17.700001,389500
