Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.638094,1.647617,1.561903,1.619046,1.619046,5294420
2020-09-24,1.619046,1.62857,1.580951,1.599998,1.599998,4112959
2020-09-25,1.599998,1.62857,1.590475,1.599998,1.599998,2548982
2020-09-28,1.609522,1.619046,1.580951,1.599998,1.599998,3453243
2020-09-29,1.609522,1.619046,1.580951,1.580951,1.580951,3450198
2020-09-30,1.590475,1.590475,1.495237,1.495237,1.495237,5499170
2020-10-01,1.495237,1.523808,1.466665,1.476189,1.476189,2070392
2020-10-02,1.466665,1.561903,1.42857,1.523808,1.523808,7590247
2020-10-05,1.552379,1.571427,1.514284,1.523808,1.523808,2930762
2020-10-06,1.533332,1.542856,1.50476,1.523808,1.523808,1837291
2020-10-07,1.533332,1.542856,1.50476,1.542856,1.542856,2605577
2020-10-08,1.542856,1.552379,1.514284,1.533332,1.533332,2498267
2020-10-09,1.542856,1.647617,1.514284,1.619046,1.619046,20771225
2020-10-12,1.647617,1.752379,1.609522,1.685713,1.685713,23231273
2020-10-14,1.685713,1.714284,1.666665,1.695236,1.695236,10554715
2020-10-15,1.685713,1.695236,1.619046,1.638094,1.638094,7127827
2020-10-16,1.657141,1.657141,1.542856,1.580951,1.580951,4037989
2020-10-19,1.552379,1.561903,1.514284,1.561903,1.561903,2709107
2020-10-20,1.542856,1.638094,1.542856,1.638094,1.638094,4851529
2020-10-21,1.666665,1.714284,1.657141,1.70476,1.70476,15563955
2020-10-22,1.70476,1.857141,1.666665,1.819046,1.819046,57604737
2020-10-26,1.999998,2.076188,1.942855,2.019046,2.019046,105355320
2020-10-27,1.999998,2.076188,1.923808,1.942855,1.942855,48238728
2020-10-28,2.019046,2.057141,1.961903,2.038093,2.038093,48360843
2020-10-29,1.999998,2.076188,1.98095,2.019046,2.019046,52338352
2020-10-30,1.999998,1.999998,1.90476,1.942855,1.942855,28789558
2020-11-02,1.780951,1.895236,1.761903,1.771427,1.771427,17369537
2020-11-03,1.771427,1.790474,1.723808,1.761903,1.761903,8885003
2020-11-04,1.790474,1.857141,1.771427,1.838093,1.838093,8925848
2020-11-05,1.847617,1.847617,1.809522,1.819046,1.819046,3482538
2020-11-06,1.82857,1.82857,1.761903,1.799998,1.799998,2243642
2020-11-09,1.780951,1.790474,1.599998,1.70476,1.70476,7982002
2020-11-10,1.638094,1.638094,1.476189,1.523808,1.523808,9247254
2020-11-11,1.485713,1.580951,1.485713,1.552379,1.552379,5716415
2020-11-12,1.561903,1.609522,1.552379,1.580951,1.580951,3151578
2020-11-13,1.552379,1.599998,1.533332,1.590475,1.590475,3982128
2020-11-16,1.561903,1.638094,1.561903,1.609522,1.609522,2703962
2020-11-17,1.609522,1.619046,1.599998,1.609522,1.609522,1519351
2020-11-18,1.62857,1.62857,1.580951,1.599998,1.599998,912240
2020-11-19,1.599998,1.619046,1.599998,1.599998,1.599998,848295
2020-11-20,1.609522,1.695236,1.609522,1.676189,1.676189,2599802
2020-11-23,1.685713,1.685713,1.647617,1.666665,1.666665,1600516
2020-11-24,1.685713,1.70476,1.638094,1.657141,1.657141,2870492
2020-11-25,1.657141,1.695236,1.657141,1.676189,1.676189,2319767
2020-11-26,1.676189,1.695236,1.666665,1.676189,1.676189,1929586
2020-11-27,1.685713,1.723808,1.685713,1.723808,1.723808,3868938
2020-11-30,1.733332,1.752379,1.723808,1.742855,1.742855,2615132
2020-12-01,1.771427,1.790474,1.742855,1.761903,1.761903,3675738
