Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.2,3.24,3.18,3.18,3.18,28057600.0
2020-09-24,3.18,3.2,3.1,3.18,3.18,52356300.0
2020-09-25,3.16,3.18,3.1,3.12,3.12,37789800.0
2020-09-28,3.14,3.16,3.1,3.14,3.14,46333600.0
2020-09-29,3.14,3.16,3.1,3.1,3.1,21458400.0
2020-09-30,3.1,3.16,3.08,3.1,3.1,46128400.0
2020-10-01,3.12,3.12,2.94,2.98,2.98,87028900.0
2020-10-02,2.96,3.06,2.9,3.0,3.0,91074900.0
2020-10-05,3.0,3.0,2.92,2.96,2.96,57070300.0
2020-10-06,2.96,3.02,2.96,2.96,2.96,49821400.0
2020-10-07,2.96,3.06,2.96,3.02,3.02,54714400.0
2020-10-08,3.04,3.06,3.0,3.06,3.06,44658400.0
2020-10-09,3.06,3.06,3.0,3.02,3.02,35622500.0
2020-10-12,3.02,3.04,3.0,3.02,3.02,30343400.0
2020-10-14,3.0,3.04,2.96,3.0,3.0,34155400.0
2020-10-15,2.96,2.98,2.94,2.96,2.96,36588600.0
2020-10-16,2.98,2.98,2.92,2.98,2.98,28571600.0
2020-10-19,2.94,2.96,2.9,2.92,2.92,58408100.0
2020-10-20,2.9,2.94,2.82,2.82,2.82,58854900.0
2020-10-21,2.86,2.9,2.82,2.84,2.84,53064700.0
2020-10-22,2.84,2.86,2.78,2.78,2.78,67480400.0
2020-10-26,2.76,2.84,2.72,2.8,2.8,64502100.0
2020-10-27,2.78,2.8,2.72,2.76,2.76,52453300.0
2020-10-28,2.74,2.8,2.74,2.74,2.74,28411200.0
2020-10-29,2.72,2.76,2.7,2.74,2.74,32346400.0
2020-10-30,2.74,2.74,2.66,2.72,2.72,77650600.0
2020-11-02,2.72,2.72,2.68,2.72,2.72,14883100.0
2020-11-03,2.74,2.8,2.72,2.8,2.8,35032000.0
2020-11-04,2.78,2.84,2.78,2.82,2.82,28405100.0
2020-11-05,2.84,2.96,2.82,2.94,2.94,68714700.0
2020-11-06,2.94,2.94,2.86,2.9,2.9,43391500.0
2020-11-09,2.94,3.0,2.92,2.96,2.96,102873900.0
2020-11-10,3.0,3.06,2.98,3.04,3.04,135439900.0
2020-11-11,3.1,3.1,3.02,3.06,3.06,84208800.0
2020-11-12,3.08,3.12,3.04,3.08,3.08,49293300.0
2020-11-13,3.06,3.14,3.04,3.12,3.12,64943100.0
2020-11-16,3.16,3.22,3.14,3.16,3.16,86634300.0
2020-11-17,3.14,3.16,3.04,3.06,3.06,74579000.0
2020-11-18,3.06,3.1,3.04,3.08,3.08,47427900.0
2020-11-19,3.08,3.14,3.06,3.1,3.1,82838200.0
2020-11-20,3.1,3.16,3.08,3.16,3.16,82295700.0
2020-11-23,3.2,3.36,3.18,3.3,3.3,194191600.0
2020-11-24,3.32,3.44,3.32,3.34,3.34,235066500.0
2020-11-25,3.36,3.4,3.22,3.34,3.34,112920300.0
2020-11-26,3.34,3.36,3.3,3.34,3.34,58343000.0
2020-11-27,3.32,3.34,3.22,3.3,3.3,108274500.0
2020-11-30,3.28,3.32,3.24,3.26,3.26,111717300.0
2020-12-01,3.24,3.58,3.22,3.42,3.42,270165800.0
2020-12-02,3.38,3.48,3.36,3.38,3.38,160466700.0
2020-12-03,3.4,3.44,3.32,3.38,3.38,123796600.0
2020-12-04,3.4,3.4,3.36,3.36,3.36,49368600.0
2020-12-08,3.34,3.44,3.32,3.44,3.44,160192700.0
2020-12-09,3.48,3.5,3.36,3.4,3.4,174037600.0
2020-12-14,3.44,3.6,3.4,3.48,3.48,326148400.0
2020-12-15,3.46,3.5,3.38,3.46,3.46,160418800.0
2020-12-16,3.48,3.52,3.44,3.48,3.48,70543500.0
2020-12-17,3.48,3.64,3.48,3.62,3.62,297380400.0
2020-12-18,3.66,3.7,3.52,3.58,3.58,413002500.0
2020-12-21,3.44,3.48,3.24,3.26,3.26,308750800.0
2020-12-22,3.28,3.38,3.22,3.32,3.32,141731800.0
2020-12-23,3.3,3.36,3.28,3.28,3.28,79829900.0
2020-12-24,3.28,3.44,3.22,3.4,3.4,198924600.0
2020-12-25,3.42,3.46,3.34,3.42,3.42,125211900.0
2020-12-28,3.5,3.74,3.5,3.66,3.66,534925000.0
2020-12-29,3.62,3.74,3.62,3.74,3.74,319111700.0
2020-12-30,3.66,3.76,3.42,3.44,3.44,483373500.0
2021-01-04,3.34,3.48,3.32,3.44,3.44,124810700.0
2021-01-05,3.44,3.52,3.4,3.5,3.5,110245500.0
2021-01-06,3.5,3.54,3.44,3.46,3.46,135409800.0
2021-01-07,3.5,3.52,3.46,3.48,3.48,86375200.0
2021-01-08,3.5,3.62,3.5,3.58,3.58,272798200.0
2021-01-11,3.58,3.6,3.54,3.56,3.56,84666000.0
2021-01-12,3.56,3.56,3.5,3.52,3.52,54761500.0
2021-01-13,3.52,3.56,3.44,3.46,3.46,160077200.0
2021-01-14,3.48,3.5,3.46,3.46,3.46,52446100.0
2021-01-15,3.46,3.52,3.44,3.44,3.44,66769800.0
2021-01-18,3.44,3.48,3.36,3.38,3.38,93912100.0
2021-01-19,3.4,3.48,3.4,3.44,3.44,57514600.0
2021-01-20,3.44,3.46,3.38,3.4,3.4,68145400.0
2021-01-21,3.44,3.46,3.4,3.44,3.44,61470500.0
2021-01-22,3.46,3.46,3.3,3.32,3.32,144891500.0
2021-01-25,3.32,3.34,3.3,3.3,3.3,50115400.0
2021-01-26,3.3,3.32,3.26,3.3,3.3,63273800.0
2021-01-27,3.32,3.32,3.26,3.26,3.26,53299300.0
2021-01-28,3.24,3.26,3.22,3.22,3.22,65016600.0
2021-01-29,3.24,3.26,3.18,3.2,3.2,74121100.0
2021-02-01,3.2,3.26,3.18,3.22,3.22,38356100.0
2021-02-02,3.26,3.28,3.22,3.22,3.22,49442600.0
2021-02-03,3.24,3.26,3.18,3.2,3.2,62388400.0
2021-02-04,3.22,3.24,3.18,3.2,3.2,42597500.0
2021-02-05,3.22,3.24,3.16,3.18,3.18,79545500.0
2021-02-08,3.2,3.26,3.2,3.22,3.22,68515200.0
2021-02-09,3.24,3.34,3.22,3.28,3.28,122914300.0
2021-02-10,3.32,3.34,3.28,3.28,3.28,54804100.0
2021-02-11,3.3,3.32,3.24,3.26,3.26,41278400.0
2021-02-15,3.28,3.28,3.22,3.24,3.24,30606500.0
2021-02-16,3.26,3.3,3.24,3.24,3.24,55197300.0
2021-02-17,3.24,3.26,3.2,3.2,3.2,60232200.0
2021-02-18,3.2,3.22,3.18,3.18,3.18,39314500.0
2021-02-19,3.18,3.22,3.16,3.2,3.2,40963200.0
2021-02-22,3.2,3.22,3.16,3.18,3.18,39182900.0
2021-02-23,3.2,3.2,3.12,3.14,3.14,65666900.0
2021-02-24,3.18,3.2,3.14,3.14,3.14,33315300.0
2021-02-25,3.16,3.2,3.14,3.14,3.14,48616500.0
2021-03-01,3.14,3.26,3.14,3.26,3.26,118918700.0
2021-03-02,3.28,3.28,3.2,3.22,3.22,74343000.0
2021-03-03,3.24,3.38,3.22,3.34,3.34,169766500.0
2021-03-04,3.3,3.32,3.28,3.32,3.32,81798700.0
2021-03-05,3.3,3.36,3.26,3.3,3.3,83034100.0
2021-03-08,3.34,3.36,3.26,3.26,3.26,60932700.0
2021-03-09,3.26,3.34,3.26,3.32,3.32,47984100.0
2021-03-10,3.34,3.42,3.32,3.4,3.4,141052600.0
2021-03-11,3.4,3.42,3.34,3.36,3.36,111515300.0
2021-03-12,3.32,3.34,3.28,3.3,3.3,43759100.0
2021-03-15,3.32,3.34,3.28,3.32,3.32,46736900.0
2021-03-16,3.32,3.36,3.3,3.32,3.32,59818100.0
2021-03-17,3.32,3.36,3.3,3.34,3.34,42104500.0
2021-03-18,3.36,3.38,3.32,3.34,3.34,54609400.0
2021-03-19,3.32,3.34,3.28,3.3,3.3,41591300.0
2021-03-22,3.3,3.34,3.28,3.3,3.3,38119500.0
2021-03-23,3.3,3.32,3.24,3.24,3.24,77932800.0
2021-03-24,3.24,3.28,3.24,3.26,3.26,39598200.0
2021-03-25,3.26,3.66,3.24,3.54,3.54,674795300.0
2021-03-26,3.54,3.54,3.38,3.44,3.44,317194700.0
2021-03-29,3.44,3.46,3.4,3.42,3.42,95763200.0
2021-03-30,3.44,3.5,3.42,3.48,3.48,165676100.0
2021-03-31,3.48,3.48,3.38,3.4,3.4,106873700.0
2021-04-01,3.4,3.46,3.4,3.42,3.42,44551200.0
2021-04-02,3.44,3.46,3.36,3.38,3.38,101964400.0
2021-04-05,3.38,3.4,3.3,3.34,3.34,98613400.0
2021-04-07,3.3,3.32,3.22,3.24,3.24,117849200.0
2021-04-08,3.24,3.3,3.22,3.24,3.24,70379100.0
2021-04-09,3.24,3.34,3.24,3.3,3.3,64900400.0
2021-04-12,3.26,3.28,3.2,3.26,3.26,64949200.0
2021-04-16,3.26,3.28,3.22,3.26,3.26,31543000.0
2021-04-19,3.28,3.3,3.26,3.28,3.28,30008200.0
2021-04-20,3.28,3.36,3.28,3.32,3.32,114465400.0
2021-04-21,3.32,3.38,3.32,3.36,3.36,79843700.0
2021-04-22,3.38,3.38,3.3,3.32,3.32,73508100.0
2021-04-23,3.3,3.32,3.26,3.3,3.3,56871900.0
2021-04-26,3.3,3.32,3.28,3.32,3.32,33715300.0
2021-04-27,3.34,3.34,3.26,3.26,3.26,48456700.0
2021-04-28,3.28,3.3,3.26,3.28,3.28,28572200.0
2021-04-29,3.28,3.32,3.28,3.28,3.28,67032700.0
2021-04-30,3.28,3.34,3.24,3.26,3.26,111201200.0
2021-05-05,3.26,3.26,3.16,3.2,3.2,111409000.0
2021-05-06,3.2,3.24,3.18,3.2,3.2,48832200.0
2021-05-07,3.2,3.28,3.2,3.24,3.24,46573900.0
2021-05-10,3.26,3.26,3.22,3.22,3.22,32451200.0
2021-05-11,3.22,3.24,3.14,3.2,3.2,84691000.0
2021-05-12,3.2,3.2,3.12,3.16,3.16,87389900.0
2021-05-13,3.12,3.14,3.04,3.1,3.1,186074500.0
2021-05-14,3.1,3.12,3.04,3.08,3.08,45098900.0
2021-05-17,3.08,3.08,3.02,3.04,3.04,45895400.0
2021-05-18,3.06,3.08,3.02,3.04,3.04,100219800.0
2021-05-19,3.04,3.08,3.02,3.04,3.04,80093000.0
2021-05-20,3.06,3.1,3.04,3.1,3.1,77688300.0
2021-05-21,3.12,3.12,3.08,3.1,3.1,30758700.0
2021-05-24,3.1,3.1,3.04,3.08,3.08,34299300.0
2021-05-25,3.08,3.1,3.06,3.08,3.08,33036200.0
2021-05-27,3.06,3.16,3.04,3.16,3.16,117436800.0
2021-05-28,3.16,3.18,3.12,3.14,3.14,34552300.0
2021-05-31,3.14,3.16,3.08,3.16,3.16,64343300.0
2021-06-01,3.16,3.2,3.14,3.18,3.18,69504400.0
2021-06-02,3.18,3.22,3.14,3.16,3.16,119556700.0
2021-06-04,3.16,3.18,3.14,3.14,3.14,42210600.0
2021-06-07,3.16,3.2,3.14,3.16,3.16,65436700.0
2021-06-08,3.16,3.18,3.14,3.16,3.16,70409800.0
2021-06-09,3.18,3.2,3.16,3.18,3.18,66422100.0
2021-06-10,3.2,3.26,3.18,3.18,3.18,107568200.0
2021-06-11,3.22,3.24,3.18,3.22,3.22,43562500.0
2021-06-14,3.24,3.32,3.24,3.32,3.32,185303900.0
2021-06-15,3.32,3.36,3.26,3.28,3.28,99175500.0
2021-06-16,3.28,3.34,3.26,3.34,3.34,80310600.0
2021-06-17,3.32,3.34,3.28,3.28,3.28,59620100.0
2021-06-18,3.28,3.34,3.26,3.34,3.34,93588300.0
2021-06-21,3.3,3.34,3.28,3.34,3.34,68480100.0
2021-06-22,3.34,3.38,3.28,3.3,3.3,69017800.0
2021-06-23,3.3,3.32,3.26,3.28,3.28,34187700.0
2021-06-24,3.26,3.28,3.22,3.24,3.24,58345500.0
2021-06-25,3.24,3.26,3.18,3.22,3.22,41908400.0
2021-06-28,3.2,3.2,3.16,3.18,3.18,51930000.0
2021-06-29,3.16,3.2,3.14,3.16,3.16,52164200.0
2021-06-30,3.18,3.22,3.12,3.18,3.18,60668900.0
2021-07-01,3.16,3.22,3.16,3.18,3.18,34464900.0
2021-07-02,3.16,3.18,3.14,3.18,3.18,28388900.0
2021-07-05,3.18,3.2,3.14,3.16,3.16,18213800.0
