Date,Open,High,Low,Close,Adj Close,Volume
2020-05-12,41.0,42.5,41.0,42.5,42.5,0
2020-05-13,41.0,42.0,40.25,41.25,41.25,0
2020-05-14,41.25,43.0,41.25,43.0,43.0,0
2020-05-15,42.0,42.0,41.5,41.5,41.5,0
2020-05-18,42.0,42.0,41.5,41.5,41.5,0
2020-05-19,41.0,43.75,41.0,41.75,41.75,0
2020-05-20,42.25,42.25,42.0,42.0,42.0,0
2020-05-21,41.5,42.0,41.5,42.0,42.0,0
2020-05-22,42.0,42.0,41.5,42.0,42.0,0
2020-05-25,42.0,42.25,42.0,42.0,42.0,0
2020-05-26,42.0,42.0,41.25,41.75,41.75,0
2020-05-27,41.75,41.75,40.5,41.0,41.0,0
2020-05-28,42.0,42.0,41.75,41.75,41.75,0
2020-05-29,42.0,42.0,41.75,42.0,42.0,0
2020-06-01,42.75,43.0,42.0,42.5,42.5,0
2020-06-02,42.5,42.5,42.0,42.5,42.5,0
2020-06-04,43.0,44.75,43.0,43.0,43.0,0
2020-06-05,43.75,45.75,43.0,45.5,45.5,0
2020-06-08,45.25,45.25,44.75,45.0,45.0,0
2020-06-09,46.0,46.75,45.5,45.75,45.75,0
2020-06-10,45.75,46.25,45.75,45.75,45.75,0
2020-06-11,46.25,47.5,46.25,46.5,46.5,0
2020-06-12,46.5,50.25,46.5,50.0,50.0,0
2020-06-15,50.0,54.0,50.0,51.0,51.0,0
2020-06-16,51.0,52.75,51.0,52.5,52.5,0
2020-06-17,52.0,55.5,52.0,55.0,55.0,0
2020-06-18,54.75,55.5,54.75,55.0,55.0,0
2020-06-19,55.75,55.75,53.75,54.5,54.5,0
2020-06-22,54.5,55.75,53.5,53.5,53.5,0
2020-06-23,54.75,55.25,54.5,55.25,55.25,0
2020-06-24,53.0,53.75,53.0,53.0,53.0,0
2020-06-25,53.0,53.0,52.25,52.5,52.5,0
2020-06-26,51.75,53.0,51.75,52.75,52.75,0
2020-06-29,53.25,53.25,52.5,52.75,52.75,0
2020-06-30,54.0,54.0,53.0,53.25,53.25,0
2020-07-01,53.0,53.25,53.0,53.25,53.25,0
2020-07-02,53.5,53.5,53.25,53.25,53.25,0
2020-07-03,53.25,53.25,52.75,52.75,52.75,0
2020-07-07,54.0,54.0,53.0,53.25,53.25,0
2020-07-08,54.25,54.25,53.5,53.5,53.5,0
2020-07-09,54.5,54.5,53.75,53.75,53.75,0
2020-07-10,54.75,54.75,53.75,54.0,54.0,0
2020-07-13,54.5,54.5,53.5,53.5,53.5,0
2020-07-14,54.5,54.5,54.25,54.25,54.25,0
2020-07-15,54.5,54.5,53.5,53.5,53.5,0
2020-07-16,54.0,54.0,53.5,53.5,53.5,0
2020-07-17,55.0,55.0,53.75,53.75,53.75,0
2020-07-20,54.5,54.5,53.75,54.0,54.0,0
2020-07-21,54.75,54.75,53.25,54.5,54.5,0
2020-07-22,53.5,53.5,53.5,53.5,53.5,0
2020-07-23,54.75,55.0,54.0,54.25,54.25,0
2020-07-24,55.0,55.0,54.75,54.75,54.75,0
2020-07-29,55.25,55.5,54.75,55.5,55.5,0
2020-07-30,55.0,55.5,54.5,54.75,54.75,0
2020-07-31,55.75,55.75,55.0,55.5,55.5,0
2020-08-03,55.75,55.75,55.75,55.75,55.75,0
2020-08-04,55.5,56.0,55.5,56.0,56.0,0
2020-08-05,55.0,55.75,54.0,55.75,55.75,0
2020-08-06,55.0,56.25,55.0,56.25,56.25,0
2020-08-07,56.0,56.0,56.0,56.0,56.0,0
2020-08-10,56.25,56.25,54.5,56.0,56.0,0
2020-08-11,56.0,56.25,56.0,56.25,56.25,0
2020-08-13,56.25,56.25,55.0,56.25,56.25,0
2020-08-14,54.5,55.5,54.0,55.5,55.5,0
2020-08-17,55.25,55.25,54.25,55.25,55.25,0
2020-08-18,54.75,54.75,54.0,54.0,54.0,0
2020-08-19,54.0,54.0,53.0,54.0,54.0,0
2020-08-21,52.5,53.25,52.0,53.25,53.25,0
2020-08-24,53.0,54.75,53.0,54.75,54.75,0
2020-08-25,53.75,55.0,53.0,53.75,53.75,0
2020-08-26,53.5,54.0,53.5,54.0,54.0,0
2020-08-27,54.75,54.75,53.0,54.5,54.5,0
2020-08-28,54.5,54.5,52.75,54.25,54.25,0
2020-08-31,52.5,54.5,52.5,54.5,54.5,0
2020-09-01,54.5,54.75,54.0,54.75,54.75,0
2020-09-02,54.0,54.0,54.0,54.0,54.0,0
2020-09-03,54.5,54.5,54.5,54.5,54.5,0
2020-09-08,54.75,54.75,54.75,54.75,54.75,0
2020-09-09,55.0,55.0,53.0,54.75,54.75,0
2020-09-11,54.0,54.0,53.0,53.0,53.0,0
2020-09-14,53.0,53.0,53.0,53.0,53.0,0
2020-09-15,54.0,54.0,53.0,53.0,53.0,0
2020-09-16,54.0,54.0,54.0,54.0,54.0,0
2020-09-17,54.25,54.25,54.25,54.25,54.25,0
2020-09-18,53.25,53.75,53.0,53.75,53.75,0
2020-09-21,52.75,53.25,52.0,53.25,53.25,0
2020-09-23,52.5,53.25,52.0,52.25,52.25,0
2020-09-24,52.0,52.25,52.0,52.25,52.25,0
2020-09-29,53.0,53.0,53.0,53.0,53.0,0
2020-10-02,52.0,52.0,52.0,52.0,52.0,0
2020-10-05,53.0,53.75,52.0,53.75,53.75,0
2020-10-06,54.0,54.0,54.0,54.0,54.0,0
2020-10-07,53.0,53.0,52.0,53.0,53.0,0
2020-10-09,52.25,53.5,52.0,53.5,53.5,0
2020-10-12,54.0,54.0,54.0,54.0,54.0,0
2020-10-14,54.0,54.0,54.0,54.0,54.0,0
2020-10-19,53.75,53.75,52.0,53.75,53.75,0
2020-10-21,53.75,54.0,52.75,52.75,52.75,0
2020-10-22,53.75,54.5,52.5,52.75,52.75,0
2020-10-26,53.75,53.75,53.75,53.75,53.75,0
2020-10-27,53.75,55.75,53.0,55.0,55.0,0
2020-10-28,53.5,53.5,53.0,53.5,53.5,0
2020-10-29,52.75,52.75,52.0,52.0,52.0,0
2020-10-30,52.25,53.0,52.0,53.0,53.0,0
2020-11-02,52.0,53.5,52.0,53.0,53.0,0
2020-11-04,51.75,52.75,51.75,52.75,52.75,0
2020-11-05,53.0,54.0,53.0,54.0,54.0,0
2020-11-06,53.0,53.0,53.0,53.0,53.0,0
2020-11-09,53.75,53.75,53.0,53.0,53.0,0
2020-11-10,54.0,54.25,54.0,54.25,54.25,0
2020-11-11,53.0,53.75,53.0,53.75,53.75,0
2020-11-12,52.5,52.5,52.5,52.5,52.5,0
2020-11-13,53.0,53.0,53.0,53.0,53.0,0
2020-11-16,53.0,53.0,53.0,53.0,53.0,0
2020-11-17,53.0,53.0,53.0,53.0,53.0,0
2020-11-18,53.0,54.0,53.0,53.0,53.0,0
2020-11-19,53.0,53.0,53.0,53.0,53.0,0
2020-11-20,53.5,53.5,53.0,53.0,53.0,0
2020-11-23,53.0,54.0,53.0,53.0,53.0,0
2020-11-24,53.5,53.5,53.25,53.25,53.25,0
2020-11-25,53.0,53.0,52.0,52.0,52.0,0
2020-11-26,52.5,52.5,52.0,52.0,52.0,0
2020-11-27,52.0,52.0,52.0,52.0,52.0,0
2020-11-30,52.0,52.5,51.0,52.5,52.5,0
2020-12-01,52.75,52.75,52.5,52.5,52.5,0
2020-12-02,52.0,52.75,52.0,52.25,52.25,0
2020-12-03,52.75,52.75,52.25,52.25,52.25,0
2020-12-04,52.75,53.0,52.75,52.75,52.75,0
2020-12-08,52.5,54.0,52.5,54.0,54.0,0
2020-12-09,54.25,55.0,54.0,54.5,54.5,0
2020-12-14,53.0,53.0,50.75,53.0,53.0,0
