Date,Open,High,Low,Close,Adj Close,Volume
2020-09-09,3.34,3.36,3.26,3.26,3.26,240400
2020-09-10,3.3,3.34,3.3,3.3,3.3,150800
2020-09-11,3.38,3.38,3.3,3.3,3.3,10800
2020-09-14,3.3,3.36,3.26,3.32,3.32,42600
2020-09-15,3.34,3.34,3.32,3.32,3.32,6500
2020-09-16,3.46,3.46,3.32,3.32,3.32,3500
2020-09-17,3.44,3.44,3.34,3.34,3.34,700
2020-09-21,3.3,3.4,3.3,3.4,3.4,13200
2020-09-22,3.44,3.44,3.36,3.36,3.36,5200
2020-09-23,3.42,3.44,3.38,3.44,3.44,23800
2020-09-24,3.42,3.44,3.36,3.38,3.38,80200
2020-09-25,3.48,3.48,3.34,3.38,3.38,3400
2020-09-28,3.46,3.46,3.34,3.38,3.38,12500
2020-09-29,3.46,3.46,3.34,3.44,3.44,6300
2020-09-30,3.42,3.42,3.36,3.38,3.38,1800
2020-10-01,3.38,3.44,3.38,3.42,3.42,3700
2020-10-05,3.44,3.6,3.26,3.46,3.46,9200
2020-10-06,3.48,3.48,3.4,3.46,3.46,12400
2020-10-07,3.44,3.44,3.36,3.4,3.4,25400
2020-10-08,3.34,3.42,3.34,3.38,3.38,18500
2020-10-09,3.42,3.42,3.38,3.4,3.4,17300
2020-10-12,3.48,3.48,3.36,3.36,3.36,4900
2020-10-14,3.42,3.48,3.38,3.38,3.38,17800
2020-10-15,3.4,3.4,3.3,3.36,3.36,2400
2020-10-16,3.32,3.4,3.3,3.3,3.3,13800
2020-10-19,3.36,3.36,3.32,3.34,3.34,600
2020-10-20,3.3,3.38,3.24,3.3,3.3,114400
2020-10-21,3.28,3.5,3.28,3.3,3.3,120100
2020-10-22,3.46,3.48,3.28,3.3,3.3,68100
2020-10-26,3.3,3.3,3.3,3.3,3.3,2100
2020-10-27,3.3,3.3,3.24,3.28,3.28,21400
2020-10-28,3.28,3.3,3.28,3.28,3.28,45600
