Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.71,0.76,0.7,0.75,0.75,1386300
2021-03-25,0.76,0.77,0.73,0.73,0.73,3364400
2021-03-26,0.71,0.75,0.71,0.73,0.73,545300
2021-03-29,0.74,0.8,0.73,0.8,0.8,4465000
2021-03-30,0.81,0.81,0.76,0.78,0.78,2130200
2021-03-31,0.78,0.8,0.73,0.76,0.76,2626400
2021-04-01,0.76,0.76,0.76,0.76,0.76,90000
2021-04-02,0.77,0.87,0.77,0.85,0.85,13166100
2021-04-05,0.85,0.85,0.78,0.79,0.79,2176300
2021-04-07,0.76,0.78,0.74,0.75,0.75,1403400
2021-04-08,0.75,0.83,0.74,0.81,0.81,1185200
2021-04-09,0.81,0.81,0.75,0.78,0.78,1749700
2021-04-12,0.77,0.77,0.74,0.74,0.74,584400
2021-04-16,0.71,0.73,0.7,0.73,0.73,967800
2021-04-19,0.71,0.75,0.7,0.75,0.75,151500
2021-04-20,0.74,0.78,0.74,0.76,0.76,638500
2021-04-21,0.75,0.77,0.75,0.77,0.77,299700
2021-04-22,0.77,0.82,0.76,0.77,0.77,3126300
2021-04-23,0.78,0.82,0.76,0.79,0.79,1425700
2021-04-26,0.77,0.78,0.76,0.76,0.76,488600
2021-04-27,0.77,0.77,0.74,0.77,0.77,609000
2021-04-28,0.77,0.77,0.74,0.76,0.76,662100
2021-04-29,0.76,0.86,0.74,0.83,0.83,4131300
2021-04-30,0.83,0.85,0.79,0.79,0.79,3451200
2021-05-05,0.77,0.78,0.76,0.78,0.78,1345600
2021-05-06,0.78,0.78,0.76,0.76,0.76,512800
2021-05-07,0.76,0.78,0.75,0.76,0.76,474700
2021-05-10,0.77,0.78,0.75,0.75,0.75,404600
2021-05-11,0.76,0.8,0.76,0.8,0.8,1897700
2021-05-12,0.82,0.84,0.77,0.77,0.77,1778600
2021-05-13,0.77,0.8,0.75,0.77,0.77,970300
2021-05-14,0.77,0.78,0.7,0.77,0.77,2010400
2021-05-17,0.84,0.84,0.79,0.81,0.81,3979600
2021-05-18,0.82,0.84,0.79,0.8,0.8,1177700
2021-05-19,0.8,0.8,0.78,0.79,0.79,1422500
2021-05-20,0.78,0.96,0.78,0.9,0.9,48713700
2021-05-21,0.9,0.9,0.83,0.85,0.85,10642500
2021-05-24,0.83,0.91,0.82,0.9,0.9,11125000
2021-05-25,0.91,0.93,0.85,0.86,0.86,9883500
2021-05-27,0.87,0.88,0.83,0.84,0.84,4683200
2021-05-28,0.84,0.86,0.82,0.83,0.83,3113500
2021-05-31,0.82,0.83,0.81,0.82,0.82,1712000
2021-06-01,0.81,0.84,0.81,0.81,0.81,2289100
2021-06-02,0.82,0.83,0.82,0.83,0.83,794200
2021-06-04,0.83,0.87,0.82,0.83,0.83,3649300
2021-06-07,0.83,0.85,0.83,0.85,0.85,1143100
2021-06-08,0.85,0.85,0.83,0.84,0.84,700300
2021-06-09,0.83,0.9,0.83,0.84,0.84,11313700
2021-06-10,0.84,0.86,0.84,0.85,0.85,1490500
2021-06-11,0.86,0.86,0.82,0.82,0.82,2286600
2021-06-14,0.82,0.84,0.81,0.82,0.82,2221000
2021-06-15,0.81,0.85,0.81,0.82,0.82,1644600
2021-06-16,0.82,0.82,0.8,0.81,0.81,549200
2021-06-17,0.82,0.82,0.81,0.81,0.81,318000
2021-06-18,0.81,0.82,0.81,0.81,0.81,800500
2021-06-21,0.8,0.81,0.78,0.78,0.78,540200
2021-06-22,0.78,0.81,0.78,0.79,0.79,326800
2021-06-23,0.79,0.83,0.76,0.76,0.76,4824500
2021-06-24,0.77,0.78,0.75,0.75,0.75,540300
2021-06-25,0.75,0.77,0.72,0.74,0.74,759900
2021-06-28,0.74,0.74,0.7,0.72,0.72,522100
2021-06-29,0.74,0.75,0.73,0.75,0.75,803600
2021-06-30,0.76,0.77,0.75,0.75,0.75,976100
2021-07-01,0.76,0.77,0.74,0.75,0.75,137300
2021-07-02,0.75,0.77,0.73,0.74,0.74,237300
2021-07-05,0.74,0.76,0.73,0.73,0.73,305500
2021-07-06,0.73,0.76,0.73,0.74,0.74,388500
2021-07-07,0.74,0.75,0.71,0.72,0.72,258300
2021-07-08,0.72,0.72,0.63,0.64,0.64,2563400
2021-07-09,0.64,0.67,0.64,0.65,0.65,298300
2021-07-12,0.66,0.66,0.64,0.66,0.66,39400
2021-07-13,0.65,0.69,0.65,0.67,0.67,405300
2021-07-14,0.68,0.69,0.66,0.68,0.68,224500
2021-07-15,0.71,0.73,0.68,0.68,0.68,706400
2021-07-16,0.72,0.72,0.69,0.69,0.69,317200
2021-07-19,0.68,0.69,0.68,0.69,0.69,397700
2021-07-20,0.7,0.7,0.67,0.69,0.69,208400
2021-07-21,0.72,0.76,0.7,0.73,0.73,2622900
2021-07-22,0.75,0.75,0.73,0.73,0.73,1215800
2021-07-23,0.73,0.73,0.71,0.71,0.71,558700
2021-07-27,0.71,0.73,0.71,0.71,0.71,201000
2021-07-29,0.72,0.72,0.69,0.7,0.7,196300
2021-07-30,0.72,0.73,0.69,0.69,0.69,126700
2021-08-02,0.69,0.72,0.68,0.69,0.69,1024400
2021-08-03,0.69,0.72,0.69,0.69,0.69,975100
2021-08-04,0.69,0.73,0.69,0.7,0.7,750700
2021-08-05,0.71,0.72,0.69,0.69,0.69,254100
2021-08-06,0.69,0.7,0.69,0.69,0.69,35700
2021-08-09,0.69,0.7,0.67,0.67,0.67,470500
2021-08-10,0.68,0.69,0.67,0.67,0.67,186700
2021-08-11,0.68,0.79,0.68,0.74,0.74,10169600
2021-08-13,0.75,0.75,0.7,0.7,0.7,3393800
2021-08-16,0.7,0.71,0.67,0.68,0.68,1836800
2021-08-17,0.68,0.72,0.67,0.69,0.69,1824900
2021-08-18,0.69,0.74,0.69,0.74,0.74,2084400
2021-08-19,0.76,0.82,0.75,0.8,0.8,23948300
2021-08-20,0.8,0.84,0.78,0.78,0.78,10136000
2021-08-23,0.8,0.81,0.78,0.78,0.78,1620800
2021-08-24,0.78,0.78,0.75,0.77,0.77,1809900
2021-08-25,0.77,0.85,0.77,0.84,0.84,0
2021-08-26,0.83,0.83,0.8,0.82,0.82,0
2021-08-27,0.83,0.83,0.79,0.79,0.79,0
2021-08-30,0.8,0.8,0.78,0.79,0.79,0
2021-08-31,0.79,0.8,0.78,0.78,0.78,0
2021-09-01,0.79,0.88,0.79,0.82,0.82,0
2021-09-02,0.82,0.82,0.78,0.78,0.78,0
2021-09-03,0.79,0.82,0.79,0.8,0.8,0
2021-09-06,0.81,0.88,0.81,0.88,0.88,0
2021-09-07,0.88,1.1400000000000001,0.88,1.1400000000000001,1.1400000000000001,0
2021-09-08,1.24,1.3,1.07,1.15,1.15,69933000
2021-09-09,1.12,1.15,1.1,1.13,1.13,4786700
2021-09-10,1.16,1.25,1.13,1.16,1.16,24553900
2021-09-13,1.18,1.19,1.07,1.09,1.09,7570300
2021-09-14,1.09,1.1400000000000001,1.08,1.12,1.12,3922400
2021-09-15,1.13,1.17,1.12,1.13,1.13,4633200
2021-09-16,1.13,1.13,1.1,1.1,1.1,1631000
2021-09-17,1.12,1.22,1.1,1.12,1.12,46138000
2021-09-20,1.1,1.11,1.07,1.08,1.08,5741200
2021-09-21,1.09,1.12,1.08,1.1,1.1,6207200
2021-09-22,1.11,1.24,1.11,1.22,1.22,35979700
2021-09-23,1.28,1.42,1.2,1.21,1.21,73830400
2021-09-27,1.23,1.28,1.19,1.22,1.22,22651800
2021-09-28,1.23,1.26,1.21,1.22,1.22,8150700
2021-09-29,1.23,1.3,1.22,1.26,1.26,13760100
2021-09-30,1.26,1.34,1.23,1.25,1.25,21453200
2021-10-01,1.24,1.3,1.24,1.25,1.25,10627400
2021-10-04,1.26,1.29,1.2,1.25,1.25,7981400
2021-10-05,1.25,1.25,1.16,1.19,1.19,4141100
2021-10-06,1.19,1.21,1.15,1.2,1.2,2916500
2021-10-07,1.2,1.2,1.13,1.2,1.2,3399800
2021-10-08,1.2,1.2,1.17,1.17,1.17,1714900
2021-10-11,1.2,1.25,1.18,1.25,1.25,5728600
2021-10-12,1.25,1.28,1.2,1.24,1.24,15258800
2021-10-14,1.24,1.26,1.21,1.24,1.24,1932600
2021-10-15,1.25,1.26,1.21,1.21,1.21,3359700
2021-10-18,1.2,1.23,1.18,1.21,1.21,4891700
2021-10-19,1.21,1.21,1.18,1.18,1.18,573900
2021-10-20,1.2,1.23,1.17,1.17,1.17,3993200
2021-10-21,1.18,1.18,1.13,1.13,1.13,3159900
2021-10-25,1.1400000000000001,1.16,1.09,1.1,1.1,4586000
2021-10-26,1.1,1.11,1.05,1.08,1.08,3933800
2021-10-27,1.08,1.17,1.07,1.15,1.15,13901200
2021-10-28,1.15,1.18,1.08,1.09,1.09,15254900
2021-10-29,1.1,1.1400000000000001,1.1,1.13,1.13,5262700
2021-11-01,1.1400000000000001,1.15,1.1,1.1,1.1,2134700
2021-11-02,1.1,1.11,1.01,1.05,1.05,7461100
2021-11-03,1.05,1.05,1.01,1.05,1.05,2117200
2021-11-04,1.04,1.06,1.04,1.05,1.05,917400
2021-11-05,1.06,1.07,1.04,1.06,1.06,1266300
2021-11-08,1.05,1.13,1.05,1.13,1.13,6307500
2021-11-09,1.12,1.12,1.07,1.07,1.07,3574500
2021-11-10,1.08,1.1,1.07,1.07,1.07,997700
2021-11-11,1.07,1.11,1.06,1.08,1.08,2183400
2021-11-12,1.09,1.09,1.05,1.05,1.05,1061400
2021-11-15,1.05,1.05,1.01,1.04,1.04,6587800
2021-11-16,1.04,1.06,1.04,1.04,1.04,6791700
2021-11-17,1.05,1.1,0.99,1.04,1.04,14210600
2021-11-18,1.04,1.06,1.04,1.04,1.04,1317300
2021-11-19,1.04,1.06,1.02,1.03,1.03,2591400
2021-11-22,1.04,1.07,0.99,1.03,1.03,11721600
2021-11-23,1.03,1.07,1.02,1.02,1.02,7139200
