Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.4,3.44,3.38,3.4,3.4,462700
2020-09-24,3.4,3.4,3.36,3.38,3.38,397500
2020-09-25,3.38,3.38,3.34,3.34,3.34,252700
2020-09-28,3.34,3.4,3.34,3.36,3.36,327400
2020-09-29,3.36,3.38,3.36,3.38,3.38,254900
2020-09-30,3.36,3.4,3.34,3.34,3.34,291500
2020-10-01,3.36,3.52,3.36,3.38,3.38,765500
2020-10-02,3.44,3.48,3.32,3.36,3.36,2139300
2020-10-05,3.36,3.36,3.28,3.3,3.3,863800
2020-10-06,3.34,3.5,3.34,3.4,3.4,3810800
2020-10-07,3.42,3.42,3.36,3.38,3.38,1456900
2020-10-08,3.38,3.42,3.36,3.4,3.4,1600300
2020-10-09,3.4,3.4,3.32,3.38,3.38,1338700
2020-10-12,3.38,3.42,3.36,3.42,3.42,324300
2020-10-14,3.44,3.46,3.36,3.4,3.4,1758600
2020-10-15,3.42,3.5,3.38,3.44,3.44,1992400
2020-10-16,3.48,3.5,3.4,3.44,3.44,1885500
2020-10-19,3.42,3.42,3.34,3.36,3.36,867200
2020-10-20,3.36,3.4,3.34,3.34,3.34,509300
2020-10-21,3.36,3.38,3.34,3.36,3.36,391300
2020-10-22,3.36,3.4,3.34,3.38,3.38,355900
2020-10-26,3.38,3.42,3.36,3.4,3.4,1509500
2020-10-27,3.42,3.44,3.32,3.4,3.4,765000
2020-10-28,3.44,3.44,3.36,3.4,3.4,1054400
2020-10-29,3.38,3.4,3.36,3.38,3.38,232600
2020-10-30,3.42,3.42,3.38,3.4,3.4,442100
2020-11-02,3.38,3.56,3.38,3.44,3.44,1011500
2020-11-03,3.52,3.6,3.44,3.5,3.5,3834200
2020-11-04,3.48,3.54,3.48,3.5,3.5,2367400
2020-11-05,3.56,3.58,3.5,3.58,3.58,2316000
2020-11-06,3.64,3.64,3.5,3.52,3.52,2369000
2020-11-09,3.52,3.56,3.48,3.54,3.54,2431400
2020-11-10,3.56,3.58,3.46,3.52,3.52,2694900
