Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1.71,1.75,1.71,1.74,1.74,0
2020-01-03,1.76,1.78,1.74,1.78,1.78,0
2020-01-06,1.76,1.78,1.7,1.71,1.71,0
2020-01-07,1.71,1.73,1.71,1.72,1.72,0
2020-01-08,1.69,1.7,1.65,1.65,1.65,0
2020-01-09,1.6800000000000002,1.71,1.6600000000000001,1.6800000000000002,1.6800000000000002,0
2020-01-10,1.69,1.73,1.69,1.71,1.71,0
2020-01-13,1.72,1.76,1.72,1.74,1.74,0
2020-01-14,1.75,1.81,1.71,1.71,1.71,0
2020-01-15,1.73,1.76,1.72,1.76,1.76,0
2020-01-16,1.76,1.77,1.74,1.75,1.75,0
2020-01-17,1.75,1.79,1.75,1.75,1.75,0
2020-01-20,1.74,1.75,1.71,1.71,1.71,0
2020-01-21,1.72,1.72,1.67,1.67,1.67,0
2020-01-22,1.6800000000000002,1.6800000000000002,1.65,1.6600000000000001,1.6600000000000001,0
2020-01-23,1.65,1.67,1.65,1.65,1.65,0
2020-01-24,1.6600000000000001,1.67,1.65,1.65,1.65,0
2020-01-27,1.6099999999999999,1.63,1.5699999999999998,1.5699999999999998,1.5699999999999998,0
2020-01-28,1.55,1.6,1.51,1.51,1.51,0
2020-01-29,1.54,1.55,1.5,1.54,1.54,0
2020-01-30,1.54,1.5699999999999998,1.52,1.52,1.52,0
2020-01-31,1.53,1.54,1.5,1.51,1.51,0
2020-02-03,1.51,1.51,1.46,1.46,1.46,0
2020-02-04,1.48,1.53,1.47,1.51,1.51,0
2020-02-05,1.52,1.58,1.51,1.5699999999999998,1.5699999999999998,0
2020-02-06,1.58,1.62,1.55,1.58,1.58,0
2020-02-07,1.58,1.5899999999999999,1.56,1.56,1.56,0
2020-02-11,1.56,1.5899999999999999,1.55,1.55,1.55,0
2020-02-12,1.56,1.6,1.56,1.5699999999999998,1.5699999999999998,0
2020-02-13,1.58,1.58,1.54,1.54,1.54,0
2020-02-14,1.55,1.58,1.54,1.54,1.54,0
2020-02-17,1.7,1.74,1.65,1.67,1.67,0
2020-02-18,1.67,1.67,1.6099999999999999,1.63,1.63,0
2020-02-19,1.6400000000000001,1.67,1.6099999999999999,1.63,1.63,0
2020-02-20,1.6400000000000001,1.6400000000000001,1.6,1.6099999999999999,1.6099999999999999,0
2020-02-21,1.62,1.62,1.54,1.58,1.58,0
2020-02-24,1.56,1.56,1.48,1.51,1.51,0
2020-02-25,1.51,1.51,1.42,1.43,1.43,0
2020-02-26,1.43,1.43,1.26,1.27,1.27,0
2020-02-27,1.26,1.34,1.22,1.34,1.34,0
2020-02-28,1.31,1.31,1.23,1.23,1.23,0
2020-03-02,1.26,1.26,1.17,1.2,1.2,0
2020-03-03,1.21,1.27,1.21,1.26,1.26,0
2020-03-04,1.26,1.26,1.22,1.24,1.24,0
2020-03-05,1.26,1.32,1.26,1.28,1.28,0
2020-03-06,1.27,1.28,1.25,1.27,1.27,0
2020-03-09,1.21,1.22,1.16,1.16,1.16,0
2020-03-10,1.17,1.23,1.16,1.2,1.2,0
2020-03-11,1.2,1.22,1.17,1.2,1.2,0
2020-03-12,1.17,1.17,1.02,1.02,1.02,0
2020-03-13,0.88,1.0,0.85,0.93,0.93,0
2020-03-16,0.89,0.93,0.84,0.85,0.85,0
2020-03-17,0.83,0.86,0.77,0.78,0.78,0
2020-03-18,0.79,0.84,0.77,0.78,0.78,0
2020-03-19,0.75,0.76,0.69,0.74,0.74,0
2020-03-20,0.76,0.83,0.76,0.83,0.83,0
2020-03-23,0.77,0.81,0.73,0.74,0.74,0
2020-03-24,0.77,0.77,0.73,0.75,0.75,0
2020-03-25,0.75,0.76,0.71,0.74,0.74,0
2020-03-26,0.7,0.75,0.7,0.75,0.75,0
2020-03-27,0.75,0.78,0.73,0.75,0.75,0
2020-03-30,0.72,0.75,0.72,0.75,0.75,0
2020-03-31,0.76,0.81,0.75,0.81,0.81,0
2020-04-01,0.81,0.82,0.77,0.77,0.77,0
2020-04-02,0.76,0.78,0.76,0.77,0.77,0
2020-04-03,0.77,0.79,0.76,0.77,0.77,0
