Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.27,0.28,0.26,0.27,0.27,247307368
2021-03-25,0.28,0.32,0.27,0.31,0.31,1228579704
2021-03-26,0.31,0.32,0.3,0.3,0.3,303178736
2021-03-29,0.31,0.32,0.3,0.31,0.31,138406637
2021-03-30,0.31,0.32,0.3,0.3,0.3,232686301
2021-03-31,0.31,0.32,0.3,0.32,0.32,97828577
2021-04-01,0.3,0.31,0.3,0.31,0.31,10817917
2021-04-02,0.3,0.3,0.28,0.29,0.29,221221675
2021-04-05,0.3,0.3,0.27,0.28,0.28,184484844
2021-04-07,0.28,0.29,0.27,0.28,0.28,124317491
2021-04-08,0.28,0.28,0.27,0.28,0.28,40780876
2021-04-09,0.27,0.28,0.26,0.27,0.27,139534913
2021-04-12,0.27,0.27,0.25,0.26,0.26,174702732
2021-04-16,0.26,0.27,0.25,0.27,0.27,64422782
2021-04-19,0.27,0.28,0.26,0.28,0.28,39778702
2021-04-20,0.28,0.29,0.27,0.28,0.28,57921490
2021-04-21,0.27,0.3,0.27,0.29,0.29,112922993
2021-04-22,0.3,0.33,0.29,0.31,0.31,1122219447
2021-04-23,0.31,0.32,0.3,0.32,0.32,390246981
2021-04-26,0.31,0.32,0.3,0.3,0.3,192232635
2021-04-27,0.31,0.32,0.3,0.32,0.32,431375804
2021-04-28,0.32,0.32,0.32,0.32,0.32,127221606
2021-04-29,0.32,0.39,0.32,0.36,0.36,1836650182
2021-04-30,0.35,0.37,0.33,0.34,0.34,675392558
2021-05-05,0.33,0.33,0.32,0.32,0.32,199862867
2021-05-06,0.32,0.33,0.32,0.33,0.33,50846098
2021-05-07,0.33,0.34,0.33,0.34,0.34,43700239
2021-05-10,0.34,0.34,0.32,0.33,0.33,79207633
2021-05-11,0.33,0.34,0.32,0.33,0.33,67883059
2021-05-12,0.33,0.33,0.32,0.32,0.32,87935614
2021-05-13,0.32,0.32,0.26,0.31,0.31,258103421
2021-05-14,0.31,0.32,0.29,0.32,0.32,154563428
2021-05-17,0.32,0.33,0.31,0.32,0.32,171835430
2021-05-18,0.32,0.33,0.32,0.32,0.32,64018543
2021-05-19,0.32,0.34,0.32,0.33,0.33,147711294
2021-05-20,0.34,0.35,0.32,0.33,0.33,118123193
2021-05-21,0.33,0.34,0.32,0.33,0.33,126127728
2021-05-24,0.33,0.34,0.32,0.33,0.33,40138273
2021-05-25,0.33,0.34,0.32,0.34,0.34,35186113
2021-05-27,0.34,0.34,0.32,0.33,0.33,23629208
2021-05-28,0.32,0.33,0.32,0.33,0.33,22394590
2021-05-31,0.32,0.34,0.32,0.33,0.33,35784460
2021-06-01,0.33,0.34,0.32,0.34,0.34,53260315
2021-06-02,0.34,0.34,0.33,0.33,0.33,21014046
2021-06-04,0.33,0.34,0.33,0.33,0.33,28257140
2021-06-07,0.34,0.36,0.33,0.34,0.34,198241822
2021-06-08,0.34,0.35,0.33,0.35,0.35,57696969
2021-06-09,0.35,0.35,0.34,0.35,0.35,70176646
2021-06-10,0.35,0.37,0.34,0.37,0.37,307553405
2021-06-11,0.37,0.38,0.35,0.37,0.37,246012220
2021-06-14,0.38,0.4,0.37,0.38,0.38,495545234
2021-06-15,0.39,0.39,0.37,0.37,0.37,154716899
2021-06-16,0.37,0.38,0.37,0.37,0.37,63788269
2021-06-17,0.38,0.41,0.37,0.4,0.4,824175627
2021-06-18,0.41,0.43,0.38,0.39,0.39,635432652
2021-06-21,0.39,0.4,0.37,0.38,0.38,375449162
2021-06-22,0.39,0.4,0.38,0.38,0.38,163499639
2021-06-23,0.39,0.4,0.38,0.39,0.39,196194595
2021-06-24,0.39,0.4,0.38,0.39,0.39,162671956
2021-06-25,0.39,0.4,0.38,0.39,0.39,84208571
2021-06-28,0.38,0.39,0.36,0.37,0.37,258643691
2021-06-29,0.37,0.38,0.36,0.38,0.38,145737689
2021-06-30,0.37,0.38,0.35,0.36,0.36,228696604
2021-07-01,0.34,0.35,0.3,0.32,0.32,865379435
2021-07-02,0.32,0.34,0.32,0.33,0.33,336972810
2021-07-05,0.33,0.34,0.32,0.33,0.33,92289867
2021-07-06,0.33,0.34,0.33,0.33,0.33,57454547
2021-07-07,0.33,0.34,0.32,0.32,0.32,83163707
2021-07-08,0.32,0.33,0.31,0.32,0.32,224788176
2021-07-09,0.31,0.32,0.31,0.32,0.32,49261215
2021-07-12,0.32,0.33,0.32,0.32,0.32,46735921
2021-07-13,0.32,0.33,0.32,0.32,0.32,31380919
2021-07-14,0.32,0.35,0.32,0.35,0.35,209907727
2021-07-15,0.35,0.39,0.34,0.38,0.38,663587424
2021-07-16,0.39,0.42,0.38,0.4,0.4,966914246
2021-07-19,0.42,0.47,0.41,0.46,0.46,2125458962
2021-07-20,0.49,0.49,0.44,0.44,0.44,1263862062
2021-07-21,0.45,0.47,0.45,0.45,0.45,492897612
2021-07-22,0.45,0.46,0.4,0.42,0.42,1069170212
2021-07-23,0.42,0.44,0.41,0.42,0.42,281071735
2021-07-27,0.42,0.43,0.41,0.41,0.41,123795394
2021-07-29,0.41,0.41,0.39,0.41,0.41,222030510
2021-07-30,0.4,0.4,0.36,0.38,0.38,597803573
2021-08-02,0.38,0.38,0.36,0.38,0.38,80466903
2021-08-03,0.37,0.39,0.37,0.38,0.38,38829355
2021-08-04,0.38,0.39,0.36,0.38,0.38,132306085
2021-08-05,0.37,0.38,0.37,0.37,0.37,40754066
2021-08-06,0.37,0.38,0.37,0.38,0.38,45613216
2021-08-09,0.38,0.38,0.36,0.38,0.38,49212157
2021-08-10,0.38,0.42,0.37,0.41,0.41,391312989
2021-08-11,0.42,0.43,0.4,0.4,0.4,119054218
2021-08-13,0.4,0.41,0.35,0.37,0.37,246515781
2021-08-16,0.36,0.36,0.32,0.33,0.33,525726734
2021-08-17,0.33,0.34,0.32,0.34,0.34,115348725
2021-08-18,0.34,0.35,0.33,0.35,0.35,102970016
2021-08-19,0.35,0.36,0.34,0.35,0.35,99623600
2021-08-20,0.32,0.34,0.31,0.33,0.33,510915286
2021-08-23,0.33,0.35,0.33,0.34,0.34,112573537
2021-08-24,0.35,0.35,0.34,0.34,0.34,49144328
2021-08-25,0.34,0.35,0.33,0.34,0.34,70634021
2021-08-26,0.32,0.34,0.32,0.33,0.33,172303010
2021-08-27,0.33,0.34,0.33,0.34,0.34,47824322
2021-08-30,0.34,0.35,0.33,0.35,0.35,119929321
2021-08-31,0.35,0.35,0.34,0.34,0.34,37413855
2021-09-01,0.34,0.38,0.34,0.38,0.38,501506882
2021-09-02,0.38,0.39,0.36,0.37,0.37,199548952
2021-09-03,0.38,0.38,0.35,0.36,0.36,206553921
2021-09-06,0.37,0.38,0.36,0.38,0.38,283680908
2021-09-07,0.38,0.39,0.37,0.37,0.37,118137297
2021-09-08,0.38,0.41,0.37,0.41,0.41,1054477367
2021-09-09,0.42,0.43,0.39,0.39,0.39,845507768
2021-09-10,0.4,0.41,0.39,0.39,0.39,186123939
2021-09-13,0.39,0.39,0.37,0.37,0.37,165525552
2021-09-14,0.36,0.37,0.35,0.36,0.36,150724616
2021-09-15,0.36,0.38,0.36,0.37,0.37,96997938
2021-09-16,0.37,0.38,0.36,0.37,0.37,87981728
2021-09-17,0.37,0.38,0.36,0.37,0.37,42411099
2021-09-20,0.37,0.38,0.36,0.37,0.37,80943531
2021-09-21,0.37,0.37,0.36,0.37,0.37,51217035
2021-09-22,0.36,0.39,0.36,0.39,0.39,129518303
2021-09-23,0.39,0.4,0.37,0.38,0.38,106915679
2021-09-27,0.38,0.38,0.36,0.36,0.36,98966271
2021-09-28,0.36,0.38,0.36,0.37,0.37,46552785
2021-09-29,0.37,0.38,0.36,0.37,0.37,20193100
2021-09-30,0.37,0.38,0.36,0.36,0.36,28767004
2021-10-01,0.36,0.37,0.35,0.37,0.37,107446037
2021-10-04,0.37,0.37,0.36,0.37,0.37,19768632
2021-10-05,0.36,0.37,0.36,0.36,0.36,32311831
2021-10-06,0.36,0.37,0.35,0.36,0.36,71149656
2021-10-07,0.36,0.37,0.35,0.36,0.36,59584670
2021-10-08,0.36,0.38,0.36,0.36,0.36,188132473
2021-10-11,0.36,0.37,0.36,0.37,0.37,22188665
2021-10-12,0.37,0.37,0.35,0.36,0.36,82464398
2021-10-14,0.36,0.37,0.36,0.36,0.36,28169698
2021-10-15,0.36,0.37,0.36,0.36,0.36,25652422
2021-10-18,0.36,0.37,0.36,0.36,0.36,28265489
2021-10-19,0.36,0.37,0.36,0.37,0.37,40109398
2021-10-20,0.37,0.37,0.36,0.37,0.37,85999310
2021-10-21,0.37,0.37,0.36,0.36,0.36,64457416
2021-10-25,0.36,0.37,0.35,0.36,0.36,102517875
2021-10-26,0.37,0.37,0.36,0.36,0.36,19459151
2021-10-27,0.37,0.37,0.35,0.36,0.36,68859218
2021-10-28,0.36,0.36,0.35,0.36,0.36,47976952
2021-10-29,0.36,0.36,0.35,0.36,0.36,20802357
2021-11-01,0.36,0.38,0.35,0.37,0.37,387693183
2021-11-02,0.37,0.38,0.36,0.37,0.37,100612462
2021-11-03,0.37,0.38,0.36,0.36,0.36,119326239
2021-11-04,0.37,0.37,0.36,0.36,0.36,53005803
2021-11-05,0.36,0.37,0.36,0.36,0.36,29892396
2021-11-08,0.36,0.37,0.35,0.35,0.35,126990472
2021-11-09,0.35,0.37,0.35,0.36,0.36,47256482
2021-11-10,0.36,0.36,0.35,0.35,0.35,29165693
2021-11-11,0.36,0.36,0.35,0.36,0.36,16605677
2021-11-12,0.35,0.36,0.35,0.36,0.36,31051643
2021-11-15,0.35,0.37,0.35,0.35,0.35,52413370
2021-11-16,0.35,0.36,0.35,0.36,0.36,12938122
2021-11-17,0.36,0.36,0.35,0.36,0.36,29032441
2021-11-18,0.36,0.36,0.35,0.35,0.35,119645795
2021-11-19,0.36,0.36,0.34,0.35,0.35,84142656
2021-11-22,0.35,0.36,0.34,0.35,0.35,59300362
2021-11-23,0.36,0.36,0.35,0.35,0.35,36054000
2021-11-24,0.35,0.36,0.34,0.35,0.35,40543685
2021-11-25,0.35,0.36,0.34,0.35,0.35,33183355
2021-11-26,0.35,0.36,0.34,0.34,0.34,40766434
