Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,2.36,2.56,2.32,2.56,2.56,6200
2022-02-22,2.48,2.5,2.48,2.5,2.5,2000
2022-02-24,2.36,2.54,2.36,2.54,2.54,400
2022-03-01,2.34,2.54,2.34,2.54,2.54,600
2022-03-07,2.9,2.9,2.5,2.62,2.62,14300
2022-03-08,2.34,2.62,2.34,2.62,2.62,200
2022-03-09,2.36,2.6,2.36,2.6,2.6,200
2022-03-10,2.34,2.58,2.34,2.58,2.58,400
2022-03-18,2.48,2.48,2.48,2.48,2.48,100
2022-03-22,2.46,2.46,2.46,2.46,2.46,1000
2022-03-25,2.4,2.4,2.4,2.4,2.4,1000
2022-03-29,2.58,2.58,2.52,2.52,2.52,300
2022-03-31,2.48,2.48,2.48,2.48,2.48,3300
2022-04-08,2.58,2.58,2.58,2.58,2.58,100
2022-04-11,2.28,2.28,2.22,2.22,2.22,2400
2022-04-19,2.3,2.3,2.3,2.3,2.3,100
2022-04-20,2.96,2.96,2.32,2.32,2.32,10600
2022-04-21,2.3,2.48,2.2,2.48,2.48,500
2022-04-22,2.28,2.46,2.28,2.46,2.46,9800
2022-04-26,2.26,2.42,2.26,2.42,2.42,200
2022-04-27,2.4,2.4,2.38,2.38,2.38,1500
2022-04-29,2.38,2.48,2.38,2.44,2.44,3300
2022-05-06,2.4,2.48,2.4,2.44,2.44,2600
2022-05-10,2.32,2.44,2.32,2.44,2.44,11200
2022-05-13,2.36,2.46,2.36,2.46,2.46,2100
2022-05-17,2.36,2.36,2.22,2.22,2.22,5500
2022-05-19,2.26,2.48,2.26,2.48,2.48,2100
2022-05-20,2.3,2.38,2.3,2.38,2.38,3300
2022-05-23,2.4,2.4,2.4,2.4,2.4,1000
2022-05-24,2.4,2.4,2.4,2.4,2.4,200
2022-05-26,2.4,2.4,2.4,2.4,2.4,3800
2022-05-31,2.42,2.46,2.42,2.46,2.46,1200
2022-06-02,2.44,2.44,2.44,2.44,2.44,200
2022-06-06,2.44,2.44,2.44,2.44,2.44,300
2022-06-10,2.42,2.42,2.4,2.4,2.4,500
2022-06-15,2.4,2.4,2.4,2.4,2.4,100
2022-06-16,2.4,2.4,2.4,2.4,2.4,100
2022-06-20,2.4,2.4,2.4,2.4,2.4,138
2022-06-22,2.22,2.42,2.22,2.42,2.42,1200
2022-06-28,2.36,2.36,2.34,2.34,2.34,1100
2022-06-29,2.36,2.36,2.34,2.34,2.34,2000
2022-07-01,2.34,2.34,2.34,2.34,2.34,1003
2022-07-04,2.3,2.3,2.3,2.3,2.3,1000
2022-07-08,2.26,2.26,2.24,2.24,2.24,400
2022-07-14,2.24,2.24,2.24,2.24,2.24,100
2022-07-18,2.48,2.48,2.48,2.48,2.48,100
2022-07-26,2.28,2.36,2.28,2.36,2.36,300
2022-07-27,2.3,2.44,2.3,2.44,2.44,800
2022-08-01,2.3,2.3,2.3,2.3,2.3,200
2022-08-03,2.24,2.36,2.22,2.36,2.36,2700
2022-08-04,2.26,2.3,2.26,2.3,2.3,300
2022-08-09,2.22,2.3,2.22,2.3,2.3,200
2022-08-10,2.24,2.24,2.24,2.24,2.24,100
2022-08-15,2.4,2.4,2.4,2.4,2.4,100
2022-08-16,2.22,2.22,2.22,2.22,2.22,200
2022-08-17,2.3,2.3,2.3,2.3,2.3,1000
2022-08-22,2.22,2.44,2.22,2.44,2.44,600
2022-08-23,2.3,2.44,2.22,2.44,2.44,6100
2022-08-25,2.22,2.34,2.2,2.34,2.34,16800
2022-08-29,2.46,2.46,2.2,2.44,2.44,400
2022-09-09,2.2,2.42,2.2,2.4,2.4,6100
2022-09-12,2.38,2.42,2.38,2.42,2.42,600
2022-09-13,2.3,2.44,2.3,2.44,2.44,1500
2022-09-14,2.44,2.44,2.4,2.4,2.4,1600
2022-09-20,2.22,2.32,2.22,2.3,2.3,19000
2022-09-21,2.32,2.38,2.32,2.38,2.38,10200
2022-09-22,2.36,2.36,2.36,2.36,2.36,1000
2022-09-26,2.4,2.4,2.4,2.4,2.4,500
2022-09-28,2.36,2.36,2.32,2.36,2.36,9800
2022-09-30,2.36,2.36,2.34,2.34,2.34,10000
2022-10-03,2.32,2.32,2.32,2.32,2.32,500
2022-10-04,2.32,2.34,2.32,2.34,2.34,8300
2022-10-06,2.36,2.36,2.36,2.36,2.36,100
2022-10-07,2.34,2.34,2.34,2.34,2.34,4400
2022-10-11,2.32,2.32,2.32,2.32,2.32,3000
2022-10-17,2.34,2.34,2.34,2.34,2.34,500
2022-10-18,2.42,2.42,2.36,2.36,2.36,200
2022-10-19,2.32,2.34,2.3,2.3,2.3,4200
2022-10-20,2.24,2.32,2.24,2.32,2.32,300
