Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.5,6.5,6.5,6.5,6.5,0
2020-01-03,6.95,6.95,6.95,6.95,6.95,0
2020-01-07,6.5,6.5,6.5,6.5,6.5,0
2020-01-17,6.5,6.5,6.5,6.5,6.5,0
2020-01-21,6.5,6.5,6.5,6.5,6.5,0
2020-01-22,5.1,6.7,5.1,6.2,6.2,0
2020-01-23,6.5,6.5,6.5,6.5,6.5,0
2020-01-28,6.5,6.5,6.5,6.5,6.5,0
2020-03-04,6.0,6.0,6.0,6.0,6.0,0
2020-04-07,6.0,6.0,6.0,6.0,6.0,0
2020-04-09,6.0,6.0,6.0,6.0,6.0,0
2020-04-22,5.3,5.5,5.3,5.5,5.5,0
2020-05-18,5.5,5.5,5.25,5.25,5.25,0
2020-05-20,5.4,5.5,5.4,5.5,5.5,0
2020-05-22,5.5,5.5,5.5,5.5,5.5,0
2020-05-25,5.5,5.5,5.4,5.4,5.4,0
2020-05-26,5.05,5.05,5.0,5.0,5.0,0
2020-05-27,5.2,5.2,5.2,5.2,5.2,0
2020-05-29,5.0,5.0,4.42,4.42,4.42,0
2020-06-01,4.38,4.38,3.88,3.88,3.88,0
2020-06-02,3.94,4.02,3.9,4.0,4.0,0
2020-06-04,4.04,4.12,4.02,4.12,4.12,0
2020-06-05,4.14,4.14,4.06,4.06,4.06,0
2020-06-08,4.06,4.06,3.98,3.98,3.98,0
2020-06-09,3.98,3.98,3.94,3.94,3.94,0
2020-06-10,3.92,4.02,3.9,4.02,4.02,0
2020-06-11,3.94,4.06,3.92,4.06,4.06,0
2020-06-12,3.94,3.98,3.94,3.98,3.98,0
2020-06-15,3.98,3.98,3.98,3.98,3.98,0
2020-06-17,3.98,3.98,3.98,3.98,3.98,0
2020-06-18,3.94,3.98,3.94,3.98,3.98,0
2020-06-19,4.0,4.06,3.7199999999999998,3.88,3.88,0
2020-06-22,3.84,3.84,3.84,3.84,3.84,0
2020-06-23,3.9,3.92,3.9,3.92,3.92,0
2020-06-24,3.94,3.94,3.82,3.82,3.82,0
2020-06-25,3.8,3.92,3.8,3.88,3.88,0
2020-06-29,3.84,3.84,3.84,3.84,3.84,0
2020-06-30,3.88,3.88,3.88,3.88,3.88,0
2020-07-01,3.82,3.82,3.8,3.8,3.8,0
2020-07-02,3.8,3.84,3.8,3.84,3.84,0
2020-07-03,3.86,3.86,3.86,3.86,3.86,0
2020-07-07,3.82,3.82,3.82,3.82,3.82,0
2020-07-09,3.8,3.8,3.8,3.8,3.8,0
2020-07-10,3.8,3.84,3.8,3.84,3.84,0
2020-07-14,3.8,3.8,3.8,3.8,3.8,0
2020-07-15,3.8,3.8,3.8,3.8,3.8,0
2020-07-16,3.7800000000000002,3.82,3.7800000000000002,3.82,3.82,0
2020-07-17,3.8,3.82,3.8,3.82,3.82,0
2020-07-21,3.62,3.74,3.62,3.64,3.64,0
2020-07-22,3.62,3.7199999999999998,3.62,3.7199999999999998,3.7199999999999998,0
2020-07-23,3.68,3.82,3.66,3.82,3.82,0
2020-07-24,3.64,3.64,3.2800000000000002,3.48,3.48,0
2020-07-29,3.5,3.5,3.2,3.34,3.34,0
2020-07-30,3.3,3.34,3.3,3.34,3.34,0
2020-07-31,3.3,3.34,3.3,3.34,3.34,0
2020-08-05,3.32,3.38,3.32,3.38,3.38,0
2020-08-06,3.36,3.36,3.36,3.36,3.36,0
2020-08-07,3.4,3.4,3.4,3.4,3.4,0
2020-08-14,3.32,3.32,3.32,3.32,3.32,0
2020-08-18,3.5,3.5,3.5,3.5,3.5,0
2020-08-24,3.5,3.5,3.5,3.5,3.5,0
2020-09-08,3.5,3.5,3.3,3.3,3.3,0
2020-09-09,3.3,3.3,3.3,3.3,3.3,0
2020-09-21,3.06,3.06,3.06,3.06,3.06,0
2020-09-24,3.06,3.06,3.06,3.06,3.06,0
2020-09-25,3.1,3.46,3.1,3.46,3.46,0
2020-09-29,3.9,3.96,3.86,3.96,3.96,0
2020-09-30,3.98,4.0,3.98,4.0,4.0,0
2020-10-05,3.2800000000000002,3.32,3.2800000000000002,3.32,3.32,0
2020-10-06,3.34,3.38,3.34,3.38,3.38,0
2020-10-08,3.32,3.32,3.32,3.32,3.32,0
2020-10-09,3.96,3.96,3.96,3.96,3.96,0
2020-10-12,3.94,3.94,3.5,3.5,3.5,0
2020-10-14,3.54,3.54,3.54,3.54,3.54,0
2020-10-15,2.54,4.02,2.54,3.0,3.0,0
2020-10-16,3.84,3.84,3.8,3.8,3.8,0
2020-10-19,3.88,3.88,3.84,3.84,3.84,0
2020-10-20,3.88,3.88,3.88,3.88,3.88,0
2020-10-21,2.92,3.74,2.92,3.7,3.7,0
2020-10-22,4.18,4.18,3.88,3.88,3.88,0
2020-10-26,4.02,4.02,4.02,4.02,4.02,0
2020-10-30,4.2,4.2,4.2,4.2,4.2,0
2020-11-02,3.02,3.56,3.02,3.4,3.4,0
2020-11-03,4.02,4.04,3.32,3.4,3.4,0
2020-11-04,3.8,3.9,3.4,3.42,3.42,0
2020-11-05,3.48,3.98,3.48,3.94,3.94,0
2020-11-09,3.6,4.02,3.6,4.02,4.02,0
2020-11-10,3.8,3.8,3.44,3.7800000000000002,3.7800000000000002,0
2020-11-11,3.94,3.96,3.94,3.96,3.96,0
2020-11-12,3.5,3.98,3.5,3.98,3.98,0
2020-11-13,3.52,3.6,3.48,3.5,3.5,0
2020-11-16,3.7800000000000002,4.0,3.5,3.5,3.5,0
2020-11-17,3.7199999999999998,3.94,3.7199999999999998,3.88,3.88,0
2020-11-18,3.54,3.54,3.5,3.5,3.5,0
2020-11-19,3.54,3.54,3.42,3.42,3.42,0
2020-11-20,3.58,3.58,3.5,3.5,3.5,0
2020-11-23,3.8,4.1,3.8,4.1,4.1,0
2020-11-24,5.1,5.1,3.5,3.5,3.5,0
2020-11-25,3.5,3.7,3.5,3.58,3.58,0
2020-11-27,3.44,3.58,3.4,3.58,3.58,0
2020-11-30,3.68,3.98,3.6,3.6,3.6,0
