Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.74,0.76,0.74,0.74,0.74,13099700
2021-03-25,0.75,0.76,0.74,0.74,0.74,7990800
2021-03-26,0.75,0.8,0.74,0.79,0.79,68826800
2021-03-29,0.8,0.91,0.78,0.9,0.9,250513300
2021-03-30,0.92,0.94,0.86,0.86,0.86,150317900
2021-03-31,0.87,0.88,0.85,0.87,0.87,34443700
2021-04-01,0.86,0.86,0.85,0.85,0.85,6693400
2021-04-02,0.87,0.87,0.7,0.8,0.8,38466500
2021-04-05,0.8,0.8,0.76,0.77,0.77,30900400
2021-04-07,0.76,0.76,0.74,0.74,0.74,18600500
2021-04-08,0.74,0.76,0.74,0.75,0.75,21467600
2021-04-09,0.75,0.77,0.74,0.74,0.74,20139600
2021-04-12,0.73,0.74,0.71,0.72,0.72,12875100
2021-04-16,0.71,0.71,0.68,0.69,0.69,20657200
2021-04-19,0.7,0.76,0.7,0.75,0.75,25575100
2021-04-20,0.74,0.75,0.72,0.73,0.73,11925900
2021-04-21,0.73,0.74,0.72,0.73,0.73,9530500
2021-04-22,0.74,0.75,0.72,0.72,0.72,12645400
2021-04-23,0.72,0.72,0.7,0.71,0.71,10842500
2021-04-26,0.7,0.71,0.69,0.7,0.7,18648700
2021-04-27,0.7,0.71,0.69,0.69,0.69,12362200
2021-04-28,0.69,0.75,0.69,0.72,0.72,39618900
2021-04-29,0.72,0.73,0.7,0.7,0.7,15623100
2021-04-30,0.71,0.72,0.7,0.71,0.71,16679000
2021-05-05,0.7,0.71,0.68,0.69,0.69,18788900
2021-05-06,0.69,0.71,0.68,0.69,0.69,16254700
2021-05-07,0.7,0.71,0.69,0.7,0.7,17797100
2021-05-10,0.7,0.7,0.68,0.68,0.68,11954800
2021-05-11,0.68,0.69,0.65,0.66,0.66,18376900
2021-05-12,0.66,0.67,0.62,0.64,0.64,15140700
2021-05-13,0.62,0.64,0.59,0.62,0.62,28226800
2021-05-14,0.63,0.63,0.6,0.62,0.62,10928500
2021-05-17,0.61,0.62,0.59,0.62,0.62,9683400
2021-05-18,0.61,0.65,0.61,0.65,0.65,13248400
2021-05-19,0.65,0.66,0.63,0.63,0.63,9104900
2021-05-20,0.64,0.67,0.62,0.64,0.64,16713800
2021-05-21,0.64,0.65,0.63,0.63,0.63,5494500
2021-05-24,0.64,0.65,0.62,0.63,0.63,4522200
2021-05-25,0.62,0.64,0.62,0.63,0.63,5067100
2021-05-27,0.64,0.68,0.64,0.65,0.65,27649500
2021-05-28,0.65,0.66,0.63,0.64,0.64,8322800
2021-05-31,0.64,0.66,0.64,0.65,0.65,7110900
2021-06-01,0.65,0.69,0.65,0.68,0.68,34594200
2021-06-02,0.69,0.69,0.67,0.68,0.68,9304600
2021-06-04,0.67,0.68,0.66,0.66,0.66,8892000
2021-06-07,0.67,0.68,0.66,0.66,0.66,4858000
2021-06-08,0.66,0.71,0.66,0.68,0.68,57185800
2021-06-09,0.67,0.69,0.67,0.68,0.68,14065100
2021-06-10,0.68,0.69,0.66,0.66,0.66,6850900
2021-06-11,0.67,0.68,0.67,0.67,0.67,5419100
2021-06-14,0.68,0.69,0.67,0.67,0.67,8291800
2021-06-15,0.67,0.68,0.66,0.66,0.66,9130600
2021-06-16,0.66,0.67,0.65,0.66,0.66,14341200
2021-06-17,0.66,0.67,0.65,0.66,0.66,4171500
2021-06-18,0.66,0.66,0.64,0.64,0.64,7030900
