Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.51,1.53,1.51,1.53,1.53,3134800
2020-09-24,1.52,1.56,1.51,1.56,1.56,3219000
2020-09-25,1.55,1.55,1.52,1.52,1.52,1490500
2020-09-28,1.52,1.53,1.51,1.52,1.52,1355200
2020-09-29,1.52,1.52,1.51,1.51,1.51,1011200
2020-09-30,1.52,1.52,1.51,1.52,1.52,967500
2020-10-01,1.52,1.52,1.51,1.52,1.52,282200
2020-10-02,1.52,1.53,1.51,1.53,1.53,1306100
2020-10-05,1.52,1.52,1.51,1.52,1.52,1279700
2020-10-06,1.51,1.52,1.51,1.52,1.52,1625000
2020-10-07,1.52,1.53,1.51,1.52,1.52,1349100
2020-10-08,1.52,1.53,1.51,1.51,1.51,1002300
2020-10-09,1.51,1.52,1.51,1.52,1.52,1755900
2020-10-12,1.52,1.52,1.51,1.52,1.52,797200
2020-10-14,1.51,1.52,1.51,1.52,1.52,924700
2020-10-15,1.52,1.52,1.5,1.52,1.52,1781300
2020-10-16,1.52,1.52,1.5,1.51,1.51,860300
2020-10-19,1.51,1.52,1.5,1.5,1.5,1731600
2020-10-20,1.5,1.52,1.5,1.51,1.51,213500
2020-10-21,1.51,1.52,1.5,1.5,1.5,2286400
2020-10-22,1.51,1.51,1.49,1.51,1.51,4357200
2020-10-26,1.51,1.51,1.49,1.5,1.5,76548200
2020-10-27,1.5,1.5,1.46,1.47,1.47,13567100
2020-10-28,1.48,1.48,1.45,1.47,1.47,8668100
2020-10-29,1.47,1.47,1.44,1.44,1.44,6432600
2020-10-30,1.47,1.47,1.45,1.45,1.45,4788700
2020-11-02,1.44,1.47,1.44,1.45,1.45,3623000
2020-11-03,1.46,1.46,1.44,1.44,1.44,4250100
2020-11-04,1.45,1.46,1.44,1.44,1.44,985100
2020-11-05,1.45,1.45,1.44,1.45,1.45,5193800
2020-11-06,1.45,1.46,1.44,1.45,1.45,3697700
2020-11-09,1.45,1.46,1.43,1.45,1.45,7539300
2020-11-10,1.45,1.46,1.43,1.44,1.44,12925900
2020-11-11,1.44,1.45,1.43,1.44,1.44,8368400
2020-11-12,1.44,1.44,1.42,1.43,1.43,7078000
2020-11-13,1.43,1.45,1.42,1.43,1.43,7377900
2020-11-16,1.44,1.45,1.42,1.43,1.43,8975800
2020-11-17,1.43,1.45,1.42,1.43,1.43,6601900
2020-11-18,1.43,1.45,1.43,1.45,1.45,3904800
2020-11-19,1.54,1.54,1.45,1.47,1.47,8166800
2020-11-20,1.47,1.5,1.47,1.49,1.49,3700000
2020-11-23,1.48,1.52,1.48,1.51,1.51,7424700
2020-11-24,1.52,1.53,1.49,1.49,1.49,3834300
2020-11-25,1.5,1.51,1.49,1.5,1.5,2195600
2020-11-26,1.52,1.52,1.49,1.51,1.51,3011200
2020-11-27,1.51,1.51,1.49,1.5,1.5,2794900
2020-11-30,1.5,1.5,1.47,1.48,1.48,3196000
2020-12-01,1.48,1.5,1.47,1.49,1.49,3838000
2020-12-02,1.5,1.5,1.47,1.48,1.48,1861800
2020-12-03,1.49,1.5,1.48,1.48,1.48,3250700
2020-12-04,1.49,1.5,1.48,1.5,1.5,2437900
2020-12-08,1.49,1.5,1.48,1.49,1.49,3357200
2020-12-09,1.5,1.5,1.48,1.5,1.5,8238500
2020-12-14,1.5,1.5,1.48,1.49,1.49,1833600
2020-12-15,1.49,1.49,1.47,1.48,1.48,4169400
2020-12-16,1.48,1.5,1.48,1.49,1.49,1974200
2020-12-17,1.48,1.5,1.48,1.49,1.49,1370800
2020-12-18,1.5,1.54,1.49,1.53,1.53,12739600
2020-12-21,1.49,1.51,1.46,1.47,1.47,9571500
2020-12-22,1.47,1.49,1.46,1.48,1.48,3243600
2020-12-23,1.48,1.49,1.45,1.46,1.46,10220200
2020-12-24,1.46,1.47,1.45,1.46,1.46,4638500
2020-12-25,1.46,1.48,1.45,1.47,1.47,4516500
2020-12-28,1.5,1.5,1.46,1.46,1.46,6179900
2020-12-29,1.47,1.48,1.46,1.48,1.48,2735500
2020-12-30,1.48,1.48,1.46,1.47,1.47,3922900
2021-01-04,1.47,1.49,1.46,1.47,1.47,1395200
2021-01-05,1.48,1.49,1.47,1.48,1.48,1822400
2021-01-06,1.49,1.51,1.48,1.5,1.5,7233700
2021-01-07,1.52,1.8,1.52,1.8,1.8,120927400
2021-01-08,1.88,2.04,1.85,1.86,1.86,192700000
2021-01-11,1.88,1.94,1.76,1.82,1.82,67051600
2021-01-12,1.8,1.85,1.77,1.8,1.8,26742400
2021-01-13,1.81,1.86,1.78,1.82,1.82,25803400
2021-01-14,1.81,1.85,1.79,1.79,1.79,15741300
2021-01-15,1.8,1.82,1.79,1.8,1.8,10734300
2021-01-18,1.8,1.84,1.78,1.82,1.82,24061100
2021-01-19,1.84,1.85,1.8,1.8,1.8,12248600
2021-01-20,1.81,1.9,1.8,1.83,1.83,58181500
2021-01-21,1.83,1.87,1.83,1.83,1.83,22652000
2021-01-22,1.84,1.85,1.8,1.81,1.81,9370300
2021-01-25,1.83,1.83,1.8,1.81,1.81,4467500
2021-01-26,1.83,1.85,1.82,1.82,1.82,20336100
2021-01-27,1.83,1.83,1.8,1.8,1.8,7895000
2021-01-28,1.79,1.8,1.7,1.72,1.72,21255400
2021-01-29,1.72,1.73,1.65,1.72,1.72,18018500
2021-02-01,1.71,1.71,1.69,1.69,1.69,4822800
2021-02-02,1.7,1.74,1.69,1.7,1.7,6707700
2021-02-03,1.71,1.74,1.7,1.71,1.71,14027700
2021-02-04,1.72,1.73,1.69,1.7,1.7,6546200
2021-02-05,1.7,1.71,1.69,1.69,1.69,3149600
2021-02-08,1.7,1.7,1.67,1.69,1.69,5948500
2021-02-09,1.69,1.71,1.68,1.69,1.69,6042900
2021-02-10,1.69,1.7,1.67,1.68,1.68,8735600
2021-02-11,1.68,1.69,1.64,1.65,1.65,7890500
2021-02-15,1.64,1.66,1.62,1.63,1.63,5335200
2021-02-16,1.63,1.67,1.63,1.65,1.65,3557800
2021-02-17,1.66,1.66,1.63,1.63,1.63,1957500
2021-02-18,1.64,1.76,1.62,1.76,1.76,24304500
2021-02-19,1.76,1.76,1.7,1.7,1.7,14089900
2021-02-22,1.72,1.76,1.71,1.71,1.71,19193400
2021-02-23,1.73,1.8,1.72,1.78,1.78,44099100
2021-02-24,1.83,1.86,1.8,1.8,1.8,38601000
2021-02-25,1.81,1.84,1.72,1.74,1.74,26296500
2021-03-01,1.74,1.79,1.71,1.78,1.78,11977500
2021-03-02,1.78,1.78,1.75,1.75,1.75,4372300
2021-03-03,1.74,1.79,1.74,1.79,1.79,14129100
2021-03-04,1.78,1.79,1.76,1.78,1.78,5854100
2021-03-05,1.79,1.87,1.78,1.85,1.85,46604000
2021-03-08,1.84,1.84,1.78,1.8,1.8,28441800
2021-03-09,1.82,1.88,1.8,1.88,1.88,48079600
2021-03-10,1.93,1.95,1.9,1.9,1.9,62986000
2021-03-11,1.92,1.92,1.88,1.89,1.89,18751400
2021-03-12,1.89,1.93,1.89,1.89,1.89,17562100
2021-03-15,1.9,1.9,1.86,1.87,1.87,11199900
2021-03-16,1.87,1.9,1.86,1.88,1.88,11214900
2021-03-17,1.88,1.92,1.87,1.88,1.88,16465600
2021-03-18,1.89,1.9,1.82,1.85,1.85,13750700
2021-03-19,1.85,1.87,1.83,1.83,1.83,10790300
2021-03-22,1.84,1.86,1.83,1.83,1.83,8748700
2021-03-23,1.84,1.84,1.81,1.82,1.82,6777000
2021-03-24,1.83,1.83,1.8,1.82,1.82,6782100
2021-03-25,1.83,1.84,1.81,1.81,1.81,8237600
2021-03-26,1.84,1.9,1.83,1.89,1.89,35541900
2021-03-29,1.9,1.92,1.87,1.88,1.88,18789000
2021-03-30,1.89,1.9,1.87,1.88,1.88,4068200
2021-03-31,1.87,1.88,1.85,1.85,1.85,6116100
2021-04-01,1.85,1.87,1.83,1.86,1.86,8090200
2021-04-02,1.87,1.91,1.86,1.86,1.86,15891600
2021-04-05,1.87,1.87,1.83,1.83,1.83,13056100
2021-04-07,1.82,1.82,1.78,1.78,1.78,9949200
2021-04-08,1.76,1.81,1.75,1.78,1.78,10798300
2021-04-09,1.8,2.2,1.8,2.08,2.08,513427600
2021-04-12,2.26,2.34,2.18,2.26,2.26,457799400
2021-04-16,2.24,2.24,2.06,2.08,2.08,126508400
2021-04-19,2.12,2.2,2.1,2.12,2.12,77851600
2021-04-20,2.1,2.22,2.08,2.22,2.22,103251300
2021-04-21,2.16,2.24,2.14,2.2,2.2,93865900
2021-04-22,2.22,2.22,2.14,2.14,2.14,26880500
2021-04-23,2.14,2.38,2.12,2.36,2.36,299875600
2021-04-26,2.38,2.42,2.28,2.32,2.32,321119600
2021-04-27,2.34,2.36,2.24,2.26,2.26,73435100
2021-04-28,2.3,2.34,2.26,2.26,2.26,21295000
2021-04-29,2.26,2.32,2.24,2.24,2.24,27631200
2021-04-30,2.26,2.28,2.2,2.24,2.24,35961600
2021-05-05,2.34,2.38,2.3,2.3,2.3,108586500
2021-05-06,2.3,2.34,2.1,2.16,2.16,131491100
2021-05-07,2.1,2.14,2.06,2.12,2.12,40548900
2021-05-10,2.12,2.14,2.08,2.08,2.08,27696500
2021-05-11,2.08,2.12,2.02,2.02,2.02,38650600
2021-05-12,2.02,2.04,1.97,1.99,1.99,30864400
2021-05-13,1.98,2.04,1.87,1.95,1.95,61510700
2021-05-14,1.99,2.16,1.98,2.14,2.14,90693600
2021-05-17,2.1,2.22,2.04,2.14,2.14,96737300
2021-05-18,2.16,2.22,2.12,2.12,2.12,36987700
2021-05-19,2.14,2.18,2.1,2.14,2.14,26274300
2021-05-20,2.14,2.2,2.1,2.12,2.12,44674400
2021-05-21,2.14,2.24,2.12,2.18,2.18,127350200
2021-05-24,2.22,2.24,2.18,2.2,2.2,41422000
2021-05-25,2.2,2.22,2.16,2.22,2.22,21547900
2021-05-27,2.22,2.24,2.18,2.18,2.18,12265200
2021-05-28,2.2,2.2,2.16,2.16,2.16,9742000
2021-05-31,2.18,2.28,2.16,2.26,2.26,95197000
2021-06-01,2.26,2.28,2.22,2.22,2.22,19015400
