Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,3.32,3.32,3.28,3.3,3.3,167200
2020-09-16,3.3,3.3,3.22,3.22,3.22,192000
2020-09-17,3.22,3.22,3.18,3.2,3.2,178200
2020-09-18,3.2,3.22,3.1,3.16,3.16,347800
2020-09-21,3.16,3.2,3.1,3.14,3.14,158100
2020-09-22,3.14,3.14,3.02,3.1,3.1,211600
2020-09-23,3.1,3.12,3.1,3.1,3.1,10800
2020-09-24,3.1,3.12,3.1,3.12,3.12,4600
2020-09-25,3.14,3.14,3.08,3.08,3.08,45800
2020-09-28,3.06,3.1,3.06,3.06,3.06,35600
2020-09-29,3.08,3.1,3.02,3.04,3.04,87600
2020-09-30,3.1,3.1,3.04,3.04,3.04,57200
2020-10-01,3.1,3.1,3.06,3.06,3.06,27800
2020-10-02,3.08,3.08,3.08,3.08,3.08,26800
2020-10-05,3.1,3.1,3.1,3.1,3.1,12000
2020-10-06,3.08,3.1,3.06,3.06,3.06,31100
2020-10-07,3.08,3.08,3.06,3.06,3.06,16500
2020-10-08,3.06,3.06,3.0,3.04,3.04,171400
2020-10-09,3.04,3.1,3.04,3.1,3.1,57600
2020-10-12,3.08,3.1,3.08,3.1,3.1,7500
2020-10-14,3.1,3.14,3.1,3.1,3.1,27900
2020-10-15,3.1,3.12,3.1,3.1,3.1,62600
2020-10-16,3.08,3.1,3.06,3.06,3.06,30200
2020-10-19,3.06,3.06,3.0,3.02,3.02,129200
2020-10-20,3.02,3.02,2.98,3.0,3.0,7800
2020-10-21,3.02,3.1,3.02,3.02,3.02,5500
2020-10-22,3.02,3.02,3.02,3.02,3.02,200
2020-10-26,3.04,3.04,3.0,3.02,3.02,41200
2020-10-27,3.06,3.06,3.04,3.04,3.04,10400
2020-10-28,3.06,3.06,3.0,3.02,3.02,85400
2020-10-29,3.02,3.02,3.02,3.02,3.02,26000
2020-11-02,3.04,3.04,3.0,3.02,3.02,62300
2020-11-03,3.38,3.38,3.1,3.24,3.24,11700
2020-11-04,3.2,3.2,3.2,3.2,3.2,2900
2020-11-05,3.2,3.22,3.2,3.22,3.22,12600
2020-11-06,3.22,3.4,3.22,3.4,3.4,69300
2020-11-09,3.6,3.6,3.4,3.42,3.42,204900
2020-11-10,3.6,3.6,3.44,3.44,3.44,51900
2020-11-11,3.44,3.46,3.32,3.36,3.36,97500
2020-11-12,3.28,3.28,3.18,3.22,3.22,130600
2020-11-13,3.28,3.28,3.14,3.2,3.2,203600
2020-11-16,3.22,3.22,3.18,3.18,3.18,113600
2020-11-17,3.18,3.22,3.14,3.2,3.2,86000
2020-11-19,3.08,3.18,3.08,3.16,3.16,57400
2020-11-20,3.16,3.24,3.16,3.24,3.24,165400
2020-11-23,3.4,3.4,3.24,3.36,3.36,275800
2020-11-24,3.32,3.32,3.24,3.3,3.3,83700
2020-11-25,3.28,3.3,2.32,3.1,3.1,420400
2020-11-26,3.1,3.3,3.1,3.18,3.18,55400
2020-11-27,3.18,3.3,3.16,3.28,3.28,53700
2020-12-01,3.26,3.3,3.2,3.26,3.26,82400
2020-12-02,3.26,4.22,3.26,3.48,3.48,157400
2020-12-03,3.48,3.56,3.42,3.44,3.44,349200
2020-12-04,3.44,3.46,3.36,3.44,3.44,79400
2020-12-08,3.4,3.46,3.4,3.42,3.42,44300
2020-12-09,3.4,3.44,3.38,3.44,3.44,32400
2020-12-14,3.44,3.46,3.4,3.42,3.42,173000
2020-12-15,3.42,3.48,3.4,3.48,3.48,7800
2020-12-16,3.48,3.52,3.46,3.52,3.52,88000
2020-12-17,3.54,3.54,3.4,3.42,3.42,232300
2020-12-18,3.42,3.48,3.42,3.44,3.44,23100
2020-12-21,3.4,3.4,3.36,3.36,3.36,143900
2020-12-22,3.32,3.36,3.3,3.3,3.3,90100
2020-12-23,3.3,3.32,3.28,3.28,3.28,170200
2020-12-24,3.28,3.32,3.28,3.32,3.32,92700
2020-12-25,3.32,3.4,3.3,3.4,3.4,122500
2020-12-28,3.4,3.4,3.34,3.34,3.34,85100
2020-12-29,3.34,3.34,3.28,3.3,3.3,175300
2020-12-30,3.3,3.32,3.3,3.3,3.3,73000
2021-01-04,3.3,3.34,3.28,3.34,3.34,100600
2021-01-05,3.34,3.46,3.3,3.42,3.42,104700
2021-01-06,3.42,3.42,3.3,3.4,3.4,187900
2021-01-07,3.46,3.46,3.34,3.4,3.4,104500
2021-01-11,3.44,3.44,3.36,3.38,3.38,41500
2021-01-12,3.34,3.36,3.34,3.36,3.36,136300
2021-01-13,3.36,3.4,3.36,3.36,3.36,350800
2021-01-14,3.36,3.36,3.36,3.36,3.36,19600
2021-01-15,3.36,3.42,3.32,3.4,3.4,36900
2021-01-18,3.38,3.38,3.36,3.36,3.36,20900
2021-01-19,3.36,3.42,3.34,3.42,3.42,35900
2021-01-20,3.42,3.42,3.36,3.38,3.38,21700
2021-01-21,3.36,3.42,3.36,3.38,3.38,43300
2021-01-22,3.44,3.44,3.34,3.34,3.34,81600
2021-01-25,3.36,3.36,3.32,3.32,3.32,102200
2021-01-26,3.34,3.34,3.3,3.34,3.34,154500
2021-01-27,3.32,3.34,3.3,3.3,3.3,89800
2021-01-29,3.26,3.3,3.26,3.28,3.28,78400
2021-02-01,3.4,3.4,3.3,3.34,3.34,44300
2021-02-02,3.34,3.34,3.3,3.3,3.3,22400
2021-02-03,3.32,3.32,3.26,3.28,3.28,242400
2021-02-04,3.28,3.3,3.22,3.3,3.3,228400
2021-02-05,3.3,3.32,3.28,3.28,3.28,68500
2021-02-08,3.26,3.32,3.2,3.24,3.24,179600
2021-02-09,3.22,3.24,3.22,3.24,3.24,80000
2021-02-10,3.26,3.28,3.26,3.28,3.28,15700
2021-02-11,3.28,3.28,3.24,3.28,3.28,36600
2021-02-15,3.28,3.3,3.28,3.3,3.3,60900
2021-02-16,3.32,3.34,3.3,3.32,3.32,186800
2021-02-18,3.28,3.32,3.28,3.3,3.3,57500
2021-02-19,3.28,3.3,3.28,3.3,3.3,25000
2021-02-22,3.32,3.32,3.3,3.3,3.3,44000
2021-02-23,3.32,3.32,3.28,3.3,3.3,325400
2021-02-24,3.3,3.38,3.28,3.38,3.38,81000
2021-02-25,3.44,3.52,3.4,3.5,3.5,248500
2021-03-01,4.0,4.2,3.62,4.2,4.2,1637500
2021-03-02,4.34,4.34,4.02,4.12,4.12,460200
2021-03-03,4.14,4.16,4.12,4.16,4.16,184700
2021-03-04,4.14,4.16,4.1,4.16,4.16,257500
2021-03-05,4.12,4.16,4.1,4.14,4.14,100300
2021-03-08,4.04,4.16,4.04,4.14,4.14,132000
2021-03-09,4.2,4.48,4.16,4.48,4.48,1057900
2021-03-10,4.5,5.15,4.4,4.82,4.82,1385000
2021-03-11,4.86,4.86,4.76,4.8,4.8,268500
2021-03-12,4.8,5.05,4.8,5.05,5.05,1090500
2021-03-15,5.1,6.2,5.05,5.95,5.95,6837000
2021-03-16,6.1,6.3,5.95,6.3,6.3,4716500
2021-03-17,6.25,6.3,6.1,6.3,6.3,2927400
2021-03-18,6.4,6.55,6.4,6.45,6.45,2711400
2021-03-19,6.55,6.55,6.4,6.45,6.45,1259300
2021-03-22,6.5,6.5,6.3,6.3,6.3,908000
2021-03-23,6.3,6.35,5.75,6.05,6.05,1278900
2021-03-24,6.15,6.2,5.9,6.2,6.2,435900
2021-03-25,6.3,6.3,6.05,6.15,6.15,338400
2021-03-26,6.15,6.15,6.1,6.1,6.1,438000
2021-03-29,6.1,6.25,6.05,6.2,6.2,967700
2021-03-30,6.2,6.3,6.15,6.15,6.15,1160000
2021-03-31,6.2,6.25,6.0,6.2,6.2,1372100
2021-04-01,6.2,6.2,5.9,6.2,6.2,773300
2021-04-02,6.3,6.3,6.0,6.05,6.05,897100
2021-04-05,6.05,6.15,5.95,6.05,6.05,424800
2021-04-07,6.05,6.05,5.95,6.0,6.0,137100
2021-04-08,6.0,6.05,5.95,6.0,6.0,121800
2021-04-09,6.0,6.05,5.95,6.0,6.0,309900
2021-04-12,6.0,6.05,5.95,5.95,5.95,229600
2021-04-16,6.0,6.4,5.95,6.3,6.3,2777200
2021-04-19,6.35,6.5,6.3,6.3,6.3,2230000
2021-04-20,6.3,6.35,6.0,6.1,6.1,455500
2021-04-21,6.1,6.1,6.0,6.05,6.05,949400
2021-04-22,6.0,6.15,6.0,6.0,6.0,564400
2021-04-23,6.0,6.1,6.0,6.1,6.1,246500
2021-04-26,6.2,6.45,6.1,6.4,6.4,5480800
2021-04-27,6.4,6.95,6.35,6.85,6.85,11162100
2021-04-28,7.0,8.2,6.95,7.75,7.75,14814200
2021-04-29,7.75,7.8,7.55,7.55,7.55,2053700
2021-04-30,7.6,8.2,7.6,8.1,8.1,8066100
2021-05-05,8.1,8.1,7.75,7.85,7.85,4472400
2021-05-06,7.85,8.0,7.8,7.85,7.85,3333400
2021-05-07,8.1,8.7,8.1,8.5,8.5,8619400
2021-05-10,8.45,8.45,8.05,8.2,8.2,3576600
2021-05-11,8.15,8.15,7.55,7.85,7.85,4891900
2021-05-12,8.0,8.0,7.7,7.8,7.8,1792400
2021-05-13,7.7,7.8,7.0,7.65,7.65,3696100
2021-05-14,7.85,7.9,7.25,7.25,7.25,4080300
2021-05-17,7.25,7.6,6.95,7.45,7.45,3331200
2021-05-18,7.5,7.8,7.5,7.7,7.7,1742100
2021-05-19,7.7,7.85,7.7,7.7,7.7,1583000
2021-05-20,7.8,7.9,7.75,7.75,7.75,1093500
2021-05-21,7.75,7.75,7.5,7.5,7.5,1210200
2021-05-24,7.5,7.55,7.35,7.35,7.35,570700
2021-05-25,7.35,7.5,7.3,7.35,7.35,366700
2021-05-27,7.35,7.4,7.2,7.3,7.3,1184000
2021-05-28,7.35,7.35,7.25,7.3,7.3,755200
2021-05-31,7.25,7.3,7.05,7.1,7.1,1472200
2021-06-01,7.15,7.25,7.0,7.1,7.1,1079100
2021-06-02,7.1,7.2,7.05,7.2,7.2,320400
2021-06-04,7.15,7.5,7.1,7.5,7.5,1773800
2021-06-07,7.55,7.6,7.4,7.4,7.4,1602200
2021-06-08,7.5,7.55,7.25,7.4,7.4,1143000
2021-06-09,7.4,7.45,7.25,7.3,7.3,725400
2021-06-10,7.3,7.35,7.25,7.25,7.25,297100
2021-06-11,7.25,7.3,7.15,7.2,7.2,507200
2021-06-14,7.2,7.2,7.1,7.15,7.15,1301100
2021-06-15,7.1,7.2,7.05,7.05,7.05,1035200
2021-06-16,7.05,7.3,7.05,7.2,7.2,611800
2021-06-17,7.2,7.2,6.95,7.05,7.05,1615300
2021-06-18,7.0,7.05,6.85,6.9,6.9,1043100
2021-06-21,6.8,6.9,6.75,6.75,6.75,908600
2021-06-22,6.85,7.0,6.8,6.8,6.8,1004100
2021-06-23,6.8,6.85,6.65,6.7,6.7,697500
2021-06-24,6.7,6.75,6.5,6.6,6.6,1312300
2021-06-25,6.6,6.75,6.55,6.55,6.55,681200
2021-06-28,6.55,6.7,6.45,6.6,6.6,1007900
2021-06-29,6.6,6.9,6.45,6.75,6.75,1761500
2021-06-30,6.8,6.8,6.55,6.6,6.6,843400
2021-07-01,6.6,6.85,6.6,6.75,6.75,546900
2021-07-02,6.75,7.15,6.75,7.05,7.05,1709800
2021-07-05,7.1,7.45,7.05,7.35,7.35,2937300
2021-07-06,7.4,7.4,7.2,7.3,7.3,1256400
2021-07-07,7.25,7.3,7.1,7.1,7.1,974900
2021-07-08,7.05,7.25,6.95,6.95,6.95,784300
2021-07-09,6.9,7.05,6.85,7.05,7.05,555700
2021-07-12,7.05,7.1,6.9,6.95,6.95,525800
2021-07-13,6.95,7.15,6.95,7.1,7.1,452600
2021-07-14,7.15,7.75,7.15,7.75,7.75,6362300
2021-07-15,7.8,7.95,7.7,7.85,7.85,5953500
2021-07-16,7.85,7.9,7.7,7.9,7.9,2192700
2021-07-19,7.8,8.05,7.7,7.75,7.75,5135700
2021-07-20,7.8,7.8,7.4,7.45,7.45,2847900
2021-07-21,7.45,7.6,7.35,7.45,7.45,1273200
