Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,3.76,3.78,3.68,3.7,3.7,4246700.0
2020-09-24,3.7,3.72,3.64,3.66,3.66,1825700.0
2020-09-25,3.66,3.72,3.54,3.6,3.6,4424200.0
2020-09-28,3.58,3.62,3.58,3.6,3.6,2412100.0
2020-09-29,3.66,3.68,3.58,3.6,3.6,6481600.0
2020-09-30,3.58,3.6,3.56,3.56,3.56,1708400.0
2020-10-01,3.56,3.58,3.5,3.52,3.52,4558100.0
2020-10-02,3.52,3.54,3.5,3.54,3.54,1707200.0
2020-10-05,3.54,3.56,3.52,3.54,3.54,1633100.0
2020-10-06,3.56,3.62,3.54,3.58,3.58,7072900.0
2020-10-07,3.6,3.66,3.58,3.64,3.64,5842100.0
2020-10-08,3.66,3.74,3.62,3.62,3.62,8852600.0
2020-10-09,3.64,3.76,3.62,3.76,3.76,6016200.0
2020-10-12,3.76,4.02,3.76,3.96,3.96,9586600.0
2020-10-14,3.96,4.06,3.9,3.96,3.96,6126700.0
2020-10-15,3.88,3.94,3.88,3.9,3.9,6373200.0
2020-10-16,3.9,3.94,3.86,3.94,3.94,7564800.0
2020-10-19,4.0,4.02,3.9,3.92,3.92,4768200.0
2020-10-20,3.94,3.96,3.86,3.88,3.88,5127400.0
2020-10-21,3.9,3.94,3.86,3.86,3.86,2702800.0
2020-10-22,3.84,4.12,3.84,4.12,4.12,11097100.0
2020-10-26,4.1,4.24,4.08,4.08,4.08,8594900.0
2020-10-27,4.14,4.14,4.06,4.14,4.14,4480900.0
2020-10-28,4.14,4.18,4.12,4.14,4.14,4233300.0
2020-10-29,4.12,4.18,4.12,4.16,4.16,3731000.0
2020-10-30,4.16,4.18,4.12,4.18,4.18,6452700.0
2020-11-02,4.2,4.36,4.2,4.34,4.34,13768500.0
2020-11-03,4.32,4.34,4.28,4.3,4.3,6164300.0
2020-11-04,4.28,4.38,4.28,4.34,4.34,8209700.0
2020-11-05,4.34,4.38,4.32,4.34,4.34,5463600.0
2020-11-06,4.34,4.4,4.2,4.24,4.24,5422000.0
2020-11-09,4.24,4.3,4.12,4.16,4.16,7340200.0
2020-11-10,4.2,4.32,4.2,4.3,4.3,5199800.0
2020-11-11,4.3,4.36,4.2,4.22,4.22,5586700.0
2020-11-12,4.22,4.26,4.16,4.16,4.16,5077100.0
2020-11-13,4.16,4.22,4.12,4.14,4.14,5060700.0
2020-11-16,4.08,4.12,4.02,4.12,4.12,6808800.0
2020-11-17,4.1,4.36,4.1,4.24,4.24,11081900.0
2020-11-18,4.3,4.3,4.2,4.22,4.22,3202100.0
2020-11-19,4.26,4.28,4.14,4.16,4.16,7231200.0
2020-11-20,4.16,4.24,4.16,4.18,4.18,5756200.0
2020-11-23,4.2,4.34,4.2,4.32,4.32,15327600.0
2020-11-24,4.34,4.36,4.26,4.28,4.28,11330900.0
2020-11-25,4.3,4.38,4.24,4.26,4.26,19772500.0
2020-11-26,4.22,4.28,4.2,4.24,4.24,4596700.0
2020-11-27,4.22,4.3,4.22,4.26,4.26,6997500.0
2020-11-30,4.26,4.28,4.16,4.16,4.16,6913000.0
2020-12-01,4.18,4.18,4.06,4.08,4.08,16537800.0
2020-12-02,4.1,4.16,4.1,4.1,4.1,6290500.0
2020-12-03,4.14,4.18,4.12,4.18,4.18,3920400.0
2020-12-04,4.18,4.24,4.16,4.2,4.2,7339900.0
2020-12-08,4.22,4.3,4.2,4.26,4.26,6869500.0
2020-12-09,4.3,4.34,4.2,4.26,4.26,12877100.0
2020-12-14,4.26,4.48,4.26,4.44,4.44,22533600.0
2020-12-15,4.52,4.56,4.4,4.46,4.46,13191800.0
2020-12-16,4.48,4.54,4.46,4.46,4.46,10058200.0
2020-12-17,4.48,4.56,4.46,4.56,4.56,9814600.0
2020-12-18,4.56,4.58,4.48,4.48,4.48,8167300.0
2020-12-21,4.3,4.38,4.12,4.12,4.12,19878500.0
2020-12-22,4.1,4.3,4.08,4.26,4.26,8150700.0
2020-12-23,4.24,4.32,4.24,4.28,4.28,7792600.0
2020-12-24,4.3,4.32,4.2,4.22,4.22,15657900.0
2020-12-25,4.28,4.3,4.16,4.16,4.16,11016700.0
2020-12-28,4.2,4.24,4.16,4.16,4.16,8714300.0
2020-12-29,4.2,4.36,4.2,4.24,4.24,8693600.0
2020-12-30,4.28,4.34,4.2,4.2,4.2,9050600.0
2021-01-04,4.16,4.24,4.16,4.24,4.24,7033500.0
2021-01-05,4.26,4.34,4.26,4.34,4.34,7036600.0
2021-01-06,4.36,4.46,4.28,4.32,4.32,13894600.0
2021-01-07,4.36,4.42,4.22,4.26,4.26,18002400.0
2021-01-08,4.32,4.36,4.26,4.28,4.28,4237100.0
2021-01-11,4.3,4.32,4.22,4.24,4.24,5907600.0
2021-01-12,4.24,4.26,4.22,4.24,4.24,2474400.0
2021-01-13,4.26,4.28,4.2,4.22,4.22,6748600.0
2021-01-14,4.22,4.24,4.18,4.2,4.2,7986100.0
2021-01-15,4.2,4.22,4.18,4.2,4.2,5091100.0
2021-01-18,4.2,4.26,4.16,4.18,4.18,6200500.0
2021-01-19,4.18,4.2,4.14,4.16,4.16,5958100.0
2021-01-20,4.16,4.18,4.08,4.08,4.08,8138200.0
2021-01-21,4.12,4.16,4.1,4.16,4.16,3468500.0
2021-01-22,4.14,4.18,4.12,4.14,4.14,6290000.0
2021-01-25,4.16,4.18,4.08,4.12,4.12,5466900.0
2021-01-26,4.12,4.2,4.1,4.16,4.16,7787500.0
2021-01-27,4.18,4.18,4.12,4.16,4.16,3092400.0
2021-01-28,4.14,4.16,4.08,4.1,4.1,8203300.0
2021-01-29,4.12,4.14,4.04,4.06,4.06,10486400.0
2021-02-01,4.06,4.1,4.04,4.06,4.06,3677900.0
2021-02-02,4.08,4.1,4.04,4.1,4.1,2666600.0
2021-02-03,4.12,4.2,4.12,4.12,4.12,11063000.0
2021-02-04,4.1,4.12,4.08,4.1,4.1,1671600.0
2021-02-05,4.14,4.2,4.12,4.14,4.14,12514800.0
2021-02-08,4.16,4.22,4.16,4.22,4.22,17929900.0
2021-02-09,4.28,4.3,4.2,4.22,4.22,8238900.0
2021-02-10,4.26,4.26,4.16,4.18,4.18,6698400.0
