Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,4.62,4.64,4.6,4.62,4.62,8700
2020-09-24,4.6,4.62,4.56,4.62,4.62,29600
2020-09-25,4.62,4.62,4.56,4.58,4.58,20900
2020-09-28,4.58,4.58,4.56,4.58,4.58,14800
2020-09-29,4.6,4.6,4.56,4.56,4.56,3700
2020-09-30,4.6,4.62,4.56,4.6,4.6,218200
2020-10-01,4.62,4.62,4.58,4.6,4.6,6800
2020-10-02,4.62,4.62,4.56,4.58,4.58,12500
2020-10-05,4.62,4.7,4.54,4.7,4.7,194300
2020-10-06,4.6,4.66,4.58,4.58,4.58,50400
2020-10-07,4.58,4.7,4.56,4.7,4.7,45900
2020-10-08,4.62,4.7,4.6,4.64,4.64,46600
2020-10-09,4.62,4.66,4.6,4.6,4.6,32800
2020-10-12,4.64,4.66,4.64,4.64,4.64,16000
2020-10-14,4.64,4.68,4.64,4.66,4.66,19000
2020-10-15,4.66,4.66,4.58,4.58,4.58,71600
2020-10-16,4.62,4.62,4.56,4.56,4.56,1600
2020-10-19,4.56,4.56,4.54,4.54,4.54,7900
2020-10-20,4.5,4.74,4.4,4.4,4.4,75900
2020-10-21,4.54,4.6,4.44,4.5,4.5,8600
2020-10-22,4.54,4.6,4.44,4.58,4.58,69800
2020-10-26,4.5,4.62,4.44,4.62,4.62,56200
2020-10-27,4.6,4.64,4.6,4.62,4.62,22300
2020-10-28,4.5,4.6,4.42,4.54,4.54,268000
2020-10-29,4.54,4.56,4.48,4.5,4.5,57100
2020-10-30,4.48,4.5,4.32,4.4,4.4,131500
2020-11-02,4.4,4.52,4.4,4.52,4.52,12100
2020-11-03,4.5,4.58,4.44,4.58,4.58,70500
2020-11-04,4.5,4.58,4.46,4.58,4.58,20400
2020-11-05,4.56,4.66,4.56,4.62,4.62,44500
2020-11-06,4.62,4.62,4.48,4.58,4.58,11300
2020-11-09,4.52,4.6,4.52,4.58,4.58,20800
2020-11-10,4.58,4.62,4.56,4.56,4.56,122200
2020-11-11,4.56,4.56,4.5,4.56,4.56,108800
2020-11-12,4.54,4.6,4.5,4.6,4.6,88800
2020-11-13,4.58,4.58,4.56,4.58,4.58,26900
2020-11-16,4.58,4.62,4.58,4.58,4.58,33700
2020-11-17,4.6,4.6,4.56,4.58,4.58,33200
2020-11-18,4.64,4.64,4.56,4.62,4.62,2000
2020-11-19,4.6,4.62,4.6,4.62,4.62,19500
2020-11-20,4.66,4.74,4.4,4.5,4.5,2390200
2020-11-23,4.58,4.62,4.54,4.58,4.58,112000
2020-11-24,4.58,4.88,4.56,4.7,4.7,410000
2020-11-25,4.72,4.72,4.4,4.64,4.64,1197700
2020-11-26,4.6,4.62,4.42,4.54,4.54,696500
2020-11-27,4.54,4.66,4.42,4.5,4.5,901800
2020-11-30,4.48,4.56,4.38,4.4,4.4,698100
2020-12-01,4.42,4.44,4.38,4.38,4.38,247500
2020-12-02,4.44,4.5,4.4,4.4,4.4,1021700
2020-12-03,4.42,4.46,4.4,4.44,4.44,279900
2020-12-04,4.46,4.46,4.2,4.28,4.28,2827100
2020-12-08,4.3,4.32,4.26,4.3,4.3,345900
2020-12-09,4.3,4.34,4.28,4.3,4.3,347900
2020-12-14,4.3,4.34,4.1,4.18,4.18,1269400
2020-12-15,4.2,4.24,4.18,4.2,4.2,331300
2020-12-16,4.2,4.38,4.2,4.32,4.32,824200
2020-12-17,4.38,4.4,4.36,4.36,4.36,531800
2020-12-18,4.36,4.44,4.32,4.38,4.38,180900
2020-12-21,4.26,4.38,4.22,4.22,4.22,270100
2020-12-22,4.22,4.38,4.22,4.28,4.28,77400
2020-12-23,4.32,4.34,4.26,4.28,4.28,8100
2020-12-24,4.28,4.36,4.1,4.28,4.28,110800
2020-12-25,4.32,4.34,4.26,4.3,4.3,279800
2020-12-28,4.3,4.32,4.26,4.3,4.3,102400
2020-12-29,4.3,4.32,4.28,4.3,4.3,332400
2020-12-30,4.28,4.32,4.26,4.28,4.28,230900
2021-01-04,4.26,4.32,4.26,4.3,4.3,81300
2021-01-05,4.28,4.32,4.24,4.32,4.32,41500
2021-01-06,4.3,4.32,4.28,4.3,4.3,179100
2021-01-07,4.34,4.38,4.28,4.34,4.34,111100
2021-01-08,4.32,4.36,4.32,4.32,4.32,181500
2021-01-11,4.3,4.34,4.28,4.3,4.3,59000
2021-01-12,4.3,4.32,4.3,4.3,4.3,164900
2021-01-13,4.32,4.32,4.26,4.3,4.3,138500
2021-01-14,4.3,4.32,4.3,4.3,4.3,224000
2021-01-15,4.3,4.32,4.28,4.32,4.32,135100
2021-01-18,4.3,4.32,4.28,4.32,4.32,45400
2021-01-19,4.32,4.32,4.3,4.3,4.3,173600
2021-01-20,4.3,4.32,4.3,4.32,4.32,113800
2021-01-21,4.32,4.34,4.3,4.34,4.34,119800
2021-01-22,4.32,4.32,4.28,4.32,4.32,91800
2021-01-25,4.3,4.32,4.28,4.32,4.32,157600
2021-01-26,4.3,4.32,4.3,4.32,4.32,60900
2021-01-27,4.3,4.34,4.3,4.3,4.3,102500
2021-01-28,4.3,4.3,4.28,4.3,4.3,97900
2021-01-29,4.28,4.34,4.28,4.3,4.3,81700
2021-02-01,4.3,4.34,4.3,4.3,4.3,196800
2021-02-02,4.3,4.32,4.28,4.32,4.32,133700
2021-02-03,4.3,4.34,4.28,4.34,4.34,277600
2021-02-04,4.3,4.34,4.3,4.34,4.34,107200
2021-02-05,4.3,4.34,4.3,4.34,4.34,380100
2021-02-08,4.34,4.36,4.32,4.34,4.34,117200
2021-02-09,4.34,4.52,4.32,4.42,4.42,724300
2021-02-10,4.48,4.78,4.44,4.78,4.78,6242200
2021-02-11,4.8,4.8,4.64,4.7,4.7,577000
2021-02-15,4.72,4.72,4.64,4.68,4.68,235000
2021-02-16,4.72,4.72,4.64,4.64,4.64,280000
2021-02-17,4.66,4.72,4.64,4.7,4.7,443400
2021-02-18,4.7,4.76,4.68,4.68,4.68,161000
2021-02-19,4.7,4.7,4.56,4.68,4.68,100200
