Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,1.85,1.9,1.79,1.9,1.9,7342600
2020-09-24,1.98,2.18,1.95,2.16,2.16,50109000
2020-09-25,2.26,2.28,2.16,2.16,2.16,19605700
2020-09-28,2.22,2.44,2.22,2.44,2.44,26762500
2020-09-29,2.4,2.46,2.3,2.34,2.34,13781800
2020-09-30,2.38,2.42,2.32,2.42,2.42,13554700
2020-10-01,2.46,2.46,2.34,2.34,2.34,10316000
2020-10-02,2.4,2.52,2.36,2.42,2.42,28086500
2020-10-05,2.4,2.48,2.4,2.4,2.4,6921300
2020-10-06,2.46,2.46,2.18,2.3,2.3,16326800
2020-10-07,2.3,2.36,2.24,2.28,2.28,5453800
2020-10-08,2.28,2.36,2.26,2.3,2.3,5471200
2020-10-09,2.36,2.4,2.3,2.34,2.34,7484300
2020-10-12,2.34,2.34,2.3,2.32,2.32,2059200
2020-10-14,2.34,2.34,2.24,2.32,2.32,4066000
2020-10-15,2.32,2.44,2.24,2.3,2.3,14631800
2020-10-16,2.26,2.32,2.22,2.24,2.24,3296900
2020-10-19,2.24,2.24,1.99,2.02,2.02,7680500
2020-10-20,2.0,2.12,2.0,2.06,2.06,4140100
2020-10-21,2.1,2.16,2.06,2.08,2.08,3131700
2020-10-22,2.1,2.1,2.02,2.04,2.04,1589500
2020-10-26,2.06,2.08,2.02,2.02,2.02,1321800
2020-10-27,2.04,2.1,1.97,2.1,2.1,4264500
2020-10-28,2.22,2.3,2.16,2.18,2.18,12335400
2020-10-29,2.22,2.34,2.22,2.3,2.3,15163700
2020-10-30,2.32,2.4,2.28,2.32,2.32,13276400
2020-11-02,2.34,2.36,2.2,2.28,2.28,4171400
2020-11-03,2.28,2.32,2.28,2.32,2.32,2999400
2020-11-04,2.32,2.34,2.28,2.32,2.32,2376600
2020-11-05,2.5,2.86,2.44,2.8,2.8,64537500
2020-11-06,2.84,2.88,2.68,2.84,2.84,29537200
2020-11-09,2.82,2.88,2.74,2.8,2.8,11504800
2020-11-10,2.8,2.8,2.58,2.66,2.66,9684100
2020-11-11,2.62,2.74,2.62,2.7,2.7,3534500
2020-11-12,2.7,2.72,2.6,2.66,2.66,2999000
2020-11-13,2.66,2.76,2.64,2.76,2.76,5918700
2020-11-16,2.76,2.76,2.68,2.68,2.68,3147000
2020-11-17,2.62,2.68,2.56,2.62,2.62,3508000
2020-11-18,2.58,2.64,2.58,2.58,2.58,1857100
2020-11-19,2.58,2.72,2.58,2.7,2.7,3302500
2020-11-20,2.74,2.76,2.64,2.68,2.68,2419200
2020-11-23,2.7,2.7,2.64,2.64,2.64,1371500
2020-11-24,2.72,3.04,2.68,3.02,3.02,39027000
2020-11-25,3.02,3.14,2.9,2.94,2.94,23927800
2020-11-26,2.96,3.04,2.92,2.94,2.94,4307700
2020-11-27,3.0,3.1,2.98,3.0,3.0,8424500
2020-11-30,3.0,3.0,2.92,2.96,2.96,2947100
2020-12-01,2.96,3.04,2.9,2.96,2.96,3676200
2020-12-02,2.92,2.96,2.84,2.88,2.88,4439500
2020-12-03,2.88,2.92,2.84,2.92,2.92,1931100
2020-12-04,2.9,2.92,2.86,2.88,2.88,2137500
2020-12-08,2.88,3.02,2.88,2.98,2.98,3543600
2020-12-09,2.98,2.98,2.82,2.86,2.86,4038600
2020-12-14,2.8,2.86,2.74,2.8,2.8,2312700
2020-12-15,2.74,2.86,2.72,2.82,2.82,2362300
2020-12-16,2.82,3.02,2.82,3.02,3.02,8478300
2020-12-17,3.04,3.04,2.96,2.98,2.98,3209000
2020-12-18,2.94,2.98,2.94,2.94,2.94,1752000
2020-12-21,2.72,2.88,2.7,2.7,2.7,4143000
2020-12-22,2.7,2.98,2.68,2.92,2.92,5067000
2020-12-23,3.04,3.08,2.94,2.94,2.94,10001400
2020-12-24,2.9,2.98,2.86,2.9,2.9,1983100
2020-12-25,2.94,2.98,2.88,2.88,2.88,1967500
2020-12-28,2.88,2.92,2.78,2.8,2.8,2060500
2020-12-29,2.82,2.84,2.76,2.82,2.82,1594700
2020-12-30,2.94,2.94,2.8,2.84,2.84,3733800
2021-01-04,2.74,2.9,2.7,2.84,2.84,1362800
2021-01-05,2.86,2.88,2.8,2.84,2.84,1551900
2021-01-06,2.86,2.86,2.8,2.82,2.82,1885800
2021-01-07,2.86,2.88,2.8,2.8,2.8,2560400
2021-01-08,2.82,2.84,2.76,2.8,2.8,1502600
2021-01-11,2.88,3.06,2.84,3.06,3.06,18495200
2021-01-12,3.1,3.3,3.04,3.2,3.2,40512600
2021-01-13,3.26,3.36,3.22,3.26,3.26,24965400
2021-01-14,3.3,3.32,3.2,3.22,3.22,6983900
2021-01-15,3.22,3.36,3.22,3.28,3.28,9500800
2021-01-18,3.3,3.5,3.3,3.46,3.46,20843600
2021-01-19,3.46,3.48,3.4,3.42,3.42,6032500
2021-01-20,3.42,3.48,3.36,3.42,3.42,6332700
2021-01-21,3.44,3.54,3.42,3.42,3.42,7744300
2021-01-22,3.4,3.42,3.36,3.38,3.38,3908400
2021-01-25,3.38,3.68,3.38,3.66,3.66,16450000
2021-01-26,3.7,3.88,3.68,3.84,3.84,16215000
2021-01-27,3.9,4.78,3.88,4.44,4.44,66727600
2021-01-28,4.5,4.68,4.2,4.2,4.2,47277000
2021-01-29,4.3,4.6,4.3,4.6,4.6,33425700
2021-02-01,4.8,5.05,4.8,4.9,4.9,53603100
2021-02-02,5.0,5.65,4.96,5.5,5.5,45388400
2021-02-03,5.45,5.85,5.4,5.55,5.55,29550100
2021-02-04,5.65,5.75,5.45,5.75,5.75,15394900
2021-02-05,5.9,5.9,5.65,5.7,5.7,12530800
2021-02-08,5.65,5.75,5.5,5.6,5.6,9413500
2021-02-09,5.65,6.25,5.55,6.2,6.2,34557300
2021-02-10,6.2,6.25,5.95,6.05,6.05,20610700
2021-02-11,6.1,6.25,6.0,6.2,6.2,11308500
