Date,Open,High,Low,Close,Adj Close,Volume
2020-07-16,34.5,35.0,34.25,34.25,34.25,18300
2020-07-17,34.25,34.25,34.0,34.25,34.25,23600
2020-07-20,34.25,34.25,34.25,34.25,34.25,2200
2020-07-21,34.25,34.5,34.25,34.5,34.5,4100
2020-07-22,34.5,34.5,34.25,34.25,34.25,6200
2020-07-23,34.5,34.5,34.25,34.25,34.25,25600
2020-07-24,34.5,34.5,34.25,34.25,34.25,7000
2020-07-29,34.25,34.25,34.25,34.25,34.25,5500
2020-07-30,34.5,34.5,34.25,34.25,34.25,2300
2020-08-03,34.5,34.5,34.25,34.25,34.25,23100
2020-08-04,34.25,34.25,34.25,34.25,34.25,8400
2020-08-05,34.25,34.25,34.25,34.25,34.25,18800
2020-08-06,34.25,34.25,34.0,34.0,34.0,14900
2020-08-07,33.5,33.5,33.5,33.5,33.5,5500
2020-08-10,33.25,33.75,33.25,33.25,33.25,10300
2020-08-11,33.5,33.5,33.25,33.25,33.25,200
2020-08-13,33.5,33.5,33.25,33.25,33.25,6900
2020-08-14,33.5,33.5,33.0,33.0,33.0,20600
2020-08-17,33.25,33.25,33.0,33.0,33.0,20000
2020-08-18,33.0,33.0,33.0,33.0,33.0,5000
2020-08-19,33.0,33.0,32.75,33.0,33.0,35400
2020-08-24,33.75,33.75,33.75,33.75,33.75,500
2020-08-25,33.75,33.75,33.75,33.75,33.75,6500
2020-08-26,34.0,34.25,33.75,34.25,34.25,14800
2020-08-27,33.5,33.5,33.25,33.5,33.5,8500
2020-08-28,33.5,33.75,33.5,33.75,33.75,1700
2020-09-01,33.75,33.75,33.75,33.75,33.75,3100
2020-09-02,33.5,33.75,33.5,33.5,33.5,7300
2020-09-03,33.75,34.0,33.75,33.75,33.75,18100
2020-09-08,33.5,33.5,33.5,33.5,33.5,2700
2020-09-09,33.5,33.5,33.5,33.5,33.5,8400
2020-09-10,33.5,33.5,33.5,33.5,33.5,4800
2020-09-11,33.75,33.75,33.5,33.5,33.5,7700
2020-09-14,33.5,33.5,33.25,33.25,33.25,8700
2020-09-15,33.5,33.5,33.5,33.5,33.5,1700
2020-09-16,33.5,33.5,33.0,33.5,33.5,10100
2020-09-17,33.25,33.25,33.0,33.0,33.0,11400
2020-09-18,33.0,33.0,33.0,33.0,33.0,8400
2020-09-21,33.0,33.0,33.0,33.0,33.0,2000
2020-09-22,33.0,33.0,32.75,32.75,32.75,5300
2020-09-23,33.0,33.0,32.75,32.75,32.75,7300
2020-09-25,32.75,32.75,32.75,32.75,32.75,5900
2020-09-28,33.0,33.0,33.0,33.0,33.0,2000
2020-09-29,33.0,33.0,32.75,33.0,33.0,6800
2020-09-30,32.75,33.5,32.75,33.0,33.0,1000
2020-10-02,33.0,33.0,32.75,32.75,32.75,32000
2020-10-07,33.5,33.5,33.0,33.0,33.0,3200
2020-10-08,33.0,35.0,33.0,34.25,34.25,2200
2020-10-09,33.0,33.0,32.75,32.75,32.75,10900
2020-10-12,33.75,33.75,33.0,33.0,33.0,2500
2020-10-14,33.0,33.0,33.0,33.0,33.0,22000
2020-10-15,33.0,33.0,33.0,33.0,33.0,27900
2020-10-16,33.0,33.0,33.0,33.0,33.0,71000
2020-10-19,32.75,32.75,32.75,32.75,32.75,6400
2020-10-21,33.0,33.0,33.0,33.0,33.0,23400
2020-10-22,32.75,33.0,32.75,33.0,33.0,4000
2020-10-26,33.0,33.0,33.0,33.0,33.0,32600
2020-10-28,33.0,33.0,33.0,33.0,33.0,4700
2020-10-29,33.0,33.0,33.0,33.0,33.0,31500
2020-10-30,33.0,33.0,33.0,33.0,33.0,29000
2020-11-02,33.0,33.0,33.0,33.0,33.0,38000
2020-11-05,32.5,32.5,32.5,32.5,32.5,400
2020-11-06,33.0,33.0,33.0,33.0,33.0,4800
2020-11-09,32.75,32.75,32.75,32.75,32.75,100
2020-11-10,37.0,37.0,32.75,32.75,32.75,26900
2020-11-11,33.0,33.0,33.0,33.0,33.0,75700
2020-11-12,34.0,34.0,33.0,33.0,33.0,263500
2020-11-16,33.0,34.0,33.0,34.0,34.0,28400
2020-11-17,34.0,34.0,33.0,33.0,33.0,3600
2020-11-19,33.0,33.25,33.0,33.25,33.25,2400
2020-11-23,33.25,34.0,33.25,34.0,34.0,8100
2020-11-24,34.0,34.25,33.5,34.0,34.0,7600
2020-11-25,34.75,34.75,33.5,33.5,33.5,2700
2020-11-26,33.5,35.0,33.5,34.0,34.0,3800
2020-11-27,33.75,34.5,33.5,34.5,34.5,2100
2020-12-01,33.75,35.75,33.75,35.5,35.5,1100
2020-12-02,35.0,35.0,35.0,35.0,35.0,100
2020-12-04,34.0,34.75,33.75,34.0,34.0,3100
2020-12-08,34.0,34.5,34.0,34.5,34.5,3400
2020-12-09,36.0,36.0,34.0,34.0,34.0,4900
2020-12-14,33.75,34.0,33.75,34.0,34.0,3300
2020-12-15,33.75,33.75,33.75,33.75,33.75,1200
2020-12-16,34.0,35.25,33.75,34.0,34.0,4600
2020-12-17,34.75,34.75,34.0,34.0,34.0,30300
2020-12-18,34.0,34.0,34.0,34.0,34.0,2000
2020-12-21,33.0,33.0,32.5,32.5,32.5,2500
2020-12-22,32.75,33.5,32.5,33.5,33.5,1700
2020-12-23,32.75,33.5,32.75,33.0,33.0,5600
2020-12-24,35.75,35.75,33.75,33.75,33.75,4100
2020-12-25,33.75,35.0,33.75,35.0,35.0,700
2020-12-28,35.5,35.5,34.25,34.25,34.25,14100
2020-12-29,34.25,34.25,33.75,34.25,34.25,20000
2020-12-30,34.25,34.25,33.5,33.75,33.75,9000
2021-01-04,33.5,33.5,33.5,33.5,33.5,1000
2021-01-05,33.75,33.75,33.75,33.75,33.75,800
2021-01-06,34.0,34.0,34.0,34.0,34.0,2700
2021-01-07,34.25,35.25,34.25,35.25,35.25,77100
2021-01-08,35.25,36.0,34.5,35.0,35.0,5000
2021-01-11,34.5,39.5,33.25,34.25,34.25,8700
2021-01-12,34.5,34.5,34.0,34.0,34.0,2700
2021-01-13,34.0,34.0,33.5,34.0,34.0,71800
2021-01-14,33.5,34.0,33.5,33.5,33.5,54800
2021-01-15,33.5,34.0,33.25,33.25,33.25,13200
2021-01-18,33.25,33.25,33.0,33.0,33.0,43200
2021-01-19,34.0,34.0,33.0,33.0,33.0,21500
2021-01-20,33.0,34.0,33.0,33.0,33.0,2500
2021-01-21,33.0,33.5,33.0,33.5,33.5,7700
2021-01-22,33.25,33.75,33.25,33.25,33.25,5800
2021-01-25,33.5,33.5,33.25,33.25,33.25,28600
2021-01-26,33.25,33.25,33.0,33.0,33.0,1700
2021-01-27,33.5,33.5,33.0,33.25,33.25,8700
2021-01-28,34.0,34.0,33.0,33.25,33.25,12600
2021-01-29,33.0,33.25,33.0,33.0,33.0,4300
2021-02-01,33.0,34.0,33.0,33.25,33.25,6800
2021-02-02,33.25,33.5,33.25,33.25,33.25,700
2021-02-03,33.0,33.0,33.0,33.0,33.0,3800
2021-02-05,33.25,33.25,33.25,33.25,33.25,1700
2021-02-08,33.0,33.5,33.0,33.5,33.5,2300
2021-02-09,33.0,33.5,33.0,33.25,33.25,1100
2021-02-10,33.25,33.5,33.0,33.25,33.25,1700
2021-02-15,33.25,33.75,33.25,33.75,33.75,9300
2021-02-17,34.0,34.0,33.5,33.5,33.5,2000
2021-02-19,34.0,34.0,33.0,33.5,33.5,12200
2021-02-22,33.5,33.5,33.0,33.0,33.0,10000
2021-02-23,33.0,33.5,32.0,32.75,32.75,71700
2021-02-24,33.25,33.5,33.25,33.5,33.5,1100
2021-02-25,33.5,33.5,32.25,33.5,33.5,29300
2021-03-01,33.5,33.5,33.25,33.25,33.25,5100
2021-03-03,33.5,33.5,33.0,33.25,33.25,7200
2021-03-04,33.5,33.75,33.25,33.25,33.25,3700
2021-03-05,33.25,33.75,33.25,33.75,33.75,8100
2021-03-08,34.25,34.5,33.5,33.75,33.75,5200
2021-03-09,35.5,35.5,34.25,34.5,34.5,19600
2021-03-10,34.5,35.0,34.5,35.0,35.0,6300
2021-03-11,34.0,34.0,33.5,34.0,34.0,6900
2021-03-12,33.25,33.5,33.25,33.5,33.5,21900
2021-03-15,33.5,33.5,33.25,33.25,33.25,33200
2021-03-16,33.25,33.25,33.25,33.25,33.25,9300
2021-03-17,33.25,33.5,33.25,33.5,33.5,30600
2021-03-18,33.25,33.5,33.0,33.25,33.25,30600
2021-03-19,33.5,33.5,33.0,33.0,33.0,37100
2021-03-22,33.25,33.25,32.75,33.0,33.0,34800
2021-03-23,33.0,33.25,33.0,33.0,33.0,15200
2021-03-24,33.0,33.0,33.0,33.0,33.0,33400
2021-03-25,33.0,33.0,33.0,33.0,33.0,90100
2021-03-26,33.0,33.25,33.0,33.0,33.0,10600
2021-03-29,33.25,33.25,33.0,33.0,33.0,26700
2021-03-31,33.25,33.25,33.0,33.0,33.0,22200
2021-04-01,33.0,33.25,33.0,33.25,33.25,12500
2021-04-02,33.25,33.5,33.25,33.5,33.5,18600
2021-04-05,33.25,33.25,33.25,33.25,33.25,8600
2021-04-07,33.25,33.25,32.75,33.25,33.25,17000
2021-04-08,33.0,33.25,33.0,33.25,33.25,4400
2021-04-09,33.25,33.25,33.0,33.25,33.25,9100
2021-04-12,33.25,33.25,33.25,33.25,33.25,3700
2021-04-16,33.0,33.25,33.0,33.25,33.25,11600
2021-04-19,33.25,33.5,33.25,33.5,33.5,4400
2021-04-20,33.75,33.75,33.5,33.5,33.5,1500
2021-04-21,33.5,33.5,33.5,33.5,33.5,13100
2021-04-22,33.75,33.75,33.5,33.5,33.5,19700
2021-04-23,33.75,33.75,33.5,33.75,33.75,5800
2021-04-26,33.75,34.0,33.75,33.75,33.75,6300
2021-04-27,34.0,34.5,34.0,34.25,34.25,8100
2021-04-28,34.5,34.5,34.0,34.5,34.5,6700
2021-04-29,34.0,34.25,34.0,34.25,34.25,2200
2021-04-30,34.5,34.5,34.25,34.25,34.25,11700
2021-05-05,34.75,35.0,34.25,34.75,34.75,3100
2021-05-06,34.0,34.5,34.0,34.5,34.5,6700
2021-05-07,34.5,34.75,34.5,34.5,34.5,2800
2021-05-10,34.5,34.75,34.0,34.25,34.25,9100
2021-05-11,34.25,34.5,34.25,34.5,34.5,16200
2021-05-12,34.25,35.0,34.25,34.5,34.5,10200
2021-05-13,34.75,35.0,34.25,35.0,35.0,7600
2021-05-14,35.0,35.0,34.25,35.0,35.0,8400
2021-05-17,35.0,35.25,35.0,35.0,35.0,16100
2021-05-18,35.0,35.5,34.75,35.5,35.5,7500
2021-05-19,35.5,36.25,35.5,36.0,36.0,15800
2021-05-20,36.0,36.25,36.0,36.0,36.0,20800
2021-05-21,36.25,36.25,36.0,36.25,36.25,18500
2021-05-24,36.75,36.75,36.0,36.25,36.25,19400
2021-05-25,36.25,36.25,35.75,36.0,36.0,8100
2021-05-27,35.75,36.5,35.75,36.25,36.25,5500
2021-05-28,37.25,37.25,36.75,37.0,37.0,9600
2021-05-31,37.25,37.25,36.75,37.0,37.0,7600
2021-06-01,37.0,37.0,36.0,36.5,36.5,26400
2021-06-02,36.25,36.25,35.5,36.0,36.0,17500
2021-06-07,36.0,36.25,36.0,36.0,36.0,3100
2021-06-08,36.0,36.0,36.0,36.0,36.0,400
2021-06-09,36.0,37.0,36.0,36.75,36.75,1900
2021-06-10,36.5,37.0,36.25,37.0,37.0,3000
2021-06-11,37.0,37.0,36.0,37.0,37.0,3800
2021-06-15,37.0,37.25,36.0,36.25,36.25,16500
2021-06-16,36.5,36.5,36.25,36.25,36.25,5700
2021-06-17,35.75,35.75,35.25,35.5,35.5,5300
2021-06-18,35.75,36.0,35.5,35.75,35.75,4400
2021-06-22,36.5,36.5,35.25,35.25,35.25,2500
2021-06-24,35.5,35.5,35.5,35.5,35.5,7200
2021-06-25,35.5,36.5,35.25,35.5,35.5,11900
2021-06-28,35.75,35.75,35.75,35.75,35.75,1300
2021-06-29,35.5,35.5,35.0,35.0,35.0,34400
2021-06-30,35.0,35.0,34.5,34.5,34.5,21300
2021-07-01,34.5,34.5,34.0,34.0,34.0,839300
2021-07-02,34.0,34.0,34.0,34.0,34.0,196400
2021-07-05,34.0,34.75,34.0,34.75,34.75,5800
2021-07-07,34.25,34.75,34.25,34.25,34.25,1000
2021-07-08,34.0,34.0,33.75,34.0,34.0,14000
2021-07-09,34.25,34.25,34.25,34.25,34.25,100
2021-07-12,34.25,34.25,34.25,34.25,34.25,4200
2021-07-13,35.0,35.0,34.0,34.0,34.0,4200
2021-07-14,34.0,34.0,34.0,34.0,34.0,100
2021-07-19,34.25,34.25,34.0,34.0,34.0,14500
2021-07-20,34.25,34.5,34.25,34.25,34.25,2700
2021-07-22,34.25,34.5,34.25,34.5,34.5,3900
2021-07-23,34.5,34.75,34.5,34.5,34.5,2700
2021-07-27,34.5,34.5,34.5,34.5,34.5,1100
2021-07-30,35.0,35.0,34.75,34.75,34.75,1900
2021-08-02,34.75,35.5,34.5,35.5,35.5,27000
2021-08-03,35.5,35.5,35.5,35.5,35.5,13200
