Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,1.11,1.37,1.1,1.32,1.32,2940800
2021-03-25,1.6,1.6,1.23,1.26,1.26,4778300
2021-03-26,1.26,1.29,1.24,1.26,1.26,561900
2021-03-29,1.26,1.34,1.26,1.3,1.3,1642900
2021-03-30,1.33,1.48,1.3,1.44,1.44,4417300
2021-03-31,1.54,1.56,1.33,1.34,1.34,9366500
2021-04-01,1.28,1.29,1.28,1.28,1.28,180800
2021-04-02,1.3,1.3,1.27,1.27,1.27,1204700
2021-04-05,1.26,1.28,1.2,1.23,1.23,2966200
2021-04-07,1.23,1.26,1.18,1.19,1.19,2407500
2021-04-08,1.19,1.25,1.16,1.17,1.17,1114800
2021-04-09,1.17,1.19,1.16,1.16,1.16,494300
2021-04-12,1.16,1.18,1.1,1.1,1.1,662900
2021-04-16,1.08,1.11,1.08,1.09,1.09,262100
2021-04-19,1.08,1.11,1.08,1.1,1.1,460700
2021-04-20,1.11,1.18,1.1,1.18,1.18,1261400
2021-04-21,1.27,1.28,1.22,1.23,1.23,4310200
2021-04-22,1.23,1.27,1.22,1.24,1.24,1605400
2021-04-23,1.24,1.34,1.24,1.26,1.26,10205800
2021-04-26,1.3,1.3,1.24,1.26,1.26,571200
2021-04-27,1.26,1.27,1.24,1.25,1.25,479100
2021-04-28,1.25,1.25,1.21,1.24,1.24,332800
2021-04-29,1.23,1.26,1.22,1.22,1.22,813900
2021-04-30,1.25,1.25,1.2,1.23,1.23,260200
2021-05-05,1.23,1.23,1.18,1.19,1.19,393200
2021-05-06,1.2,1.24,1.2,1.22,1.22,407300
2021-05-07,1.22,1.23,1.18,1.2,1.2,345300
2021-05-10,1.2,1.22,1.19,1.19,1.19,156500
2021-05-11,1.19,1.22,1.15,1.17,1.17,855700
2021-05-12,1.19,1.2,1.1,1.11,1.11,1191700
2021-05-13,1.08,1.12,1.0,1.04,1.04,752000
2021-05-14,1.07,1.1,1.06,1.07,1.07,406900
2021-05-17,1.09,1.1,1.02,1.08,1.08,215500
2021-05-18,1.06,1.11,1.06,1.11,1.11,93000
2021-05-19,1.12,1.13,1.09,1.11,1.11,150700
2021-05-20,1.12,1.1400000000000001,1.11,1.11,1.11,154600
