Date,Open,High,Low,Close,Adj Close,Volume
2017-07-21,21.0,29.75,21.0,29.75,29.75,2400
2017-07-24,23.1,24.4,22.6,23.5,23.5,3600
2017-07-25,23.9,24.0,23.9,24.0,24.0,600
2017-07-26,23.5,23.5,23.1,23.1,23.1,1300
2017-07-27,23.0,23.0,22.9,23.0,23.0,1700
2017-07-31,23.0,23.0,23.0,23.0,23.0,2400
2017-08-01,23.0,23.0,23.0,23.0,23.0,800
2017-08-03,23.0,23.0,23.0,23.0,23.0,100
2017-08-04,24.0,24.0,24.0,24.0,24.0,100
2017-08-07,23.5,24.0,23.5,24.0,24.0,2100
2017-08-11,23.0,23.0,23.0,23.0,23.0,200
2017-08-15,22.5,22.700001,21.5,21.5,21.5,8400
2017-08-16,22.1,22.1,22.1,22.1,22.1,5100
2017-08-18,21.5,21.5,21.5,21.5,21.5,2600
2017-08-21,21.5,21.5,21.5,21.5,21.5,3000
2017-08-25,21.5,23.1,21.5,23.1,23.1,2200
2017-09-08,23.0,23.0,23.0,23.0,23.0,600
2017-09-11,21.6,23.0,21.5,23.0,23.0,6300
2017-09-13,22.0,23.0,21.4,23.0,23.0,18600
2017-09-15,23.5,23.6,23.5,23.6,23.6,1000
2017-09-18,22.4,22.4,21.5,21.5,21.5,13400
2017-09-19,22.1,22.1,22.0,22.0,22.0,200
2017-09-20,21.9,21.9,21.9,21.9,21.9,3000
2017-09-22,21.0,21.6,21.0,21.6,21.6,2100
2017-10-02,21.700001,21.700001,21.700001,21.700001,21.700001,2000
2017-10-10,22.200001,22.200001,22.200001,22.200001,22.200001,100
2017-10-18,21.1,22.6,21.1,22.6,22.6,15100
2017-10-24,21.9,21.9,21.9,21.9,21.9,100
2017-10-27,22.299999,22.299999,22.299999,22.299999,22.299999,700
2017-10-30,21.4,22.4,21.299999,22.4,22.4,17700
2017-11-01,22.0,22.200001,21.200001,22.200001,22.200001,25400
2017-11-02,22.0,22.299999,22.0,22.299999,22.299999,5200
2017-11-03,21.6,21.6,21.299999,21.5,21.5,3100
2017-11-06,22.0,22.0,22.0,22.0,22.0,200
2017-11-07,21.700001,21.700001,21.700001,21.700001,21.700001,10200
2017-11-08,21.9,21.9,21.9,21.9,21.9,100
2017-11-09,21.5,21.5,21.200001,21.200001,21.200001,34100
2017-11-10,21.799999,21.799999,21.799999,21.799999,21.799999,1500
2017-11-14,21.299999,22.0,21.299999,22.0,22.0,200
2017-11-15,21.299999,21.700001,20.9,21.700001,21.700001,8000
2017-11-16,21.1,21.1,21.1,21.1,21.1,100
2017-11-20,21.1,21.1,21.1,21.1,21.1,29400
2017-11-22,21.200001,21.700001,21.200001,21.700001,21.700001,32700
2017-12-06,22.0,22.0,22.0,22.0,22.0,100
2017-12-13,21.4,21.4,21.4,21.4,21.4,200
2017-12-22,22.0,22.5,22.0,22.5,22.5,1500
2017-12-26,23.0,23.0,22.9,23.0,23.0,3600
2017-12-28,23.0,25.0,23.0,23.0,23.0,2900
2018-01-04,22.1,22.1,22.1,22.1,22.1,100
2018-01-09,23.0,23.5,23.0,23.5,23.5,1700
2018-01-11,22.9,22.9,22.9,22.9,22.9,100
2018-01-15,23.0,23.0,22.9,23.0,23.0,900
2018-01-18,22.5,22.5,21.5,21.5,21.5,1000
2018-01-19,23.0,23.0,23.0,23.0,23.0,200
2018-01-22,23.5,23.5,23.5,23.5,23.5,200
2018-01-23,23.700001,23.700001,23.700001,23.700001,23.700001,300
2018-01-24,23.0,23.6,22.5,23.6,23.6,1100
2018-01-25,23.5,23.5,23.299999,23.299999,23.299999,200
2018-01-29,23.299999,23.299999,23.299999,23.299999,23.299999,100
2018-02-02,23.299999,23.299999,23.299999,23.299999,23.299999,100
2018-02-05,23.5,23.5,23.5,23.5,23.5,200
2018-02-20,23.5,23.5,23.5,23.5,23.5,400
2018-02-23,24.299999,24.299999,24.299999,24.299999,24.299999,200
2018-02-26,23.6,23.6,23.6,23.6,23.6,8800
2018-03-02,24.1,24.1,24.1,24.1,24.1,100
2018-03-05,23.0,23.0,23.0,23.0,23.0,200
2018-03-08,22.1,22.1,21.799999,21.799999,21.799999,900
2018-03-22,24.1,24.1,24.0,24.0,24.0,5000
2018-03-23,24.1,24.1,24.1,24.1,24.1,5600
2018-03-26,27.0,27.0,25.75,26.25,26.25,16100
2018-03-27,26.0,26.0,25.5,25.5,25.5,5000
2018-03-29,26.0,26.0,25.75,26.0,26.0,5000
2018-04-03,26.0,26.0,26.0,26.0,26.0,5000
2018-04-04,25.5,25.5,25.5,25.5,25.5,5000
2018-04-25,25.5,25.5,25.5,25.5,25.5,3500
2018-04-26,26.25,26.25,26.0,26.0,26.0,5000
2018-04-27,23.700001,26.0,23.700001,26.0,26.0,2500
2018-04-30,25.75,26.0,25.5,26.0,26.0,4800
2018-05-03,23.5,25.75,23.5,25.5,25.5,4200
2018-05-18,23.5,23.799999,23.200001,23.799999,23.799999,9300
2018-05-21,23.799999,23.799999,23.799999,23.799999,23.799999,100
2018-06-05,22.700001,23.200001,22.700001,23.200001,23.200001,500
2018-06-14,23.0,23.0,23.0,23.0,23.0,600
2018-06-22,22.1,22.1,22.1,22.1,22.1,500
2018-06-25,21.9,21.9,21.9,21.9,21.9,500
2018-06-26,22.4,22.4,22.4,22.4,22.4,2000
2018-06-28,21.5,21.5,21.5,21.5,21.5,2000
2018-07-03,21.5,21.5,21.5,21.5,21.5,500
2018-07-12,21.1,21.1,21.0,21.0,21.0,500
2018-07-24,20.4,21.5,20.200001,21.5,21.5,800
2018-07-25,21.799999,21.799999,21.799999,21.799999,21.799999,100
2018-07-31,22.4,22.4,22.4,22.4,22.4,400
2018-08-03,22.9,22.9,22.700001,22.700001,22.700001,1300
2018-08-06,22.5,22.5,22.5,22.5,22.5,100
2018-08-08,22.5,22.5,22.5,22.5,22.5,100
2018-08-20,21.5,21.5,21.5,21.5,21.5,2000
2018-08-27,21.5,21.5,21.5,21.5,21.5,200
2018-08-31,22.200001,22.200001,22.200001,22.200001,22.200001,100
2018-09-04,21.6,21.6,21.6,21.6,21.6,1000
2018-09-06,21.6,21.700001,21.5,21.700001,21.700001,600
2018-09-19,21.1,21.1,20.1,21.1,21.1,1600
2018-09-21,21.1,21.299999,21.0,21.299999,21.299999,2100
2018-10-01,21.5,21.5,21.5,21.5,21.5,200
2018-10-04,21.700001,21.700001,21.700001,21.700001,21.700001,400
2018-10-09,21.700001,21.700001,21.5,21.5,21.5,1200
2018-10-10,21.5,21.5,21.5,21.5,21.5,100
2018-10-24,21.0,21.0,21.0,21.0,21.0,200
2018-10-30,21.0,21.0,21.0,21.0,21.0,700
2018-11-07,21.0,21.0,21.0,21.0,21.0,2000
2018-11-15,20.200001,20.200001,20.1,20.1,20.1,1300
2019-01-29,18.5,18.5,18.5,18.5,18.5,300
2019-02-14,17.0,18.0,16.5,18.0,18.0,600
2019-02-18,19.1,19.1,18.5,19.0,19.0,300
2019-03-18,18.5,18.5,18.5,18.5,18.5,200
2019-03-25,17.9,17.9,17.9,17.9,17.9,100
2019-03-27,17.6,17.6,17.5,17.5,17.5,600
2019-04-03,18.0,18.4,18.0,18.4,18.4,300
2019-04-04,18.200001,18.200001,18.1,18.1,18.1,200
2019-04-05,18.5,18.5,18.5,18.5,18.5,200
2019-04-24,17.6,17.6,17.5,17.6,17.6,1500
2019-05-03,17.200001,17.200001,17.200001,17.200001,17.200001,2500
2019-05-09,17.700001,17.700001,17.700001,17.700001,17.700001,100
2019-05-10,18.0,18.0,18.0,18.0,18.0,100
2019-05-13,18.0,18.1,18.0,18.1,18.1,1100
2019-05-29,18.0,18.0,18.0,18.0,18.0,500
2019-06-05,18.0,18.0,18.0,18.0,18.0,100
2019-06-07,18.299999,18.299999,18.0,18.0,18.0,300
2019-07-05,17.799999,17.799999,17.799999,17.799999,17.799999,100
2019-07-10,17.700001,18.200001,17.700001,18.200001,18.200001,300
2019-07-18,17.4,17.4,17.4,17.4,17.4,1000
2019-07-30,17.1,17.1,17.1,17.1,17.1,200
2019-08-01,17.6,17.6,17.6,17.6,17.6,4000
2019-08-21,17.6,17.6,17.6,17.6,17.6,100
2019-08-28,16.6,16.6,16.6,16.6,16.6,100
2019-08-29,16.299999,17.1,16.299999,17.1,17.1,200
2019-09-05,18.0,18.0,18.0,18.0,18.0,300
2019-09-11,17.700001,17.700001,17.700001,17.700001,17.700001,100
2019-09-13,16.799999,16.799999,16.799999,16.799999,16.799999,100
2019-09-23,18.0,18.200001,18.0,18.0,18.0,400
2019-10-03,17.5,18.200001,17.5,18.200001,18.200001,200
2019-10-08,18.299999,18.299999,18.299999,18.299999,18.299999,100
2019-10-10,18.6,18.6,18.6,18.6,18.6,100
2019-10-15,19.5,19.5,19.5,19.5,19.5,100
2019-10-17,20.0,20.0,20.0,20.0,20.0,200
2019-10-21,15.5,15.5,15.1,15.1,15.1,400
2019-10-22,15.6,15.9,15.1,15.1,15.1,1500
2019-10-24,15.3,15.3,15.3,15.3,15.3,500
2019-10-28,15.3,15.3,15.3,15.3,15.3,100
2019-10-30,16.5,17.0,16.5,17.0,17.0,200
2019-11-01,17.5,17.9,17.5,17.9,17.9,300
2019-11-06,15.8,15.8,15.5,15.8,15.8,2500
2019-11-11,16.799999,16.799999,16.799999,16.799999,16.799999,200
2019-11-12,16.299999,16.299999,16.299999,16.299999,16.299999,100
2019-11-29,17.4,17.6,17.4,17.6,17.6,500
2019-12-03,22.799999,22.799999,22.799999,22.799999,22.799999,100
2020-01-27,17.799999,17.799999,17.799999,17.799999,17.799999,400
2020-02-04,19.6,19.6,19.6,19.6,19.6,500
2020-02-12,22.0,22.0,22.0,22.0,22.0,100
2020-02-28,19.9,19.9,19.9,19.9,19.9,700
2020-03-11,19.9,19.9,19.9,19.9,19.9,100
2020-04-13,19.9,19.9,19.9,19.9,19.9,400
2020-04-22,16.799999,18.0,16.799999,16.9,16.9,1300
2020-04-23,15.8,15.8,15.0,15.3,15.3,7400
2020-04-27,15.3,15.4,14.6,14.6,14.6,1100
2020-05-12,14.6,14.6,14.6,14.6,14.6,100
2020-05-21,15.2,15.2,15.2,15.2,15.2,100
2020-05-22,14.7,14.7,14.3,14.3,14.3,7200
2020-05-28,14.3,14.3,14.0,14.0,14.0,6500
2020-06-01,13.6,13.9,13.2,13.9,13.9,23100
2020-06-04,13.1,13.2,12.5,13.2,13.2,32400
2020-06-05,12.4,12.8,12.0,12.5,12.5,52700
2020-06-08,12.2,12.3,11.5,12.2,12.2,8400
2020-06-09,12.0,12.2,11.6,12.0,12.0,3400
2020-06-10,11.5,12.4,11.5,12.4,12.4,900
2020-06-12,12.2,12.3,12.2,12.3,12.3,200
2020-06-17,11.9,12.0,11.9,12.0,12.0,3500
2020-06-18,12.0,12.0,11.9,11.9,11.9,500
2020-06-19,11.9,11.9,11.9,11.9,11.9,100
2020-06-24,11.8,11.8,11.4,11.4,11.4,200
2020-06-25,12.0,12.0,11.7,11.7,11.7,300
2020-07-07,11.1,11.3,11.1,11.2,11.2,400
2020-07-13,12.0,12.0,12.0,12.0,12.0,100
2020-07-23,12.0,12.0,12.0,12.0,12.0,100
2020-07-24,12.0,12.0,12.0,12.0,12.0,400
2020-07-29,12.0,12.0,11.9,11.9,11.9,500
2020-08-05,11.8,11.8,11.8,11.8,11.8,100
2020-08-06,11.8,11.8,11.8,11.8,11.8,200
2020-08-10,11.4,11.4,11.4,11.4,11.4,200
2020-08-19,11.5,11.5,11.5,11.5,11.5,200
2020-08-20,11.4,11.4,11.4,11.4,11.4,100
2020-08-24,11.4,11.4,11.4,11.4,11.4,100
2020-08-25,11.1,11.2,11.1,11.2,11.2,2000
2020-08-27,11.4,11.4,11.3,11.3,11.3,200
2020-08-31,11.6,11.6,11.5,11.5,11.5,400
2020-09-02,11.5,11.5,11.5,11.5,11.5,700
2020-09-03,11.4,11.4,11.4,11.4,11.4,200
