Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,3.34,3.46,3.32,3.46,3.46,555200
2021-03-25,3.48,3.62,3.42,3.42,3.42,4224800
2021-03-26,3.48,3.48,3.36,3.36,3.36,261500
2021-03-29,3.4,3.42,3.36,3.36,3.36,146900
2021-03-30,3.38,3.46,3.38,3.42,3.42,59300
2021-03-31,3.44,3.6,3.44,3.5,3.5,1452100
2021-04-01,3.44,3.44,3.42,3.42,3.42,5200
2021-04-02,3.4,3.46,3.36,3.44,3.44,210300
2021-04-05,3.42,3.46,3.42,3.44,3.44,180100
2021-04-07,3.44,3.44,3.34,3.34,3.34,295700
2021-04-08,3.34,3.38,3.2800000000000002,3.34,3.34,144100
2021-04-09,3.34,3.38,3.3,3.3,3.3,196400
2021-04-12,3.3,3.32,3.3,3.32,3.32,89400
2021-04-16,3.3,3.34,3.26,3.3,3.3,126800
2021-04-19,3.2800000000000002,3.34,3.2800000000000002,3.32,3.32,39400
2021-04-20,3.32,3.34,3.32,3.34,3.34,40300
2021-04-21,3.36,3.48,3.34,3.46,3.46,231400
2021-04-22,3.48,3.64,3.48,3.48,3.48,653400
2021-04-23,3.56,3.56,3.46,3.5,3.5,105300
2021-04-26,3.5,3.58,3.5,3.52,3.52,229100
2021-04-27,3.56,3.58,3.52,3.54,3.54,151900
2021-04-28,3.58,3.58,3.5,3.5,3.5,165000
2021-04-29,3.56,3.56,3.48,3.5,3.5,124300
2021-04-30,3.48,3.54,3.46,3.5,3.5,127000
2021-05-05,3.54,3.56,3.46,3.52,3.52,116400
2021-05-06,3.54,3.54,3.48,3.54,3.54,201100
2021-05-07,3.54,3.54,3.5,3.54,3.54,130500
2021-05-10,3.42,3.58,3.42,3.46,3.46,116000
2021-05-11,3.8,3.98,3.74,3.84,3.84,2015600
2021-05-12,3.88,3.88,3.7800000000000002,3.7800000000000002,3.7800000000000002,301600
2021-05-13,3.76,3.86,3.58,3.76,3.76,470000
2021-05-14,3.8,3.8,3.62,3.7,3.7,147000
