Date,Open,High,Low,Close,Adj Close,Volume
2014-08-13,54.75,55.0,54.0,55.0,55.0,300
2014-08-14,56.0,56.0,56.0,56.0,56.0,100
2014-08-20,56.0,56.0,56.0,56.0,56.0,200
2014-08-25,56.0,56.75,56.0,56.75,56.75,1000
2014-08-26,57.0,58.25,57.0,58.25,58.25,1100
2014-08-27,57.0,57.0,55.0,55.0,55.0,1000
2014-09-02,58.0,58.0,58.0,58.0,58.0,100
2014-09-03,57.0,57.0,57.0,57.0,57.0,100
2014-09-04,57.75,57.75,57.75,57.75,57.75,100
2014-09-05,57.0,57.0,57.0,57.0,57.0,700
2014-09-08,58.0,58.0,58.0,58.0,58.0,300
2014-09-09,56.5,56.5,55.0,56.0,56.0,2000
2014-09-10,56.0,57.0,56.0,57.0,57.0,1300
2014-09-17,57.0,58.0,57.0,58.0,58.0,200
2014-09-24,58.5,58.5,58.5,58.5,58.5,100
2014-09-25,57.0,57.0,54.0,54.0,54.0,400
2014-09-26,58.0,58.0,58.0,58.0,58.0,100
2014-10-01,58.0,58.0,58.0,58.0,58.0,300
2014-10-03,58.5,58.5,58.5,58.5,58.5,400
2014-10-21,56.25,56.25,55.0,55.0,55.0,9900
2014-10-22,56.0,56.0,56.0,56.0,56.0,100
2014-10-27,55.25,55.25,51.0,51.0,51.0,4200
2014-10-28,54.5,55.75,54.5,55.75,55.75,200
2014-10-29,56.0,56.0,56.0,56.0,56.0,1100
2014-11-10,55.0,55.0,55.0,55.0,55.0,200
2014-11-12,55.0,55.0,54.5,54.5,54.5,3000
2014-11-14,55.0,55.0,55.0,55.0,55.0,200
2014-11-17,54.25,56.0,54.0,56.0,56.0,2300
2014-11-25,56.0,56.0,56.0,56.0,56.0,800
2014-11-26,56.25,56.25,56.0,56.0,56.0,3200
2014-11-27,56.5,56.5,56.5,56.5,56.5,500
2014-12-03,56.5,56.5,56.5,56.5,56.5,500
2014-12-15,54.5,54.5,54.25,54.25,54.25,1000
2014-12-17,56.0,56.0,56.0,56.0,56.0,1800
2014-12-23,56.0,56.0,56.0,56.0,56.0,700
2014-12-24,56.0,56.0,56.0,56.0,56.0,200
2014-12-29,58.0,58.0,57.5,57.5,57.5,200
2015-01-06,55.0,55.0,55.0,55.0,55.0,4600
2015-01-08,55.0,55.0,55.0,55.0,55.0,100
2015-01-20,53.0,54.0,53.0,54.0,54.0,1400
2015-01-21,55.75,56.0,55.75,56.0,56.0,600
2015-02-04,57.0,57.0,57.0,57.0,57.0,100
2015-02-05,57.5,58.0,57.5,58.0,58.0,700
2015-02-06,58.0,58.0,58.0,58.0,58.0,700
2015-02-09,58.5,58.5,58.5,58.5,58.5,200
2015-02-11,58.75,58.75,58.75,58.75,58.75,1100
2015-02-12,59.0,59.0,58.0,58.0,58.0,600
2015-02-16,59.0,68.0,59.0,62.25,62.25,8300
2015-02-17,64.0,64.0,60.5,61.5,61.5,1400
2015-02-18,61.0,61.0,61.0,61.0,61.0,1000
2015-02-19,61.0,61.5,61.0,61.25,61.25,1100
2015-02-20,62.0,62.0,62.0,62.0,62.0,100
2015-02-23,62.0,62.0,61.25,61.25,61.25,200
2015-02-24,61.0,61.0,60.0,60.0,60.0,500
2015-02-25,59.0,59.0,58.0,58.0,58.0,700
2015-03-02,58.25,58.25,57.0,57.0,57.0,6600
2015-03-10,55.5,55.5,55.5,55.5,55.5,300
2015-03-11,56.0,56.0,56.0,56.0,56.0,500
2015-03-13,55.5,55.5,55.5,55.5,55.5,500
2015-03-16,55.5,55.5,55.5,55.5,55.5,600
2015-03-17,56.0,56.0,56.0,56.0,56.0,1100
2015-03-20,57.0,58.0,57.0,58.0,58.0,400
2015-03-23,58.0,58.0,57.0,57.0,57.0,1100
2015-03-24,57.0,57.0,56.5,56.5,56.5,1600
2015-03-25,58.75,58.75,58.75,58.75,58.75,200
2015-04-01,57.25,57.25,57.25,57.25,57.25,100
2015-04-03,58.75,58.75,58.75,58.75,58.75,100
2015-04-09,57.5,57.5,57.5,57.5,57.5,200
2015-04-10,57.75,57.75,57.75,57.75,57.75,200
2015-04-16,59.5,59.5,58.0,58.0,58.0,200
2015-04-17,59.0,59.0,59.0,59.0,59.0,700
2015-04-21,57.0,58.0,57.0,57.25,57.25,6600
2015-04-23,57.0,57.0,57.0,57.0,57.0,100
2015-04-24,57.0,57.0,57.0,57.0,57.0,5000
2015-04-27,58.5,58.5,58.5,58.5,58.5,300
2015-05-07,58.5,58.5,58.5,58.5,58.5,300
2015-05-11,56.0,56.0,56.0,56.0,56.0,100
2015-05-12,57.0,57.0,56.75,56.75,56.75,700
2015-05-14,58.0,58.0,58.0,58.0,58.0,100
2015-05-18,56.75,56.75,56.75,56.75,56.75,100
2015-05-19,58.5,58.5,57.75,57.75,57.75,500
2015-05-21,57.5,58.0,57.5,58.0,58.0,1200
2015-05-26,58.0,59.0,58.0,58.25,58.25,1000
2015-05-28,58.0,58.0,58.0,58.0,58.0,100
2015-06-02,57.0,57.0,57.0,57.0,57.0,2100
2015-06-03,57.0,57.0,57.0,57.0,57.0,100
2015-06-08,58.0,58.0,58.0,58.0,58.0,200
2015-06-09,58.5,59.0,58.5,59.0,59.0,1000
2015-06-15,58.0,58.0,58.0,58.0,58.0,500
2015-06-29,59.5,59.5,59.5,59.5,59.5,200
2015-07-08,57.5,57.5,57.5,57.5,57.5,100
2015-07-10,57.5,57.5,57.5,57.5,57.5,200
2015-07-13,59.0,59.0,59.0,59.0,59.0,500
2015-07-14,59.0,59.75,59.0,59.75,59.75,2000
2015-07-16,58.25,58.25,58.0,58.0,58.0,400
2015-07-31,54.25,54.25,54.25,54.25,54.25,100
2015-08-13,56.25,56.25,56.25,56.25,56.25,100
2015-10-12,58.75,58.75,58.75,58.75,58.75,1000
2015-10-27,59.0,59.0,59.0,59.0,59.0,200
2015-10-29,59.0,59.0,58.0,58.0,58.0,1200
2015-10-30,58.5,58.5,58.5,58.5,58.5,4100
2015-11-03,59.5,59.5,59.5,59.5,59.5,300
2015-11-06,60.0,60.5,60.0,60.0,60.0,800
2015-11-10,60.0,61.0,60.0,61.0,61.0,900
2015-12-08,60.0,60.0,60.0,60.0,60.0,1000
2015-12-09,60.0,60.0,60.0,60.0,60.0,200
2015-12-18,60.0,60.5,60.0,60.5,60.5,3100
2015-12-21,61.0,61.0,61.0,61.0,61.0,1500
2015-12-30,61.0,62.0,61.0,62.0,62.0,400
2016-01-06,60.0,60.0,60.0,60.0,60.0,100
2016-01-07,60.0,60.0,58.0,58.75,58.75,700
2016-01-11,58.75,58.75,58.75,58.75,58.75,2000
2016-01-19,60.0,60.5,60.0,60.0,60.0,2400
2016-01-20,60.0,60.0,60.0,60.0,60.0,800
2016-01-21,60.0,60.0,60.0,60.0,60.0,100
2016-01-22,60.5,60.5,60.5,60.5,60.5,200
2016-01-26,60.5,60.5,60.5,60.5,60.5,200
2016-02-01,63.0,63.0,63.0,63.0,63.0,100
2016-02-08,61.0,61.0,61.0,61.0,61.0,100
2016-02-12,60.0,60.0,60.0,60.0,60.0,400
2016-02-15,60.0,60.0,60.0,60.0,60.0,400
2016-02-16,62.0,62.0,60.25,60.25,60.25,300
2016-02-18,60.25,60.25,60.25,60.25,60.25,100
2016-02-26,60.0,60.0,60.0,60.0,60.0,1000
2016-02-29,60.0,60.0,60.0,60.0,60.0,1000
2016-03-03,60.0,60.0,60.0,60.0,60.0,3000
2016-03-10,62.0,62.0,62.0,62.0,62.0,700
2016-03-11,61.0,61.0,61.0,61.0,61.0,200
2016-03-14,61.0,61.0,61.0,61.0,61.0,1000
2016-03-15,61.0,61.0,61.0,61.0,61.0,100
2016-03-16,60.5,60.5,60.5,60.5,60.5,100
2016-03-24,61.0,61.0,61.0,61.0,61.0,400
2016-04-18,61.0,61.0,61.0,61.0,61.0,300
2016-04-19,60.75,60.75,60.75,60.75,60.75,100
2016-04-26,62.0,62.0,62.0,62.0,62.0,100
2016-04-27,62.25,62.25,62.25,62.25,62.25,100
2016-05-17,61.0,61.0,61.0,61.0,61.0,100
2016-05-25,61.0,61.0,61.0,61.0,61.0,1000
2016-05-26,61.0,61.0,61.0,61.0,61.0,1000
2016-05-27,61.0,61.5,61.0,61.5,61.5,4900
2016-05-30,61.0,61.0,61.0,61.0,61.0,3000
2016-05-31,61.0,61.0,60.5,60.5,60.5,4000
2016-06-01,61.0,61.0,61.0,61.0,61.0,3000
2016-06-09,61.0,61.0,61.0,61.0,61.0,200
2016-06-13,61.0,61.0,61.0,61.0,61.0,1400
2016-06-14,61.0,61.25,58.25,61.25,61.25,5300
2016-06-15,61.0,61.0,61.0,61.0,61.0,1300
2016-06-16,61.0,61.0,61.0,61.0,61.0,2600
2016-06-17,61.0,61.0,61.0,61.0,61.0,500
2016-06-24,59.5,59.5,58.5,58.5,58.5,200
2016-06-27,61.0,61.0,61.0,61.0,61.0,5100
2016-06-28,61.0,61.0,61.0,61.0,61.0,3000
2016-06-29,61.0,61.0,61.0,61.0,61.0,4000
2016-06-30,61.0,61.0,61.0,61.0,61.0,12000
