Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.49,0.58,0.47,0.52,0.52,22531500
2021-03-25,0.54,0.54,0.49,0.5,0.5,7773300
2021-03-26,0.51,0.51,0.5,0.5,0.5,1612000
2021-03-29,0.51,0.52,0.5,0.51,0.51,3729400
2021-03-30,0.52,0.52,0.5,0.5,0.5,3221900
2021-03-31,0.5,0.53,0.5,0.53,0.53,3806600
2021-04-01,0.51,0.52,0.51,0.51,0.51,563100
2021-04-02,0.51,0.51,0.5,0.51,0.51,1517300
2021-04-05,0.5,0.51,0.49,0.5,0.5,1333800
2021-04-07,0.5,0.63,0.46,0.51,0.51,27931100
2021-04-08,0.52,0.59,0.52,0.55,0.55,10658700
2021-04-09,0.57,0.57,0.53,0.54,0.54,2013000
2021-04-12,0.52,0.53,0.46,0.5,0.5,6395700
2021-04-16,0.49,0.52,0.48,0.49,0.49,2515700
2021-04-19,0.48,0.51,0.48,0.5,0.5,1049500
2021-04-20,0.51,0.54,0.5,0.52,0.52,4594400
2021-04-21,0.52,0.53,0.5,0.51,0.51,2103800
2021-04-22,0.52,0.53,0.5,0.51,0.51,4479200
2021-04-23,0.51,0.56,0.51,0.52,0.52,4887300
2021-04-26,0.53,0.57,0.52,0.55,0.55,10311100
2021-04-27,0.6,0.6,0.55,0.55,0.55,8784800
2021-04-28,0.56,0.57,0.54,0.54,0.54,1825000
2021-04-29,0.55,0.67,0.55,0.62,0.62,33124900
2021-04-30,0.63,0.71,0.63,0.66,0.66,32271400
2021-05-05,0.68,0.73,0.62,0.67,0.67,20673000
2021-05-06,0.66,0.69,0.65,0.67,0.67,2932700
2021-05-07,0.69,0.76,0.67,0.73,0.73,28144500
2021-05-10,0.74,0.75,0.71,0.73,0.73,5807600
2021-05-11,0.73,0.78,0.72,0.75,0.75,7585300
2021-05-12,0.75,0.76,0.73,0.74,0.74,2946700
2021-05-13,0.74,0.74,0.58,0.69,0.69,9089100
2021-05-14,0.66,0.67,0.58,0.62,0.62,6897600
2021-05-17,0.59,0.6,0.52,0.55,0.55,2521500
2021-05-18,0.52,0.56,0.5,0.55,0.55,2917400
2021-05-19,0.56,0.56,0.54,0.55,0.55,2499500
2021-05-20,0.56,0.56,0.54,0.55,0.55,622100
2021-05-21,0.54,0.56,0.52,0.55,0.55,403000
2021-05-24,0.53,0.55,0.53,0.55,0.55,242200
2021-05-25,0.54,0.55,0.54,0.55,0.55,291700
2021-05-27,0.55,0.55,0.53,0.55,0.55,395100
2021-05-28,0.54,0.55,0.51,0.52,0.52,1561900
2021-05-31,0.53,0.53,0.51,0.52,0.52,685900
2021-06-01,0.51,0.53,0.51,0.52,0.52,1114800
2021-06-02,0.52,0.53,0.52,0.53,0.53,540400
2021-06-04,0.53,0.54,0.52,0.54,0.54,1667100
2021-06-07,0.55,0.62,0.54,0.61,0.61,7619400
2021-06-08,0.61,0.65,0.61,0.62,0.62,6112300
2021-06-09,0.65,0.65,0.61,0.63,0.63,1929300
2021-06-10,0.64,0.64,0.61,0.63,0.63,807900
2021-06-11,0.63,0.63,0.61,0.62,0.62,643900
2021-06-14,0.61,0.61,0.6,0.6,0.6,397800
2021-06-15,0.59,0.61,0.59,0.6,0.6,489800
2021-06-16,0.6,0.61,0.57,0.59,0.59,735200
2021-06-17,0.58,0.59,0.58,0.59,0.59,1139100
2021-06-18,0.59,0.59,0.57,0.58,0.58,278400
2021-06-21,0.56,0.59,0.54,0.59,0.59,238100
2021-06-22,0.59,0.59,0.57,0.58,0.58,281100
2021-06-23,0.58,0.58,0.56,0.58,0.58,125000
2021-06-24,0.58,0.58,0.56,0.57,0.57,474400
2021-06-25,0.6,0.6,0.57,0.58,0.58,623700
2021-06-28,0.56,0.58,0.56,0.58,0.58,202400
2021-06-29,0.56,0.58,0.56,0.57,0.57,110600
2021-06-30,0.57,0.57,0.56,0.57,0.57,41200
2021-07-01,0.57,0.58,0.56,0.58,0.58,528900
2021-07-02,0.58,0.59,0.57,0.57,0.57,771000
2021-07-05,0.58,0.58,0.56,0.56,0.56,1043100
2021-07-06,0.56,0.58,0.54,0.57,0.57,196700
