Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,0.22,0.22,0.2,0.21,0.21,9143600
2020-09-25,0.2,0.22,0.2,0.21,0.21,6395500
2020-09-28,0.21,0.22,0.2,0.21,0.21,7375900
2020-09-29,0.22,0.22,0.2,0.21,0.21,7668600
2020-09-30,0.21,0.22,0.2,0.21,0.21,2796800
2020-10-01,0.21,0.21,0.2,0.21,0.21,3272700
2020-10-02,0.21,0.21,0.2,0.21,0.21,586300
2020-10-05,0.21,0.22,0.2,0.22,0.22,2507300
2020-10-06,0.22,0.22,0.2,0.21,0.21,8311400
2020-10-07,0.21,0.22,0.21,0.21,0.21,1881500
2020-10-08,0.21,0.22,0.2,0.21,0.21,2619100
2020-10-09,0.22,0.22,0.21,0.21,0.21,2242900
2020-10-12,0.21,0.22,0.21,0.21,0.21,330200
2020-10-14,0.22,0.22,0.21,0.21,0.21,2353500
2020-10-15,0.21,0.22,0.2,0.21,0.21,2054700
2020-10-16,0.21,0.22,0.21,0.21,0.21,2185900
2020-10-19,0.2,0.21,0.2,0.2,0.2,3550500
2020-10-20,0.2,0.21,0.19,0.2,0.2,2165100
2020-10-21,0.19,0.21,0.19,0.21,0.21,460900
2020-10-22,0.2,0.21,0.2,0.2,0.2,1630900
2020-10-26,0.21,0.21,0.19,0.2,0.2,1094100
2020-10-27,0.2,0.21,0.19,0.2,0.2,1265100
2020-10-28,0.2,0.21,0.2,0.2,0.2,564300
2020-10-29,0.2,0.21,0.19,0.19,0.19,927400
2020-10-30,0.2,0.21,0.2,0.2,0.2,2979300
2020-11-02,0.2,0.21,0.19,0.21,0.21,2391200
2020-11-03,0.2,0.21,0.2,0.21,0.21,1771900
2020-11-04,0.2,0.21,0.2,0.21,0.21,1066600
2020-11-05,0.21,0.21,0.2,0.21,0.21,2353200
2020-11-06,0.21,0.21,0.2,0.21,0.21,2059600
2020-11-09,0.21,0.21,0.2,0.21,0.21,1490000
2020-11-10,0.2,0.21,0.2,0.21,0.21,13124300
2020-11-11,0.2,0.21,0.2,0.21,0.21,3927600
2020-11-12,0.21,0.22,0.2,0.21,0.21,8162900
2020-11-13,0.21,0.22,0.2,0.2,0.2,2040700
2020-11-16,0.21,0.21,0.2,0.21,0.21,2854400
2020-11-17,0.21,0.22,0.2,0.21,0.21,2925400
2020-11-18,0.22,0.22,0.21,0.22,0.22,3575100
2020-11-19,0.22,0.22,0.2,0.21,0.21,13053100
2020-11-20,0.2,0.22,0.2,0.21,0.21,4604300
2020-11-23,0.21,0.22,0.21,0.22,0.22,1063100
2020-11-24,0.21,0.22,0.21,0.22,0.22,3729800
2020-11-25,0.22,0.22,0.2,0.21,0.21,5211500
2020-11-26,0.21,0.22,0.2,0.21,0.21,1380400
2020-11-27,0.22,0.22,0.21,0.21,0.21,189000
2020-11-30,0.21,0.22,0.21,0.21,0.21,1748500
2020-12-01,0.22,0.22,0.2,0.21,0.21,2933500
2020-12-02,0.21,0.22,0.2,0.21,0.21,3579400
2020-12-03,0.21,0.21,0.2,0.21,0.21,1916000
2020-12-04,0.21,0.24,0.21,0.23,0.23,23605100
2020-12-08,0.23,0.25,0.23,0.23,0.23,28107200
2020-12-09,0.25,0.25,0.23,0.24,0.24,16041000
2020-12-14,0.24,0.24,0.22,0.22,0.22,18869700
2020-12-15,0.23,0.26,0.23,0.25,0.25,71289100
2020-12-16,0.25,0.26,0.24,0.26,0.26,28357500
2020-12-17,0.26,0.26,0.25,0.26,0.26,8444000
2020-12-18,0.26,0.27,0.25,0.26,0.26,19371200
2020-12-21,0.24,0.25,0.22,0.23,0.23,40030600
2020-12-22,0.23,0.23,0.21,0.22,0.22,39643700
2020-12-23,0.22,0.23,0.22,0.23,0.23,10764600
2020-12-24,0.23,0.24,0.22,0.23,0.23,8832800
2020-12-25,0.24,0.24,0.22,0.22,0.22,9693100
2020-12-28,0.23,0.24,0.22,0.22,0.22,20189300
2020-12-29,0.22,0.23,0.22,0.23,0.23,5342000
2020-12-30,0.23,0.24,0.22,0.22,0.22,12248300
2021-01-04,0.22,0.23,0.21,0.22,0.22,3937700
2021-01-05,0.22,0.23,0.22,0.23,0.23,7160500
2021-01-06,0.23,0.23,0.22,0.23,0.23,5415100
2021-01-07,0.23,0.23,0.22,0.22,0.22,3775400
2021-01-08,0.22,0.23,0.22,0.22,0.22,6879700
2021-01-11,0.22,0.23,0.21,0.22,0.22,22199500
2021-01-12,0.22,0.23,0.22,0.22,0.22,9873300
2021-01-13,0.23,0.25,0.22,0.24,0.24,76305600
2021-01-14,0.24,0.25,0.23,0.23,0.23,20549500
2021-01-15,0.24,0.24,0.22,0.24,0.24,26520800
2021-01-18,0.23,0.24,0.23,0.24,0.24,9092100
2021-01-19,0.23,0.24,0.23,0.23,0.23,6556800
2021-01-20,0.23,0.24,0.23,0.23,0.23,6955800
2021-01-21,0.24,0.24,0.23,0.23,0.23,3058700
2021-01-22,0.24,0.24,0.22,0.23,0.23,7306800
2021-01-25,0.23,0.23,0.22,0.23,0.23,5658200
2021-01-26,0.22,0.23,0.22,0.23,0.23,3185900
2021-01-27,0.23,0.24,0.22,0.23,0.23,2398600
2021-01-28,0.23,0.24,0.22,0.23,0.23,2634400
2021-01-29,0.23,0.24,0.22,0.23,0.23,3535000
2021-02-01,0.22,0.24,0.22,0.23,0.23,2690000
2021-02-02,0.23,0.23,0.22,0.22,0.22,3546100
2021-02-03,0.23,0.23,0.22,0.23,0.23,731100
2021-02-04,0.22,0.23,0.22,0.23,0.23,2250300
2021-02-05,0.23,0.23,0.22,0.23,0.23,2538900
2021-02-08,0.23,0.24,0.23,0.23,0.23,1357300
2021-02-09,0.23,0.24,0.23,0.23,0.23,3433200
2021-02-10,0.23,0.24,0.22,0.23,0.23,6001400
2021-02-11,0.23,0.24,0.22,0.22,0.22,1621100
2021-02-15,0.22,0.24,0.22,0.23,0.23,4607000
2021-02-16,0.23,0.23,0.22,0.23,0.23,1278000
2021-02-17,0.22,0.23,0.22,0.22,0.22,7451500
2021-02-18,0.22,0.23,0.22,0.23,0.23,2795100
2021-02-19,0.23,0.23,0.22,0.23,0.23,2106400
2021-02-22,0.22,0.23,0.22,0.23,0.23,3914500
2021-02-23,0.23,0.23,0.22,0.22,0.22,6319800
2021-02-24,0.23,0.23,0.22,0.22,0.22,1024200
2021-02-25,0.22,0.23,0.21,0.22,0.22,31472000
2021-03-01,0.22,0.23,0.22,0.22,0.22,2758400
2021-03-02,0.22,0.23,0.22,0.22,0.22,2307500
2021-03-03,0.22,0.23,0.22,0.22,0.22,1412100
2021-03-04,0.22,0.23,0.22,0.23,0.23,1492100
2021-03-05,0.23,0.23,0.22,0.23,0.23,5613800
2021-03-08,0.22,0.23,0.22,0.23,0.23,3668400
2021-03-09,0.22,0.23,0.22,0.22,0.22,6034900
2021-03-10,0.23,0.28,0.23,0.28,0.28,212836800
2021-03-11,0.29,0.35,0.29,0.33,0.33,291284200
2021-03-12,0.34,0.34,0.29,0.3,0.3,103063800
2021-03-15,0.31,0.33,0.3,0.31,0.31,74798000
2021-03-16,0.32,0.32,0.29,0.3,0.3,48375000
2021-03-17,0.3,0.31,0.29,0.3,0.3,15489900
