Date,Open,High,Low,Close,Adj Close,Volume
2013-01-30,220.0,220.0,220.0,220.0,220.0,100
2013-02-04,221.0,221.0,220.0,220.0,220.0,500
2013-03-05,220.0,220.0,220.0,220.0,220.0,600
2013-03-07,220.0,220.0,220.0,220.0,220.0,200
2013-03-18,210.0,210.0,210.0,210.0,210.0,200
2013-03-19,210.0,210.0,210.0,210.0,210.0,100
2013-03-21,199.0,199.0,199.0,199.0,199.0,100
2013-03-28,244.0,244.0,244.0,244.0,244.0,100
2013-04-12,220.0,228.0,220.0,228.0,228.0,300
2013-04-25,228.0,228.0,228.0,228.0,228.0,100
2013-04-26,210.0,210.0,210.0,210.0,210.0,100
2013-04-29,230.0,230.0,205.0,205.0,205.0,300
2013-05-09,211.0,211.0,211.0,211.0,211.0,100
2013-05-15,227.0,227.0,227.0,227.0,227.0,100
2013-05-16,206.0,206.0,204.0,204.0,204.0,1000
2013-05-22,206.0,206.0,206.0,206.0,206.0,200
2013-05-27,232.0,232.0,228.0,228.0,228.0,1700
2013-05-28,227.0,227.0,227.0,227.0,227.0,100
2013-05-30,227.0,227.0,227.0,227.0,227.0,200
2013-05-31,215.0,215.0,215.0,215.0,215.0,1000
2013-06-03,218.0,218.0,217.0,217.0,217.0,1000
2013-06-04,210.0,210.0,210.0,210.0,210.0,7500
2013-06-21,210.0,210.0,210.0,210.0,210.0,2000
2013-07-19,221.0,221.0,221.0,221.0,221.0,1000
2013-08-05,211.0,211.0,200.0,200.0,200.0,2000
2013-08-08,200.0,205.0,200.0,205.0,205.0,1900
2013-08-09,205.0,205.0,205.0,205.0,205.0,100
2013-08-19,229.0,230.0,229.0,230.0,230.0,400
2013-08-27,201.0,201.0,200.0,200.0,200.0,400
2013-08-28,203.0,203.0,199.0,199.0,199.0,5000
2013-09-02,227.0,227.0,227.0,227.0,227.0,100
2013-09-23,226.0,226.0,226.0,226.0,226.0,100
2013-09-24,227.0,239.0,227.0,239.0,239.0,600
2013-09-25,239.0,239.0,239.0,239.0,239.0,200
2013-09-26,240.0,240.0,240.0,240.0,240.0,100
2013-10-02,240.0,240.0,240.0,240.0,240.0,0
2013-10-03,240.0,240.0,240.0,240.0,240.0,0
2013-10-04,240.0,240.0,240.0,240.0,240.0,200
2013-10-10,241.0,241.0,241.0,241.0,241.0,200
2013-10-21,241.0,241.0,241.0,241.0,241.0,500
2013-10-31,241.0,241.0,241.0,241.0,241.0,300
2013-11-18,230.0,230.0,230.0,230.0,230.0,100
2013-11-28,230.0,230.0,230.0,230.0,230.0,100
2014-01-16,230.0,230.0,230.0,230.0,230.0,100
2014-01-27,230.0,230.0,230.0,230.0,230.0,100
2014-01-28,230.0,230.0,230.0,230.0,230.0,100
2014-02-06,231.0,231.0,231.0,231.0,231.0,200
2014-02-10,231.0,231.0,231.0,231.0,231.0,100
2014-02-12,230.0,230.0,230.0,230.0,230.0,200
2014-02-18,235.0,235.0,235.0,235.0,235.0,100
2014-03-07,235.0,235.0,235.0,235.0,235.0,100
2014-03-11,240.0,240.0,240.0,240.0,240.0,100
2014-04-23,222.0,229.0,220.0,229.0,229.0,500
2014-05-16,202.0,202.0,200.0,200.0,200.0,400
2014-05-28,190.0,190.0,190.0,190.0,190.0,1000
2014-05-29,183.0,183.0,183.0,183.0,183.0,500
2014-05-30,182.0,182.0,182.0,182.0,182.0,1000
2014-06-02,180.0,180.0,180.0,180.0,180.0,2000
2014-06-03,182.0,182.0,182.0,182.0,182.0,2000
2014-06-09,182.0,182.0,182.0,182.0,182.0,100
2014-06-12,182.0,182.0,182.0,182.0,182.0,3000
2014-06-13,182.0,182.0,182.0,182.0,182.0,400
2014-07-10,183.0,183.0,183.0,183.0,183.0,100
