Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.79,0.81,0.78,0.78,0.78,730900
2021-03-25,0.79,0.81,0.79,0.8,0.8,1184500
2021-03-26,0.8,0.82,0.8,0.82,0.82,3294700
2021-03-29,0.83,0.86,0.82,0.83,0.83,4159700
2021-03-30,0.83,0.84,0.82,0.84,0.84,758400
2021-03-31,0.84,0.88,0.84,0.86,0.86,2651000
2021-04-01,0.9,0.9,0.9,0.9,0.9,231000
2021-04-02,0.93,0.93,0.9,0.9,0.9,1959600
2021-04-05,0.95,1.0,0.91,0.98,0.98,10513500
2021-04-07,0.95,0.95,0.94,0.95,0.95,3522600
2021-04-08,0.97,0.97,0.94,0.95,0.95,1150300
2021-04-09,0.97,0.97,0.92,0.93,0.93,2447200
2021-04-12,0.92,0.92,0.87,0.88,0.88,1851300
2021-04-16,0.87,0.87,0.84,0.86,0.86,1999100
2021-04-19,0.88,0.89,0.87,0.87,0.87,908100
2021-04-20,0.88,0.91,0.87,0.9,0.9,1560000
2021-04-21,0.92,0.94,0.91,0.94,0.94,2795900
2021-04-22,0.94,0.97,0.93,0.93,0.93,4101900
2021-04-23,0.96,0.98,0.94,0.95,0.95,4193300
2021-04-26,0.97,0.97,0.95,0.95,0.95,2166300
2021-04-27,0.95,0.95,0.93,0.93,0.93,2218600
2021-04-28,0.94,0.97,0.93,0.95,0.95,4742000
2021-04-29,0.95,0.96,0.93,0.94,0.94,1642600
2021-04-30,0.95,1.02,0.94,0.97,0.97,7207600
2021-05-05,0.99,1.05,0.98,1.03,1.03,8867600
2021-05-06,1.05,1.06,1.03,1.03,1.03,5080300
2021-05-07,1.05,1.05,1.02,1.03,1.03,2252200
2021-05-10,1.05,1.05,1.02,1.02,1.02,1542300
2021-05-11,1.04,1.04,1.0,1.03,1.03,616300
2021-05-12,1.01,1.02,0.99,0.99,0.99,1197800
2021-05-13,0.99,1.0,0.88,0.93,0.93,3258800
2021-05-14,0.93,0.93,0.9,0.9,0.9,516400
2021-05-17,0.88,0.88,0.82,0.85,0.85,1933400
2021-05-18,0.81,0.87,0.81,0.85,0.85,838000
2021-05-19,0.83,0.86,0.83,0.85,0.85,482400
2021-05-20,0.85,0.91,0.85,0.89,0.89,2358800
2021-05-21,0.9,0.9,0.87,0.88,0.88,364700
2021-05-24,0.85,0.86,0.82,0.85,0.85,392300
2021-05-25,0.84,0.85,0.82,0.84,0.84,490000
2021-05-27,0.84,0.85,0.84,0.84,0.84,593700
2021-05-28,0.85,0.85,0.83,0.85,0.85,674800
2021-05-31,0.85,0.86,0.84,0.84,0.84,310500
2021-06-01,0.84,0.87,0.84,0.87,0.87,675000
2021-06-02,0.87,0.9,0.86,0.88,0.88,1900900
2021-06-04,0.88,0.9,0.88,0.89,0.89,370900
2021-06-07,0.9,0.9,0.88,0.9,0.9,362100
2021-06-08,0.91,0.91,0.88,0.9,0.9,122000
2021-06-09,0.89,0.9,0.88,0.88,0.88,759900
2021-06-10,0.87,0.88,0.86,0.87,0.87,467300
