Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-01-03,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-01-06,4.9,4.92,4.9,4.92,4.92,0
2020-01-07,4.9,4.92,4.9,4.92,4.92,0
2020-01-08,4.9,4.9,4.9,4.9,4.9,0
2020-01-10,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-01-13,4.92,4.92,4.92,4.92,4.92,0
2020-01-14,4.92,4.92,4.92,4.92,4.92,0
2020-01-15,4.9399999999999995,4.9399999999999995,4.92,4.92,4.92,0
2020-01-16,4.9399999999999995,4.9399999999999995,4.9,4.9,4.9,0
2020-01-17,4.92,4.9399999999999995,4.9,4.9399999999999995,4.9399999999999995,0
2020-01-20,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,0
2020-01-21,4.9399999999999995,4.9399999999999995,4.9,4.9,4.9,0
2020-01-22,4.92,4.92,4.9,4.9,4.9,0
2020-01-23,4.9,4.92,4.9,4.9,4.9,0
2020-01-24,4.9,4.9,4.9,4.9,4.9,0
2020-01-27,4.9,4.9,4.86,4.88,4.88,0
2020-01-28,4.88,4.9,4.88,4.9,4.9,0
2020-01-29,4.92,4.92,4.92,4.92,4.92,0
2020-01-30,4.92,4.92,4.9,4.92,4.92,0
2020-02-03,4.9,4.92,4.9,4.92,4.92,0
2020-02-04,4.92,4.92,4.92,4.92,4.92,0
2020-02-05,4.9,4.92,4.9,4.92,4.92,0
2020-02-06,4.92,4.92,4.92,4.92,4.92,0
2020-02-07,4.9,4.92,4.9,4.92,4.92,0
2020-02-11,4.9,4.92,4.88,4.9,4.9,0
2020-02-12,4.9,4.92,4.9,4.92,4.92,0
2020-02-13,4.9,4.9,4.88,4.9,4.9,0
2020-02-14,4.9,4.92,4.9,4.9,4.9,0
2020-02-17,4.9,4.9,4.9,4.9,4.9,0
2020-02-18,4.9,4.92,4.9,4.92,4.92,0
2020-02-19,4.9,4.92,4.9,4.92,4.92,0
2020-02-20,4.9,4.9,4.86,4.88,4.88,0
2020-02-21,4.92,4.92,4.88,4.88,4.88,0
2020-02-24,4.88,4.88,4.84,4.88,4.88,0
2020-02-25,4.88,4.88,4.82,4.86,4.86,0
2020-02-26,4.84,4.84,4.7,4.8,4.8,0
2020-02-27,4.78,4.8,4.74,4.8,4.8,0
2020-02-28,4.76,4.76,4.68,4.74,4.74,0
2020-03-02,4.68,4.7,4.5600000000000005,4.7,4.7,0
2020-03-03,4.7,4.7,4.7,4.7,4.7,0
2020-03-04,4.7,4.7,4.6,4.7,4.7,0
2020-03-05,4.7,4.7,4.62,4.66,4.66,0
2020-03-06,4.58,4.68,4.5,4.5600000000000005,4.5600000000000005,0
2020-03-09,4.58,4.58,4.3,4.38,4.38,0
2020-03-10,4.4,4.42,4.38,4.4,4.4,0
2020-03-11,4.46,4.46,4.36,4.36,4.36,0
2020-03-12,4.36,4.36,4.1,4.26,4.26,0
2020-03-13,4.1,4.4,3.98,4.36,4.36,0
2020-03-16,4.28,4.28,4.24,4.24,4.24,0
2020-03-17,4.2,4.2,4.1,4.18,4.18,0
2020-03-18,4.14,4.18,4.04,4.12,4.12,0
2020-03-19,4.02,4.02,3.7800000000000002,3.94,3.94,0
2020-03-20,3.58,3.98,3.58,3.98,3.98,0
2020-03-23,3.66,3.94,3.6,3.94,3.94,0
2020-03-24,3.68,3.7800000000000002,3.5,3.6,3.6,0
2020-03-25,3.68,3.76,3.6,3.74,3.74,0
2020-03-26,3.74,3.74,3.68,3.68,3.68,0
2020-03-27,3.66,3.7199999999999998,3.6,3.7199999999999998,3.7199999999999998,0
2020-03-30,3.6,3.7199999999999998,3.6,3.7199999999999998,3.7199999999999998,0
2020-03-31,3.96,4.0,3.5,3.98,3.98,0
2020-04-01,3.6,3.7,3.6,3.66,3.66,0
2020-04-02,3.66,4.0,3.66,4.0,4.0,0
2020-04-03,3.88,3.92,3.8,3.92,3.92,0
2020-04-07,3.9,4.0,3.9,4.0,4.0,0
2020-04-08,3.9,3.96,3.7800000000000002,3.96,3.96,0
2020-04-09,3.98,3.98,3.96,3.96,3.96,0
2020-04-10,3.96,3.96,3.9,3.9,3.9,0
2020-04-13,3.9,3.94,3.82,3.94,3.94,0
