Date,Open,High,Low,Close,Adj Close,Volume
2020-11-10,276,276,276,276,276,200
2020-11-16,272,272,272,272,272,200
2020-11-17,272,272,272,272,272,100
2020-11-18,272,272,272,272,272,200
2020-11-19,270,270,270,270,270,100
2020-11-26,270,270,270,270,270,300
2020-11-30,270,270,270,270,270,200
2020-12-02,274,274,274,274,274,200
2020-12-03,274,274,274,274,274,100
2020-12-08,274,274,274,274,274,400
2020-12-14,278,278,278,278,278,100
2020-12-16,280,280,278,278,278,200
2020-12-23,282,282,282,282,282,100
2020-12-28,274,274,274,274,274,100
2021-01-05,281,281,278,278,278,200
2021-01-06,281,281,281,281,281,100
2021-01-08,281,282,281,282,282,200
2021-01-11,276,276,276,276,276,700
2021-01-12,281,281,281,281,281,100
2021-01-13,280,280,280,280,280,100
2021-01-18,280,283,279,279,279,400
2021-01-20,278,278,278,278,278,200
2021-02-08,278,278,277,277,277,200
2021-02-17,280,280,280,280,280,100
2021-02-25,280,280,280,280,280,100
2021-03-01,280,280,280,280,280,200
2021-03-04,274,280,274,280,280,200
2021-03-11,280,280,280,280,280,100
2021-03-15,280,280,280,280,280,100
2021-03-18,280,280,280,280,280,100
2021-03-22,274,274,274,274,274,500
2021-03-25,276,276,274,274,274,400
2021-03-29,279,279,279,279,279,200
2021-03-30,279,280,278,278,278,700
2021-04-02,277,277,272,272,272,500
2021-04-05,267,267,267,267,267,100
2021-04-09,272,272,272,272,272,200
2021-04-12,275,275,275,275,275,100
2021-04-19,275,275,275,275,275,400
2021-04-20,280,282,280,282,282,600
2021-04-22,273,281,273,281,281,300
2021-04-29,274,274,273,274,274,700
2021-04-30,270,270,270,270,270,800
2021-05-05,275,275,270,270,270,500
2021-05-06,270,270,270,270,270,1000
2021-05-07,266,266,266,266,266,700
2021-05-10,269,270,269,270,270,300
2021-05-11,270,270,270,270,270,500
2021-05-12,270,270,270,270,270,600
2021-05-19,269,269,260,265,265,400
2021-05-20,265,265,265,265,265,300
2021-05-24,265,265,265,265,265,700
2021-05-25,265,267,265,267,267,700
2021-05-28,265,265,265,265,265,200
2021-06-01,265,265,264,265,265,700
2021-06-02,265,265,265,265,265,600
2021-06-08,270,270,265,265,265,300
2021-06-09,265,265,265,265,265,8700
2021-06-10,270,270,269,269,269,200
2021-06-17,272,272,272,272,272,100
2021-06-25,270,270,270,270,270,100
2021-07-13,269,269,269,269,269,6300
2021-07-27,257,262,257,262,262,200
2021-08-06,261,261,261,261,261,200
2021-08-09,257,257,255,256,256,600
2021-08-10,257,260,257,260,260,300
2021-08-20,256,256,256,256,256,100
2021-09-02,256,256,256,256,256,100
2021-09-06,257,257,257,257,257,100
