Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,5.05,5.45,4.92,5.35,5.35,25911300
2021-03-25,5.4,5.4,5.05,5.15,5.15,12357700
2021-03-26,5.2,5.2,4.92,5.05,5.05,4701700
2021-03-29,5.0,5.0,4.78,4.9,4.9,11136600
2021-03-30,4.88,4.96,4.82,4.88,4.88,4319800
2021-03-31,4.86,4.9,4.82,4.86,4.86,1728000
2021-04-01,4.82,4.82,4.8,4.82,4.82,164300
2021-04-02,4.82,4.82,4.74,4.78,4.78,3056900
2021-04-05,4.78,4.8,4.4,4.48,4.48,8901800
2021-04-07,4.38,4.66,4.22,4.6,4.6,5830200
2021-04-08,4.6,4.6,4.44,4.52,4.52,1869200
2021-04-09,4.48,4.58,4.48,4.5600000000000005,4.5600000000000005,2276900
2021-04-12,4.54,4.54,4.42,4.44,4.44,2090400
2021-04-16,4.32,4.38,4.2,4.3,4.3,2398700
2021-04-19,4.36,4.58,4.34,4.58,4.58,2561100
2021-04-20,4.66,4.84,4.64,4.8,4.8,6302000
2021-04-21,4.8,4.82,4.72,4.8,4.8,2861600
2021-04-22,4.8,4.82,4.62,4.66,4.66,2567900
2021-04-23,4.66,4.72,4.58,4.66,4.66,1647200
2021-04-26,4.6,4.74,4.58,4.7,4.7,1379300
2021-04-27,4.68,4.68,4.54,4.6,4.6,2604200
2021-04-28,4.58,4.78,4.58,4.7,4.7,2639800
2021-04-29,4.74,4.9,4.68,4.86,4.86,5206700
2021-04-30,4.88,4.96,4.76,4.92,4.92,9594100
2021-05-05,5.0,5.04,4.8,4.8,4.8,13165600
2021-05-06,4.8,4.96,4.76,4.82,4.82,4523400
2021-05-07,4.84,4.88,4.8,4.82,4.82,3841000
2021-05-10,4.82,4.82,4.64,4.76,4.76,2723800
2021-05-11,4.86,5.08,4.8,5.05,5.05,19754200
2021-05-12,5.2,5.3,5.0,5.0,5.0,26831900
2021-05-13,5.3,6.15,4.98,5.7,5.7,128067800
2021-05-14,6.15,6.7,5.8,6.5,6.5,91156600
2021-05-17,6.3,6.35,5.95,6.1,6.1,26955700
2021-05-18,6.2,6.55,6.05,6.15,6.15,25432300
2021-05-19,6.15,6.3,6.05,6.1,6.1,9987400
2021-05-20,6.1,6.15,5.95,6.0,6.0,8654400
2021-05-21,6.1,6.4,5.9,6.2,6.2,20057300
2021-05-24,6.15,6.25,5.65,5.85,5.85,15596300
2021-05-25,4.72,4.97,4.72,4.9,4.9,16219800
2021-05-27,4.92,5.42,4.9,5.05,5.05,10454100
2021-05-28,5.6,5.75,5.4,5.45,5.45,17368900
2021-05-31,5.5,5.65,5.45,5.55,5.55,7301600
2021-06-01,5.6,5.6,5.45,5.5,5.5,4597000
2021-06-02,5.5,5.6,5.4,5.45,5.45,3328800
2021-06-04,5.5,5.55,5.45,5.5,5.5,1667600
2021-06-07,5.5,5.85,5.45,5.6,5.6,11626400
2021-06-08,5.65,5.65,5.45,5.5,5.5,3452700
2021-06-09,5.55,5.55,5.45,5.5,5.5,2302800
2021-06-10,5.55,5.7,5.45,5.55,5.55,6096000
2021-06-11,5.5,5.7,5.45,5.5,5.5,3625400
2021-06-14,5.6,6.15,5.5,6.15,6.15,22313600
2021-06-15,6.05,6.25,5.8,6.05,6.05,27529300
2021-06-16,6.1,6.1,5.9,5.9,5.9,7474400
2021-06-17,5.9,6.0,5.85,5.9,5.9,4602700
2021-06-18,5.9,5.95,5.65,5.8,5.8,6111900
2021-06-21,5.6,5.95,5.6,5.85,5.85,5521200
2021-06-22,6.2,6.3,6.0,6.0,6.0,26168200
2021-06-23,6.25,6.9,6.2,6.4,6.4,123273100
2021-06-24,6.25,6.55,6.2,6.25,6.25,26092800
2021-06-25,6.35,6.35,6.0,6.1,6.1,9194400
2021-06-28,5.8,6.15,5.65,6.15,6.15,4333800
2021-06-29,6.35,6.45,6.3,6.35,6.35,5582300
2021-06-30,6.25,6.8,6.25,6.8,6.8,24519200
2021-07-01,6.7,6.7,6.35,6.45,6.45,12285500
2021-07-02,6.4,6.4,6.15,6.3,6.3,6071100
2021-07-05,6.25,6.25,6.1,6.2,6.2,2781800
2021-07-06,5.9,6.1,5.85,6.0,6.0,8958800
2021-07-07,5.9,5.95,5.7,5.8,5.8,5133600
2021-07-08,5.85,5.85,5.1,5.35,5.35,8123700
2021-07-09,5.1,5.35,5.1,5.25,5.25,1880100
2021-07-12,5.4,5.4,5.15,5.2,5.2,4177400
2021-07-13,5.25,5.7,5.2,5.7,5.7,8563800
2021-07-14,5.6,5.8,5.6,5.7,5.7,3771400
2021-07-15,5.6,5.65,5.45,5.55,5.55,5732100
2021-07-16,5.55,5.7,5.45,5.6,5.6,1786900
2021-07-19,5.4,5.55,5.3,5.45,5.45,2404600
2021-07-20,5.35,5.45,5.25,5.35,5.35,1701900
2021-07-21,5.35,5.45,5.3,5.4,5.4,1241600
2021-07-22,5.45,5.55,5.35,5.5,5.5,1426400
2021-07-23,5.6,5.6,5.4,5.5,5.5,997500
2021-07-27,5.45,5.5,5.4,5.45,5.45,603100
2021-07-29,5.4,5.6,5.35,5.4,5.4,2074200
2021-07-30,5.4,5.5,5.05,5.25,5.25,2538500
2021-08-02,5.0,5.25,5.0,5.2,5.2,1521800
2021-08-03,5.15,5.45,5.15,5.4,5.4,3098400
2021-08-04,5.4,5.4,5.25,5.4,5.4,871700
2021-08-05,5.45,5.55,5.3,5.4,5.4,2805900
2021-08-06,5.4,5.85,5.35,5.8,5.8,16443800
2021-08-09,6.0,6.05,5.6,5.6,5.6,13656700
2021-08-10,5.6,5.75,5.4,5.6,5.6,6395400
