Date,Open,High,Low,Close,Adj Close,Volume
2020-01-14,53.0,53.0,53.0,53.0,53.0,0
2020-01-28,53.0,53.0,52.0,52.0,52.0,0
2020-02-03,52.0,52.0,52.0,52.0,52.0,0
2020-02-06,54.0,54.0,50.25,50.25,50.25,0
2020-02-12,45.0,48.0,44.5,48.0,48.0,0
2020-02-14,48.25,48.25,48.0,48.0,48.0,0
2020-02-17,48.75,48.75,48.75,48.75,48.75,0
2020-02-21,49.5,50.0,49.5,50.0,50.0,0
2020-02-25,49.75,50.0,49.75,50.0,50.0,0
2020-02-26,48.5,48.5,48.5,48.5,48.5,0
2020-03-03,48.5,48.5,48.5,48.5,48.5,0
2020-03-06,45.0,45.0,45.0,45.0,45.0,0
2020-03-09,45.0,45.0,45.0,45.0,45.0,0
2020-03-10,45.25,45.25,45.25,45.25,45.25,0
2020-03-16,45.25,45.25,45.25,45.25,45.25,0
2020-03-19,40.25,40.25,40.25,40.25,40.25,0
2020-03-23,43.75,43.75,43.75,43.75,43.75,0
2020-03-27,43.0,43.0,43.0,43.0,43.0,0
2020-04-24,49.0,49.25,49.0,49.25,49.25,0
2020-04-27,44.0,44.0,44.0,44.0,44.0,0
2020-05-12,47.75,47.75,47.75,47.75,47.75,0
2020-05-13,47.75,47.75,47.75,47.75,47.75,0
2020-05-18,47.75,47.75,47.75,47.75,47.75,0
2020-05-21,47.75,47.75,47.75,47.75,47.75,0
2020-06-01,54.75,54.75,54.75,54.75,54.75,0
2020-06-02,54.75,54.75,54.75,54.75,54.75,0
2020-06-09,50.0,50.0,50.0,50.0,50.0,0
2020-06-16,50.0,50.0,50.0,50.0,50.0,0
2020-06-23,49.0,49.0,49.0,49.0,49.0,0
2020-06-25,46.25,46.25,46.25,46.25,46.25,0
2020-07-03,46.25,46.25,46.25,46.25,46.25,0
2020-08-25,48.0,48.0,48.0,48.0,48.0,0
2020-12-15,46.25,46.25,46.25,46.25,46.25,0
2020-12-16,59.5,59.5,58.0,58.0,58.0,0
2020-12-18,60.0,60.0,60.0,60.0,60.0,0
2020-12-21,58.0,60.0,58.0,60.0,60.0,0
2020-12-24,60.0,60.0,60.0,60.0,60.0,0
2021-01-06,48.0,54.0,48.0,50.0,50.0,0
2021-01-07,56.0,56.0,56.0,56.0,56.0,0
2021-01-15,48.5,56.0,47.0,49.25,49.25,0
2021-01-18,49.75,50.25,49.75,50.25,50.25,0
2021-01-19,50.5,50.5,50.25,50.25,50.25,0
2021-01-20,51.0,51.0,50.25,50.25,50.25,0
2021-01-21,50.25,50.25,48.5,48.5,48.5,0
2021-01-26,49.0,49.0,49.0,49.0,49.0,0
2021-01-27,49.0,49.0,49.0,49.0,49.0,0
2021-01-28,49.0,49.0,49.0,49.0,49.0,0
2021-02-09,49.0,49.0,49.0,49.0,49.0,0
2021-02-15,46.5,46.5,46.5,46.5,46.5,0
2021-02-18,45.0,45.0,45.0,45.0,45.0,0
2021-03-10,45.0,45.0,45.0,45.0,45.0,0
2021-03-16,45.5,45.5,45.5,45.5,45.5,0
2021-03-24,46.25,46.25,46.25,46.25,46.25,0
2021-03-25,46.25,46.25,46.25,46.25,46.25,0
2021-04-05,47.0,47.0,47.0,47.0,47.0,0
2021-04-16,50.0,54.0,50.0,54.0,54.0,0
2021-04-19,54.0,54.0,49.0,53.0,53.0,0
2021-04-21,49.5,49.5,48.25,49.25,49.25,0
2021-04-26,53.0,53.0,52.5,52.5,52.5,0
2021-04-27,52.0,52.0,52.0,52.0,52.0,0
2021-04-29,50.0,50.0,50.0,50.0,50.0,0
2021-04-30,58.0,58.0,58.0,58.0,58.0,0
2021-05-05,58.0,58.0,58.0,58.0,58.0,0
2021-05-10,58.0,58.0,58.0,58.0,58.0,0
2021-05-14,74.0,74.75,74.0,74.75,74.75,0
2021-05-17,73.0,73.0,73.0,73.0,73.0,0
2021-05-18,54.25,69.0,53.0,57.0,57.0,0
2021-05-31,49.0,54.5,49.0,51.5,51.5,0
2021-06-02,51.5,51.5,51.5,51.5,51.5,0
2021-06-07,51.5,51.5,49.25,49.25,49.25,0
2021-06-17,50.0,50.0,50.0,50.0,50.0,0
2021-06-24,58.0,58.25,56.0,56.0,56.0,0
2021-06-25,55.75,55.75,55.75,55.75,55.75,0
2021-07-02,54.0,54.0,50.0,50.0,50.0,0
2021-07-05,50.25,50.25,50.25,50.25,50.25,0
2021-07-08,50.25,50.25,50.25,50.25,50.25,0
2021-07-12,50.25,50.25,50.25,50.25,50.25,0
2021-07-13,50.0,50.0,50.0,50.0,50.0,0
2021-09-13,49.5,49.5,49.5,49.5,49.5,100
2021-09-15,50.0,50.0,50.0,50.0,50.0,100
2021-10-21,61.5,61.5,44.0,49.5,49.5,2400
2021-10-29,50.0,50.0,50.0,50.0,50.0,400
2021-11-17,57.0,57.0,57.0,57.0,57.0,2100
2021-11-18,56.0,57.5,56.0,57.5,57.5,200
2021-11-24,65.0,65.0,60.0,60.0,60.0,1700
2021-11-25,62.0,62.0,62.0,62.0,62.0,100
2021-12-02,47.5,50.0,45.0,50.0,50.0,2500
2021-12-03,50.0,50.0,50.0,50.0,50.0,100
2021-12-13,50.25,50.25,50.25,50.25,50.25,0
2022-01-12,51.0,51.0,50.5,50.75,50.75,0
2022-02-04,53.0,53.0,53.0,53.0,53.0,0
2022-02-09,46.25,48.25,46.25,48.25,48.25,0
2022-03-01,50.0,50.0,50.0,50.0,50.0,0
2022-03-03,52.0,52.0,50.0,50.0,50.0,0
2022-03-04,50.0,50.0,50.0,50.0,50.0,0
2022-03-08,51.5,51.5,46.0,46.0,46.0,0
2022-03-22,49.0,49.0,49.0,49.0,49.0,0
2022-03-23,50.0,50.0,50.0,50.0,50.0,0
2022-03-24,50.0,50.0,49.0,49.0,49.0,0
2022-04-21,49.0,49.0,49.0,49.0,49.0,0
2022-04-29,51.5,51.5,51.5,51.5,51.5,0
2022-05-18,56.0,56.0,56.0,56.0,56.0,0
2022-05-19,56.0,56.0,56.0,56.0,56.0,0
2022-05-20,56.0,56.0,56.0,56.0,56.0,0
2022-05-23,69.75,72.0,69.75,71.0,71.0,0
2022-05-24,76.0,76.0,57.0,57.0,57.0,0
2022-05-25,57.0,58.5,56.5,58.5,58.5,0
2022-05-26,58.75,58.75,58.0,58.25,58.25,0
2022-05-27,58.0,58.0,58.0,58.0,58.0,0
2022-05-30,53.0,59.0,53.0,58.0,58.0,0
2022-05-31,58.0,59.0,58.0,59.0,59.0,0
2022-06-02,59.0,59.0,59.0,59.0,59.0,0
2022-06-07,61.75,61.75,61.0,61.0,61.0,0
2022-06-08,58.0,58.0,57.0,57.0,57.0,0
2022-06-09,58.0,58.0,58.0,58.0,58.0,0
2022-06-10,58.75,58.75,58.75,58.75,58.75,0
2022-06-13,58.75,59.0,58.75,59.0,59.0,800
2022-06-17,61.0,62.0,61.0,62.0,62.0,0
2022-06-20,74.0,74.0,60.0,60.0,60.0,0
2022-06-21,56.0,56.0,55.5,55.5,55.5,0
2022-06-22,56.0,56.0,56.0,56.0,56.0,0
2022-06-27,57.0,57.0,57.0,57.0,57.0,0
2022-06-30,60.0,60.0,60.0,60.0,60.0,0
2022-07-05,57.5,57.5,57.5,57.5,57.5,500
2022-07-07,62.0,62.0,62.0,62.0,62.0,300
2022-07-08,62.0,62.0,62.0,62.0,62.0,1100
2022-07-20,62.0,62.0,62.0,62.0,62.0,1000
2022-07-22,62.0,62.0,62.0,62.0,62.0,100
