Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,4.32,4.54,4.3,4.54,4.54,2072400
2021-03-25,4.76,4.96,4.4,4.5,4.5,12658700
2021-03-26,4.52,4.5600000000000005,4.44,4.44,4.44,1752800
2021-03-29,4.64,4.82,4.6,4.78,4.78,8471100
2021-03-30,4.84,5.16,4.76,5.05,5.05,14557400
2021-03-31,5.05,5.35,5.05,5.2,5.2,18929300
2021-04-01,5.7,5.75,5.6,5.6,5.6,1014600
2021-04-02,5.7,5.7,5.2,5.35,5.35,7981100
2021-04-05,5.1,5.15,4.98,5.05,5.05,4230500
2021-04-07,4.84,4.9399999999999995,4.79,4.88,4.88,2416400
2021-04-08,4.92,5.05,4.88,4.96,4.96,2629700
2021-04-09,4.96,5.04,4.9,4.9,4.9,1313800
2021-04-12,4.98,4.98,4.74,4.82,4.82,1062100
2021-04-16,4.6,4.82,4.5600000000000005,4.82,4.82,1022600
2021-04-19,4.8,4.9399999999999995,4.78,4.88,4.88,775800
2021-04-20,4.82,4.88,4.76,4.78,4.78,1037100
2021-04-21,4.8,4.8,4.72,4.74,4.74,699500
2021-04-22,4.78,4.78,4.68,4.68,4.68,484600
2021-04-23,4.68,4.68,4.6,4.68,4.68,530800
2021-04-26,4.62,4.7,4.58,4.64,4.64,804800
2021-04-27,4.6,4.66,4.6,4.62,4.62,384100
2021-04-28,4.66,4.76,4.58,4.62,4.62,800600
2021-04-29,4.62,4.66,4.6,4.6,4.6,633100
2021-04-30,4.58,4.6,4.48,4.54,4.54,1690200
2021-05-05,4.52,4.52,4.4,4.44,4.44,971600
2021-05-06,4.44,4.52,4.44,4.52,4.52,345500
2021-05-07,4.58,4.6,4.48,4.6,4.6,457600
2021-05-10,4.6,4.7,4.5600000000000005,4.66,4.66,937500
2021-05-11,4.66,4.72,4.58,4.64,4.64,854700
2021-05-12,4.68,4.68,4.58,4.58,4.58,1027500
2021-05-13,4.58,4.66,4.26,4.52,4.52,1168300
2021-05-14,4.4,4.72,4.38,4.7,4.7,1357800
2021-05-17,4.62,4.62,4.4,4.44,4.44,1146900
2021-05-18,4.4,4.64,4.4,4.54,4.54,619900
2021-05-19,4.6,4.6,4.36,4.4,4.4,680300
2021-05-20,4.48,4.48,4.4,4.42,4.42,398700
2021-05-21,4.4,4.46,4.36,4.42,4.42,134400
2021-05-24,4.46,4.48,4.42,4.48,4.48,432200
2021-05-25,4.5600000000000005,4.64,4.5,4.64,4.64,906000
