Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,61.0,61.5,61.0,61.5,61.5,0
2020-01-06,60.0,60.0,59.25,60.0,60.0,0
2020-01-07,59.5,59.75,59.5,59.75,59.75,0
2020-01-08,59.5,59.5,59.5,59.5,59.5,0
2020-01-09,60.25,60.25,60.25,60.25,60.25,0
2020-01-10,60.0,60.0,59.5,59.5,59.5,0
2020-01-13,60.0,60.0,59.75,59.75,59.75,0
2020-01-14,60.25,60.25,59.75,60.25,60.25,0
2020-01-15,60.0,60.0,60.0,60.0,60.0,0
2020-01-16,60.25,61.0,60.25,60.25,60.25,0
2020-01-17,60.0,60.0,60.0,60.0,60.0,0
2020-01-21,62.25,62.25,62.25,62.25,62.25,0
2020-01-27,60.0,61.75,60.0,60.0,60.0,0
2020-01-28,60.0,60.0,58.25,58.25,58.25,0
2020-02-06,58.25,58.25,58.25,58.25,58.25,0
2020-02-07,58.75,58.75,58.5,58.5,58.5,0
2020-02-11,60.0,60.0,58.5,58.5,58.5,0
2020-02-12,58.5,60.0,58.5,60.0,60.0,0
2020-02-13,60.0,60.0,60.0,60.0,60.0,0
2020-02-17,60.0,60.0,60.0,60.0,60.0,0
2020-02-18,61.75,61.75,61.75,61.75,61.75,0
2020-02-19,61.25,61.25,61.25,61.25,61.25,0
2020-02-20,60.0,60.0,60.0,60.0,60.0,0
2020-02-21,60.0,60.0,60.0,60.0,60.0,0
2020-02-24,60.0,60.0,59.25,60.0,60.0,0
2020-02-25,60.0,62.0,59.0,60.0,60.0,0
2020-02-26,60.0,60.0,59.25,59.5,59.5,0
2020-02-27,60.0,60.25,60.0,60.25,60.25,0
2020-02-28,60.25,61.0,60.25,60.75,60.75,0
2020-03-02,61.0,61.0,60.75,60.75,60.75,0
2020-03-03,61.0,61.0,61.0,61.0,61.0,0
2020-03-04,62.5,63.0,62.5,62.5,62.5,0
2020-03-05,62.5,62.75,62.25,62.75,62.75,0
2020-03-06,62.75,62.75,62.0,62.5,62.5,0
2020-03-09,61.5,62.0,61.5,61.5,61.5,0
2020-03-10,62.25,63.75,62.25,62.75,62.75,0
2020-03-11,58.5,59.0,57.25,58.0,58.0,0
2020-03-12,57.25,57.25,56.25,56.25,56.25,0
2020-03-13,54.25,57.25,53.0,53.0,53.0,0
2020-03-16,52.0,52.25,51.0,51.25,51.25,0
2020-03-17,51.5,51.5,51.5,51.5,51.5,0
2020-03-18,46.25,51.75,46.0,51.75,51.75,0
2020-03-19,49.25,49.25,49.25,49.25,49.25,0
2020-03-20,49.5,52.5,49.5,52.25,52.25,0
2020-03-23,48.5,48.5,48.25,48.25,48.25,0
2020-03-25,48.75,51.5,48.75,49.0,49.0,0
2020-03-26,50.0,50.0,49.0,49.0,49.0,0
2020-03-27,49.5,49.5,46.75,47.0,47.0,0
2020-03-30,48.0,48.0,47.0,47.0,47.0,0
2020-03-31,47.0,47.0,47.0,47.0,47.0,0
2020-04-02,47.0,47.0,46.75,46.75,46.75,0
2020-04-03,48.5,48.5,47.0,47.0,47.0,0
2020-04-07,48.0,49.25,48.0,49.25,49.25,0
2020-04-08,48.0,48.0,47.25,47.5,47.5,0
2020-04-09,48.0,48.0,47.5,47.5,47.5,0
2020-04-10,47.75,47.75,47.75,47.75,47.75,0
2020-04-13,49.25,52.75,48.0,52.75,52.75,0
2020-04-14,52.5,52.5,52.5,52.5,52.5,0
2020-04-15,50.25,50.5,50.0,50.25,50.25,0
2020-04-16,50.5,51.0,49.75,49.75,49.75,0
2020-04-20,50.0,50.0,49.5,49.5,49.5,0
2020-04-21,50.0,50.0,49.75,50.0,50.0,0
2020-04-22,50.0,50.0,50.0,50.0,50.0,0
2020-04-23,52.5,52.5,52.5,52.5,52.5,0
2020-04-24,51.25,52.0,51.25,52.0,52.0,0
2020-04-27,52.0,52.0,52.0,52.0,52.0,0
2020-04-28,53.0,53.0,53.0,53.0,53.0,0
2020-04-29,53.0,53.0,53.0,53.0,53.0,0
2020-05-05,52.0,52.5,48.0,52.0,52.0,0
2020-05-11,52.0,52.0,52.0,52.0,52.0,0
2020-05-12,54.25,54.25,54.25,54.25,54.25,0
2020-05-13,54.25,55.75,53.25,53.5,53.5,0
2020-05-14,53.75,53.75,53.5,53.75,53.75,0
2020-05-15,53.75,53.75,53.75,53.75,53.75,0
2020-05-18,54.75,54.75,54.75,54.75,54.75,0
2020-05-19,55.0,55.0,55.0,55.0,55.0,0
2020-05-20,56.0,56.0,56.0,56.0,56.0,0
2020-05-21,56.0,56.0,56.0,56.0,56.0,0
2020-05-22,56.0,56.25,55.25,55.25,55.25,0
2020-05-25,56.25,56.25,55.0,55.0,55.0,0
2020-05-26,54.25,54.25,54.25,54.25,54.25,0
2020-05-28,54.25,54.25,54.0,54.0,54.0,0
2020-06-01,55.5,55.5,55.5,55.5,55.5,0
2020-06-02,55.75,55.75,54.5,54.5,54.5,0
2020-06-05,54.5,54.5,53.0,53.0,53.0,0
2020-06-08,56.5,58.0,56.0,56.0,56.0,0
2020-06-09,55.25,55.25,55.0,55.0,55.0,0
2020-06-10,57.0,57.25,56.5,57.25,57.25,0
2020-06-11,65.0,65.0,55.0,55.75,55.75,0
2020-06-12,55.25,55.25,55.0,55.0,55.0,0
2020-06-15,55.0,55.0,55.0,55.0,55.0,0
2020-06-17,55.0,55.75,53.0,55.0,55.0,0
2020-06-19,54.0,54.0,54.0,54.0,54.0,0
2020-06-22,54.0,54.0,53.25,54.0,54.0,0
2020-06-23,53.5,53.5,53.5,53.5,53.5,0
2020-06-24,54.0,55.25,54.0,55.0,55.0,0
2020-06-25,55.0,55.5,54.0,54.0,54.0,0
2020-06-26,55.0,55.5,55.0,55.25,55.25,0
2020-06-29,54.5,54.5,54.0,54.0,54.0,0
2020-06-30,54.0,54.25,50.25,54.25,54.25,0
2020-07-01,54.75,54.75,54.75,54.75,54.75,0
2020-07-02,53.5,53.5,53.5,53.5,53.5,0
2020-07-10,55.0,55.0,55.0,55.0,55.0,0
