Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,0.62,0.62,0.61,0.62,0.62,0
2020-01-03,0.62,0.62,0.61,0.61,0.61,0
2020-01-06,0.61,0.61,0.57,0.59,0.59,0
2020-01-07,0.57,0.59,0.57,0.59,0.59,0
2020-01-08,0.58,0.59,0.55,0.55,0.55,0
2020-01-09,0.56,0.57,0.56,0.57,0.57,0
2020-01-10,0.57,0.58,0.56,0.58,0.58,0
2020-01-13,0.58,0.58,0.56,0.57,0.57,0
2020-01-14,0.57,0.57,0.56,0.56,0.56,0
2020-01-15,0.57,0.57,0.54,0.55,0.55,0
2020-01-16,0.55,0.6,0.55,0.56,0.56,0
2020-01-17,0.58,0.59,0.56,0.56,0.56,0
2020-01-20,0.57,0.57,0.55,0.56,0.56,0
2020-01-21,0.57,0.57,0.53,0.54,0.54,0
2020-01-22,0.54,0.56,0.54,0.55,0.55,0
2020-01-23,0.55,0.56,0.54,0.55,0.55,0
2020-01-24,0.55,0.56,0.55,0.56,0.56,0
2020-01-27,0.56,0.57,0.53,0.55,0.55,0
2020-01-28,0.55,0.55,0.53,0.54,0.54,0
2020-01-29,0.52,0.56,0.52,0.54,0.54,0
2020-01-30,0.51,0.54,0.5,0.54,0.54,0
2020-01-31,0.53,0.54,0.51,0.51,0.51,0
2020-02-03,0.49,0.53,0.49,0.53,0.53,0
2020-02-04,0.5,0.52,0.5,0.52,0.52,0
2020-02-05,0.51,0.51,0.48,0.5,0.5,0
2020-02-06,0.5,0.51,0.49,0.51,0.51,0
2020-02-07,0.5,0.51,0.49,0.51,0.51,0
2020-02-11,0.5,0.51,0.49,0.5,0.5,0
2020-02-12,0.51,0.51,0.5,0.51,0.51,0
2020-02-13,0.5,0.51,0.49,0.5,0.5,0
2020-02-14,0.5,0.51,0.5,0.51,0.51,0
2020-02-17,0.51,0.51,0.51,0.51,0.51,0
2020-02-18,0.49,0.51,0.49,0.5,0.5,0
2020-02-19,0.49,0.51,0.49,0.51,0.51,0
2020-02-20,0.5,0.51,0.49,0.51,0.51,0
2020-02-21,0.5,0.5,0.49,0.5,0.5,0
2020-02-24,0.49,0.5,0.47,0.47,0.47,0
2020-02-25,0.48,0.48,0.45,0.47,0.47,0
2020-02-26,0.46,0.47,0.43,0.44,0.44,0
2020-02-27,0.46,0.46,0.41,0.46,0.46,0
2020-02-28,0.4,0.48,0.38,0.46,0.46,0
2020-03-02,0.46,0.46,0.41,0.45,0.45,0
2020-03-03,0.46,0.47,0.41,0.47,0.47,0
2020-03-04,0.44,0.46,0.44,0.46,0.46,0
2020-03-05,0.44,0.46,0.44,0.44,0.44,0
2020-03-06,0.44,0.45,0.41,0.45,0.45,0
2020-03-09,0.43,0.45,0.4,0.43,0.43,0
2020-03-10,0.43,0.43,0.39,0.43,0.43,0
2020-03-11,0.43,0.43,0.39,0.42,0.42,0
2020-03-12,0.38,0.41,0.33,0.39,0.39,0
2020-03-13,0.4,0.4,0.32,0.39,0.39,0
2020-03-16,0.35,0.39,0.32,0.32,0.32,0
2020-03-17,0.31,0.34,0.31,0.32,0.32,0
2020-03-18,0.33,0.35,0.32,0.34,0.34,0
2020-03-19,0.31,0.35,0.31,0.35,0.35,0
2020-03-20,0.35,0.38,0.33,0.36,0.36,0
2020-03-23,0.36,0.36,0.34,0.36,0.36,0
2020-03-24,0.33,0.36,0.32,0.35,0.35,0
2020-03-25,0.36,0.36,0.33,0.35,0.35,0
2020-03-26,0.35,0.35,0.33,0.35,0.35,0
2020-03-27,0.36,0.36,0.35,0.36,0.36,0
2020-03-30,0.36,0.36,0.34,0.35,0.35,0
2020-03-31,0.35,0.36,0.35,0.36,0.36,0
2020-04-01,0.37,0.37,0.36,0.36,0.36,0
2020-04-02,0.36,0.37,0.35,0.36,0.36,0
2020-04-03,0.36,0.37,0.35,0.36,0.36,0
2020-04-07,0.36,0.39,0.36,0.39,0.39,0
2020-04-08,0.37,0.39,0.36,0.38,0.38,0
2020-04-09,0.38,0.43,0.38,0.42,0.42,0
2020-04-10,0.42,0.46,0.42,0.45,0.45,0
2020-04-13,0.45,0.45,0.42,0.44,0.44,0
2020-04-14,0.42,0.44,0.41,0.43,0.43,0
2020-04-15,0.44,0.48,0.44,0.46,0.46,0
2020-04-16,0.45,0.47,0.44,0.47,0.47,0
2020-04-17,0.46,0.47,0.46,0.47,0.47,0
2020-04-20,0.46,0.46,0.43,0.44,0.44,0
2020-04-21,0.44,0.5,0.44,0.5,0.5,0
2020-04-22,0.52,0.57,0.51,0.56,0.56,0
2020-04-23,0.57,0.6,0.56,0.58,0.58,0
2020-04-24,0.58,0.59,0.53,0.56,0.56,0
2020-04-27,0.56,0.56,0.54,0.54,0.54,0
2020-04-28,0.54,0.56,0.54,0.55,0.55,0
2020-04-29,0.54,0.56,0.54,0.56,0.56,0
2020-04-30,0.56,0.61,0.56,0.57,0.57,0
2020-05-05,0.55,0.55,0.52,0.52,0.52,0
2020-05-07,0.52,0.54,0.48,0.48,0.48,0
2020-05-08,0.45,0.51,0.45,0.5,0.5,0
2020-05-11,0.5,0.5,0.48,0.5,0.5,0
2020-05-12,0.49,0.51,0.49,0.51,0.51,0
2020-05-13,0.5,0.54,0.5,0.51,0.51,0
2020-05-14,0.52,0.52,0.5,0.5,0.5,0
2020-05-15,0.5,0.57,0.48,0.52,0.52,0
2020-05-18,0.5,0.51,0.49,0.51,0.51,0
2020-05-19,0.5,0.52,0.5,0.52,0.52,0
2020-05-20,0.52,0.53,0.51,0.53,0.53,0
2020-05-21,0.53,0.54,0.52,0.53,0.53,0
2020-05-22,0.53,0.57,0.52,0.54,0.54,0
2020-05-25,0.54,0.57,0.53,0.57,0.57,0
2020-05-26,0.59,0.59,0.57,0.58,0.58,0
2020-05-27,0.57,0.59,0.56,0.56,0.56,0
