Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,2.16,2.16,1.96,2.04,2.04,7312350
2020-09-25,2.04,2.08,2.0,2.04,2.04,1598900
2020-09-28,2.04,2.08,2.0,2.04,2.04,1696075
2020-09-29,2.04,2.08,2.0,2.04,2.04,940200
2020-09-30,2.04,2.04,2.0,2.0,2.0,899900
2020-10-01,2.0,2.04,2.0,2.0,2.0,808300
2020-10-02,2.0,2.04,2.0,2.0,2.0,819625
2020-10-05,2.0,2.04,1.96,1.96,1.96,2468750
2020-10-06,2.0,2.04,1.96,2.0,2.0,1628000
2020-10-07,2.04,2.04,2.0,2.0,2.0,925275
2020-10-08,2.04,2.04,1.96,2.0,2.0,1200350
2020-10-09,2.04,2.16,1.96,2.08,2.08,7309725
2020-10-12,2.12,2.12,2.04,2.08,2.08,2733500
2020-10-14,2.08,2.08,2.04,2.04,2.04,1538575
2020-10-15,2.04,2.08,1.92,1.96,1.96,3632675
2020-10-16,1.96,2.0,1.88,1.96,1.96,2736350
2020-10-19,1.92,1.92,1.8,1.84,1.84,2091550
2020-10-20,1.84,1.88,1.8,1.84,1.84,1183550
2020-10-21,1.84,1.88,1.84,1.88,1.88,832150
2020-10-22,1.84,1.88,1.8,1.88,1.88,828475
2020-10-26,1.88,1.88,1.8,1.84,1.84,1163250
2020-10-27,1.84,1.84,1.8,1.84,1.84,875775
2020-10-28,1.84,1.88,1.84,1.84,1.84,831275
2020-10-29,1.84,1.88,1.8,1.84,1.84,829975
2020-10-30,1.84,1.88,1.8,1.84,1.84,875300
2020-11-02,1.84,1.88,1.8,1.88,1.88,822325
2020-11-03,1.88,1.92,1.84,1.88,1.88,825375
2020-11-04,1.88,2.04,1.88,2.0,2.0,4821825
2020-11-05,2.04,2.12,2.04,2.04,2.04,2568700
2020-11-06,2.04,2.08,2.04,2.04,2.04,767300
2020-11-09,2.04,2.12,2.04,2.04,2.04,2117125
2020-11-10,2.08,2.12,2.04,2.04,2.04,1923250
2020-11-11,2.04,2.12,2.04,2.08,2.08,823350
2020-11-12,2.08,2.08,2.04,2.04,2.04,1420100
2020-11-13,2.04,2.08,2.04,2.04,2.04,754025
2020-11-16,2.08,2.12,2.04,2.04,2.04,3347225
2020-11-17,2.04,2.08,1.96,1.96,1.96,1518250
2020-11-18,1.96,2.04,1.96,2.0,2.0,1543725
2020-11-19,2.0,2.0,1.96,2.0,2.0,953675
2020-11-20,2.0,2.08,1.96,2.0,2.0,4837775
2020-11-23,2.0,2.0,1.96,1.96,1.96,2138575
2020-11-24,1.96,2.0,1.96,1.96,1.96,2081925
2020-11-25,1.96,2.0,1.96,1.96,1.96,1282125
2020-11-26,1.96,2.0,1.92,1.96,1.96,910350
2020-11-27,1.96,2.04,1.96,2.0,2.0,2023875
2020-11-30,2.0,2.0,1.92,1.92,1.92,1747275
2020-12-01,1.96,1.96,1.92,1.92,1.92,1139150
2020-12-02,1.92,1.96,1.88,1.92,1.92,1528800
2020-12-03,1.92,1.96,1.92,1.96,1.96,1657275
2020-12-04,1.96,1.96,1.88,1.96,1.96,1247450
2020-12-08,1.92,1.96,1.88,1.92,1.92,2948600
2020-12-09,1.92,1.92,1.84,1.92,1.92,4375100
2020-12-14,1.92,1.92,1.88,1.88,1.88,841525
2020-12-15,1.88,2.04,1.88,1.96,1.96,5860650
2020-12-16,2.04,2.16,1.96,2.0,2.0,23372100
2020-12-17,2.04,2.04,1.96,2.0,2.0,5137125
2020-12-18,2.16,2.28,2.08,2.16,2.16,71567950
2020-12-21,2.08,2.12,1.96,1.96,1.96,32766300
2020-12-22,2.0,2.0,1.88,2.0,2.0,7254750
2020-12-23,2.0,2.0,1.96,1.96,1.96,2952775
2020-12-24,1.96,2.0,1.88,2.0,2.0,13194700
2020-12-25,1.96,2.04,1.96,1.96,1.96,10351725
2020-12-28,2.04,2.04,1.96,1.96,1.96,6119150
2020-12-29,1.96,2.04,1.96,2.0,2.0,2859875
2020-12-30,2.0,2.0,1.92,1.96,1.96,6690875
2021-01-04,1.92,2.0,1.92,1.96,1.96,3278600
2021-01-05,1.96,2.0,1.96,2.0,2.0,1756650
2021-01-06,2.0,2.04,1.92,1.96,1.96,6489850
2021-01-07,1.96,2.0,1.92,1.96,1.96,3811875
2021-01-08,1.96,1.96,1.88,1.92,1.92,19511725
2021-01-11,1.92,1.96,1.88,1.92,1.92,6139175
2021-01-12,1.92,1.96,1.92,1.96,1.96,993825
2021-01-13,1.92,2.0,1.92,1.96,1.96,7393400
2021-01-14,1.96,2.0,1.92,1.92,1.92,3720150
2021-01-15,1.96,2.0,1.96,2.0,2.0,6859100
2021-01-18,2.0,2.16,2.0,2.12,2.12,44459600
2021-01-19,2.2,2.2,2.12,2.16,2.16,22286325
2021-01-20,2.2,2.2,2.12,2.12,2.12,9081875
2021-01-21,2.12,2.12,2.04,2.04,2.04,9727350
2021-01-22,2.08,2.08,2.0,2.04,2.04,4160000
2021-01-25,2.04,2.04,1.96,2.0,2.0,4037525
2021-01-26,2.0,2.04,2.0,2.0,2.0,794800
2021-01-27,2.04,2.08,2.0,2.08,2.08,7060600
2021-01-28,2.04,2.08,2.0,2.04,2.04,5667025
2021-01-29,2.04,2.04,2.0,2.04,2.04,1501450
2021-02-01,2.04,2.04,2.0,2.04,2.04,3045750
2021-02-02,2.04,2.04,2.0,2.0,2.0,2445950
2021-02-03,2.04,2.04,1.96,1.96,1.96,3226225
2021-02-04,1.96,2.04,1.96,2.0,2.0,4084000
2021-02-05,2.0,2.04,1.96,2.0,2.0,2659200
2021-02-08,2.0,2.16,2.0,2.16,2.16,18801250
2021-02-09,2.2,2.2,2.04,2.08,2.08,19934275
2021-02-10,2.16,2.16,2.08,2.08,2.08,9309650
2021-02-11,2.12,2.12,2.04,2.08,2.08,5024325
2021-02-15,2.08,2.12,2.04,2.12,2.12,3038925
2021-02-16,2.12,2.12,2.04,2.08,2.08,2885275
2021-02-17,2.08,2.08,2.04,2.08,2.08,2631525
2021-02-18,2.08,2.08,2.0,2.04,2.04,4350825
2021-02-19,2.08,2.08,2.0,2.04,2.04,2159850
2021-02-22,2.04,2.08,1.96,2.0,2.0,4708425
2021-02-23,2.04,2.04,1.96,2.0,2.0,1940075
2021-02-24,2.0,2.04,1.96,2.0,2.0,3411425
2021-02-25,2.0,2.0,1.96,2.0,2.0,1528000
2021-03-01,2.0,2.0,1.96,1.96,1.96,5076375
2021-03-02,1.96,2.0,1.96,2.0,2.0,1766400
2021-03-03,2.0,2.0,1.96,2.0,2.0,3350675
2021-03-04,2.0,2.0,1.96,1.96,1.96,2301050
2021-03-05,2.0,2.08,2.0,2.0,2.0,9799250
2021-03-08,2.04,2.04,1.96,2.0,2.0,2992975
2021-03-09,2.0,2.04,2.0,2.0,2.0,2967450
2021-03-10,2.0,2.04,1.96,2.0,2.0,1956550
2021-03-11,2.04,2.08,2.0,2.04,2.04,9004300
2021-03-12,2.04,2.08,2.0,2.0,2.0,1764550
2021-03-15,2.04,2.08,2.0,2.04,2.04,3363225
2021-03-16,2.04,2.08,2.0,2.04,2.04,5036075
2021-03-17,2.04,2.08,2.0,2.04,2.04,2612600
2021-03-18,2.04,2.08,2.04,2.04,2.04,1738725
2021-03-19,2.04,2.08,2.0,2.04,2.04,3585950
2021-03-22,2.08,2.24,2.08,2.2,2.2,41932800
2021-03-23,2.28,2.28,2.12,2.16,2.16,24894750
2021-03-24,2.16,2.48,2.12,2.28,2.28,77690800
2021-03-25,2.36,2.64,2.36,2.56,2.56,69739100
2021-03-26,2.56,2.6,2.4,2.44,2.44,19982150
2021-03-29,2.48,2.56,2.44,2.48,2.48,19777125
2021-03-30,2.52,2.52,2.44,2.48,2.48,10051925
2021-03-31,2.52,2.72,2.48,2.6,2.6,48474575
2021-04-01,2.68,2.68,2.6,2.64,2.64,13399475
2021-04-02,2.68,2.68,2.4,2.48,2.48,41030025
2021-04-05,2.48,2.52,2.44,2.44,2.44,10225825
2021-04-07,2.44,2.44,2.28,2.36,2.36,10408200
2021-04-08,2.32,2.4,2.32,2.36,2.36,5272875
2021-04-09,2.36,2.48,2.36,2.4,2.4,6436200
2021-04-12,2.4,2.44,2.32,2.32,2.32,6230075
2021-04-16,2.28,2.32,2.2,2.28,2.28,8197675
2021-04-19,2.32,2.44,2.32,2.4,2.4,8250750
2021-04-20,2.44,2.48,2.4,2.4,2.4,5799475
2021-04-21,2.4,2.52,2.4,2.52,2.52,13512525
2021-04-22,2.52,2.52,2.44,2.44,2.44,6868050
2021-04-23,2.44,2.6,2.4,2.52,2.52,33386025
2021-04-26,2.52,2.52,2.44,2.48,2.48,5404150
2021-04-27,2.48,2.52,2.44,2.44,2.44,8073725
2021-04-28,2.48,2.52,2.44,2.52,2.52,7413825
2021-04-29,2.52,2.8,2.52,2.76,2.76,102026575
2021-04-30,2.68,2.72,2.6,2.68,2.68,30729400
2021-05-05,2.72,2.8,2.68,2.68,2.68,12380750
2021-05-06,2.68,2.96,2.64,2.72,2.72,66050850
2021-05-07,2.76,2.76,2.72,2.76,2.76,8331300
2021-05-10,2.76,2.76,2.68,2.72,2.72,13702700
2021-05-11,2.72,2.76,2.64,2.68,2.68,14554725
