Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,4.42,4.42,4.3,4.38,4.38,439300
2021-03-25,4.38,4.42,4.36,4.4,4.4,286600
2021-03-26,4.4,4.4,4.36,4.4,4.4,174100
2021-03-29,4.4,4.48,4.36,4.36,4.36,535000
2021-03-30,4.38,4.46,4.36,4.4,4.4,201100
2021-03-31,4.42,4.52,4.42,4.48,4.48,311100
2021-04-01,4.48,4.48,4.48,4.48,4.48,10000
2021-04-02,4.52,4.54,4.48,4.54,4.54,100800
2021-04-05,4.5,4.52,4.4,4.42,4.42,270800
2021-04-07,4.38,4.64,4.38,4.4,4.4,1439700
2021-04-08,4.44,4.48,4.38,4.4,4.4,180200
2021-04-09,4.4,4.52,4.4,4.52,4.52,278000
2021-04-12,4.5600000000000005,4.5600000000000005,4.46,4.52,4.52,193600
2021-04-16,4.5600000000000005,4.84,4.4,4.42,4.42,2705100
2021-04-19,4.4,4.46,4.4,4.42,4.42,76200
2021-04-20,4.42,4.44,4.36,4.38,4.38,178900
2021-04-21,4.38,4.5,4.36,4.5,4.5,107200
2021-04-22,4.46,4.6,4.46,4.46,4.46,160100
2021-04-23,4.44,4.5,4.44,4.46,4.46,63700
2021-04-26,4.48,4.5,4.42,4.48,4.48,44400
2021-04-27,4.48,4.5600000000000005,4.44,4.44,4.44,99800
2021-04-28,4.52,4.54,4.48,4.52,4.52,150600
2021-04-29,4.58,4.64,4.52,4.6,4.6,138600
2021-04-30,4.62,4.7,4.5600000000000005,4.58,4.58,301700
2021-05-05,4.68,4.72,4.6,4.68,4.68,96800
2021-05-06,4.68,4.68,4.58,4.62,4.62,155600
2021-05-07,4.74,4.74,4.64,4.74,4.74,269700
2021-05-10,4.76,4.86,4.74,4.76,4.76,324700
2021-05-11,4.76,4.86,4.64,4.74,4.74,204500
2021-05-12,4.78,4.78,4.52,4.62,4.62,206500
2021-05-13,4.62,4.62,4.26,4.28,4.28,572200
2021-05-14,4.28,4.42,4.28,4.4,4.4,238600
2021-05-17,4.4,4.4,4.26,4.4,4.4,345900
2021-05-18,4.4,4.4,4.12,4.22,4.22,449700
2021-05-19,4.2,4.28,4.14,4.26,4.26,350500
2021-05-20,4.2,4.3,4.14,4.3,4.3,365200
2021-05-21,4.3,4.3,4.24,4.26,4.26,65700
2021-05-24,4.28,4.34,4.28,4.28,4.28,35700
2021-05-25,4.3,4.34,4.28,4.32,4.32,17400
2021-05-27,4.34,4.4,4.34,4.34,4.34,107200
2021-05-28,4.4,4.44,4.4,4.4,4.4,69000
2021-05-31,4.38,4.4,4.38,4.4,4.4,20500
2021-06-01,4.4,4.4,4.36,4.4,4.4,76200
2021-06-02,4.4,4.42,4.4,4.4,4.4,78100
2021-06-04,4.4,4.52,4.38,4.42,4.42,64700
2021-06-07,4.4,4.44,4.4,4.4,4.4,63500
2021-06-08,4.38,4.44,4.38,4.42,4.42,75800
2021-06-09,4.36,4.44,4.34,4.44,4.44,65800
2021-06-10,4.4,4.46,4.4,4.44,4.44,85300
2021-06-11,4.44,4.46,4.42,4.42,4.42,42700
2021-06-14,4.4,4.48,4.38,4.46,4.46,98700
2021-06-15,4.46,4.46,4.38,4.44,4.44,77800
2021-06-16,4.44,4.46,4.44,4.46,4.46,28700
2021-06-17,4.46,4.46,4.42,4.42,4.42,12200
2021-06-18,4.38,4.42,4.34,4.4,4.4,35000
2021-06-21,4.4,4.4,4.3,4.38,4.38,42400
2021-06-22,4.38,4.38,4.36,4.38,4.38,104800
2021-06-23,4.38,4.38,4.36,4.38,4.38,42500
2021-06-24,4.38,4.38,4.24,4.36,4.36,114600
2021-06-25,4.36,4.38,4.22,4.22,4.22,147400
2021-06-28,4.24,4.32,4.16,4.3,4.3,69800
2021-06-29,4.32,4.44,4.3,4.4,4.4,17700
2021-06-30,4.4,4.4,4.3,4.36,4.36,18300
2021-07-01,4.34,4.8,4.34,4.8,4.8,2381500
2021-07-02,4.78,4.9,4.48,4.48,4.48,5116800
2021-07-05,4.54,4.54,4.42,4.48,4.48,74100
2021-07-06,4.52,4.52,4.4,4.42,4.42,115700
2021-07-07,4.42,4.46,4.4,4.44,4.44,48100
2021-07-08,4.46,4.48,4.28,4.34,4.34,134300
2021-07-09,4.3,4.34,4.28,4.34,4.34,61900
2021-07-12,4.32,4.32,4.22,4.32,4.32,55200
2021-07-13,4.32,4.4,4.3,4.4,4.4,19800
2021-07-14,4.38,4.4,4.3,4.38,4.38,6700
2021-07-15,4.38,4.4,4.28,4.4,4.4,36800
2021-07-16,4.38,4.4,4.34,4.34,4.34,118100
2021-07-19,4.28,4.38,4.24,4.38,4.38,21600
2021-07-20,4.32,4.32,4.24,4.24,4.24,177200
2021-07-21,4.24,4.28,4.2,4.24,4.24,140600
2021-07-22,4.28,4.3,4.26,4.3,4.3,29600
2021-07-23,4.3,4.3,4.24,4.26,4.26,39300
2021-07-27,4.24,4.36,4.24,4.36,4.36,49100
2021-07-29,4.28,4.36,4.28,4.3,4.3,3100
2021-07-30,4.28,4.3,4.22,4.22,4.22,175100
2021-08-02,4.26,4.28,4.22,4.24,4.24,10800
2021-08-03,4.2,4.34,4.2,4.34,4.34,28800
2021-08-04,4.36,4.36,4.22,4.28,4.28,89100
2021-08-05,4.26,4.32,4.24,4.28,4.28,50400
2021-08-06,4.28,4.28,4.26,4.26,4.26,148100
2021-08-09,4.26,4.3,4.22,4.3,4.3,86100
2021-08-10,4.28,4.38,4.22,4.3,4.3,34200
2021-08-11,4.3,4.3,4.24,4.24,4.24,50000
2021-08-13,4.26,4.32,4.18,4.24,4.24,129700
2021-08-16,4.18,4.18,4.08,4.14,4.14,359700
2021-08-17,4.1,4.12,4.08,4.1,4.1,113100
2021-08-18,4.1,4.1,4.02,4.02,4.02,341200
2021-08-19,4.02,4.04,4.02,4.04,4.04,56000
2021-08-20,4.02,4.1,4.02,4.02,4.02,0
2021-08-23,4.02,4.12,4.02,4.08,4.08,0
2021-08-24,4.08,4.12,4.08,4.12,4.12,0
2021-08-25,4.12,4.14,4.1,4.1,4.1,0
2021-08-26,4.1,4.12,4.1,4.12,4.12,0
2021-08-27,4.12,4.12,4.06,4.1,4.1,0
2021-08-30,4.12,4.12,4.08,4.1,4.1,0
2021-08-31,4.08,4.14,4.08,4.1,4.1,0
2021-09-01,4.08,4.12,4.06,4.06,4.06,0
2021-09-02,4.08,4.08,4.06,4.08,4.08,0
2021-09-03,4.08,4.12,4.08,4.08,4.08,0
2021-09-06,4.08,4.08,4.04,4.08,4.08,0
2021-09-07,4.1,4.1,4.06,4.06,4.06,0
2021-09-08,4.1,4.1,4.06,4.08,4.08,9000
2021-09-09,4.08,4.1,4.06,4.1,4.1,6800
2021-09-10,4.1,4.26,4.08,4.08,4.08,265500
2021-09-13,4.1,4.14,4.1,4.1,4.1,146000
2021-09-14,4.1,4.1,4.06,4.06,4.06,60200
2021-09-15,4.1,4.12,4.1,4.12,4.12,19100
2021-09-16,4.12,4.12,4.1,4.1,4.1,14900
2021-09-17,4.12,4.12,4.1,4.1,4.1,3500
2021-09-20,4.1,4.1,4.04,4.1,4.1,71200
2021-09-21,4.08,4.1,4.06,4.1,4.1,16500
2021-09-22,4.08,4.1,4.06,4.06,4.06,170500
2021-09-23,4.08,4.1,4.06,4.06,4.06,115500
2021-09-27,4.1,4.14,4.1,4.1,4.1,40300
2021-09-28,4.1,4.12,4.06,4.12,4.12,20600
2021-09-29,4.12,4.18,4.1,4.18,4.18,90100
2021-09-30,4.16,4.22,4.08,4.08,4.08,117300
2021-10-01,4.08,4.12,4.06,4.12,4.12,17700
2021-10-04,4.08,4.14,4.08,4.12,4.12,26700
2021-10-05,4.12,4.12,4.08,4.1,4.1,8700
2021-10-06,4.12,4.12,4.08,4.08,4.08,15300
2021-10-07,4.12,4.14,4.1,4.14,4.14,7900
2021-10-08,4.14,4.16,4.12,4.14,4.14,17200
2021-10-11,4.14,4.16,4.1,4.1,4.1,50800
2021-10-12,4.1,4.12,4.06,4.12,4.12,17400
2021-10-14,4.1,4.12,4.06,4.1,4.1,17500
2021-10-15,4.1,4.14,4.1,4.1,4.1,22100
2021-10-18,4.1,4.12,4.1,4.12,4.12,10800
2021-10-19,4.12,4.14,4.12,4.12,4.12,110000
2021-10-20,4.12,4.12,4.1,4.12,4.12,54200
2021-10-21,4.08,4.14,4.08,4.14,4.14,13600
2021-10-25,4.16,4.16,4.12,4.12,4.12,20900
2021-10-26,4.12,4.14,4.12,4.14,4.14,15900
2021-10-27,4.14,4.5,4.12,4.18,4.18,63300
2021-10-28,4.18,4.2,4.14,4.14,4.14,16300
2021-10-29,4.12,4.14,4.12,4.12,4.12,55100
2021-11-01,4.12,4.12,4.08,4.1,4.1,17100
2021-11-02,4.1,4.1,4.04,4.08,4.08,101300
2021-11-03,4.06,4.08,4.06,4.08,4.08,25200
2021-11-04,4.06,4.06,4.06,4.06,4.06,32200
2021-11-05,4.1,4.34,4.1,4.1,4.1,38700
2021-11-08,4.12,4.14,4.08,4.1,4.1,21100
2021-11-09,4.08,4.1,4.06,4.1,4.1,51100
2021-11-10,4.1,4.1,4.06,4.1,4.1,15600
2021-11-11,4.06,4.1,4.06,4.1,4.1,400
2021-11-12,4.12,4.2,4.04,4.04,4.04,62400
2021-11-15,4.14,4.14,4.06,4.1,4.1,74400
2021-11-16,4.08,4.1,4.08,4.08,4.08,55900
2021-11-17,4.08,4.1,4.06,4.06,4.06,42500
2021-11-18,4.1,4.12,4.08,4.12,4.12,31700
2021-11-19,4.12,4.12,4.08,4.08,4.08,66600
2021-11-22,4.1,4.12,4.02,4.06,4.06,281800
2021-11-23,4.06,4.12,4.06,4.08,4.08,12200
2021-11-24,4.08,4.08,4.06,4.08,4.08,20600
2021-11-25,4.06,4.1,4.06,4.1,4.1,31200
2021-11-26,4.08,4.1,4.08,4.08,4.08,54700
2021-11-29,4.06,4.08,4.0,4.06,4.06,123000
2021-11-30,4.02,4.14,4.02,4.08,4.08,39700
2021-12-01,4.0,4.04,3.98,4.04,4.04,148200
2021-12-02,4.04,4.08,4.04,4.04,4.04,18000
2021-12-03,4.06,4.16,4.04,4.04,4.04,16200
2021-12-07,4.1,4.1,4.02,4.06,4.06,160000
2021-12-08,4.08,4.08,4.02,4.08,4.08,8200
2021-12-09,4.1,4.1,4.02,4.06,4.06,204200
2021-12-13,4.08,4.12,4.04,4.04,4.04,63500
2021-12-14,4.04,4.08,4.04,4.06,4.06,79000
2021-12-15,4.08,4.08,4.06,4.06,4.06,80900
2021-12-16,4.08,4.08,4.06,4.08,4.08,13600
2021-12-17,4.1,4.1,4.08,4.1,4.1,16900
2021-12-20,4.1,4.1,4.08,4.08,4.08,28600
2021-12-21,4.1,4.12,4.08,4.1,4.1,12100
2021-12-22,4.12,4.12,4.04,4.04,4.04,194400
2021-12-23,4.08,4.1,4.06,4.1,4.1,19000
2021-12-24,4.08,4.1,4.06,4.1,4.1,11300
2021-12-27,4.1,4.1,4.08,4.1,4.1,6200
2021-12-28,4.1,4.14,4.1,4.1,4.1,85600
2021-12-29,4.1,4.12,4.08,4.08,4.08,13700
2021-12-30,4.1,4.12,4.08,4.12,4.12,24700
2022-01-04,4.12,4.14,4.08,4.14,4.14,60800
2022-01-05,4.14,4.14,4.1,4.12,4.12,29000
2022-01-06,4.12,4.14,4.1,4.1,4.1,23800
2022-01-07,4.12,4.12,4.1,4.12,4.12,65000
2022-01-10,4.12,4.14,4.08,4.08,4.08,56500
2022-01-11,4.1,4.26,4.1,4.14,4.14,51200
