Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,24.0,24.0,22.5,22.5,22.5,0
2020-01-03,22.6,22.7,22.6,22.7,22.7,0
2020-01-06,22.7,22.7,22.4,22.4,22.4,0
2020-01-07,22.0,22.4,22.0,22.4,22.4,0
2020-01-08,22.5,22.5,22.1,22.5,22.5,0
2020-01-09,22.5,22.6,22.5,22.6,22.6,0
2020-01-13,23.4,23.4,23.0,23.0,23.0,0
2020-01-14,22.3,22.8,22.3,22.5,22.5,0
2020-01-15,22.8,22.8,22.8,22.8,22.8,0
2020-01-16,22.5,22.8,22.5,22.8,22.8,0
2020-01-20,22.8,22.8,22.8,22.8,22.8,0
2020-01-27,22.7,22.8,21.9,22.5,22.5,0
2020-01-28,22.5,22.5,22.1,22.2,22.2,0
2020-01-29,22.2,22.3,22.2,22.2,22.2,0
2020-01-30,22.4,22.4,22.1,22.2,22.2,0
2020-01-31,22.4,22.4,22.1,22.2,22.2,0
2020-02-03,22.3,22.3,22.0,22.3,22.3,0
2020-02-04,22.3,22.3,22.3,22.3,22.3,0
2020-02-05,22.6,22.6,22.6,22.6,22.6,0
2020-02-06,22.7,22.7,22.7,22.7,22.7,0
2020-02-07,22.3,23.3,22.3,22.8,22.8,0
2020-02-11,22.5,23.2,22.3,23.1,23.1,0
2020-02-13,22.3,22.5,22.3,22.5,22.5,0
2020-02-14,22.6,22.6,22.4,22.4,22.4,0
2020-02-18,22.6,22.7,22.6,22.7,22.7,0
2020-02-21,23.0,23.0,22.5,22.5,22.5,0
2020-02-24,22.7,22.7,22.3,22.3,22.3,0
2020-02-25,22.3,22.4,22.3,22.4,22.4,0
2020-02-26,22.8,22.8,22.2,22.2,22.2,0
2020-02-27,22.2,22.3,22.2,22.3,22.3,0
2020-02-28,22.0,22.2,22.0,22.0,22.0,0
2020-03-02,22.2,22.2,22.0,22.2,22.2,0
2020-03-03,22.0,22.3,21.9,22.1,22.1,0
2020-03-04,23.9,23.9,22.1,22.1,22.1,0
2020-03-05,22.9,22.9,22.9,22.9,22.9,0
2020-03-09,22.1,22.2,22.0,22.1,22.1,0
2020-03-10,22.9,22.9,22.9,22.9,22.9,0
2020-03-11,22.9,22.9,22.9,22.9,22.9,0
2020-03-12,22.8,22.8,22.0,22.0,22.0,0
2020-03-13,21.6,21.7,20.5,21.2,21.2,0
2020-03-16,20.7,21.3,20.6,20.6,20.6,0
2020-03-17,20.5,21.0,20.5,21.0,21.0,0
2020-03-18,21.5,21.5,21.0,21.0,21.0,0
2020-03-19,20.7,22.2,20.7,21.9,21.9,0
2020-03-20,21.9,21.9,21.1,21.5,21.5,0
2020-03-23,21.4,21.4,21.2,21.2,21.2,0
2020-03-24,21.5,21.5,20.8,21.3,21.3,0
2020-03-25,21.7,21.8,21.7,21.8,21.8,0
2020-03-26,22.0,22.0,22.0,22.0,22.0,0
2020-03-27,22.0,22.4,21.6,21.6,21.6,0
2020-03-30,21.7,22.0,21.7,22.0,22.0,0
2020-03-31,22.3,23.5,22.3,22.8,22.8,0
2020-04-01,23.0,23.0,22.9,23.0,23.0,0
2020-04-02,23.2,23.2,22.8,23.0,23.0,0
2020-04-03,23.0,23.2,22.8,23.2,23.2,0
2020-04-07,23.8,23.8,22.9,23.2,23.2,0
2020-04-08,23.0,23.0,22.8,22.9,22.9,0
2020-04-09,23.0,23.5,23.0,23.3,23.3,0
2020-04-10,23.4,23.5,23.0,23.4,23.4,0
2020-04-13,23.2,23.4,23.2,23.2,23.2,0
2020-04-14,23.4,23.4,23.0,23.0,23.0,0
2020-04-15,23.0,23.2,22.6,23.0,23.0,0
2020-04-16,22.6,23.1,22.6,22.7,22.7,0
2020-04-17,23.1,23.1,22.8,23.1,23.1,0
2020-04-20,23.0,23.3,22.9,23.1,23.1,0
2020-04-21,23.2,23.5,23.2,23.5,23.5,0
2020-04-22,23.3,23.7,23.3,23.6,23.6,0
2020-04-23,23.6,23.6,23.5,23.6,23.6,0
2020-04-24,23.6,23.7,23.4,23.4,23.4,0
2020-04-27,23.5,23.6,23.4,23.5,23.5,0
2020-04-28,23.5,23.6,23.4,23.6,23.6,0
2020-04-29,23.5,24.2,23.5,24.0,24.0,0
2020-04-30,22.7,23.1,22.0,23.1,23.1,0
2020-05-05,23.1,23.2,22.9,23.0,23.0,0
2020-05-07,23.0,23.5,22.8,22.8,22.8,0
2020-05-08,23.1,23.2,23.0,23.1,23.1,0
2020-05-11,23.1,23.3,23.1,23.2,23.2,0
2020-05-12,23.4,23.4,23.1,23.1,23.1,0
2020-05-13,23.2,23.5,23.2,23.4,23.4,0
2020-05-14,23.4,23.6,23.4,23.6,23.6,0
2020-05-15,23.6,23.7,23.5,23.6,23.6,0
2020-05-18,23.6,23.7,23.5,23.6,23.6,0
2020-05-19,23.6,23.7,23.6,23.7,23.7,0
2020-05-20,23.7,23.9,23.6,23.7,23.7,0
2020-05-21,23.8,24.1,23.7,24.0,24.0,0
2020-05-22,24.1,24.1,23.7,23.9,23.9,0
2020-05-25,23.9,24.0,23.8,23.8,23.8,0
2020-05-26,23.7,24.0,23.7,23.9,23.9,0
2020-05-27,24.0,24.1,23.9,24.1,24.1,0
2020-05-28,24.1,24.1,24.0,24.0,24.0,0
2020-05-29,24.0,24.1,23.9,23.9,23.9,0
2020-06-01,23.9,24.2,23.9,24.0,24.0,0
2020-06-02,24.0,24.2,24.0,24.1,24.1,0
2020-06-04,24.2,24.2,24.0,24.1,24.1,0
2020-06-05,24.1,24.1,24.0,24.1,24.1,0
2020-06-08,24.0,24.1,24.0,24.1,24.1,0
2020-06-09,24.1,24.1,23.9,23.9,23.9,0
2020-06-10,23.9,24.1,23.8,23.9,23.9,0
2020-06-11,23.9,24.2,23.9,24.1,24.1,0
2020-06-12,23.9,24.0,23.8,23.9,23.9,0
2020-06-15,23.9,24.0,23.9,24.0,24.0,0
2020-06-16,24.0,24.1,23.9,24.1,24.1,0
2020-06-17,24.2,24.3,24.2,24.2,24.2,0
2020-06-18,24.3,24.8,24.3,24.7,24.7,0
2020-06-19,24.8,24.9,24.8,24.9,24.9,0
2020-06-22,24.9,25.0,24.9,25.0,25.0,0
2020-06-23,24.9,25.0,24.9,24.9,24.9,0
2020-06-24,24.9,24.9,24.4,24.7,24.7,0
2020-06-25,24.7,24.8,24.0,24.7,24.7,0
2020-06-26,24.5,24.9,24.5,24.8,24.8,0
2020-06-29,24.8,24.8,24.5,24.8,24.8,0
2020-06-30,24.9,25.25,24.4,25.0,25.0,0
