Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,10.7,10.7,10.7,10.7,10.7,0
2020-01-06,10.7,10.8,10.7,10.8,10.8,0
2020-01-07,10.8,10.8,10.8,10.8,10.8,0
2020-01-09,10.8,10.8,10.8,10.8,10.8,0
2020-01-16,10.7,10.7,10.7,10.7,10.7,0
2020-01-20,10.7,10.7,10.7,10.7,10.7,0
2020-02-03,10.8,10.8,10.8,10.8,10.8,0
2020-02-05,10.8,10.8,10.8,10.8,10.8,0
2020-02-06,10.8,10.8,10.8,10.8,10.8,0
2020-02-11,11.4,11.4,10.8,10.8,10.8,0
2020-02-20,10.7,10.7,10.7,10.7,10.7,0
2020-02-21,10.5,10.8,10.5,10.8,10.8,0
2020-02-24,10.6,10.6,10.6,10.6,10.6,0
2020-02-27,9.8,10.7,9.8,10.6,10.6,0
2020-02-28,10.5,10.5,10.0,10.3,10.3,0
2020-03-03,10.5,10.5,10.5,10.5,10.5,0
2020-03-10,10.3,10.4,10.3,10.4,10.4,0
2020-03-11,10.4,10.4,10.4,10.4,10.4,0
2020-03-12,10.3,10.4,9.6,9.7,9.7,0
2020-03-13,9.7,9.7,9.7,9.7,9.7,0
2020-03-16,9.7,9.75,9.7,9.75,9.75,0
2020-03-17,9.7,9.7,9.6,9.6,9.6,0
2020-03-18,9.75,9.8,9.75,9.8,9.8,0
2020-03-23,9.75,9.75,9.6,9.6,9.6,0
2020-03-24,9.75,9.75,9.75,9.75,9.75,0
2020-03-25,9.8,9.8,9.75,9.75,9.75,0
2020-03-27,9.8,9.8,9.8,9.8,9.8,0
2020-03-30,9.6,9.6,9.6,9.6,9.6,0
2020-04-03,9.45,9.45,9.45,9.45,9.45,0
2020-04-07,9.45,9.45,9.4,9.4,9.4,0
2020-04-08,9.45,9.45,9.45,9.45,9.45,0
2020-04-10,9.8,9.8,9.8,9.8,9.8,0
2020-04-13,9.45,9.8,9.45,9.8,9.8,0
2020-04-15,10.0,10.0,10.0,10.0,10.0,0
2020-04-21,9.4,9.4,9.4,9.4,9.4,0
2020-04-22,9.6,9.6,9.6,9.6,9.6,0
2020-04-28,9.7,9.7,9.7,9.7,9.7,0
2020-05-05,10.5,10.5,10.4,10.4,10.4,0
2020-05-07,10.3,10.3,10.3,10.3,10.3,0
2020-05-08,10.2,10.2,10.2,10.2,10.2,0
2020-05-11,10.2,10.2,10.1,10.1,10.1,0
2020-05-14,10.0,10.0,9.95,9.95,9.95,0
2020-05-15,10.6,10.6,10.6,10.6,10.6,0
2020-05-20,10.0,10.0,10.0,10.0,10.0,0
2020-05-21,10.4,10.4,10.4,10.4,10.4,0
2020-05-22,10.4,10.4,10.4,10.4,10.4,0
2020-05-25,10.3,10.3,10.3,10.3,10.3,0
2020-05-26,10.4,10.4,10.4,10.4,10.4,0
2020-05-28,10.6,10.6,10.6,10.6,10.6,0
2020-06-01,10.0,10.0,9.8,9.85,9.85,0
2020-06-02,9.85,9.85,9.8,9.8,9.8,0
2020-06-04,9.9,9.95,9.9,9.95,9.95,0
2020-06-05,9.9,9.95,9.8,9.8,9.8,0
2020-06-08,9.9,9.9,9.85,9.85,9.85,0
2020-06-09,9.85,9.85,9.8,9.8,9.8,0
2020-06-10,9.8,9.9,9.8,9.9,9.9,0
2020-06-12,9.8,9.8,9.8,9.8,9.8,0
2020-06-19,9.8,9.8,9.65,9.75,9.75,0
2020-06-24,9.45,9.6,9.45,9.6,9.6,0
2020-06-25,9.6,9.6,9.45,9.55,9.55,0
2020-06-26,9.55,9.55,9.55,9.55,9.55,0
2020-06-29,9.55,9.55,9.3,9.3,9.3,0
2020-06-30,9.2,9.7,8.15,9.7,9.7,0
2020-07-01,9.55,9.6,9.55,9.6,9.6,0
2020-07-02,9.55,9.55,9.55,9.55,9.55,0
2020-07-07,9.55,9.55,9.4,9.4,9.4,0
2020-07-09,9.4,9.4,9.4,9.4,9.4,0
2020-07-10,9.55,9.55,9.55,9.55,9.55,0
2020-07-14,9.0,9.55,9.0,9.55,9.55,0
2020-07-15,9.55,9.55,9.55,9.55,9.55,0
2020-07-21,9.5,9.5,9.5,9.5,9.5,0
2020-07-29,9.45,9.5,9.45,9.5,9.5,0
2020-07-30,9.45,9.45,9.45,9.45,9.45,0
2020-07-31,9.4,9.4,9.4,9.4,9.4,0
2020-08-03,9.4,9.4,9.4,9.4,9.4,0
2020-08-04,9.4,9.4,9.4,9.4,9.4,0
2020-08-05,9.4,9.4,9.4,9.4,9.4,0
2020-08-06,9.4,9.4,9.4,9.4,9.4,0
2020-08-10,9.35,9.35,9.35,9.35,9.35,0
2020-08-11,9.3,9.3,9.3,9.3,9.3,0
2020-08-14,9.0,9.0,8.9,8.95,8.95,0
2020-08-17,9.0,9.0,9.0,9.0,9.0,0
2020-08-21,8.95,8.95,8.95,8.95,8.95,0
2020-08-24,9.0,9.0,8.95,8.95,8.95,0
2020-08-25,8.95,8.95,8.95,8.95,8.95,0
2020-08-26,8.95,8.95,8.95,8.95,8.95,0
2020-08-27,8.95,8.95,8.95,8.95,8.95,0
2020-08-28,8.95,8.95,8.95,8.95,8.95,0
2020-08-31,8.95,8.95,8.95,8.95,8.95,0
2020-09-01,8.3,8.3,8.3,8.3,8.3,0
2020-09-02,8.5,8.5,8.4,8.4,8.4,0
2020-09-10,8.25,8.75,8.25,8.75,8.75,0
2020-09-11,8.2,8.7,8.2,8.7,8.7,0
2020-09-15,8.55,8.55,8.55,8.55,8.55,0
2020-09-16,8.5,8.5,8.5,8.5,8.5,0
2020-09-17,8.55,8.55,8.55,8.55,8.55,0
2020-09-24,8.4,8.4,8.3,8.3,8.3,0
2020-09-29,8.5,8.5,8.5,8.5,8.5,0
2020-09-30,8.5,8.5,8.1,8.1,8.1,0
2020-10-02,8.1,8.5,8.0,8.0,8.0,0
2020-10-06,8.5,8.5,8.5,8.5,8.5,0
2020-10-07,8.25,8.25,8.25,8.25,8.25,0
2020-10-08,8.3,8.3,8.3,8.3,8.3,0
2020-10-09,8.3,8.55,8.25,8.55,8.55,0
2020-10-12,8.55,8.55,8.55,8.55,8.55,0
2020-10-14,8.5,8.55,8.5,8.55,8.55,0
