Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,57.0,57.0,54.75,55.25,55.25,0
2020-01-03,55.5,55.5,55.25,55.5,55.5,0
2020-01-06,55.25,72.0,54.75,54.75,54.75,0
2020-01-07,54.25,56.5,54.25,54.25,54.25,0
2020-01-08,53.75,54.25,53.5,54.25,54.25,0
2020-01-09,54.0,55.5,53.75,55.25,55.25,0
2020-01-10,54.0,54.75,53.75,54.75,54.75,0
2020-01-13,54.25,55.0,53.5,55.0,55.0,0
2020-01-14,53.75,55.25,53.75,55.0,55.0,0
2020-01-15,54.0,54.5,53.0,53.25,53.25,0
2020-01-16,53.5,53.75,53.25,53.75,53.75,0
2020-01-17,54.0,54.0,53.5,53.75,53.75,0
2020-01-20,53.75,53.75,53.5,53.75,53.75,0
2020-01-21,53.25,54.0,53.25,53.25,53.25,0
2020-01-22,53.5,53.5,53.25,53.25,53.25,0
2020-01-23,53.75,53.75,53.75,53.75,53.75,0
2020-01-24,53.75,54.25,53.75,54.25,54.25,0
2020-01-27,53.25,53.25,53.0,53.0,53.0,0
2020-01-28,52.0,53.0,52.0,52.25,52.25,0
2020-01-29,53.5,53.5,52.25,52.25,52.25,0
2020-01-30,52.5,52.75,52.25,52.75,52.75,0
2020-01-31,52.25,53.0,52.25,52.5,52.5,0
2020-02-03,53.0,53.0,53.0,53.0,53.0,0
2020-02-04,53.5,53.5,52.75,53.5,53.5,0
2020-02-05,53.0,53.0,52.75,52.75,52.75,0
2020-02-06,53.5,53.5,53.0,53.0,53.0,0
2020-02-07,53.0,53.5,53.0,53.5,53.5,0
2020-02-12,53.0,53.25,53.0,53.0,53.0,0
2020-02-13,53.5,53.5,53.5,53.5,53.5,0
2020-02-14,53.0,53.75,52.75,53.75,53.75,0
2020-02-17,53.75,53.75,53.0,53.25,53.25,0
2020-02-18,52.75,53.25,52.5,53.25,53.25,0
2020-02-19,53.0,53.25,53.0,53.0,53.0,0
2020-02-20,52.75,53.25,52.75,53.25,53.25,0
2020-02-21,53.0,53.0,52.75,53.0,53.0,0
2020-02-24,52.75,52.75,52.5,52.75,52.75,0
2020-02-25,50.0,51.5,50.0,51.0,51.0,0
2020-02-26,51.5,51.5,50.0,50.0,50.0,0
2020-02-27,50.0,50.5,49.5,50.25,50.25,0
2020-02-28,50.25,50.25,49.5,50.0,50.0,0
2020-03-02,49.75,50.0,49.0,50.0,50.0,0
2020-03-03,50.25,51.0,50.25,50.5,50.5,0
2020-03-04,51.0,52.0,50.0,52.0,52.0,0
2020-03-05,52.5,52.5,50.25,51.0,51.0,0
2020-03-06,51.0,51.75,51.0,51.5,51.5,0
2020-03-09,48.25,51.0,48.25,48.5,48.5,0
2020-03-10,48.0,50.25,48.0,50.25,50.25,0
2020-03-11,50.25,50.5,49.75,50.25,50.25,0
2020-03-12,49.0,49.5,47.0,48.75,48.75,0
2020-03-13,42.5,49.0,42.5,47.75,47.75,0
2020-03-16,46.75,48.75,46.75,47.0,47.0,0
2020-03-17,49.0,49.0,43.0,46.25,46.25,0
2020-03-18,48.5,48.5,46.0,46.0,46.0,0
2020-03-19,46.75,46.75,45.25,45.75,45.75,0
2020-03-20,44.75,46.5,44.75,46.0,46.0,0
2020-03-23,46.0,46.5,45.0,45.0,45.0,0
2020-03-24,46.0,46.0,44.25,45.0,45.0,0
2020-03-25,44.25,45.0,42.25,42.25,42.25,0
2020-03-26,42.25,44.0,42.25,44.0,44.0,0
2020-03-27,44.25,44.25,43.75,44.25,44.25,0
2020-03-30,46.5,46.5,44.0,44.0,44.0,0
2020-03-31,44.0,45.75,44.0,45.5,45.5,0
2020-04-01,44.5,45.75,44.5,45.75,45.75,0
2020-04-02,45.75,46.25,45.75,46.0,46.0,0
2020-04-03,47.0,47.0,46.75,47.0,47.0,0
2020-04-07,47.75,47.75,46.0,46.5,46.5,0
2020-04-08,47.0,48.0,47.0,47.5,47.5,0
2020-04-09,49.0,49.0,47.0,47.75,47.75,0
2020-04-10,48.0,48.0,47.5,48.0,48.0,0
2020-04-13,48.75,48.75,46.0,48.25,48.25,0
2020-04-14,49.0,49.0,47.0,48.0,48.0,0
2020-04-15,48.5,48.5,47.25,47.75,47.75,0
2020-04-16,47.5,48.0,47.5,48.0,48.0,0
2020-04-17,48.0,49.75,48.0,49.75,49.75,0
2020-04-20,49.75,50.25,48.75,50.25,50.25,0
2020-04-21,50.0,51.25,50.0,51.25,51.25,0
2020-04-22,50.25,50.25,50.25,50.25,50.25,0
2020-04-23,50.5,50.5,50.0,50.0,50.0,0
2020-04-24,49.5,50.0,49.5,50.0,50.0,0
2020-04-27,51.0,51.0,50.5,50.5,50.5,0
2020-04-28,50.5,50.75,50.25,50.75,50.75,0
2020-04-29,51.0,51.0,50.5,50.5,50.5,0
2020-04-30,50.75,51.0,50.25,51.0,51.0,0
2020-05-05,58.5,58.5,49.25,51.25,51.25,0
2020-05-07,51.25,51.25,50.25,51.0,51.0,0
2020-05-08,50.75,51.75,50.75,51.5,51.5,0
2020-05-11,52.0,52.0,51.0,51.25,51.25,0
2020-05-12,51.5,51.5,51.25,51.5,51.5,0
2020-05-13,51.75,52.75,51.75,52.5,52.5,0
2020-05-14,52.5,53.25,52.5,53.25,53.25,0
2020-05-15,53.5,56.0,53.5,55.25,55.25,0
2020-05-18,58.0,58.0,55.5,55.5,55.5,0
2020-05-19,55.5,56.75,55.5,55.75,55.75,0
2020-05-20,56.0,56.25,55.5,55.5,55.5,0
2020-05-21,55.5,55.5,55.25,55.5,55.5,0
2020-05-22,55.5,56.0,55.25,55.5,55.5,0
2020-05-25,56.0,56.5,56.0,56.25,56.25,0
2020-05-26,56.5,57.25,55.75,57.25,57.25,0
2020-05-27,57.5,58.25,56.5,57.25,57.25,0
2020-05-28,57.25,59.0,57.0,57.5,57.5,0
2020-05-29,59.0,59.0,57.25,58.0,58.0,0
2020-06-01,56.5,57.25,56.5,56.5,56.5,0
2020-06-02,56.25,56.5,56.0,56.25,56.25,0
2020-06-04,56.0,56.25,55.75,56.25,56.25,0
2020-06-05,56.25,56.25,50.25,55.0,55.0,0
2020-06-08,55.0,55.5,54.0,55.5,55.5,0
2020-06-09,55.0,55.25,54.25,55.25,55.25,0
2020-06-10,55.5,55.75,55.0,55.0,55.0,0
2020-06-11,55.0,55.5,54.75,55.5,55.5,0
2020-06-12,55.0,55.75,54.75,55.5,55.5,0
2020-06-15,56.0,56.0,55.0,56.0,56.0,0
2020-06-16,55.25,56.25,55.25,56.0,56.0,0
2020-06-17,55.5,56.5,55.5,56.5,56.5,0
2020-06-18,56.0,57.0,56.0,57.0,57.0,0
2020-06-19,57.25,57.25,56.25,57.0,57.0,0
2020-06-22,56.75,57.25,56.5,57.25,57.25,0
