Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,68.0,68.0,68.0,68.0,68.0,0
2020-01-06,68.0,68.0,68.0,68.0,68.0,0
2020-01-08,65.5,65.5,63.0,63.0,63.0,0
2020-01-09,64.0,64.75,64.0,64.75,64.75,0
2020-01-15,64.5,64.5,64.5,64.5,64.5,0
2020-01-17,65.0,65.0,65.0,65.0,65.0,0
2020-01-22,63.0,63.0,63.0,63.0,63.0,0
2020-01-27,64.75,64.75,60.75,60.75,60.75,0
2020-01-28,63.5,68.25,63.5,65.25,65.25,0
2020-01-29,68.0,68.0,68.0,68.0,68.0,0
2020-01-30,68.0,69.5,68.0,69.5,69.5,0
2020-01-31,65.75,69.0,65.75,69.0,69.0,0
2020-02-03,66.25,66.5,66.25,66.25,66.25,0
2020-02-04,66.25,67.75,66.25,67.75,67.75,0
2020-02-05,66.5,67.5,65.0,67.5,67.5,0
2020-02-06,66.0,66.0,66.0,66.0,66.0,0
2020-02-07,65.0,66.0,65.0,66.0,66.0,0
2020-02-11,66.0,66.0,66.0,66.0,66.0,0
2020-02-12,65.0,65.0,65.0,65.0,65.0,0
2020-02-14,63.0,64.0,63.0,64.0,64.0,0
2020-02-17,65.75,66.0,65.75,66.0,66.0,0
2020-02-20,65.0,65.0,65.0,65.0,65.0,0
2020-02-21,65.75,65.75,62.75,62.75,62.75,0
2020-02-24,65.0,65.0,62.0,64.0,64.0,0
2020-02-25,60.5,64.5,60.5,64.5,64.5,0
2020-02-26,62.25,64.75,61.5,64.75,64.75,0
2020-03-02,65.0,65.0,61.25,65.0,65.0,0
2020-03-03,65.0,65.0,65.0,65.0,65.0,0
2020-03-04,65.25,65.25,65.25,65.25,65.25,0
2020-03-05,63.5,65.25,63.25,65.25,65.25,0
2020-03-09,62.75,65.0,62.0,65.0,65.0,0
2020-03-10,64.25,64.25,64.25,64.25,64.25,0
2020-03-11,63.0,66.0,62.75,66.0,66.0,0
2020-03-12,63.0,65.0,61.75,65.0,65.0,0
2020-03-13,60.25,65.25,60.25,65.0,65.0,0
2020-03-16,62.75,65.0,60.0,65.0,65.0,0
2020-03-17,65.0,65.0,62.0,64.75,64.75,0
2020-03-18,62.75,64.25,61.0,64.0,64.0,0
2020-03-19,62.0,63.25,62.0,63.25,63.25,0
2020-03-20,62.5,63.0,62.0,63.0,63.0,0
2020-03-23,63.25,63.25,59.5,60.0,60.0,0
2020-03-24,62.0,62.25,62.0,62.0,62.0,0
2020-03-25,59.25,62.0,59.25,61.75,61.75,0
2020-03-26,65.0,65.0,65.0,65.0,65.0,0
2020-03-27,65.5,65.5,62.0,65.0,65.0,0
2020-03-30,63.0,65.0,63.0,65.0,65.0,0
2020-03-31,65.5,65.5,65.5,65.5,65.5,0
2020-04-02,63.5,63.5,63.5,63.5,63.5,0
2020-04-03,65.0,67.0,60.0,63.5,63.5,0
2020-04-07,64.25,64.25,60.0,60.25,60.25,0
2020-04-08,60.75,62.0,60.75,61.0,61.0,0
2020-04-09,61.25,63.0,60.5,63.0,63.0,0
2020-04-10,63.0,64.5,63.0,64.5,64.5,0
2020-04-13,63.5,63.5,63.5,63.5,63.5,0
2020-04-14,65.0,65.0,59.5,64.25,64.25,0
2020-04-15,63.0,64.5,60.0,60.5,60.5,0
2020-04-16,60.25,60.25,60.0,60.25,60.25,0
2020-04-17,61.25,61.25,60.0,60.75,60.75,0
2020-04-20,59.5,60.5,59.5,59.75,59.75,0
2020-04-21,60.0,60.0,59.75,60.0,60.0,0
2020-04-22,60.0,60.0,59.75,59.75,59.75,0
2020-04-23,60.25,60.25,59.25,59.25,59.25,0
2020-04-24,59.0,60.0,58.75,59.75,59.75,0
2020-04-27,59.25,59.75,59.25,59.75,59.75,0
