Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,32.25,32.25,32.25,32.25,32.25,100
2020-01-03,32.0,32.0,32.0,32.0,32.0,1000
2020-01-08,31.75,31.75,31.5,31.5,31.5,200
2020-01-09,31.75,31.75,31.5,31.5,31.5,2700
2020-01-13,32.0,32.0,32.0,32.0,32.0,1200
2020-01-14,31.5,31.5,31.5,31.5,31.5,1200
2020-01-16,31.5,31.5,31.5,31.5,31.5,100
2020-01-22,31.5,31.5,31.25,31.5,31.5,1400
2020-01-23,31.25,31.75,31.25,31.75,31.75,2500
2020-01-24,31.5,31.5,31.25,31.25,31.25,1700
2020-01-27,31.5,31.5,31.25,31.25,31.25,5800
2020-01-28,31.25,31.25,31.0,31.0,31.0,4000
2020-01-29,31.0,31.0,31.0,31.0,31.0,1200
2020-01-30,31.25,31.25,30.75,31.0,31.0,22000
2020-01-31,31.25,31.25,31.25,31.25,31.25,100
2020-02-03,31.5,31.5,31.5,31.5,31.5,100
2020-02-04,31.5,31.5,31.5,31.5,31.5,400
2020-02-13,33.5,35.0,32.5,34.0,34.0,14800
2020-02-14,34.0,34.0,34.0,34.0,34.0,300
2020-02-17,35.0,35.0,35.0,35.0,35.0,1300
2020-02-18,35.0,35.0,35.0,35.0,35.0,700
2020-02-21,33.0,33.0,33.0,33.0,33.0,200
2020-02-24,33.0,33.0,33.0,33.0,33.0,6000
2020-02-25,31.0,31.0,30.0,30.0,30.0,5400
2020-02-26,29.0,29.0,24.0,25.0,25.0,10500
2020-02-27,24.6,29.75,24.5,29.75,29.75,1600
2020-03-02,32.0,32.0,30.0,30.0,30.0,200
2020-03-04,28.0,37.0,28.0,37.0,37.0,900
2020-03-05,30.0,36.5,30.0,30.0,30.0,8700
2020-03-06,30.0,30.5,29.5,29.5,29.5,1200
2020-03-09,29.25,29.25,28.0,28.0,28.0,400
2020-03-12,27.5,27.5,27.5,27.5,27.5,100
2020-03-13,27.0,34.0,27.0,34.0,34.0,4200
2020-03-16,28.75,28.75,27.0,27.0,27.0,3300
2020-03-17,25.0,28.0,25.0,25.5,25.5,2300
2020-03-18,28.0,28.0,28.0,28.0,28.0,300
2020-03-19,26.25,28.0,25.0,28.0,28.0,2500
2020-03-20,29.0,29.0,29.0,29.0,29.0,700
2020-03-23,28.0,28.0,28.0,28.0,28.0,700
2020-03-25,27.0,27.0,27.0,27.0,27.0,100
2020-03-27,29.0,29.0,29.0,29.0,29.0,200
2020-03-30,29.0,29.0,29.0,29.0,29.0,1000
2020-04-01,28.0,28.0,28.0,28.0,28.0,500
2020-04-03,27.5,27.5,27.5,27.5,27.5,1000
2020-04-07,28.0,29.0,28.0,28.75,28.75,4500
2020-04-08,28.0,28.0,28.0,28.0,28.0,6400
2020-04-09,28.75,29.0,28.75,29.0,29.0,6200
2020-04-10,29.0,29.0,28.75,29.0,29.0,2700
2020-04-14,29.0,29.0,29.0,29.0,29.0,300
2020-04-15,29.0,29.0,29.0,29.0,29.0,100
2020-04-16,29.0,29.0,28.75,28.75,28.75,200
2020-04-17,29.0,29.0,29.0,29.0,29.0,5700
2020-04-20,29.0,29.0,29.0,29.0,29.0,3200
2020-04-21,28.75,28.75,28.75,28.75,28.75,3600
2020-04-22,28.5,28.75,28.5,28.75,28.75,600
2020-04-23,29.25,29.25,29.25,29.25,29.25,1000
2020-04-24,29.75,29.75,29.0,29.0,29.0,1200
2020-04-28,29.0,29.25,29.0,29.25,29.25,600
2020-04-29,29.25,29.25,29.25,29.25,29.25,600
2020-04-30,29.25,29.25,29.25,29.25,29.25,1900
2020-05-05,29.0,29.0,29.0,29.0,29.0,700
2020-05-07,29.25,29.25,27.5,27.5,27.5,2500
2020-05-08,28.75,28.75,28.75,28.75,28.75,100
2020-05-11,28.25,28.5,27.75,28.0,28.0,9000
2020-05-12,28.0,28.75,28.0,28.75,28.75,2800
2020-05-14,28.75,28.75,28.25,28.25,28.25,5700
2020-05-15,28.75,28.75,28.0,28.0,28.0,4100
2020-05-18,28.0,29.75,28.0,29.5,29.5,8700
2020-05-19,29.5,29.75,29.0,29.0,29.0,8600
2020-05-20,29.0,29.5,29.0,29.5,29.5,7100
2020-05-21,29.5,29.5,29.0,29.25,29.25,1700
2020-05-22,29.0,29.0,29.0,29.0,29.0,2200
2020-05-25,29.25,29.5,29.25,29.25,29.25,4100
2020-05-26,29.25,30.0,29.0,30.0,30.0,1200
2020-05-27,30.0,30.5,30.0,30.5,30.5,2000
2020-05-28,31.0,31.25,31.0,31.25,31.25,1100
2020-05-29,30.0,31.0,30.0,30.0,30.0,900
2020-06-01,30.0,30.0,29.0,29.0,29.0,4000
2020-06-02,30.25,31.0,29.5,30.0,30.0,11400
2020-06-04,31.0,33.75,31.0,33.5,33.5,52
2020-06-05,33.5,38.0,33.0,38.0,38.0,181
2020-06-08,39.0,39.75,39.0,39.5,39.5,18
2020-06-09,39.5,39.5,38.0,38.0,38.0,37
2020-06-10,36.0,36.0,36.0,36.0,36.0,1
2020-06-11,38.0,38.0,38.0,38.0,38.0,3
2020-06-15,34.5,36.5,34.25,35.25,35.25,18
2020-06-16,35.25,35.25,35.25,35.25,35.25,2
2020-06-17,35.0,35.0,35.0,35.0,35.0,22
2020-06-18,34.75,35.0,34.75,35.0,35.0,31
2020-06-19,35.0,35.0,35.0,35.0,35.0,43
2020-06-22,34.75,34.75,34.75,34.75,34.75,2
2020-06-23,34.0,35.0,34.0,35.0,35.0,5
2020-06-24,35.0,35.0,35.0,35.0,35.0,2
2020-06-25,35.0,35.0,33.0,33.25,33.25,14
2020-06-26,33.5,33.5,33.25,33.25,33.25,17
2020-06-29,32.75,32.75,32.75,32.75,32.75,1
2020-06-30,33.0,33.25,33.0,33.25,33.25,3
2020-07-02,34.0,34.75,34.0,34.75,34.75,15
2020-07-03,34.5,34.5,34.25,34.25,34.25,11
2020-07-07,33.75,33.75,33.75,33.75,33.75,1
2020-07-14,33.25,36.25,33.0,33.0,33.0,4
2020-07-15,33.0,33.0,33.0,33.0,33.0,20
2020-07-21,33.0,33.0,33.0,33.0,33.0,1
2020-07-23,32.75,32.75,32.75,32.75,32.75,44
2020-07-29,32.75,32.75,32.75,32.75,32.75,40
2020-07-30,32.75,32.75,32.75,32.75,32.75,6
2020-08-11,33.5,33.5,33.5,33.5,33.5,1
2020-08-13,34.5,35.0,34.5,35.0,35.0,23
2020-08-19,34.75,34.75,33.5,33.5,33.5,2
2020-08-25,34.75,34.75,34.5,34.5,34.5,7
2020-08-26,35.0,35.0,35.0,35.0,35.0,26
2020-08-28,32.5,33.0,32.0,32.75,32.75,193
2020-08-31,32.75,32.75,32.75,32.75,32.75,4
2020-09-01,33.0,33.75,33.0,33.75,33.75,6
2020-09-03,33.75,33.75,33.75,33.75,33.75,14
2020-09-08,33.5,33.5,33.5,33.5,33.5,759
2020-09-09,31.75,33.25,31.75,33.25,33.25,3
2020-09-15,32.75,32.75,32.5,32.5,32.5,15
2020-09-16,32.75,32.75,32.5,32.5,32.5,2
2020-09-18,33.0,33.0,32.5,32.5,32.5,72
2020-09-21,32.5,32.5,32.5,32.5,32.5,20
2020-09-22,32.5,32.5,32.0,32.0,32.0,29
2020-09-23,32.25,32.25,32.25,32.25,32.25,1
2020-09-24,32.25,32.25,32.25,32.25,32.25,1
2020-09-28,32.25,32.25,32.0,32.0,32.0,5
2020-09-29,32.25,32.5,32.25,32.5,32.5,4
2020-10-02,32.75,33.5,32.75,33.5,33.5,20
2020-10-06,33.5,33.5,32.0,32.5,32.5,18
2020-10-19,32.0,32.5,32.0,32.25,32.25,18
2020-10-20,32.0,32.0,32.0,32.0,32.0,12
2020-10-22,32.0,32.0,32.0,32.0,32.0,7
2020-10-26,32.0,32.0,32.0,32.0,32.0,3
2020-10-30,32.25,32.25,32.25,32.25,32.25,1
2020-11-03,32.25,32.25,28.25,32.25,32.25,43
2020-11-04,31.5,31.75,31.5,31.5,31.5,10
2020-11-05,31.75,32.5,31.75,32.5,32.5,109
2020-11-12,31.75,31.75,31.25,31.25,31.25,500
2020-11-13,31.75,31.75,31.75,31.75,31.75,200
2020-11-16,32.0,32.75,32.0,32.75,32.75,800
2020-11-17,33.0,33.0,33.0,33.0,33.0,100
2020-11-19,35.75,36.0,35.5,35.5,35.5,1600
2020-11-20,35.25,35.5,35.0,35.25,35.25,3000
2020-11-23,35.75,35.75,34.5,35.25,35.25,6400
2020-11-24,35.5,35.5,34.75,34.75,34.75,3500
2020-11-25,34.75,34.75,34.5,34.75,34.75,1900
2020-11-26,33.25,34.25,33.25,34.25,34.25,200
2020-11-30,34.5,34.5,33.25,33.25,33.25,1700
2020-12-01,32.75,33.5,32.75,33.5,33.5,600
2020-12-02,35.0,35.0,34.75,34.75,34.75,1000
2020-12-03,44.75,44.75,32.25,39.5,39.5,15700
2020-12-04,38.5,38.5,33.5,35.25,35.25,5300
2020-12-08,35.5,36.0,35.0,35.25,35.25,1700
2020-12-09,35.5,35.5,35.25,35.25,35.25,2200
2020-12-14,35.75,36.0,35.5,35.5,35.5,2000
2020-12-15,36.5,37.0,35.25,35.25,35.25,300
2020-12-16,35.5,36.25,35.0,36.25,36.25,4500
