Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.76,0.77,0.74,0.75,0.75,3689500
2021-03-25,0.75,0.77,0.7,0.73,0.73,10153400
2021-03-26,0.73,0.75,0.73,0.74,0.74,1198000
2021-03-29,0.75,0.75,0.73,0.73,0.73,2457400
2021-03-30,0.74,0.77,0.74,0.77,0.77,4671900
2021-03-31,0.8,0.98,0.8,0.88,0.88,54645800
2021-04-01,0.87,0.87,0.86,0.86,0.86,150500
2021-04-02,0.85,0.87,0.81,0.86,0.86,3947300
2021-04-05,0.89,0.89,0.83,0.84,0.84,2586400
2021-04-07,0.84,0.84,0.74,0.77,0.77,10100500
2021-04-08,0.77,0.79,0.76,0.77,0.77,1883900
2021-04-09,0.79,0.79,0.77,0.77,0.77,1676300
2021-04-12,0.77,0.77,0.74,0.74,0.74,1664200
2021-04-16,0.72,0.8,0.72,0.76,0.76,3732500
2021-04-19,0.75,0.84,0.75,0.84,0.84,4589000
2021-04-20,0.84,0.84,0.8,0.81,0.81,3517300
2021-04-21,0.81,0.86,0.81,0.82,0.82,5404000
2021-04-22,0.82,0.83,0.8,0.8,0.8,4223400
2021-04-23,0.8,0.87,0.8,0.85,0.85,7902600
2021-04-26,0.87,0.93,0.85,0.9,0.9,27340900
2021-04-27,0.91,1.01,0.87,1.01,1.01,121014800
2021-04-28,1.06,1.11,0.99,0.99,0.99,74727200
2021-04-29,1.0,1.0,0.95,0.96,0.96,14900300
2021-04-30,0.95,0.96,0.91,0.95,0.95,8022300
2021-05-05,0.95,1.04,0.95,0.98,0.98,22595200
2021-05-06,0.95,1.02,0.95,1.01,1.01,12962800
2021-05-07,1.03,1.03,0.98,0.98,0.98,7042600
2021-05-10,0.99,0.99,0.96,0.97,0.97,3819100
2021-05-11,0.96,0.99,0.96,0.97,0.97,4509800
2021-05-12,0.9,0.91,0.81,0.9,0.9,19805100
2021-05-13,0.88,0.88,0.73,0.85,0.85,11062200
2021-05-14,0.82,0.84,0.8,0.81,0.81,4475800
2021-05-17,0.8,0.83,0.75,0.75,0.75,4501400
2021-05-18,0.75,0.8,0.75,0.8,0.8,2821900
2021-05-19,0.78,0.81,0.78,0.8,0.8,2609900
2021-05-20,0.8,0.85,0.78,0.82,0.82,3100900
2021-05-21,0.84,0.88,0.82,0.85,0.85,5327300
2021-05-24,0.81,0.81,0.79,0.8,0.8,1469400
2021-05-25,0.82,0.83,0.81,0.81,0.81,905700
2021-05-27,0.81,0.82,0.8,0.8,0.8,1068000
2021-05-28,0.8,0.81,0.79,0.8,0.8,877200
2021-05-31,0.8,0.81,0.79,0.8,0.8,884300
2021-06-01,0.79,0.81,0.79,0.8,0.8,1868000
2021-06-02,0.8,0.81,0.8,0.8,0.8,1041500
2021-06-04,0.8,0.95,0.8,0.88,0.88,26782600
2021-06-07,0.91,0.91,0.85,0.87,0.87,7852600
2021-06-08,0.87,0.89,0.86,0.86,0.86,2731600
2021-06-09,0.88,0.9,0.86,0.87,0.87,3267500
2021-06-10,0.88,0.89,0.86,0.86,0.86,4057200
2021-06-11,0.87,0.88,0.86,0.87,0.87,1994300
2021-06-14,0.88,0.89,0.87,0.88,0.88,1597100
2021-06-15,0.88,0.88,0.82,0.83,0.83,8048800
2021-06-16,0.83,0.84,0.82,0.83,0.83,1256500
2021-06-17,0.83,0.84,0.81,0.81,0.81,2479000
2021-06-18,0.81,0.82,0.8,0.81,0.81,1045900
2021-06-21,0.81,0.83,0.8,0.81,0.81,855100
2021-06-22,0.81,0.83,0.81,0.82,0.82,1193500
2021-06-23,0.82,0.83,0.8,0.83,0.83,2280700
2021-06-24,0.83,0.84,0.76,0.8,0.8,1996400
2021-06-25,0.79,0.8,0.78,0.78,0.78,1771600
2021-06-28,0.77,0.77,0.74,0.76,0.76,2465800
2021-06-29,0.75,0.79,0.75,0.78,0.78,704800
2021-06-30,0.79,0.79,0.76,0.78,0.78,330700
2021-07-01,0.78,0.85,0.77,0.84,0.84,3616900
2021-07-02,0.88,0.89,0.81,0.81,0.81,8314700
