Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1.0,1.06,0.98,0.99,0.99,0
2020-01-03,1.01,1.01,0.99,1.01,1.01,0
2020-01-06,0.99,1.02,0.97,1.0,1.0,0
2020-01-07,1.02,1.02,0.99,1.01,1.01,0
2020-01-08,0.99,1.01,0.96,0.99,0.99,0
2020-01-09,1.01,1.01,0.98,1.0,1.0,0
2020-01-10,1.0,1.0,0.97,0.99,0.99,0
2020-01-13,1.0,1.0,1.0,1.0,1.0,0
2020-01-14,1.0,1.0,0.93,0.96,0.96,0
2020-01-15,0.96,1.01,0.9,0.9,0.9,0
2020-01-16,0.96,0.97,0.93,0.97,0.97,0
2020-01-17,0.97,0.98,0.95,0.96,0.96,0
2020-01-20,0.96,0.97,0.94,0.94,0.94,0
2020-01-21,0.97,0.98,0.94,0.95,0.95,0
2020-01-22,0.91,0.99,0.91,0.96,0.96,0
2020-01-23,0.92,0.95,0.92,0.95,0.95,0
2020-01-24,0.97,0.97,0.97,0.97,0.97,0
2020-01-27,0.96,0.96,0.95,0.95,0.95,0
2020-01-28,0.95,0.95,0.95,0.95,0.95,0
2020-01-29,0.91,0.95,0.91,0.95,0.95,0
2020-01-30,0.95,0.96,0.95,0.96,0.96,0
2020-02-03,0.96,0.97,0.93,0.96,0.96,0
2020-02-04,0.86,0.93,0.86,0.91,0.91,0
2020-02-05,0.91,0.95,0.91,0.94,0.94,0
2020-02-07,0.94,0.94,0.94,0.94,0.94,0
2020-02-11,0.95,0.97,0.87,0.87,0.87,0
2020-02-12,0.9,0.9,0.87,0.9,0.9,0
2020-02-13,0.91,0.92,0.89,0.89,0.89,0
2020-02-14,0.89,0.92,0.89,0.9,0.9,0
2020-02-17,0.87,0.89,0.86,0.89,0.89,0
2020-02-18,0.86,0.88,0.85,0.86,0.86,0
2020-02-19,0.86,0.89,0.85,0.86,0.86,0
2020-02-20,0.85,0.89,0.83,0.83,0.83,0
2020-02-21,0.83,0.83,0.8,0.83,0.83,0
2020-02-24,0.83,0.84,0.83,0.84,0.84,0
2020-02-25,0.82,0.82,0.78,0.79,0.79,0
2020-02-26,0.74,0.82,0.74,0.82,0.82,0
2020-02-27,0.75,0.78,0.7,0.78,0.78,0
2020-02-28,0.77,0.77,0.7,0.76,0.76,0
2020-03-02,0.76,0.87,0.71,0.87,0.87,0
2020-03-03,0.85,0.85,0.78,0.78,0.78,0
2020-03-04,0.81,0.82,0.79,0.79,0.79,0
2020-03-05,0.8,0.8,0.78,0.8,0.8,0
2020-03-06,0.81,0.81,0.81,0.81,0.81,0
2020-03-09,0.75,0.76,0.74,0.74,0.74,0
2020-03-10,0.73,0.74,0.73,0.73,0.73,0
2020-03-11,0.72,0.79,0.72,0.74,0.74,0
2020-03-12,0.65,0.7,0.65,0.66,0.66,0
2020-03-13,0.65,0.75,0.61,0.61,0.61,0
2020-03-16,0.73,0.73,0.71,0.71,0.71,0
2020-03-17,0.71,0.71,0.71,0.71,0.71,0
2020-03-18,0.65,0.65,0.65,0.65,0.65,0
2020-03-23,0.6,0.7,0.56,0.7,0.7,0
2020-03-24,0.61,0.61,0.6,0.61,0.61,0
2020-03-25,0.6,0.62,0.6,0.61,0.61,0
2020-03-30,0.65,0.65,0.65,0.65,0.65,0
2020-03-31,0.62,0.64,0.62,0.64,0.64,0
2020-04-01,0.62,0.62,0.62,0.62,0.62,0
2020-04-02,0.65,0.65,0.65,0.65,0.65,0
2020-04-03,0.64,0.64,0.61,0.61,0.61,0
2020-04-07,0.62,0.65,0.61,0.61,0.61,0
2020-04-08,0.65,0.65,0.59,0.59,0.59,0
2020-04-09,0.6,0.63,0.59,0.6,0.6,0
2020-04-10,0.63,0.64,0.61,0.61,0.61,0
2020-04-13,0.62,0.63,0.62,0.63,0.63,0
2020-04-14,0.63,0.64,0.62,0.63,0.63,0
2020-04-15,0.63,0.64,0.62,0.62,0.62,0
2020-04-17,0.62,0.62,0.61,0.62,0.62,0
2020-04-20,0.62,0.62,0.61,0.61,0.61,0
2020-04-21,0.63,0.64,0.62,0.64,0.64,0
2020-04-22,0.64,0.64,0.64,0.64,0.64,0
2020-04-23,0.65,0.69,0.65,0.67,0.67,0
2020-04-24,0.67,0.67,0.66,0.66,0.66,0
2020-04-27,0.67,0.67,0.67,0.67,0.67,0
2020-04-28,0.68,0.68,0.66,0.68,0.68,0
2020-04-29,0.66,0.66,0.66,0.66,0.66,0
2020-04-30,0.64,0.69,0.64,0.64,0.64,0
2020-05-05,0.65,0.65,0.65,0.65,0.65,0
2020-05-07,0.62,0.63,0.62,0.62,0.62,0
2020-05-11,0.63,0.64,0.63,0.63,0.63,0
2020-05-12,0.63,0.63,0.63,0.63,0.63,0
2020-05-13,0.63,0.66,0.63,0.66,0.66,0
2020-05-14,0.66,0.75,0.66,0.75,0.75,0
2020-05-15,0.86,0.86,0.86,0.86,0.86,0
2020-05-18,0.98,0.98,0.86,0.88,0.88,0
2020-05-19,0.9,0.91,0.88,0.88,0.88,0
